Date,Open,High,Low,Close,Adj Close,Volume
2015-04-06,162.199997,194.600006,155.199997,192.649994,192.649994,9021323
2015-04-07,192.250000,207.000000,184.800003,185.800003,185.800003,1743051
2015-04-08,187.000000,188.000000,176.699997,178.800003,178.800003,353582
2015-04-09,179.000000,180.850006,170.149994,172.250000,172.250000,216767
2015-04-10,171.000000,183.800003,165.050003,177.550003,177.550003,561701
2015-04-13,179.550003,179.899994,173.100006,174.949997,174.949997,166933
2015-04-15,174.949997,184.000000,170.350006,175.899994,175.899994,344759
2015-04-16,174.399994,177.899994,171.199997,172.500000,172.500000,100236
2015-04-17,171.000000,174.949997,165.600006,167.000000,167.000000,108023
2015-04-20,166.800003,168.899994,158.800003,159.800003,159.800003,75271
2015-04-21,161.000000,163.600006,155.750000,157.750000,157.750000,89290
2015-04-22,158.000000,164.449997,156.000000,159.449997,159.449997,134378
2015-04-23,159.899994,163.850006,157.000000,159.149994,159.149994,99392
2015-04-24,158.500000,159.399994,141.000000,144.449997,144.449997,143358
2015-04-27,143.100006,143.899994,134.050003,135.699997,135.699997,140731
2015-04-28,135.949997,139.800003,131.949997,137.300003,137.300003,444326
2015-04-29,136.250000,145.399994,134.699997,140.149994,140.149994,175135
2015-04-30,143.000000,143.949997,136.000000,140.649994,140.649994,88393
2015-05-04,142.000000,150.000000,141.000000,143.949997,143.949997,109865
2015-05-05,142.300003,148.350006,138.100006,146.949997,146.949997,339292
2015-05-06,146.100006,149.800003,138.649994,139.949997,139.949997,68670
2015-05-07,139.550003,140.000000,134.899994,135.149994,135.149994,73017
2015-05-08,138.899994,140.800003,136.300003,137.699997,137.699997,38686
2015-05-11,138.050003,143.800003,138.050003,140.000000,140.000000,23121
2015-05-12,140.000000,140.000000,136.000000,136.100006,136.100006,33241
2015-05-13,138.800003,144.199997,136.600006,140.199997,140.199997,55618
2015-05-14,141.000000,166.399994,140.550003,162.850006,162.850006,896401
2015-05-15,164.300003,167.000000,155.350006,158.149994,158.149994,166199
2015-05-18,159.000000,159.000000,153.000000,153.949997,153.949997,34850
2015-05-19,154.000000,168.899994,150.250000,165.949997,165.949997,259921
2015-05-20,167.899994,182.000000,164.250000,177.449997,177.449997,766031
2015-05-21,179.000000,181.500000,173.300003,179.750000,179.750000,260362
2015-05-22,177.100006,179.000000,169.500000,171.699997,171.699997,50106
2015-05-25,172.000000,175.000000,168.149994,169.750000,169.750000,41337
2015-05-26,171.000000,173.000000,167.800003,168.050003,168.050003,40801
2015-05-27,167.250000,174.000000,161.050003,163.100006,163.100006,58571
2015-05-28,154.949997,158.000000,144.399994,147.199997,147.199997,201901
2015-05-29,152.800003,159.899994,147.500000,150.850006,150.850006,199973
2015-06-01,152.350006,157.899994,149.699997,151.550003,151.550003,40595
2015-06-02,150.300003,154.199997,145.300003,146.899994,146.899994,38401
2015-06-03,146.350006,148.350006,138.000000,139.550003,139.550003,49742
2015-06-04,140.000000,141.899994,131.399994,132.649994,132.649994,185982
2015-06-05,130.500000,139.399994,130.500000,137.050003,137.050003,54303
2015-06-08,137.600006,141.300003,135.500000,138.699997,138.699997,37068
2015-06-09,137.399994,139.000000,133.100006,134.350006,134.350006,21278
2015-06-10,133.699997,141.000000,133.000000,135.750000,135.750000,69732
2015-06-11,136.699997,138.699997,130.000000,130.699997,130.699997,47021
2015-06-12,127.349998,140.000000,127.349998,137.449997,137.449997,79402
2015-06-15,137.000000,164.899994,137.000000,161.600006,161.600006,695878
2015-06-16,158.949997,159.649994,151.699997,155.350006,155.350006,175562
2015-06-17,154.699997,157.600006,148.000000,149.500000,149.500000,50259
2015-06-18,148.899994,163.500000,148.899994,158.600006,158.600006,227465
2015-06-19,158.750000,172.800003,158.000000,170.800003,170.800003,455095
2015-06-22,170.750000,174.949997,165.350006,166.949997,166.949997,85171
2015-06-23,167.000000,170.000000,161.300003,162.350006,162.350006,41022
2015-06-24,163.000000,165.949997,160.500000,161.550003,161.550003,30999
2015-06-25,160.750000,164.899994,156.000000,159.750000,159.750000,17300
2015-06-26,156.100006,163.050003,153.250000,154.949997,154.949997,45499
2015-06-29,150.000000,150.949997,146.050003,147.800003,147.800003,45141
2015-06-30,148.449997,160.899994,146.600006,159.399994,159.399994,88530
2015-07-01,155.000000,160.000000,154.500000,156.500000,156.500000,30463
2015-07-02,156.250000,163.000000,154.500000,160.300003,160.300003,48029
2015-07-03,160.000000,165.000000,156.000000,158.250000,158.250000,46382
2015-07-06,153.300003,160.000000,153.300003,156.199997,156.199997,16108
2015-07-07,157.699997,161.399994,155.399994,156.649994,156.649994,21493
2015-07-08,155.500000,158.949997,154.100006,156.949997,156.949997,30182
2015-07-09,156.949997,159.000000,149.000000,150.500000,150.500000,31776
2015-07-10,152.449997,157.399994,152.000000,153.300003,153.300003,49878
2015-07-13,152.000000,154.699997,151.300003,152.649994,152.649994,39331
2015-07-14,153.000000,158.899994,150.500000,152.000000,152.000000,78569
2015-07-15,153.000000,164.800003,153.000000,157.949997,157.949997,138499
2015-07-16,158.500000,162.500000,156.550003,161.350006,161.350006,55550
2015-07-17,161.449997,164.500000,160.550003,161.500000,161.500000,49661
2015-07-20,161.500000,168.000000,158.300003,165.149994,165.149994,81624
2015-07-21,168.000000,174.449997,163.250000,167.449997,167.449997,174388
2015-07-22,166.000000,177.699997,165.100006,167.699997,167.699997,343734
2015-07-23,168.050003,173.000000,160.350006,163.050003,163.050003,50831
2015-07-24,163.449997,167.000000,158.250000,160.449997,160.449997,28204
2015-07-27,159.000000,161.300003,155.750000,156.750000,156.750000,22507
2015-07-28,157.750000,159.250000,153.050003,153.649994,153.649994,34315
2015-07-29,154.000000,156.800003,150.399994,154.649994,154.649994,17650
2015-07-30,154.000000,157.949997,151.600006,156.550003,156.550003,21421
2015-07-31,157.199997,169.899994,157.199997,164.949997,164.949997,111996
2015-08-03,165.000000,178.699997,161.100006,169.899994,169.899994,705015
2015-08-04,164.850006,167.250000,157.149994,158.949997,158.949997,362323
2015-08-05,159.949997,162.000000,156.600006,157.199997,157.199997,127555
2015-08-06,158.649994,160.899994,152.000000,157.250000,157.250000,81354
2015-08-07,156.000000,159.449997,153.100006,154.250000,154.250000,89024
2015-08-10,153.100006,160.000000,152.000000,155.600006,155.600006,42722
2015-08-11,156.000000,156.949997,151.000000,151.949997,151.949997,20281
2015-08-12,151.000000,153.000000,145.100006,145.850006,145.850006,27128
2015-08-13,147.000000,149.350006,140.600006,141.800003,141.800003,47512
2015-08-14,142.000000,145.000000,141.050003,142.199997,142.199997,45715
2015-08-17,142.550003,145.949997,141.000000,142.500000,142.500000,22736
2015-08-18,143.000000,145.000000,140.500000,141.500000,141.500000,31686
2015-08-19,141.000000,143.399994,139.800003,141.750000,141.750000,56146
2015-08-20,141.100006,151.899994,140.000000,145.750000,145.750000,84248
2015-08-21,142.500000,146.750000,140.000000,145.600006,145.600006,30254
2015-08-24,140.000000,141.550003,116.550003,122.800003,122.800003,54288
2015-08-25,129.000000,129.000000,111.900002,121.900002,121.900002,58721
2015-08-26,122.900002,129.699997,120.199997,122.349998,122.349998,38428
2015-08-27,125.000000,133.000000,123.199997,129.600006,129.600006,88596
2015-08-28,133.000000,134.899994,123.500000,125.050003,125.050003,70477
2015-08-31,126.500000,127.500000,122.400002,125.300003,125.300003,65825
2015-09-01,125.000000,126.699997,123.050003,125.199997,125.199997,34986
2015-09-02,126.000000,126.000000,122.000000,125.000000,125.000000,44427
2015-09-03,128.000000,128.000000,125.000000,126.099998,126.099998,45789
2015-09-04,125.900002,126.000000,123.000000,123.300003,123.300003,54755
2015-09-07,128.949997,128.949997,112.699997,114.849998,114.849998,54703
2015-09-08,117.949997,117.949997,111.650002,113.949997,113.949997,37079
2015-09-09,115.000000,133.500000,112.349998,126.349998,126.349998,192721
2015-09-10,122.199997,126.750000,118.599998,121.949997,121.949997,58191
2015-09-11,121.199997,124.800003,118.000000,119.750000,119.750000,88459
2015-09-14,123.949997,123.949997,115.300003,118.349998,118.349998,451185
2015-09-15,118.750000,119.699997,117.000000,117.900002,117.900002,32790
2015-09-16,118.400002,120.800003,111.500000,112.900002,112.900002,78154
2015-09-18,114.699997,118.000000,114.000000,115.050003,115.050003,41127
2015-09-21,113.000000,121.900002,112.000000,119.150002,119.150002,71331
2015-09-22,119.500000,121.849998,118.099998,119.849998,119.849998,46281
2015-09-23,117.050003,123.000000,117.000000,118.000000,118.000000,53023
2015-09-24,117.699997,118.449997,113.500000,114.900002,114.900002,24318
2015-09-28,114.050003,119.500000,113.449997,114.650002,114.650002,41854
2015-09-29,112.000000,127.250000,111.900002,112.400002,112.400002,63471
2015-09-30,113.750000,116.050003,111.250000,112.150002,112.150002,38414
2015-10-01,113.750000,113.750000,109.099998,110.900002,110.900002,72077
2015-10-05,112.000000,114.500000,110.000000,112.650002,112.650002,34269
2015-10-06,113.699997,114.599998,111.099998,112.150002,112.150002,39136
2015-10-07,112.849998,115.900002,112.000000,113.800003,113.800003,70079
2015-10-08,114.250000,116.550003,113.550003,114.500000,114.500000,121902
2015-10-09,114.599998,129.250000,113.500000,121.449997,121.449997,475389
2015-10-12,121.000000,124.000000,117.099998,120.349998,120.349998,78426
2015-10-13,119.000000,120.599998,118.000000,118.750000,118.750000,42158
2015-10-14,118.000000,120.500000,116.800003,118.349998,118.349998,35964
2015-10-15,119.000000,120.000000,117.750000,118.550003,118.550003,25244
2015-10-16,119.000000,121.500000,118.199997,118.949997,118.949997,32264
2015-10-19,119.000000,120.000000,118.199997,118.699997,118.699997,35617
2015-10-20,119.000000,120.500000,116.000000,117.550003,117.550003,56406
2015-10-21,118.250000,124.500000,117.599998,120.500000,120.500000,179559
2015-10-23,121.750000,123.250000,119.199997,120.099998,120.099998,38061
2015-10-26,120.699997,120.699997,116.500000,118.000000,118.000000,26719
2015-10-27,119.000000,126.400002,118.050003,123.500000,123.500000,164764
2015-10-28,124.800003,127.099998,119.500000,123.099998,123.099998,143364
2015-10-29,123.349998,128.000000,121.349998,125.000000,125.000000,170892
2015-10-30,124.500000,127.000000,123.500000,125.099998,125.099998,70057
2015-11-02,124.050003,125.199997,121.250000,121.650002,121.650002,25309
2015-11-03,118.000000,119.500000,116.000000,117.099998,117.099998,115330
2015-11-04,117.400002,117.699997,103.000000,106.099998,106.099998,321033
2015-11-05,107.599998,110.349998,103.000000,107.199997,107.199997,114613
2015-11-06,109.400002,113.150002,105.050003,106.949997,106.949997,134005
2015-11-09,105.000000,106.000000,100.250000,104.849998,104.849998,59284
2015-11-10,104.050003,106.000000,102.500000,103.550003,103.550003,39953
2015-11-13,109.000000,109.000000,105.050003,106.000000,106.000000,23681
2015-11-16,105.800003,107.949997,105.000000,106.050003,106.050003,16398
2015-11-17,108.900002,109.000000,106.650002,107.900002,107.900002,26195
2015-11-18,107.500000,109.550003,106.599998,107.300003,107.300003,21198
2015-11-19,107.099998,115.500000,107.000000,114.099998,114.099998,85787
2015-11-20,113.000000,113.949997,111.000000,111.699997,111.699997,13653
2015-11-23,110.250000,113.449997,109.050003,109.900002,109.900002,15617
2015-11-24,109.000000,122.550003,109.000000,118.349998,118.349998,362114
2015-11-26,118.000000,131.800003,118.000000,125.800003,125.800003,679172
2015-11-27,126.000000,130.000000,120.800003,128.500000,128.500000,129674
2015-11-30,129.600006,129.600006,121.400002,122.550003,122.550003,41434
2015-12-01,122.500000,130.449997,121.599998,127.849998,127.849998,66569
2015-12-02,127.250000,133.500000,123.800003,130.100006,130.100006,202018
2015-12-03,130.100006,131.899994,126.000000,127.300003,127.300003,63851
2015-12-04,127.099998,127.800003,123.500000,124.250000,124.250000,48432
2015-12-07,122.250000,126.000000,122.250000,123.550003,123.550003,17231
2015-12-08,123.400002,125.550003,118.300003,119.050003,119.050003,32141
2015-12-09,118.000000,119.849998,113.099998,114.000000,114.000000,26436
2015-12-10,113.050003,117.949997,110.400002,112.550003,112.550003,75982
2015-12-11,112.699997,121.900002,112.699997,116.750000,116.750000,160490
2015-12-14,116.000000,123.000000,115.000000,119.300003,119.300003,185851
2015-12-15,117.900002,118.449997,113.500000,114.500000,114.500000,38776
2015-12-16,114.000000,118.050003,113.650002,114.349998,114.349998,40465
2015-12-17,116.000000,117.500000,114.500000,115.150002,115.150002,55212
2015-12-18,114.500000,120.000000,112.250000,118.300003,118.300003,72475
2015-12-21,117.500000,119.750000,117.050003,118.750000,118.750000,32088
2015-12-22,117.150002,124.000000,117.150002,121.349998,121.349998,66525
2015-12-23,122.699997,126.900002,122.000000,123.949997,123.949997,96698
2015-12-24,121.599998,136.949997,121.599998,130.899994,130.899994,372916
2015-12-28,132.100006,142.350006,128.300003,139.300003,139.300003,419941
2015-12-29,140.800003,140.800003,132.199997,134.100006,134.100006,159276
2015-12-30,135.149994,138.449997,133.750000,134.750000,134.750000,39748
2015-12-31,135.350006,145.800003,134.300003,136.449997,136.449997,404603
2016-01-01,136.300003,142.500000,136.300003,139.399994,139.399994,128170
2016-01-04,138.350006,139.800003,131.000000,132.449997,132.449997,78018
2016-01-05,131.050003,145.250000,131.050003,140.300003,140.300003,188134
2016-01-06,139.850006,143.000000,134.050003,134.800003,134.800003,64035
2016-01-07,132.500000,133.850006,128.100006,129.899994,129.899994,105932
2016-01-08,131.899994,137.699997,128.550003,131.399994,131.399994,126868
2016-01-11,132.000000,138.300003,129.050003,134.500000,134.500000,121914
2016-01-12,134.699997,138.050003,132.000000,133.850006,133.850006,68729
2016-01-13,134.750000,140.699997,125.199997,132.800003,132.800003,124564
2016-01-14,130.500000,132.050003,126.000000,130.649994,130.649994,58535
2016-01-15,130.100006,135.000000,125.500000,127.150002,127.150002,27636
2016-01-18,126.449997,126.500000,115.949997,116.849998,116.849998,53046
2016-01-19,114.550003,120.750000,111.550003,113.150002,113.150002,136549
2016-01-20,112.800003,117.900002,107.550003,109.750000,109.750000,102006
2016-01-21,110.300003,115.000000,108.000000,109.699997,109.699997,51664
2016-01-22,111.300003,113.949997,108.050003,109.449997,109.449997,98882
2016-01-25,110.050003,113.099998,107.300003,108.099998,108.099998,108638
2016-01-27,109.000000,113.400002,108.000000,108.300003,108.300003,106555
2016-01-28,108.000000,112.000000,102.800003,107.400002,107.400002,229518
2016-01-29,106.000000,106.000000,101.400002,102.750000,102.750000,124613
2016-02-01,101.099998,114.500000,101.099998,111.449997,111.449997,415911
2016-02-02,112.550003,115.900002,109.500000,110.699997,110.699997,201198
2016-02-03,109.699997,109.699997,105.050003,105.650002,105.650002,62230
2016-02-04,107.000000,108.949997,102.000000,103.300003,103.300003,36375
2016-02-05,103.000000,106.000000,103.000000,104.400002,104.400002,42583
2016-02-08,104.000000,108.699997,103.500000,104.949997,104.949997,41994
2016-02-09,102.000000,105.050003,102.000000,102.849998,102.849998,25733
2016-02-10,102.000000,102.949997,94.500000,95.400002,95.400002,110144
2016-02-11,94.000000,94.900002,82.199997,85.050003,85.050003,128228
2016-02-12,85.500000,86.050003,77.050003,79.650002,79.650002,150292
2016-02-15,79.099998,83.500000,78.300003,79.949997,79.949997,124259
2016-02-16,80.500000,82.400002,73.250000,74.800003,74.800003,140479
2016-02-17,75.849998,75.849998,69.000000,73.650002,73.650002,204915
2016-02-18,74.900002,76.500000,72.000000,72.849998,72.849998,76684
2016-02-19,72.099998,75.800003,72.099998,73.500000,73.500000,65005
2016-02-22,74.800003,75.500000,73.199997,73.949997,73.949997,34883
2016-02-23,75.849998,75.849998,71.199997,72.000000,72.000000,59127
2016-02-24,72.750000,73.349998,68.550003,69.949997,69.949997,340806
2016-02-25,69.000000,72.400002,68.250000,70.000000,70.000000,48819
2016-02-26,72.500000,73.750000,68.500000,69.599998,69.599998,49060
2016-02-29,69.000000,72.000000,68.300003,69.699997,69.699997,26856
2016-03-01,70.449997,71.900002,68.199997,71.000000,71.000000,80222
2016-03-02,74.949997,81.949997,72.500000,78.500000,78.500000,196076
2016-03-03,79.550003,88.900002,78.150002,87.800003,87.800003,393800
2016-03-04,87.900002,90.400002,83.400002,87.500000,87.500000,234732
2016-03-08,87.500000,89.599998,85.150002,86.349998,86.349998,45537
2016-03-09,85.000000,87.500000,84.199997,85.750000,85.750000,68192
2016-03-10,86.800003,89.500000,85.050003,85.900002,85.900002,85277
2016-03-11,85.050003,89.449997,85.050003,86.500000,86.500000,58088
2016-03-14,87.250000,89.400002,85.800003,88.150002,88.150002,49672
2016-03-15,86.300003,92.900002,86.000000,90.349998,90.349998,78475
2016-03-16,90.400002,91.849998,87.000000,90.000000,90.000000,75483
2016-03-17,90.099998,93.000000,89.199997,90.250000,90.250000,124127
2016-03-18,91.550003,91.900002,81.849998,84.449997,84.449997,272753
2016-03-21,86.949997,89.250000,85.150002,87.250000,87.250000,37166
2016-03-22,87.000000,90.500000,86.750000,88.449997,88.449997,65144
2016-03-23,88.500000,90.349998,86.949997,88.449997,88.449997,66176
2016-03-28,88.300003,90.949997,84.150002,86.449997,86.449997,66313
2016-03-29,88.300003,88.949997,85.300003,85.650002,85.650002,33559
2016-03-30,85.550003,88.400002,85.550003,87.250000,87.250000,25681
2016-03-31,87.599998,88.500000,85.000000,85.449997,85.449997,32576
2016-04-01,86.000000,89.849998,85.699997,87.800003,87.800003,28603
2016-04-04,88.199997,94.000000,88.199997,89.400002,89.400002,323044
2016-04-05,89.300003,90.599998,86.400002,88.050003,88.050003,39603
2016-04-06,89.449997,90.449997,88.599998,89.900002,89.900002,51365
2016-04-07,91.050003,94.599998,88.750000,89.800003,89.800003,236546
2016-04-08,92.599998,93.650002,86.199997,87.900002,87.900002,717641
2016-04-11,87.900002,90.699997,86.900002,88.050003,88.050003,203060
2016-04-12,88.400002,88.650002,87.300003,87.650002,87.650002,50610
2016-04-13,88.099998,89.949997,87.000000,87.349998,87.349998,75029
2016-04-18,87.949997,88.050003,83.000000,86.900002,86.900002,53621
2016-04-20,87.500000,90.050003,86.000000,88.050003,88.050003,90757
2016-04-21,87.550003,88.849998,86.050003,86.550003,86.550003,46023
2016-04-22,87.800003,87.849998,86.099998,86.849998,86.849998,39905
2016-04-25,87.000000,89.000000,84.300003,85.349998,85.349998,64147
2016-04-26,85.300003,89.599998,85.300003,88.250000,88.250000,98081
2016-04-27,88.000000,88.900002,87.000000,87.400002,87.400002,38360
2016-04-28,88.000000,88.500000,85.400002,86.050003,86.050003,46479
2016-04-29,86.000000,89.000000,85.400002,85.900002,85.900002,71448
2016-05-02,85.250000,88.900002,85.250000,87.699997,87.699997,90647
2016-05-03,86.599998,90.400002,86.099998,86.849998,86.849998,104274
2016-05-04,86.300003,88.900002,85.199997,85.699997,85.699997,40596
2016-05-05,85.000000,87.000000,84.150002,84.599998,84.599998,47947
2016-05-06,84.000000,85.050003,81.000000,81.349998,81.349998,40921
2016-05-09,82.449997,83.650002,81.000000,82.000000,82.000000,46102
2016-05-10,81.699997,82.000000,80.050003,80.650002,80.650002,24188
2016-05-11,80.000000,81.400002,79.000000,80.900002,80.900002,41481
2016-05-12,80.750000,81.349998,79.500000,80.150002,80.150002,26486
2016-05-13,79.550003,81.250000,79.050003,79.400002,79.400002,27174
2016-05-16,79.750000,80.400002,78.650002,79.349998,79.349998,25085
2016-05-17,79.900002,80.400002,79.000000,79.699997,79.699997,21556
2016-05-18,79.050003,79.349998,77.800003,78.400002,78.400002,21376
2016-05-19,78.300003,83.900002,78.099998,80.800003,80.800003,107476
2016-05-20,80.599998,93.400002,80.050003,85.449997,85.449997,626355
2016-05-23,86.000000,86.400002,81.900002,82.400002,82.400002,106266
2016-05-24,82.900002,85.550003,80.449997,82.500000,82.500000,370029
2016-05-25,82.500000,83.949997,81.199997,81.500000,81.500000,83133
2016-05-26,81.099998,83.000000,78.550003,80.050003,80.050003,57126
2016-05-27,80.300003,82.750000,80.199997,81.949997,81.949997,38539
2016-05-30,82.449997,82.900002,81.400002,81.750000,81.750000,21143
