Date,Open,High,Low,Close,Adj Close,Volume
2015-10-13,52.000000,59.900002,49.599998,52.500000,51.950260,12337
2015-10-14,52.849998,56.000000,49.599998,53.250000,52.692406,14357
2015-10-15,55.500000,57.000000,50.500000,53.950001,53.385078,13145
2015-10-16,55.750000,55.900002,52.000000,53.799999,53.236649,18438
2015-10-19,45.049999,55.000000,45.049999,51.500000,50.960732,22401
2015-10-20,52.599998,54.950001,50.000000,51.599998,51.059685,10967
2015-10-21,50.000000,55.000000,50.000000,53.250000,52.692406,11208
2015-10-23,54.299999,54.950001,51.200001,51.900002,51.356544,16212
2015-10-26,53.000000,56.000000,52.000000,55.049999,54.473557,16096
2015-10-27,56.500000,62.000000,56.000000,61.000000,60.361256,20333
2015-10-28,62.000000,67.000000,53.500000,65.150002,64.467804,85025
2015-10-29,65.000000,69.000000,64.099998,65.800003,65.111000,41394
2015-10-30,62.500000,68.000000,62.250000,64.949997,64.269890,34728
2015-11-02,61.000000,66.000000,60.700001,64.849998,64.170937,14551
2015-11-03,61.599998,69.099998,61.599998,67.000000,66.298431,17800
2015-11-04,68.000000,69.000000,66.300003,67.449997,66.743713,11094
2015-11-05,67.099998,67.599998,65.750000,66.449997,65.754181,13445
2015-11-06,67.000000,68.800003,65.900002,66.800003,66.100525,10749
2015-11-09,67.000000,70.349998,65.000000,67.000000,66.298431,9228
2015-11-10,66.949997,67.900002,66.199997,67.000000,66.298431,11774
2015-11-13,68.000000,70.000000,66.000000,67.050003,66.347908,8213
2015-11-16,67.099998,68.500000,64.500000,65.050003,64.368851,43246
2015-11-17,64.500000,66.199997,63.500000,64.699997,64.022507,11820
2015-11-18,64.000000,64.500000,59.000000,60.099998,59.470676,20698
2015-11-19,60.200001,64.400002,60.200001,62.250000,61.598167,10511
2015-11-20,63.000000,68.800003,62.599998,63.299999,62.637169,15465
2015-11-23,63.299999,64.900002,61.750000,64.099998,63.428795,37658
2015-11-24,65.000000,71.000000,63.200001,67.849998,67.139526,15420
2015-11-26,68.000000,69.500000,64.449997,67.300003,66.595291,13309
2015-11-27,67.000000,70.500000,67.000000,67.000000,66.298431,9780
2015-11-30,67.500000,80.400002,59.000000,67.099998,66.397377,130376
2015-12-01,72.800003,74.949997,68.000000,70.750000,70.009163,144729
2015-12-02,72.000000,78.800003,69.800003,71.650002,70.899734,214326
2015-12-03,72.849998,76.699997,67.199997,67.949997,67.238480,107552
2015-12-04,68.300003,70.400002,67.500000,68.300003,67.584816,37381
2015-12-07,68.000000,70.800003,68.000000,69.400002,68.673302,22029
2015-12-08,69.500000,71.000000,67.849998,69.000000,68.277489,25828
2015-12-09,70.000000,71.400002,66.250000,68.050003,67.337433,16183
2015-12-10,71.000000,71.000000,67.050003,69.500000,68.772247,18012
2015-12-11,70.000000,71.000000,66.199997,67.099998,66.397377,7968
2015-12-14,68.300003,69.000000,65.900002,66.800003,66.100525,12619
2015-12-15,68.400002,68.400002,65.199997,65.400002,64.715187,7944
2015-12-16,67.000000,70.000000,66.000000,66.199997,65.506805,21183
2015-12-17,66.500000,68.699997,65.699997,66.449997,65.754181,8483
2015-12-18,66.699997,67.800003,64.099998,64.650002,63.973038,15112
2015-12-21,66.599998,66.900002,63.250000,64.650002,63.973038,10513
2015-12-22,65.000000,65.900002,62.599998,65.650002,64.962563,3271
2015-12-23,65.800003,66.849998,61.500000,66.300003,65.605759,12379
2015-12-24,67.000000,69.900002,66.000000,68.150002,67.436386,14842
2015-12-28,68.199997,70.400002,68.000000,69.750000,69.019630,16175
2015-12-29,68.000000,71.500000,68.000000,70.349998,69.613350,14103
2015-12-30,72.199997,78.000000,71.199997,72.599998,71.839790,16364
2015-12-31,72.500000,78.000000,68.150002,75.500000,74.709419,73590
2016-01-01,76.800003,84.800003,75.000000,82.099998,81.240311,31498
2016-01-04,89.900002,90.000000,80.500000,84.699997,83.813087,21483
2016-01-05,86.000000,89.400002,85.000000,86.050003,85.148956,18829
