Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,6.800000,7.300000,6.400000,7.200000,2.453593,100980
2002-07-02,7.200000,7.220000,6.450000,7.080000,2.412700,42165
2002-07-03,7.090000,7.330000,6.800000,6.950000,2.368399,40590
2002-07-04,7.200000,7.920000,6.920000,7.730000,2.634205,81025
2002-07-05,7.960000,8.200000,7.620000,7.870000,2.681914,65425
2002-07-08,8.280000,8.600000,7.610000,7.800000,2.658059,39575
2002-07-09,8.000000,8.160000,7.250000,7.490000,2.552418,27275
2002-07-10,8.000000,8.000000,7.200000,7.550000,2.572865,16835
2002-07-11,7.120000,7.340000,7.120000,7.250000,2.470632,17305
2002-07-12,7.200000,7.200000,6.950000,7.010000,2.388846,24230
2002-07-15,6.660000,7.170000,6.600000,6.690000,2.279797,29505
2002-07-16,5.810000,6.680000,5.810000,6.500000,2.215050,9175
2002-07-17,6.320000,6.320000,5.870000,6.140000,2.092369,26690
2002-07-18,6.200000,6.400000,6.120000,6.390000,2.177564,7375
2002-07-19,6.200000,6.370000,6.200000,6.280000,2.140079,3825
2002-07-22,6.080000,6.600000,6.080000,6.160000,2.099185,20650
2002-07-23,6.200000,6.200000,6.060000,6.060000,2.065108,500
2002-07-24,6.000000,6.000000,5.920000,5.930000,2.020807,1750
2002-07-25,6.100000,6.120000,6.100000,6.120000,2.085554,4750
2002-07-26,5.600000,5.890000,5.480000,5.650000,1.925389,14800
2002-07-29,4.900000,5.200000,4.830000,4.960000,1.690253,29950
2002-07-30,5.200000,5.580000,5.200000,5.210000,1.775447,7350
2002-07-31,4.280000,4.870000,4.280000,4.870000,1.659583,1005
2002-08-01,5.200000,5.200000,4.990000,5.180000,1.765224,11750
2002-08-02,5.000000,5.020000,4.800000,4.820000,1.642544,18050
2002-08-05,5.000000,5.000000,5.000000,5.000000,1.703884,3500
2002-08-06,5.200000,5.200000,5.000000,5.000000,1.703884,1250
2002-08-07,5.140000,5.320000,5.140000,5.290000,1.802709,3350
2002-08-08,null,null,null,null,null,null
2002-08-09,4.940000,4.980000,4.940000,4.980000,1.697069,1500
2002-08-12,5.240000,5.240000,5.040000,5.040000,1.717515,1250
2002-08-13,null,null,null,null,null,null
2002-08-14,5.100000,5.100000,5.100000,5.100000,1.737962,2500
2002-08-15,null,null,null,null,null,null
2002-08-16,5.010000,5.010000,5.010000,5.010000,1.707292,1000
2002-08-19,5.100000,5.100000,5.050000,5.050000,1.720923,1475
2002-08-20,4.740000,5.140000,4.740000,4.870000,2.360816,3010
2002-08-21,4.780000,4.780000,4.780000,4.780000,2.317187,5
2002-08-22,4.820000,4.820000,4.820000,4.820000,2.336578,150
2002-08-23,4.680000,4.850000,4.680000,4.850000,2.351120,1000
2002-08-26,4.710000,5.300000,4.710000,4.800000,2.326882,1375
2002-08-27,5.160000,5.160000,4.850000,4.850000,2.351120,255
2002-08-28,4.830000,4.830000,4.830000,4.830000,2.341425,1250
2002-08-29,4.800000,4.800000,4.750000,4.750000,2.302644,7425
2002-08-30,4.700000,4.720000,4.700000,4.720000,2.288100,2750
2002-09-02,4.850000,4.850000,4.800000,4.800000,2.326882,2800
2002-09-03,4.620000,4.620000,4.620000,4.620000,2.239624,1250
2002-09-04,4.490000,4.490000,4.480000,4.480000,2.171757,2500
2002-09-05,4.550000,4.550000,4.550000,4.550000,2.205690,750
2002-09-06,4.800000,4.800000,4.510000,4.510000,2.186299,750
2002-09-09,null,null,null,null,null,null
2002-09-10,null,null,null,null,null,null
2002-09-11,4.700000,4.750000,4.400000,4.400000,2.132975,2530
2002-09-12,null,null,null,null,null,null
2002-09-13,4.290000,4.290000,4.290000,4.290000,2.079651,2500
2002-09-16,4.310000,4.310000,4.310000,4.310000,2.089346,500
2002-09-17,4.300000,4.310000,4.300000,4.310000,2.089346,4000
2002-09-18,4.960000,4.960000,4.310000,4.310000,2.089346,10
2002-09-19,3.970000,3.970000,3.970000,3.970000,1.924525,5
2002-09-20,null,null,null,null,null,null
2002-09-23,4.340000,4.340000,4.340000,4.340000,2.103889,2495
2002-09-24,3.810000,4.340000,3.810000,4.300000,2.084499,6430
2002-09-25,4.300000,4.300000,4.300000,4.300000,2.084499,2500
2002-09-26,4.220000,4.220000,4.220000,4.220000,2.045717,500
2002-09-27,4.200000,4.400000,4.200000,4.400000,2.132975,3750
2002-09-30,null,null,null,null,null,null
2002-10-01,4.350000,4.350000,4.350000,4.350000,2.108737,1000
2002-10-02,null,null,null,null,null,null
2002-10-03,4.300000,4.300000,4.300000,4.300000,2.084499,250
2002-10-04,4.350000,4.350000,4.350000,4.350000,2.108737,250
2002-10-07,4.980000,4.980000,4.400000,4.400000,2.132975,4500
2002-10-08,4.410000,4.410000,4.400000,4.400000,2.132975,5000
2002-10-09,4.450000,4.450000,4.450000,4.450000,2.157214,500
2002-10-10,4.400000,4.400000,4.400000,4.400000,2.132975,2750
2002-10-11,4.450000,4.500000,4.410000,4.500000,2.181452,1500
2002-10-14,4.200000,4.400000,4.200000,4.380000,2.123280,1120
2002-10-15,null,null,null,null,null,null
2002-10-16,null,null,null,null,null,null
2002-10-17,null,null,null,null,null,null
2002-10-18,4.250000,4.260000,4.250000,4.260000,2.065108,1600
2002-10-21,4.160000,4.340000,4.160000,4.310000,2.089346,3125
2002-10-22,4.160000,4.160000,4.160000,4.160000,2.016631,2500
2002-10-23,4.180000,4.180000,4.120000,4.120000,1.997240,1130
2002-10-24,null,null,null,null,null,null
2002-10-25,3.820000,4.400000,3.820000,4.060000,1.968154,4255
2002-10-28,4.200000,4.200000,4.200000,4.200000,2.036021,2500
2002-10-29,4.200000,4.200000,4.110000,4.110000,1.992393,2000
2002-10-30,4.180000,4.180000,4.180000,4.180000,2.026326,250
2002-10-31,null,null,null,null,null,null
2002-11-01,4.420000,4.500000,3.850000,4.300000,2.084499,8880
2002-11-04,null,null,null,null,null,null
2002-11-05,null,null,null,null,null,null
