Date,Open,High,Low,Close,Adj Close,Volume
2017-04-10,250.000000,263.899994,248.000000,259.200012,250.694107,6362
2017-04-11,260.950012,264.000000,253.550003,261.149994,252.580109,2200
2017-04-12,265.000000,275.350006,243.500000,257.100006,248.663010,6386
2017-04-13,262.000000,262.000000,248.250000,249.800003,241.602570,2653
2017-04-17,250.949997,259.950012,249.000000,250.100006,241.892731,3039
2017-04-18,250.100006,255.000000,245.000000,245.550003,237.492035,2758
2017-04-19,259.000000,259.000000,240.800003,244.399994,236.379761,3496
2017-04-20,257.700012,257.700012,246.000000,249.550003,241.360764,2495
2017-04-21,250.000000,255.000000,246.550003,251.100006,242.859894,2226
2017-04-24,253.949997,265.000000,250.000000,260.500000,251.951431,4502
2017-04-25,274.000000,274.000000,259.000000,259.399994,250.887527,10034
2017-04-26,270.000000,270.000000,252.399994,253.350006,245.036057,4879
2017-04-27,252.000000,257.399994,251.000000,253.000000,244.697540,1390
2017-04-28,250.000000,255.949997,246.000000,249.600006,241.409119,3271
2017-05-02,255.800003,255.800003,242.250000,249.449997,241.264053,3519
2017-05-03,243.000000,250.000000,237.250000,244.000000,235.992889,6045
2017-05-04,240.100006,252.399994,240.100006,248.149994,240.006714,3536
2017-05-05,251.000000,251.000000,235.000000,242.550003,234.590485,2243
2017-05-08,235.100006,250.000000,235.100006,242.850006,234.880646,1388
2017-05-09,240.000000,247.949997,239.050003,244.000000,235.992889,947
2017-05-10,246.949997,247.000000,240.100006,243.050003,235.074081,3458
2017-05-11,248.949997,248.949997,237.050003,239.750000,231.882355,1530
2017-05-12,235.300003,242.649994,235.000000,239.449997,231.592194,2297
2017-05-15,239.500000,243.949997,236.000000,239.000000,231.156967,3012
2017-05-16,245.000000,245.000000,237.250000,239.699997,231.834000,3636
2017-05-17,242.949997,243.399994,240.000000,241.449997,233.526566,1897
2017-05-18,244.949997,244.949997,235.500000,238.000000,230.189774,1395
2017-05-19,236.050003,245.000000,230.000000,239.600006,231.737289,5815
2017-05-22,237.000000,241.000000,230.199997,236.000000,228.255417,3427
2017-05-23,236.050003,242.000000,229.000000,231.500000,223.903091,5684
2017-05-24,226.000000,229.500000,220.250000,224.350006,216.987747,5251
2017-05-25,220.500000,244.949997,213.000000,234.649994,226.949707,8665
2017-05-26,237.000000,243.949997,233.100006,238.300003,230.479935,4421
2017-05-29,243.899994,244.000000,228.800003,229.899994,222.355591,8415
2017-05-30,229.500000,229.500000,226.000000,227.949997,220.469589,1976
2017-05-31,227.949997,234.949997,220.500000,223.449997,216.117264,4914
2017-06-01,223.050003,230.949997,219.000000,222.199997,214.908279,4123
2017-06-02,226.449997,226.449997,214.649994,221.850006,214.569763,11617
2017-06-05,220.050003,227.750000,220.000000,225.050003,217.664749,3001
2017-06-06,225.000000,229.949997,219.000000,220.100006,212.877213,2208
2017-06-07,221.000000,224.949997,217.000000,221.600006,214.327988,3892
2017-06-08,227.949997,227.949997,221.100006,224.600006,217.229523,2395
2017-06-09,232.949997,232.949997,221.000000,222.550003,215.246796,3081
2017-06-12,236.000000,236.000000,220.350006,220.550003,213.312439,786
2017-06-13,224.000000,240.399994,224.000000,228.550003,221.049911,4704
2017-06-14,228.399994,232.500000,226.149994,228.949997,221.436768,922
2017-06-15,230.949997,237.699997,228.000000,235.100006,227.384964,4037
2017-06-16,238.300003,238.300003,232.000000,234.449997,226.756287,1436
2017-06-19,239.850006,240.800003,230.050003,234.449997,226.756287,3289
2017-06-20,238.949997,238.949997,230.000000,234.750000,227.046448,1738
2017-06-21,237.350006,237.350006,229.000000,230.300003,222.742477,3555
2017-06-22,238.000000,238.000000,228.500000,231.050003,223.467865,1306
2017-06-23,238.000000,238.000000,220.600006,222.899994,215.585312,3570
2017-06-27,223.000000,224.949997,218.000000,219.850006,212.635406,1452
2017-06-28,212.199997,222.949997,212.149994,217.199997,210.072357,1051
2017-06-29,224.949997,224.949997,218.149994,220.399994,213.167343,1499
2017-06-30,219.949997,220.000000,218.000000,218.750000,211.571503,2172
2017-07-03,219.050003,230.000000,219.050003,226.449997,219.018814,4802
2017-07-04,225.949997,233.000000,221.050003,222.199997,214.908279,2442
2017-07-05,228.350006,228.350006,216.000000,224.149994,216.794296,3912
2017-07-06,226.800003,234.000000,223.800003,233.199997,225.547302,2037
2017-07-07,235.949997,256.000000,233.399994,235.800003,228.061981,17450
2017-07-10,235.899994,240.000000,232.000000,233.699997,226.030899,394
2017-07-11,235.050003,235.050003,225.149994,228.600006,221.098267,7395
2017-07-12,233.250000,234.949997,227.199997,228.649994,221.146606,2275
2017-07-13,229.050003,235.699997,222.100006,227.500000,220.034348,3220
2017-07-14,224.600006,232.500000,224.600006,226.600006,219.163910,2657
2017-07-17,230.800003,234.800003,226.250000,230.899994,223.322769,3092
2017-07-18,224.199997,231.000000,224.199997,229.699997,222.162155,1644
2017-07-19,234.500000,234.750000,230.100006,232.050003,224.435043,884
2017-07-20,230.100006,232.149994,229.000000,230.350006,222.790833,844
2017-07-21,228.500000,230.949997,226.100006,228.300003,220.808105,1728
2017-07-24,229.000000,229.750000,226.100006,228.500000,221.001541,816
2017-07-25,228.949997,229.000000,223.000000,225.899994,218.486847,2563
2017-07-26,228.949997,229.899994,224.500000,228.050003,220.566299,1054
2017-07-27,229.800003,230.000000,224.000000,227.000000,219.550751,3110
2017-07-28,228.000000,228.000000,219.649994,222.500000,215.198441,2799
2017-07-31,225.949997,227.949997,220.750000,224.600006,217.229523,2112
2017-08-01,221.500000,226.850006,221.500000,224.000000,216.649231,4851
2017-08-02,237.000000,237.000000,219.000000,227.500000,220.034348,3323
2017-08-03,226.000000,227.949997,222.750000,226.850006,219.405685,2139
2017-08-04,225.100006,227.949997,223.500000,225.649994,218.245056,952
2017-08-07,228.899994,232.399994,228.000000,229.000000,221.485138,1892
2017-08-08,224.000000,228.199997,221.000000,224.449997,217.084427,1707
2017-08-09,222.800003,222.800003,216.500000,217.300003,210.169083,4347
2017-08-10,207.500000,216.000000,195.550003,201.899994,195.274445,7578
2017-08-11,197.500000,203.000000,191.000000,200.050003,193.485153,4174
2017-08-14,207.800003,212.949997,199.050003,206.550003,199.771851,2256
2017-08-16,208.100006,211.800003,206.000000,206.750000,199.965302,1777
2017-08-17,208.649994,209.949997,205.300003,209.750000,202.866837,440
2017-08-18,206.000000,209.399994,198.250000,205.000000,198.272720,2365
2017-08-21,203.050003,211.949997,203.050003,207.350006,200.545593,2236
2017-08-22,212.500000,212.500000,203.500000,206.350006,199.578415,2368
