Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,102.000000,110.000000,89.000000,99.699997,70.810860,18759
2002-07-02,102.000000,103.000000,95.250000,99.699997,70.810860,4625
2002-07-03,93.000000,100.949997,93.000000,98.000000,69.603455,4139
2002-07-04,99.900002,101.000000,98.000000,98.050003,69.638969,2517
2002-07-05,95.000000,96.000000,95.000000,95.199997,67.614784,475
2002-07-08,107.699997,107.699997,96.000000,103.000000,73.154640,613
2002-07-09,101.000000,101.500000,99.949997,100.199997,71.165977,5676
2002-07-10,101.000000,103.000000,94.050003,100.000000,71.023926,2070
2002-07-11,99.900002,100.000000,99.900002,100.000000,71.023926,2000
2002-07-12,100.000000,101.000000,100.000000,100.500000,71.379051,2200
2002-07-15,100.000000,101.000000,100.000000,100.000000,71.023926,10176
2002-07-16,100.000000,100.099998,100.000000,100.000000,71.023926,4745
2002-07-17,96.800003,102.000000,96.800003,98.199997,69.745499,1107
2002-07-18,94.550003,102.000000,94.550003,100.000000,71.023926,7152
2002-07-19,100.000000,101.000000,100.000000,100.000000,71.023926,8885
2002-07-22,95.000000,99.000000,95.000000,95.599998,67.898865,625
2002-07-23,98.000000,100.000000,97.000000,100.000000,71.023926,6263
2002-07-24,99.949997,100.000000,97.000000,99.550003,70.704323,4300
2002-07-25,100.000000,100.000000,100.000000,100.000000,71.023926,663
2002-07-26,98.000000,98.000000,91.500000,91.800003,65.199974,5050
2002-07-29,91.900002,94.500000,86.500000,91.500000,64.986900,455
2002-07-30,95.000000,97.000000,88.000000,88.000000,62.501057,300
2002-07-31,83.500000,95.000000,82.000000,88.449997,62.820671,766
2002-08-01,null,null,null,null,null,null
2002-08-02,81.050003,81.050003,81.050003,81.050003,57.564892,31
2002-08-05,89.000000,89.000000,89.000000,89.000000,63.211308,30
2002-08-06,83.050003,89.900002,83.050003,88.250000,62.678635,149
2002-08-07,83.550003,90.000000,83.550003,90.000000,63.921532,50
2002-08-08,83.500000,89.500000,83.500000,89.500000,63.566410,3
2002-08-09,84.250000,89.500000,84.250000,89.500000,63.566410,1600
2002-08-12,88.000000,88.000000,88.000000,88.000000,62.501057,10
2002-08-13,83.000000,83.000000,83.000000,83.000000,58.949871,63
2002-08-14,null,null,null,null,null,null
2002-08-15,null,null,null,null,null,null
2002-08-16,null,null,null,null,null,null
2002-08-19,null,null,null,null,null,null
2002-08-20,83.000000,83.000000,83.000000,83.000000,58.949871,77
2002-08-21,null,null,null,null,null,null
2002-08-22,89.500000,89.500000,88.949997,88.949997,63.175785,2
2002-08-23,82.699997,82.699997,82.699997,82.699997,58.736797,1
2002-08-26,84.000000,89.000000,84.000000,84.099998,59.731121,84
2002-08-27,82.550003,84.000000,82.500000,82.500000,58.594749,450
2002-08-28,82.500000,84.750000,82.500000,84.550003,60.050739,473
2002-08-29,84.500000,84.550003,84.500000,84.550003,60.050739,13
2002-08-30,84.000000,84.000000,80.099998,82.750000,58.772305,213
2002-09-02,null,null,null,null,null,null
2002-09-03,84.000000,88.000000,83.500000,83.500000,59.304989,682
2002-09-04,76.000000,86.699997,76.000000,80.800003,57.387333,464
2002-09-05,79.000000,84.949997,79.000000,84.949997,60.334816,192
2002-09-06,null,null,null,null,null,null
2002-09-09,81.000000,81.000000,80.250000,80.250000,56.996704,63
2002-09-10,null,null,null,null,null,null
2002-09-11,78.500000,78.500000,78.500000,78.500000,55.753799,31
2002-09-12,85.000000,85.000000,75.099998,75.099998,53.338963,32
2002-09-13,67.599998,75.099998,67.599998,73.000000,51.847466,61
2002-09-16,80.000000,80.000000,80.000000,80.000000,56.819145,13
2002-09-17,80.300003,83.000000,74.250000,81.050003,57.564892,107
2002-09-18,73.150002,79.849998,73.150002,75.000000,53.267948,186
2002-09-19,82.000000,82.000000,82.000000,82.000000,58.239601,5
2002-09-20,78.000000,78.000000,78.000000,78.000000,55.398666,50
2002-09-23,71.000000,82.000000,71.000000,74.699997,53.054874,199
2002-09-24,73.000000,73.000000,73.000000,73.000000,51.847466,100
2002-09-25,70.000000,71.150002,70.000000,71.150002,50.533531,90
2002-09-26,72.300003,72.300003,71.000000,71.000000,50.426987,158
2002-09-27,72.000000,74.000000,72.000000,72.750000,51.669914,400
2002-09-30,75.000000,75.000000,71.500000,71.500000,50.782104,204
2002-10-01,null,null,null,null,null,null
2002-10-02,null,null,null,null,null,null
2002-10-03,null,null,null,null,null,null
2002-10-04,null,null,null,null,null,null
2002-10-07,null,null,null,null,null,null
2002-10-08,null,null,null,null,null,null
2002-10-09,null,null,null,null,null,null
2002-10-10,null,null,null,null,null,null
2002-10-11,null,null,null,null,null,null
2002-10-14,null,null,null,null,null,null
2002-10-15,null,null,null,null,null,null
2002-10-16,null,null,null,null,null,null
2002-10-17,null,null,null,null,null,null
2002-10-18,null,null,null,null,null,null
2002-10-21,null,null,null,null,null,null
2002-10-22,null,null,null,null,null,null
2002-10-23,null,null,null,null,null,null
2002-10-24,null,null,null,null,null,null
2002-10-25,null,null,null,null,null,null
2002-10-28,null,null,null,null,null,null
2002-10-29,null,null,null,null,null,null
2002-10-30,null,null,null,null,null,null
2002-10-31,null,null,null,null,null,null
2002-11-01,null,null,null,null,null,null
2002-11-04,null,null,null,null,null,null
2002-11-05,null,null,null,null,null,null
2002-11-06,null,null,null,null,null,null
2002-11-07,null,null,null,null,null,null
2002-11-08,null,null,null,null,null,null
2002-11-11,null,null,null,null,null,null
2002-11-12,null,null,null,null,null,null
2002-11-13,null,null,null,null,null,null
2002-11-14,null,null,null,null,null,null
2002-11-15,null,null,null,null,null,null
2002-11-18,null,null,null,null,null,null
2002-11-19,null,null,null,null,null,null
2002-11-20,null,null,null,null,null,null
2002-11-21,null,null,null,null,null,null
2002-11-22,null,null,null,null,null,null
2002-11-25,null,null,null,null,null,null
2002-11-26,null,null,null,null,null,null
2002-11-27,null,null,null,null,null,null
2002-11-28,null,null,null,null,null,null
2002-11-29,null,null,null,null,null,null
2002-12-02,null,null,null,null,null,null
2002-12-03,null,null,null,null,null,null
2002-12-04,null,null,null,null,null,null
2002-12-05,null,null,null,null,null,null
2002-12-06,null,null,null,null,null,null
2002-12-09,null,null,null,null,null,null
2002-12-10,null,null,null,null,null,null
2002-12-11,null,null,null,null,null,null
2002-12-12,null,null,null,null,null,null
2002-12-13,null,null,null,null,null,null
2002-12-16,null,null,null,null,null,null
2002-12-17,null,null,null,null,null,null
2002-12-18,null,null,null,null,null,null
2002-12-19,null,null,null,null,null,null
2002-12-20,null,null,null,null,null,null
2002-12-23,null,null,null,null,null,null
2002-12-24,null,null,null,null,null,null
2002-12-25,null,null,null,null,null,null
2002-12-26,null,null,null,null,null,null
2002-12-27,null,null,null,null,null,null
2002-12-30,null,null,null,null,null,null
2002-12-31,null,null,null,null,null,null
2003-01-01,null,null,null,null,null,null
2003-01-02,null,null,null,null,null,null
2003-01-03,null,null,null,null,null,null
2003-01-06,null,null,null,null,null,null
2003-01-07,null,null,null,null,null,null
2003-01-08,null,null,null,null,null,null
2003-01-09,null,null,null,null,null,null
2003-01-10,null,null,null,null,null,null
2003-01-13,null,null,null,null,null,null
2003-01-14,null,null,null,null,null,null
2003-01-15,null,null,null,null,null,null
2003-01-16,null,null,null,null,null,null
2003-01-17,null,null,null,null,null,null
2003-01-20,null,null,null,null,null,null
2003-01-21,null,null,null,null,null,null
2003-01-22,null,null,null,null,null,null
2003-01-23,null,null,null,null,null,null
2003-01-24,null,null,null,null,null,null
2003-01-27,null,null,null,null,null,null
2003-01-28,null,null,null,null,null,null
2003-01-29,null,null,null,null,null,null
2003-01-30,null,null,null,null,null,null
2003-01-31,null,null,null,null,null,null
2003-02-03,null,null,null,null,null,null
2003-02-04,null,null,null,null,null,null
2003-02-05,null,null,null,null,null,null
2003-02-06,null,null,null,null,null,null
2003-02-07,null,null,null,null,null,null
2003-02-10,null,null,null,null,null,null
2003-02-11,null,null,null,null,null,null
2003-02-12,null,null,null,null,null,null
2003-02-13,null,null,null,null,null,null
2003-02-14,null,null,null,null,null,null
2003-02-17,null,null,null,null,null,null
2003-02-18,null,null,null,null,null,null
2003-02-19,null,null,null,null,null,null
2003-02-20,null,null,null,null,null,null
2003-02-21,null,null,null,null,null,null
2003-02-24,null,null,null,null,null,null
2003-02-25,null,null,null,null,null,null
2003-02-26,null,null,null,null,null,null
2003-02-27,null,null,null,null,null,null
2003-02-28,null,null,null,null,null,null
2003-03-03,null,null,null,null,null,null
2003-03-04,null,null,null,null,null,null
2003-03-05,null,null,null,null,null,null
2003-03-06,null,null,null,null,null,null
2003-03-07,null,null,null,null,null,null
2003-03-10,null,null,null,null,null,null
2003-03-11,null,null,null,null,null,null
2003-03-12,null,null,null,null,null,null
2003-03-13,null,null,null,null,null,null
2003-03-14,null,null,null,null,null,null
2003-03-17,null,null,null,null,null,null
2003-03-18,null,null,null,null,null,null
2003-03-19,null,null,null,null,null,null
2003-03-20,null,null,null,null,null,null
2003-03-21,null,null,null,null,null,null
2003-03-24,null,null,null,null,null,null
2003-03-25,null,null,null,null,null,null
2003-03-26,null,null,null,null,null,null
2003-03-27,null,null,null,null,null,null
2003-03-28,null,null,null,null,null,null
2003-03-31,null,null,null,null,null,null
2003-04-01,null,null,null,null,null,null
2003-04-02,null,null,null,null,null,null
2003-04-03,null,null,null,null,null,null
2003-04-04,null,null,null,null,null,null
2003-04-07,null,null,null,null,null,null
2003-04-08,null,null,null,null,null,null
2003-04-09,null,null,null,null,null,null
2003-04-10,null,null,null,null,null,null
2003-04-11,null,null,null,null,null,null
2003-04-14,null,null,null,null,null,null
2003-04-15,null,null,null,null,null,null
2003-04-16,null,null,null,null,null,null
2003-04-17,null,null,null,null,null,null
2003-04-18,null,null,null,null,null,null
2003-04-21,null,null,null,null,null,null
2003-04-22,null,null,null,null,null,null
2003-04-23,null,null,null,null,null,null
2003-04-24,null,null,null,null,null,null
