Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,10.000000,10.190500,9.904760,10.142900,0.051103,192244
2002-07-02,10.228600,10.380900,9.809520,9.890480,0.049831,366902
2002-07-03,10.166700,10.166700,9.766670,9.795240,0.049351,196508
2002-07-04,9.828570,9.828570,9.390480,9.433330,0.047528,241185
2002-07-05,9.761900,9.809520,9.480950,9.676190,0.048751,376362
2002-07-08,9.809520,9.904760,9.619050,9.657140,0.048655,80136
2002-07-09,9.895240,10.000000,9.290480,9.347620,0.047096,257292
2002-07-10,9.457140,9.595240,9.176190,9.200000,0.046352,164924
2002-07-11,9.619050,9.619050,9.166670,9.223810,0.046472,123774
2002-07-12,9.333330,9.523810,9.152380,9.180950,0.046256,111048
2002-07-15,9.542860,9.952380,9.195240,9.295240,0.046832,363384
2002-07-16,9.285710,9.619050,9.142860,9.190480,0.046304,342636
2002-07-17,9.900000,9.900000,9.047620,9.057140,0.045632,371480
2002-07-18,9.228570,9.361900,9.066670,9.104760,0.045872,334624
2002-07-19,9.261900,9.509520,9.047620,9.138100,0.046040,414939
2002-07-22,9.057140,9.138100,8.819050,8.857140,0.044625,265702
2002-07-23,8.190480,9.071430,8.190480,9.033330,0.045512,192465
2002-07-24,9.047620,9.180950,8.761900,8.857140,0.044625,387880
2002-07-25,9.047620,9.323810,8.571430,8.714290,0.043905,178700
2002-07-26,8.571430,8.666670,8.476190,8.576190,0.043209,143588
2002-07-29,8.371430,8.557140,7.871430,8.304760,0.041842,231094
2002-07-30,8.476190,8.476190,8.095240,8.128570,0.040954,167906
2002-07-31,8.104760,8.352380,7.761900,8.185710,0.041242,219660
2002-08-01,8.380950,9.309520,8.238100,8.633330,0.043497,251706
2002-08-02,8.523810,8.666670,8.095240,8.319050,0.041914,217854
2002-08-05,8.461900,8.752380,8.304760,8.561900,0.043137,133906
2002-08-06,8.285710,8.666670,8.285710,8.609520,0.043377,57729
2002-08-07,8.571430,8.714290,8.509520,8.642860,0.043545,64858
2002-08-08,8.857140,8.985710,8.528570,8.571430,0.043185,209265
2002-08-09,8.809520,8.809520,8.290480,8.547620,0.043065,40246
2002-08-12,8.571430,8.609520,8.238100,8.252380,0.041578,32560
2002-08-13,8.285710,8.471430,8.247620,8.342860,0.042033,16548
2002-08-14,8.338100,8.447620,8.338100,8.385710,0.042249,81764
2002-08-15,null,null,null,null,null,null
2002-08-16,8.285710,8.561900,8.285710,8.428570,0.042465,47229
2002-08-19,8.323810,9.238100,8.323810,8.780950,0.044241,229708
2002-08-20,8.809520,9.000000,8.571430,8.623810,0.043449,75033
2002-08-21,8.695240,8.752380,8.580950,8.676190,0.043713,24182
2002-08-22,8.614290,8.652380,8.428570,8.471430,0.042681,21850
2002-08-23,8.571430,8.571430,8.414290,8.547620,0.043065,30670
2002-08-26,8.571430,8.666670,8.528570,8.571430,0.043185,21200
2002-08-27,8.857140,9.361900,8.761900,8.928570,0.044984,466442
2002-08-28,8.952380,9.142860,8.771430,8.833330,0.044505,200004
2002-08-29,8.866670,8.866670,8.523810,8.580950,0.043233,105430
2002-08-30,8.657140,8.761900,7.619050,8.652380,0.043593,155830
2002-09-02,8.671430,8.704760,8.480950,8.576190,0.043209,38409
2002-09-03,8.576190,8.576190,8.223810,8.290480,0.041770,47744
2002-09-04,8.995240,8.995240,7.619050,8.547620,0.043065,82509
2002-09-05,8.809520,9.028570,8.666670,8.919050,0.044936,207921
2002-09-06,8.585710,8.819050,7.633330,8.595240,0.043305,174206
2002-09-09,8.095240,8.466670,7.904760,8.371430,0.042177,373464
2002-09-10,null,null,null,null,null,null
2002-09-11,8.057140,8.380950,8.047620,8.261900,0.041626,218820
2002-09-12,8.280950,8.309520,8.238100,8.247620,0.041554,55870
2002-09-13,8.361900,8.380950,8.190480,8.223810,0.041434,114387
2002-09-16,8.142860,8.142860,6.995240,7.114290,0.045887,324387
2002-09-17,8.047620,8.047620,7.047620,7.180950,0.046317,246046
2002-09-18,7.238100,8.190480,7.142860,7.823810,0.050464,1231797
2002-09-19,8.190480,8.380950,7.719050,7.861900,0.050709,1651870
2002-09-20,7.666670,8.047620,7.619050,7.928570,0.051139,354764
2002-09-23,7.857140,8.000000,7.857140,7.923810,0.051109,76503
2002-09-24,8.190480,8.190480,7.857140,7.871430,0.050771,59714
2002-09-25,7.780950,8.000000,7.780950,7.942860,0.051232,68806
2002-09-26,7.904760,8.190480,7.904760,7.971430,0.051416,170961
2002-09-27,8.357140,8.357140,7.952380,8.090480,0.052184,177482
2002-09-30,8.047620,8.047620,7.742860,7.838100,0.050556,124226
2002-10-01,7.771430,7.771430,7.619050,7.709520,0.049727,51366
2002-10-02,null,null,null,null,null,null
2002-10-03,7.819050,8.000000,7.619050,7.623810,0.049174,124016
2002-10-04,7.438100,8.000000,7.438100,7.852380,0.050648,84042
2002-10-07,8.190480,8.785710,8.000000,8.352380,0.053873,1282890
2002-10-08,8.471430,8.471430,7.952380,8.019050,0.051723,304384
2002-10-09,8.190480,8.190480,8.000000,8.033330,0.051815,65058
2002-10-10,8.266670,8.285710,7.952380,8.100000,0.052245,135576
2002-10-11,8.152380,8.357140,8.095240,8.204760,0.052921,134715
