Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,1.291000,1.375000,1.282000,1.344000,-35.007896,157670
2002-07-02,1.375000,1.390000,1.341000,1.363000,-35.502808,83770
2002-07-03,1.366000,1.366000,1.342000,1.357000,-35.346519,65820
2002-07-04,1.341000,1.499000,1.323000,1.445000,-37.638706,919770
2002-07-05,1.480000,1.529000,1.452000,1.501000,-39.097366,1051530
2002-07-08,1.509000,1.562000,1.507000,1.518000,-39.540173,424310
2002-07-09,1.529000,1.529000,1.466000,1.474000,-38.394081,214230
2002-07-10,1.499000,1.528000,1.450000,1.471000,-38.315937,236900
2002-07-11,1.504000,1.514000,1.465000,1.473000,-38.368034,532730
2002-07-12,1.437000,1.437000,1.361000,1.378000,7.524002,109790
2002-07-15,1.371000,1.391000,1.332000,1.336000,7.294678,43800
2002-07-16,1.367000,1.367000,1.302000,1.305000,7.125415,36620
2002-07-17,1.341000,1.341000,1.244000,1.284000,7.010753,83710
2002-07-18,1.287000,1.321000,1.265000,1.289000,7.038053,37420
2002-07-19,1.282000,1.297000,1.275000,1.293000,7.059894,98030
2002-07-22,1.263000,1.267000,1.233000,1.243000,6.786890,28270
2002-07-23,1.223000,1.258000,1.206000,1.249000,6.819650,55540
2002-07-24,1.184000,1.248000,1.184000,1.234000,6.737748,133080
2002-07-25,1.243000,1.322000,1.229000,1.247000,6.808730,82130
2002-07-26,1.282000,1.282000,1.204000,1.255000,6.852411,264020
2002-07-29,1.218000,1.258000,1.194000,1.220000,6.661308,113290
2002-07-30,1.228000,1.243000,1.201000,1.202000,6.563026,57160
2002-07-31,1.194000,1.223000,1.168000,1.204000,6.573946,31950
2002-08-01,1.233000,1.242000,1.203000,1.207000,6.590326,38170
2002-08-02,1.194000,1.210000,1.194000,1.196000,6.530266,46100
2002-08-05,1.219000,1.219000,1.196000,1.218000,6.650387,205710
2002-08-06,1.208000,1.223000,1.199000,1.210000,6.606707,31150
2002-08-07,1.332000,1.332000,1.194000,1.203000,6.568486,145240
2002-08-08,1.203000,1.203000,1.154000,1.164000,6.355542,46080
2002-08-09,1.174000,1.188000,1.167000,1.182000,6.453824,23250
2002-08-12,1.184000,1.184000,1.174000,1.174000,6.410144,4500
2002-08-13,1.194000,1.371000,1.174000,1.294000,7.065354,248270
2002-08-14,1.316000,1.322000,1.238000,1.257000,6.863330,588010
2002-08-15,null,null,null,null,null,null
2002-08-16,1.263000,1.263000,1.213000,1.226000,6.694067,143740
2002-08-19,1.243000,1.263000,1.233000,1.241000,6.775970,64250
2002-08-20,1.243000,1.263000,1.214000,1.246000,6.803270,89560
2002-08-21,1.322000,1.322000,1.213000,1.229000,6.710449,8500
2002-08-22,1.233000,1.233000,1.220000,1.228000,6.704988,11040
2002-08-23,1.233000,1.233000,1.204000,1.217000,6.644927,34250
2002-08-26,1.223000,1.223000,1.194000,1.199000,6.546646,39900
2002-08-27,1.189000,1.216000,1.172000,1.179000,6.437444,151460
2002-08-28,1.171000,1.191000,1.170000,1.170000,6.388302,85790
2002-08-29,1.184000,1.194000,1.165000,1.179000,6.437444,8850
2002-08-30,1.181000,1.189000,1.174000,1.181000,6.448364,57750
2002-09-02,1.230000,1.230000,1.174000,1.180000,6.442904,408210
2002-09-03,1.184000,1.184000,1.155000,1.165000,6.361002,154990
2002-09-04,1.165000,1.175000,1.164000,1.174000,6.410144,24580
