Date,Open,High,Low,Close,Adj Close,Volume
2006-12-22,2.900000,2.965000,2.855000,2.965000,-1.604757,35860
2006-12-26,2.980000,3.050000,2.960000,2.965000,-1.604757,5100
2006-12-27,2.970000,3.040000,2.901000,2.925000,-1.583107,3620
2006-12-28,2.850000,2.955000,2.850000,2.880000,-1.558752,1920
2006-12-29,2.994000,2.997000,2.850000,2.860000,-1.547927,5770
2007-01-02,2.840000,2.860000,2.840000,2.860000,-1.547927,1030
2007-01-03,2.851000,2.860000,2.851000,2.860000,-1.547927,220
2007-01-04,2.806000,2.841000,2.806000,2.841000,-1.537644,2200
2007-01-05,2.920000,2.920000,2.920000,2.920000,-1.580401,1000
2007-01-08,2.890000,2.940000,2.890000,2.940000,-1.591226,600
2007-01-09,2.990000,2.990000,2.864000,2.883000,-1.560376,2700
2007-01-10,2.950000,2.950000,2.902000,2.902000,-1.570659,650
2007-01-11,2.935000,3.020000,2.880000,2.981000,-1.613416,8560
2007-01-12,3.020000,3.131000,3.020000,3.131000,-1.694602,26300
2007-01-15,3.285000,3.287000,3.250000,3.287000,-1.779034,39850
2007-01-16,3.445000,3.452000,3.265000,3.299000,-1.785529,36400
2007-01-17,3.313000,3.313000,3.150000,3.251000,-1.759549,24420
2007-01-18,3.201000,3.300000,3.200000,3.200000,-1.731947,3980
2007-01-19,3.200000,3.263000,3.130000,3.186000,-1.724370,2820
2007-01-22,3.240000,3.368000,3.210000,3.226000,-1.746019,3300
2007-01-23,3.340000,3.340000,2.921000,3.240000,-1.753596,1000
2007-01-24,3.090000,3.330000,3.090000,3.250000,-1.759008,7430
2007-01-25,3.160000,3.410000,3.160000,3.377000,-1.827745,55690
2007-01-29,3.400000,3.452000,3.200000,3.200000,-1.731947,43410
2007-01-31,3.100000,3.350000,3.100000,3.217000,-1.741148,2650
2007-02-01,3.160000,3.190000,2.970000,3.114000,-1.685400,4710
2007-02-02,3.150000,3.200000,3.150000,3.187000,-1.724911,39100
2007-02-05,3.150000,3.150000,3.120000,3.120000,-1.688648,3550
2007-02-06,3.130000,3.130000,3.110000,3.129000,-1.693519,1550
2007-02-07,3.100000,3.139000,3.051000,3.107000,-1.681612,30510
2007-02-08,3.100000,3.150000,3.100000,3.145000,-1.702179,6030
2007-02-09,3.150000,3.150000,3.100000,3.150000,-1.704885,3800
2007-02-12,3.003000,3.003000,2.920000,2.922000,-1.581484,2100
2007-02-13,2.859000,3.140000,2.859000,2.967000,-1.605839,14080
2007-02-14,3.100000,3.150000,2.906000,3.030000,-1.639937,5740
2007-02-15,3.020000,3.020000,3.020000,3.020000,-1.634525,500
2007-02-19,3.020000,3.020000,2.950000,2.999000,-1.623159,8610
2007-02-20,3.070000,3.070000,2.776000,2.884000,-1.560917,14860
2007-02-21,2.910000,2.950000,2.891000,2.891000,-1.564706,12630
2007-02-22,2.892000,2.979000,2.855000,2.909000,-1.574448,24050
