Date,Open,High,Low,Close,Adj Close,Volume
2007-04-11,70.000000,77.949997,69.050003,70.800003,49.061367,50504
2007-04-12,70.800003,70.800003,65.300003,67.050003,46.462776,6384
2007-04-13,69.050003,73.000000,67.150002,68.150002,47.225025,5757
2007-04-16,68.000000,68.800003,66.050003,66.500000,46.081650,6366
2007-04-17,68.449997,68.849998,66.300003,67.000000,46.428131,3108
2007-04-18,66.050003,70.500000,66.050003,69.349998,48.056583,5466
2007-04-19,61.299999,70.099998,61.299999,69.150002,47.917980,5434
2007-04-20,67.250000,68.000000,62.299999,66.599998,46.150951,4676
2007-04-23,66.300003,68.050003,65.199997,65.400002,45.319393,3976
2007-04-24,65.550003,66.849998,65.099998,65.250000,45.215450,961
2007-04-25,67.250000,67.449997,62.500000,63.299999,43.864185,6429
2007-04-26,64.000000,66.400002,64.000000,64.550003,44.730389,2883
2007-04-27,63.049999,65.800003,63.000000,63.750000,44.176010,2678
2007-04-30,63.000000,64.449997,63.000000,64.199997,44.487843,1958
2007-05-03,65.000000,66.300003,64.550003,65.099998,45.111504,6081
2007-05-04,65.750000,69.000000,65.750000,66.500000,46.081650,5201
2007-05-07,66.000000,67.000000,63.549999,65.050003,45.076866,4419
2007-05-08,64.699997,64.699997,63.049999,63.150002,43.760239,956
2007-05-09,63.099998,64.000000,62.500000,63.900002,44.279964,1183
2007-05-10,63.000000,63.700001,62.099998,62.150002,43.067284,3110
2007-05-11,62.250000,63.000000,60.049999,62.950001,43.621658,2005
2007-05-14,61.000000,70.000000,60.200001,62.150002,43.067284,7317
2007-05-15,61.950001,63.500000,61.099998,61.900002,42.894043,2046
2007-05-16,63.000000,64.900002,61.750000,62.250000,43.136585,13747
2007-05-17,63.000000,64.650002,62.599998,64.400002,44.626438,3657
2007-05-18,64.250000,64.500000,62.500000,64.000000,44.349255,2599
2007-05-21,66.000000,66.000000,63.450001,64.750000,44.868977,4353
2007-05-22,65.000000,65.000000,63.250000,64.099998,44.418552,2860
2007-05-23,64.500000,64.699997,63.799999,64.449997,44.661091,1920
2007-05-24,65.099998,68.000000,65.000000,66.250000,45.908417,10417
2007-05-25,65.500000,66.000000,64.000000,64.349998,44.591785,2964
2007-05-28,64.099998,65.900002,63.250000,65.500000,45.388691,3732
2007-05-29,68.000000,68.000000,63.250000,64.750000,44.868977,12747
2007-05-30,65.050003,65.050003,64.050003,64.150002,44.453197,3145
2007-05-31,63.200001,64.000000,62.549999,62.700001,43.448410,1622
2007-06-01,62.049999,64.000000,61.549999,61.799999,42.824745,3355
2007-06-04,62.049999,62.500000,60.000000,60.549999,41.958553,13516
2007-06-05,58.000000,61.750000,58.000000,61.000000,42.270382,2358
2007-06-06,62.049999,63.000000,60.500000,61.000000,42.270382,3604
2007-06-07,61.000000,61.000000,58.099998,60.200001,41.716019,8430
2007-06-08,60.000000,60.750000,59.500000,60.500000,41.923908,2921
2007-06-11,58.750000,61.900002,58.750000,59.049999,40.919125,3966
2007-06-12,58.750000,62.000000,58.150002,61.400002,42.547573,13433
2007-06-13,62.400002,62.400002,59.500000,59.750000,41.404186,13490
2007-06-14,60.000000,60.849998,59.500000,60.349998,41.819962,3871
2007-06-15,60.799999,60.799999,58.750000,59.500000,41.230946,1610
2007-06-18,61.000000,61.000000,59.750000,59.799999,41.438839,29602
2007-06-19,60.299999,60.950001,59.250000,60.299999,41.785309,2595
2007-06-20,59.500000,59.500000,58.000000,59.349998,41.126999,4083
2007-06-21,59.349998,59.349998,58.000000,58.799999,40.745876,3275
2007-06-22,58.849998,58.849998,57.349998,57.849998,40.087570,2536
2007-06-25,58.000000,58.849998,57.000000,57.500000,39.845036,27570
2007-06-26,58.750000,58.849998,56.500000,56.900002,39.429264,4664
2007-06-27,57.000000,57.000000,56.049999,56.750000,39.325317,26580
2007-06-28,57.000000,58.000000,56.250000,56.900002,39.429264,4811
2007-06-29,57.000000,57.700001,56.599998,56.950001,39.463913,4676
2007-07-02,57.400002,59.849998,57.000000,57.849998,40.087570,4439
2007-07-03,59.000000,59.000000,56.000000,56.599998,39.221367,4279
2007-07-04,57.950001,58.700001,56.099998,56.599998,39.221367,2306
2007-07-05,65.000000,65.000000,57.349998,58.200001,40.330105,9004
2007-07-06,62.500000,63.000000,57.000000,57.500000,39.845036,7311
2007-07-09,57.500000,58.750000,57.500000,58.400002,40.468697,2350
2007-07-10,59.000000,59.700001,58.400002,59.200001,41.023060,3937
2007-07-11,60.950001,61.950001,59.250000,60.549999,41.958553,9166
2007-07-12,61.000000,64.000000,61.000000,61.500000,42.616867,17719
2007-07-13,62.000000,63.500000,60.099998,60.799999,42.131794,11291
2007-07-16,57.000000,62.950001,57.000000,59.450001,41.196297,8130
2007-07-17,59.250000,59.400002,58.200001,58.900002,40.815174,940
2007-07-18,58.950001,60.000000,57.450001,58.000000,40.191517,4401
2007-07-19,58.500000,60.000000,58.099998,58.900002,40.815174,7282
2007-07-20,62.500000,62.500000,57.000000,57.099998,39.567852,10414
2007-07-23,59.650002,59.650002,57.000000,57.200001,39.637154,9084
2007-07-24,58.000000,58.000000,55.950001,56.000000,38.805599,17626
2007-07-25,56.950001,56.950001,54.500000,55.200001,38.251232,14638
2007-07-26,54.200001,56.700001,54.099998,55.799999,38.666996,12720
2007-07-27,55.500000,58.099998,54.099998,55.750000,38.632355,6524
2007-07-30,51.799999,57.500000,51.799999,54.700001,37.904758,7415
2007-07-31,56.000000,56.000000,54.150002,54.549999,37.800808,7050
2007-08-01,54.000000,55.000000,53.150002,55.000000,38.112640,6676
2007-08-02,54.000000,55.500000,52.099998,53.250000,38.292419,9514
2007-08-03,54.799999,55.000000,53.200001,53.200001,38.256466,4648
2007-08-06,53.200001,54.000000,52.000000,52.950001,38.076683,3078
2007-08-07,52.000000,52.700001,50.549999,51.549999,37.069939,19711
2007-08-08,52.000000,53.450001,47.000000,48.250000,34.696888,37261
2007-08-09,48.000000,51.799999,48.000000,50.200001,36.099148,9251
2007-08-10,51.000000,52.000000,49.000000,49.650002,35.703636,7105
2007-08-13,50.900002,51.349998,50.000000,50.250000,36.135105,9086
2007-08-14,50.000000,51.349998,49.500000,50.950001,36.638477,7001
2007-08-16,50.500000,51.500000,49.500000,50.349998,36.207005,6976
2007-08-17,51.000000,51.000000,49.500000,49.950001,35.919373,7330
2007-08-20,51.750000,51.750000,49.049999,49.349998,35.487911,8933
2007-08-21,50.000000,50.000000,49.000000,49.099998,35.308125,4014
2007-08-22,49.500000,50.000000,48.099998,49.099998,35.308125,9583
2007-08-23,50.750000,50.750000,48.099998,48.099998,34.589024,2270
2007-08-24,53.000000,53.000000,47.599998,47.950001,34.481155,3923
2007-08-27,50.000000,52.000000,49.000000,51.049999,36.710384,8926
2007-08-28,52.000000,52.900002,47.049999,52.299999,37.609264,6859
2007-08-29,51.500000,52.900002,51.500000,52.450001,37.717136,4155
2007-08-30,53.000000,53.000000,51.549999,52.500000,37.753082,1743
2007-08-31,53.950001,53.950001,50.000000,51.349998,36.926113,7194
2007-09-03,53.049999,61.000000,53.000000,58.750000,42.247509,30332
2007-09-04,58.000000,63.900002,58.000000,58.250000,41.887951,19028
2007-09-05,60.000000,60.799999,56.250000,57.150002,41.096931,8959
2007-09-06,59.500000,59.500000,56.349998,57.700001,41.492439,5440
2007-09-07,57.049999,59.900002,56.549999,58.299999,41.923904,15180
2007-09-10,59.000000,59.950001,58.099998,59.700001,42.930660,9543
2007-09-11,60.000000,60.000000,58.500000,58.750000,42.247509,8401
2007-09-12,59.750000,60.750000,58.500000,59.700001,42.930660,15879
2007-09-13,66.000000,66.000000,57.000000,58.200001,41.852001,9028
2007-09-14,58.400002,59.349998,56.099998,57.200001,41.132893,4518
2007-09-17,58.250000,58.450001,56.000000,56.450001,40.593555,3692
2007-09-18,56.250000,57.950001,56.250000,57.299999,41.204800,3576
2007-09-19,58.000000,58.500000,57.000000,58.450001,42.031773,6026
2007-09-20,57.099998,57.700001,56.099998,57.500000,41.348618,2344
2007-09-21,56.000000,57.000000,55.000000,55.849998,40.162098,7072
2007-09-24,58.349998,58.349998,51.000000,54.700001,39.335121,9307
2007-09-25,55.049999,58.599998,54.299999,57.900002,41.636272,15431
2007-09-26,58.250000,59.900002,55.799999,56.349998,40.521648,11992
2007-09-27,56.250000,57.400002,54.849998,55.549999,39.946369,10738
2007-09-28,57.500000,57.500000,55.150002,55.950001,40.234013,3254
2007-10-01,55.599998,58.900002,55.599998,56.700001,40.773335,9575
2007-10-03,57.000000,57.000000,55.000000,55.150002,39.658722,7546
2007-10-04,56.500000,56.500000,54.250000,54.400002,39.119392,2617
2007-10-05,54.400002,54.950001,52.500000,52.750000,37.932858,9573
2007-10-08,53.000000,53.000000,51.549999,51.900002,37.321625,3276
2007-10-09,52.099998,52.099998,51.500000,51.549999,37.069939,3870
2007-10-10,51.599998,52.000000,50.049999,51.150002,36.782291,7936
2007-10-11,51.049999,51.750000,49.000000,49.299999,35.451950,11576
2007-10-12,50.000000,51.099998,49.349998,49.700001,35.739590,6829
2007-10-15,49.000000,50.000000,49.000000,49.700001,35.739590,11306
2007-10-16,49.099998,49.799999,48.549999,49.000000,35.236221,8618
2007-10-17,49.000000,51.000000,47.349998,48.200001,34.660931,5536
2007-10-18,50.000000,50.000000,48.000000,48.349998,34.768799,5990
2007-10-19,49.000000,49.000000,47.599998,47.849998,34.409241,4705
2007-10-22,45.000000,48.000000,45.000000,47.750000,34.337330,2149
2007-10-23,47.900002,48.000000,40.049999,48.000000,34.517109,7573
2007-10-24,48.000000,48.000000,47.000000,47.950001,34.481155,3655
2007-10-25,47.700001,49.950001,47.000000,49.099998,35.308125,6465
2007-10-26,49.500000,49.599998,48.200001,49.049999,35.272167,775
2007-10-29,48.500000,50.000000,47.000000,48.049999,34.553062,10817
2007-10-30,48.000000,48.500000,47.000000,48.500000,34.876667,5650
2007-10-31,48.000000,49.000000,46.000000,46.650002,33.546318,5516
2007-11-01,46.700001,47.000000,44.099998,45.549999,32.755302,6934
2007-11-02,45.000000,48.000000,44.049999,44.299999,31.856422,15881
2007-11-05,44.099998,46.000000,44.099998,46.000000,33.078896,3702
2007-11-06,45.599998,51.150002,44.000000,45.349998,32.611473,8077
2007-11-07,47.900002,47.950001,44.299999,46.750000,33.618229,2307
2007-11-08,46.900002,56.099998,46.900002,55.450001,39.874454,64290
2007-11-12,46.049999,52.000000,46.049999,50.599998,36.386784,7177
2007-11-13,50.349998,52.849998,50.200001,52.049999,37.429485,10980
2007-11-14,53.000000,54.650002,51.049999,53.750000,38.651974,16984
2007-11-15,52.049999,53.200001,51.599998,52.549999,37.789040,9727
2007-11-16,52.049999,54.000000,52.049999,52.799999,37.968826,3628
2007-11-19,53.000000,54.000000,52.599998,52.900002,38.040733,5873
2007-11-20,53.799999,54.750000,52.750000,53.599998,38.544109,5239
2007-11-21,53.500000,55.000000,51.000000,52.000000,37.393536,6197
2007-11-22,49.049999,53.599998,49.000000,49.849998,35.847462,4435
2007-11-23,50.000000,51.500000,50.000000,51.000000,36.674431,3931
2007-11-26,52.000000,52.450001,50.250000,52.000000,37.393536,2023
2007-11-27,51.000000,52.000000,50.049999,51.000000,36.674431,1885
2007-11-28,51.000000,52.000000,49.799999,51.450001,36.998028,5225
2007-11-29,50.950001,50.950001,49.500000,49.700001,35.739590,3697
2007-11-30,52.000000,52.900002,49.500000,49.500000,35.595776,5966
2007-12-03,49.700001,51.000000,49.000000,50.549999,36.350838,2279
2007-12-04,50.950001,53.000000,50.950001,52.450001,37.717136,13320
2007-12-05,53.000000,54.849998,52.500000,52.750000,37.932858,10177
2007-12-06,54.500000,63.299999,54.500000,62.849998,45.195843,87132
2007-12-07,65.699997,65.699997,58.049999,60.000000,43.146385,20951
2007-12-10,59.000000,63.000000,58.150002,62.650002,45.052021,16904
2007-12-11,66.000000,66.000000,61.099998,62.450001,44.908203,12467
2007-12-12,63.000000,65.000000,61.099998,63.849998,45.914948,16842
2007-12-13,63.799999,64.900002,61.000000,61.000000,43.865490,20720
2007-12-14,62.000000,63.799999,61.299999,61.849998,44.476727,3840
2007-12-17,62.000000,64.500000,59.000000,60.000000,43.146385,24899
2007-12-18,null,null,null,null,null,null
2007-12-19,62.900002,64.400002,62.000000,62.049999,44.620552,13419
2007-12-20,63.650002,63.700001,60.549999,62.549999,44.980106,11791
2007-12-24,62.000000,64.000000,61.500000,63.099998,45.375614,10621
2007-12-26,63.200001,64.800003,63.000000,63.700001,45.807079,16447
2007-12-27,64.050003,69.000000,63.099998,66.800003,48.036312,33036
2007-12-28,67.000000,70.699997,65.300003,69.150002,49.726208,36915
2007-12-31,79.000000,79.000000,69.000000,73.300003,52.710503,43422
2008-01-01,75.000000,84.949997,74.500000,82.449997,59.290337,92614
2008-01-02,83.500000,86.000000,76.400002,83.250000,59.865612,32498
2008-01-03,83.250000,86.000000,78.150002,78.849998,56.701538,16542
2008-01-04,80.000000,82.500000,77.050003,78.400002,56.377949,28906
2008-01-07,79.900002,79.900002,75.050003,76.099998,54.723991,9865
2008-01-08,75.050003,78.849998,66.050003,69.699997,50.121719,11427
2008-01-09,69.000000,72.900002,67.000000,70.050003,50.373409,16891
2008-01-10,70.000000,71.800003,66.050003,66.800003,48.036312,12832
2008-01-11,67.000000,69.000000,56.299999,63.650002,45.771130,5102
2008-01-14,65.250000,69.849998,64.150002,68.099998,48.971149,10161
2008-01-15,69.500000,72.449997,68.099998,68.500000,49.258785,8598
