Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,315.000000,315.000000,310.000000,315.000000,276.348206,4610
2002-07-02,320.000000,325.000000,316.109985,319.119995,279.962616,3620
2002-07-03,316.000000,316.000000,312.500000,315.019989,276.365601,520
2002-07-04,318.000000,318.000000,310.000000,310.000000,271.961700,2270
2002-07-05,310.000000,317.500000,310.000000,315.880005,277.120178,6020
2002-07-08,317.500000,325.000000,317.000000,320.779999,281.418945,4140
2002-07-09,327.899994,329.000000,310.000000,316.179993,277.383362,2810
2002-07-10,324.899994,325.000000,312.500000,312.500000,274.154938,1940
2002-07-11,311.500000,317.500000,310.000000,311.000000,272.838959,440
2002-07-12,315.000000,320.000000,314.000000,315.029999,276.374512,8990
2002-07-15,317.399994,317.500000,314.700012,315.000000,276.348206,15300
2002-07-16,319.899994,320.000000,315.000000,315.000000,276.348206,4010
2002-07-17,311.010010,315.000000,300.000000,308.660004,270.786102,2560
2002-07-18,312.299988,312.299988,300.000000,303.279999,266.066254,500
2002-07-19,315.000000,315.000000,303.000000,313.000000,274.593536,120
2002-07-22,310.029999,310.029999,305.000000,305.000000,267.575195,5270
2002-07-23,306.100006,306.100006,305.609985,305.609985,268.110382,70
2002-07-24,306.000000,306.000000,305.000000,306.000000,268.452515,300
2002-07-25,null,null,null,null,null,null
2002-07-26,300.000000,305.000000,300.000000,301.299988,264.329163,3590
2002-07-29,300.100006,302.000000,300.049988,300.089996,263.267639,1680
2002-07-30,300.000000,313.000000,300.000000,307.440002,269.715790,4070
2002-07-31,300.500000,306.000000,300.010010,300.010010,263.197510,5560
2002-08-01,301.500000,301.899994,297.600006,297.600006,261.083160,3360
2002-08-02,304.799988,304.799988,297.899994,299.299988,262.574585,200
2002-08-05,300.000000,300.500000,300.000000,300.000000,263.188782,980
2002-08-06,301.000000,301.000000,301.000000,301.000000,264.066040,100
2002-08-07,298.000000,302.000000,293.100006,300.000000,263.188782,790
2002-08-08,300.000000,300.000000,300.000000,300.000000,263.188782,240
2002-08-09,295.500000,298.000000,295.500000,296.799988,260.381378,400
2002-08-12,297.500000,301.899994,297.500000,299.899994,263.100891,270
2002-08-13,295.500000,295.500000,295.500000,295.500000,259.240814,50
2002-08-14,297.500000,297.799988,297.500000,297.799988,261.258606,790
2002-08-15,null,null,null,null,null,null
2002-08-16,298.000000,302.000000,298.000000,302.000000,264.943268,250
2002-08-19,301.500000,302.500000,301.500000,302.500000,265.381958,90
2002-08-20,304.950012,305.000000,302.500000,305.000000,267.575195,610
2002-08-21,308.899994,310.779999,303.000000,307.700012,269.943939,430
2002-08-22,301.100006,302.500000,300.500000,302.299988,265.206482,130
2002-08-23,305.000000,305.000000,305.000000,305.000000,267.575195,50
2002-08-26,305.000000,305.000000,290.000000,300.000000,263.188782,1290
2002-08-27,300.000000,302.000000,299.899994,302.000000,264.943268,1130
2002-08-28,301.000000,301.000000,300.000000,301.000000,264.066040,1410
2002-08-29,300.000000,301.000000,300.000000,301.000000,264.066040,50
2002-08-30,298.010010,300.010010,298.010010,299.459991,262.714935,240
2002-09-02,301.500000,301.500000,301.000000,301.500000,264.504608,200
2002-09-03,291.000000,303.390015,290.000000,300.010010,263.197510,3030
2002-09-04,300.000000,303.000000,300.000000,303.000000,265.820648,200
2002-09-05,302.000000,303.000000,300.600006,303.000000,265.820648,530
2002-09-06,300.000000,303.500000,300.000000,301.600006,264.592438,180
2002-09-09,null,null,null,null,null,null
2002-09-10,null,null,null,null,null,null
2002-09-11,301.600006,302.100006,301.600006,302.000000,264.943268,160
2002-09-12,301.500000,301.500000,300.600006,301.320007,264.346802,420
2002-09-13,300.799988,300.799988,300.500000,300.600006,263.715088,170
2002-09-16,null,null,null,null,null,null
2002-09-17,300.000000,300.000000,300.000000,300.000000,263.188782,200
2002-09-18,298.000000,298.000000,298.000000,298.000000,261.434143,10
2002-09-19,299.100006,299.100006,295.510010,298.299988,261.697296,2090
2002-09-20,null,null,null,null,null,null
2002-09-23,295.500000,295.500000,294.000000,294.000000,257.924927,200
2002-09-24,null,null,null,null,null,null
2002-09-25,291.010010,291.010010,290.500000,290.959991,255.257980,270
2002-09-26,null,null,null,null,null,null
2002-09-27,295.000000,295.000000,295.000000,295.000000,258.802277,10
2002-09-30,295.000000,295.000000,287.500000,293.000000,257.047668,1870
2002-10-01,294.899994,295.000000,294.899994,295.000000,258.802277,50
2002-10-02,null,null,null,null,null,null
2002-10-03,290.510010,290.510010,290.000000,290.000000,254.415741,130
2002-10-04,281.010010,288.500000,280.100006,288.500000,253.099869,160
2002-10-07,282.000000,293.899994,282.000000,285.299988,250.292435,930
2002-10-08,280.200012,285.000000,280.109985,281.000000,246.520081,290
2002-10-09,283.000000,285.000000,283.000000,285.000000,250.029251,300
2002-10-10,285.000000,292.500000,285.000000,285.000000,250.029251,150
2002-10-11,285.000000,285.500000,285.000000,285.500000,250.467896,60
2002-10-14,285.000000,289.000000,285.000000,289.000000,253.538467,300
2002-10-15,null,null,null,null,null,null
2002-10-16,294.899994,300.000000,294.899994,296.000000,259.679504,410
2002-10-17,300.000000,305.000000,300.000000,300.000000,263.188782,670
2002-10-18,300.000000,314.500000,300.000000,305.500000,268.013824,270
2002-10-21,304.000000,304.000000,302.500000,303.899994,266.610199,480
2002-10-22,309.000000,309.000000,303.700012,306.929993,269.268402,350
2002-10-23,309.500000,310.000000,308.799988,310.000000,271.961700,120
2002-10-24,305.000000,310.000000,305.000000,310.000000,271.961700,810
2002-10-25,306.500000,312.000000,306.000000,310.000000,271.961700,440
2002-10-28,306.000000,308.000000,306.000000,307.029999,269.356140,430
2002-10-29,308.000000,309.000000,308.000000,308.500000,270.645752,260
2002-10-30,308.000000,314.000000,308.000000,314.000000,275.470856,330
2002-10-31,308.500000,308.500000,308.000000,308.000000,270.207031,240
2002-11-01,null,null,null,null,null,null
2002-11-04,310.000000,310.000000,307.500000,309.589996,271.601959,60
2002-11-05,307.000000,307.000000,307.000000,307.000000,269.329742,70
2002-11-06,null,null,null,null,null,null
2002-11-07,307.500000,308.000000,307.500000,307.500000,269.768463,320
2002-11-08,305.010010,307.000000,305.000000,305.000000,267.575195,2350
2002-11-11,311.500000,311.500000,305.500000,305.500000,268.013824,1710
2002-11-12,310.000000,311.209991,310.000000,310.019989,271.979156,10240
2002-11-13,310.000000,311.000000,310.000000,310.000000,271.961700,3100
2002-11-14,310.000000,314.000000,310.000000,314.000000,275.470856,10720
2002-11-15,315.000000,318.779999,315.000000,318.609985,279.515137,3470
2002-11-18,318.000000,322.989990,318.000000,322.059998,282.541870,4380
2002-11-19,null,null,null,null,null,null
2002-11-20,322.989990,329.750000,322.989990,323.000000,283.366547,12160
2002-11-21,325.500000,326.000000,325.000000,325.839996,285.858032,3480
2002-11-22,326.989990,327.500000,324.000000,327.029999,286.902008,13450
2002-11-25,323.000000,324.989990,322.000000,322.829987,283.217316,6250
2002-11-26,317.510010,324.000000,317.510010,320.000000,280.734680,210
2002-11-27,310.000000,316.500000,310.000000,313.000000,274.593536,980
2002-11-28,311.500000,312.000000,310.600006,312.000000,273.716248,5010
2002-11-29,313.000000,313.000000,311.000000,312.899994,274.505829,9140
2002-12-02,314.000000,318.000000,312.529999,314.739990,276.120026,8900
2002-12-03,316.100006,317.100006,312.100006,313.200012,274.769043,11310
2002-12-04,313.000000,313.279999,313.000000,313.260010,274.821686,8100
2002-12-05,313.299988,313.299988,313.200012,313.239990,274.804138,4170
2002-12-06,312.500000,315.000000,307.209991,311.769989,273.514465,2840
2002-12-09,310.000000,315.500000,310.000000,315.309998,276.620117,13220
2002-12-10,310.010010,315.000000,310.010010,315.000000,276.348206,1070
2002-12-11,315.000000,318.000000,312.000000,317.940002,278.927429,11460
2002-12-12,315.799988,320.000000,315.799988,317.000000,278.102722,9760
2002-12-13,324.000000,324.000000,315.799988,315.799988,277.049957,630
2002-12-16,310.000000,319.000000,310.000000,315.799988,277.049957,1730
2002-12-17,316.000000,316.100006,316.000000,316.010010,277.234222,1380
2002-12-18,316.000000,317.500000,315.799988,316.339996,277.523712,6320
2002-12-19,316.000000,316.500000,315.799988,315.799988,277.049957,2650
2002-12-20,316.000000,318.000000,315.000000,316.000000,277.225433,3810
2002-12-23,316.000000,316.500000,315.799988,316.000000,277.225433,2870
2002-12-24,316.500000,320.799988,316.500000,320.000000,280.734680,4130
2002-12-25,null,null,null,null,null,null
2002-12-26,318.600006,320.100006,318.600006,320.000000,280.734680,740
2002-12-27,318.500000,321.000000,318.500000,320.459991,281.138153,3510
2002-12-30,325.000000,350.000000,323.000000,347.420013,304.790100,7060
2002-12-31,340.500000,347.000000,340.100006,341.489990,299.587677,4180
2003-01-01,340.100006,340.100006,340.000000,340.000000,298.280518,120
2003-01-02,339.899994,339.899994,337.000000,337.019989,295.666138,2320
2003-01-03,334.500000,339.500000,334.500000,338.309998,296.797913,3190
2003-01-06,336.799988,340.899994,336.700012,340.899994,299.070068,3750
2003-01-07,342.000000,345.000000,342.000000,343.500000,301.351044,2100
2003-01-08,344.899994,347.500000,343.000000,347.500000,304.860291,2270
2003-01-09,345.000000,355.000000,345.000000,355.000000,311.439972,3040
2003-01-10,352.500000,354.500000,348.500000,348.519989,305.755066,680
2003-01-13,347.100006,347.100006,341.500000,341.500000,299.596466,260
2003-01-14,341.500000,345.000000,340.100006,343.649994,301.482635,7010
2003-01-15,342.000000,349.899994,342.000000,345.089996,302.745972,4150
2003-01-16,345.000000,355.000000,345.000000,352.609985,309.343201,4760
2003-01-17,355.000000,362.100006,352.500000,361.410004,317.063385,2580
2003-01-20,355.000000,365.000000,355.000000,361.459991,317.107300,3730
2003-01-21,365.000000,365.000000,360.500000,361.000000,316.703766,1930
2003-01-22,362.500000,366.000000,360.799988,364.959991,320.177826,5600
2003-01-23,364.899994,367.899994,361.720001,365.489990,320.642792,1910
2003-01-24,367.399994,367.399994,365.000000,365.000000,320.212982,2160
2003-01-27,363.000000,369.000000,362.500000,365.769989,320.888428,3480
2003-01-28,363.000000,365.929993,363.000000,365.500000,320.651611,670
2003-01-29,362.500000,366.920013,362.500000,365.220001,320.405975,2080
2003-01-30,365.000000,366.500000,365.000000,365.000000,320.212982,1410
2003-01-31,372.500000,372.500000,367.000000,370.500000,325.038116,1170
2003-02-03,366.000000,370.000000,366.000000,370.000000,324.599365,140
2003-02-04,370.000000,370.000000,367.750000,367.750000,322.625519,100
2003-02-05,370.000000,380.000000,370.000000,380.000000,333.372284,840
2003-02-06,380.000000,400.000000,380.000000,397.679993,348.882935,860
2003-02-07,387.500000,390.500000,386.000000,386.420013,339.004608,360
2003-02-10,375.500000,387.500000,375.500000,380.040009,333.407440,630
2003-02-11,372.100006,372.500000,372.100006,372.500000,326.792633,20
2003-02-12,370.000000,377.500000,370.000000,375.609985,329.521057,880
2003-02-13,null,null,null,null,null,null
2003-02-14,375.500000,375.500000,374.000000,375.000000,328.985931,200
2003-02-17,376.000000,379.500000,375.000000,377.000000,330.740448,5220
2003-02-18,378.000000,380.000000,370.000000,370.000000,324.599365,3490
2003-02-19,371.000000,371.100006,368.100006,368.100006,322.932587,430
2003-02-20,370.000000,374.899994,360.000000,370.029999,324.625732,14130
2003-02-21,374.000000,395.000000,365.000000,377.589996,331.258087,12960
2003-02-24,382.100006,386.799988,382.100006,384.019989,336.899078,850
2003-02-25,372.500000,395.100006,372.500000,389.299988,341.531219,6870
2003-02-26,385.000000,390.500000,385.000000,389.640015,341.829498,340
2003-02-27,380.500000,389.000000,380.000000,386.739990,339.285431,1000
2003-02-28,382.500000,390.500000,382.500000,385.000000,337.758850,430
2003-03-03,389.589996,389.589996,385.000000,385.779999,338.443085,180
2003-03-04,385.000000,385.000000,376.700012,376.700012,330.477295,740
2003-03-05,379.500000,380.000000,379.500000,380.000000,333.372284,1450
2003-03-06,380.000000,389.000000,380.000000,385.000000,337.758850,1380
2003-03-07,384.000000,385.000000,384.000000,385.000000,337.758850,960
2003-03-10,384.100006,392.500000,384.000000,391.040009,343.057770,3390
2003-03-11,389.000000,389.000000,381.500000,383.000000,336.004272,1070
2003-03-12,380.000000,387.500000,380.000000,387.500000,339.952057,60
2003-03-13,380.500000,380.500000,380.500000,380.500000,333.811035,10
2003-03-14,null,null,null,null,null,null
2003-03-17,380.100006,380.100006,379.000000,379.000000,332.495056,570
2003-03-18,null,null,null,null,null,null
2003-03-19,382.399994,382.500000,376.000000,376.000000,329.863220,1020
2003-03-20,375.000000,380.000000,375.000000,379.959991,333.337219,270
2003-03-21,380.000000,382.500000,378.100006,381.239990,334.460236,3890
2003-03-24,381.000000,382.500000,376.000000,376.000000,329.863220,1270
2003-03-25,380.000000,380.000000,375.000000,375.000000,328.985931,230
2003-03-26,374.100006,376.000000,373.000000,376.000000,329.863220,750
2003-03-27,378.000000,380.049988,376.510010,380.000000,333.372284,1480
