Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,8.279300,8.310190,8.134720,8.270650,1.923440,235952
2002-07-02,8.270650,8.341090,8.208870,8.332440,1.937810,173017
2002-07-03,8.310190,8.433770,8.295370,8.396690,1.952752,89017
2002-07-04,8.520270,8.641370,8.344790,8.449830,1.965110,119218
2002-07-05,8.495550,8.514090,8.371980,8.415230,1.957064,50788
2002-07-08,8.375690,8.542510,8.297840,8.347270,1.941258,84129
2002-07-09,8.514090,8.680910,8.155730,8.458480,1.967122,181409
2002-07-10,8.557340,8.635190,8.495550,8.536330,1.985227,101099
2002-07-11,8.526440,8.588230,8.464660,8.542510,1.986664,94917
2002-07-12,8.501730,8.526440,8.347270,8.517790,1.980915,63299
2002-07-15,8.495550,8.548690,8.295370,8.520270,1.981492,106667
2002-07-16,8.375690,8.514090,8.365800,8.458480,1.967122,212953
2002-07-17,8.462190,8.526440,8.320080,8.507910,1.978617,151175
2002-07-18,8.526440,8.530150,8.421410,8.511620,1.979481,64926
2002-07-19,8.464660,8.464660,8.390520,8.400400,1.953615,36659
2002-07-22,8.279300,8.402870,8.155730,8.375690,1.947868,163379
2002-07-23,7.621900,8.526440,7.621900,8.427590,1.959938,145284
2002-07-24,8.285480,8.489370,8.285480,8.449830,1.965110,90320
2002-07-25,8.402870,8.464660,8.316370,8.332440,1.937810,260302
2002-07-26,8.279300,8.279300,8.124840,8.221220,1.911944,211934
2002-07-29,8.110010,8.155730,7.974080,8.100120,1.883781,242102
2002-07-30,8.128540,8.155730,8.093940,8.134720,1.891827,93735
2002-07-31,8.192800,8.192800,7.951840,8.087770,1.880909,175024
2002-08-01,8.112480,8.155730,7.951840,8.038340,1.869413,67556
2002-08-02,7.955540,8.153260,7.908590,8.091470,1.881769,111806
2002-08-05,8.137190,8.221220,8.035870,8.190330,1.904760,37420
2002-08-06,8.122370,8.279300,8.100120,8.270650,1.923440,44897
2002-08-07,8.196510,8.371980,8.196510,8.332440,1.937810,47195
2002-08-08,8.264470,8.341090,8.180440,8.264470,1.922002,109645
2002-08-09,8.186620,8.402870,8.124840,8.326260,1.936372,84882
2002-08-12,8.402870,8.446120,8.295370,8.390520,1.951317,24383
2002-08-13,8.357150,8.388040,8.165620,8.258290,1.920565,20239
2002-08-14,8.233580,8.332440,8.217520,8.307720,1.932061,31731
2002-08-15,null,null,null,null,null,null
2002-08-16,8.208870,8.365800,8.208870,8.326260,1.936372,111336
2002-08-19,8.341090,8.341090,8.221220,8.242230,1.916831,23751
2002-08-20,8.320080,8.320080,8.236050,8.270650,1.923440,44565
2002-08-21,8.190330,8.310190,8.159440,8.264470,1.922002,32807
2002-08-22,8.276830,8.295370,8.211340,8.270650,1.923440,107023
2002-08-23,8.279300,8.310190,8.186620,8.221220,1.911944,22578
2002-08-26,8.190330,8.341090,8.032160,8.087770,1.880909,43343
2002-08-27,8.079120,8.124840,8.032160,8.050690,1.872285,32046
2002-08-28,8.056870,8.072940,7.939480,7.980260,1.855906,18596
2002-08-29,7.970370,8.093940,7.908590,7.918470,1.841536,30161
2002-08-30,7.924650,7.955540,7.887580,7.937010,1.845847,35987
2002-09-02,7.939480,8.106300,7.939480,7.995090,1.859355,26592
2002-09-03,7.908590,8.044520,7.881400,8.019800,1.865102,23064
2002-09-04,7.970370,8.056870,7.920940,7.955540,1.850157,19584
2002-09-05,8.032160,8.032160,7.862870,7.943190,1.847285,11864
2002-09-06,7.908590,7.955540,7.846800,7.862870,1.828606,25022
2002-09-09,7.838150,7.937010,7.723230,7.871520,1.830617,42186
2002-09-10,null,null,null,null,null,null
2002-09-11,7.723230,7.723230,7.621900,7.655260,1.780323,38067
2002-09-12,7.723230,7.723230,7.630550,7.649090,1.778888,46791
2002-09-13,7.482260,7.747940,7.482260,7.612010,1.770265,77655
2002-09-16,7.612010,7.612010,7.445190,7.485970,1.740953,15529
2002-09-17,7.531690,7.593480,7.414300,7.455080,1.733769,39532
2002-09-18,7.506980,7.513160,7.263540,7.303090,1.698422,44460
2002-09-19,7.275900,7.321620,7.062120,7.201760,1.674856,25613
2002-09-20,7.074480,7.337690,7.043580,7.232650,1.682040,49599
2002-09-23,7.350040,7.399470,7.167160,7.220290,1.679166,18653
2002-09-24,7.170860,7.216590,7.136260,7.177040,1.669107,12268
2002-09-25,7.109080,7.173340,7.080660,7.154800,1.663935,30509
2002-09-26,7.123910,7.214110,7.105370,7.111550,1.653877,11289
2002-09-27,7.105370,7.177040,7.065830,7.154800,1.663935,18516
2002-09-30,7.290730,7.290730,7.074480,7.154800,1.663935,34272
2002-10-01,7.167160,7.167160,6.981800,7.031230,1.635197,25864
2002-10-02,null,null,null,null,null,null
2002-10-03,7.164690,7.164690,7.043580,7.053470,1.640370,9549
2002-10-04,7.105370,7.127610,6.991680,7.053470,1.640370,25410
2002-10-07,7.105370,7.191870,7.043580,7.109080,1.653303,27344
2002-10-08,7.167160,7.167160,7.115260,7.154800,1.663935,17116
2002-10-09,7.105370,7.216590,7.049760,7.072010,1.644682,14858
2002-10-10,6.864410,7.133790,6.864410,7.121440,1.656177,10286
2002-10-11,6.926190,7.074480,6.926190,7.043580,1.638070,20523
2002-10-14,7.111550,7.111550,7.043580,7.047290,1.638932,7623
2002-10-15,null,null,null,null,null,null
2002-10-16,7.047290,7.111550,6.858230,7.065830,1.643244,20620
2002-10-17,7.016400,7.117730,7.012690,7.062120,1.642381,20126
2002-10-18,6.861930,7.214110,6.800150,7.154800,1.663935,29562
2002-10-21,6.997860,7.290730,6.997860,7.059650,1.641807,8384
2002-10-22,7.028760,7.105370,7.025050,7.055940,1.640944,19090
2002-10-23,7.105370,7.167160,7.012690,7.090540,1.648991,29966
2002-10-24,7.167160,7.167160,6.889120,6.979330,1.623128,24803
2002-10-25,6.800150,7.099190,6.800150,6.981800,1.623702,28550
2002-10-28,6.954610,7.012690,6.895300,7.000330,1.628011,27854
2002-10-29,6.923720,7.074480,6.920010,7.055940,1.640944,32127
2002-10-30,7.043580,7.228940,7.043580,7.109080,1.653303,22060
2002-10-31,7.049760,7.078190,6.929900,6.948430,1.615941,17334
2002-11-01,6.960790,7.102900,6.929900,7.090540,1.648991,18135
2002-11-04,7.191870,7.191870,7.016400,7.133790,1.659049,13393
2002-11-05,7.167160,7.167160,7.049760,7.121440,1.656177,9023
2002-11-06,null,null,null,null,null,null
2002-11-07,7.059650,7.191870,7.043580,7.102900,1.651865,38148
2002-11-08,7.183220,7.198050,7.043580,7.093010,1.649565,64076
2002-11-11,7.136260,7.152330,7.000330,7.084360,1.647553,13943
2002-11-12,7.043580,7.136260,7.043580,7.096720,1.650428,12090
2002-11-13,7.043580,7.043580,6.831040,6.864410,1.596401,59261
2002-11-14,7.043580,7.043580,6.849580,6.889120,1.602148,70000
2002-11-15,6.979330,6.981800,6.901480,6.923720,1.610195,51670
2002-11-18,7.012690,7.022580,6.831040,6.861930,1.595825,27717
2002-11-19,null,null,null,null,null,null
2002-11-20,7.408120,7.408120,6.889120,6.960790,1.618816,60993
2002-11-21,7.072010,7.072010,6.889120,6.960790,1.618816,75511
2002-11-22,6.981800,7.031230,6.923720,6.966970,1.620253,47300
2002-11-25,6.994160,7.012690,6.920010,6.969440,1.620828,23565
2002-11-26,6.920010,7.043580,6.920010,6.987980,1.625139,26309
2002-11-27,6.957080,7.006510,6.926190,6.950910,1.616518,19309
2002-11-28,6.549300,6.981800,6.549300,6.938550,1.613643,58306
2002-11-29,6.920010,6.981800,6.827330,6.938550,1.613643,136649
2002-12-02,6.917540,7.290730,6.917540,7.222760,1.679740,97644
2002-12-03,7.228940,7.358690,7.183220,7.204230,1.675431,67952
2002-12-04,7.183220,7.183220,7.065830,7.117730,1.655314,22440
2002-12-05,7.167160,7.198050,7.105370,7.130090,1.658189,40843
2002-12-06,6.923720,7.154800,6.923720,7.105370,1.652440,20029
2002-12-09,7.121440,7.222760,7.043580,7.078190,1.646119,54333
2002-12-10,6.997860,7.160980,6.997860,7.139970,1.660487,43125
2002-12-11,7.167160,7.167160,7.074480,7.142440,1.661061,39265
2002-12-12,7.167160,7.259840,7.053470,7.220290,1.679166,121500
2002-12-13,7.247480,7.445190,7.198050,7.387110,1.717962,114136
2002-12-16,7.506980,7.572470,7.420480,7.488440,1.741527,185698
2002-12-17,7.560110,7.560110,7.371050,7.424190,1.726585,97142
2002-12-18,7.414300,7.476090,7.393290,7.430360,1.728020,68195
2002-12-19,7.506980,7.506980,7.358690,7.445190,1.731469,73447
