Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,5.382660,5.492880,5.345910,5.456140,0.338263,155856
2002-07-02,5.511250,5.557180,5.391840,5.428580,0.336554,271463
2002-07-03,5.639850,5.639850,5.391840,5.437770,0.337124,72697
2002-07-04,5.419400,5.538810,5.290800,5.345910,0.331429,52513
2002-07-05,5.290800,5.474510,5.290800,5.446950,0.337693,50134
2002-07-08,5.382660,5.492880,5.382660,5.437770,0.337124,43988
2002-07-09,5.345910,5.419400,5.235690,5.382660,0.333707,39737
2002-07-10,5.410210,5.410210,5.235690,5.272430,0.326873,31572
2002-07-11,5.327540,5.327540,5.162210,5.171390,0.320609,38784
2002-07-12,5.125460,5.235690,5.116280,5.189760,0.321748,21801
2002-07-15,5.143830,5.189760,5.061170,5.134650,0.318332,47336
2002-07-16,5.272430,5.281620,5.143830,5.143830,0.318901,9744
2002-07-17,5.134650,5.134650,4.923380,5.042790,0.312636,79882
2002-07-18,5.281620,5.281620,5.097910,5.162210,0.320040,44364
2002-07-19,5.143830,5.235690,5.125460,5.217320,0.323457,31708
2002-07-22,5.198950,5.198950,4.978500,4.978500,0.308651,20794
2002-07-23,4.969310,5.033610,4.923380,4.987680,0.309220,9036
2002-07-24,4.978500,5.097910,4.960130,5.006050,0.310359,44745
2002-07-25,4.969310,5.061170,4.960130,4.960130,0.307512,16738
2002-07-26,4.960130,4.960130,4.794790,4.831530,0.299539,50079
2002-07-29,4.785600,4.849900,4.721310,4.730490,0.293275,45186
2002-07-30,4.776420,4.950940,4.739680,4.748860,0.294414,32448
2002-07-31,4.611080,4.831530,4.611080,4.794790,0.297261,21638
2002-08-01,4.960130,4.960130,4.730490,4.813160,0.298400,14915
2002-08-02,4.647820,4.813160,4.638640,4.776420,0.296122,18317
2002-08-05,4.592710,4.868270,4.592710,4.758050,0.294984,20304
2002-08-06,4.794790,4.822340,4.767230,4.776420,0.296122,10887
2002-08-07,4.776420,4.840720,4.758050,4.840720,0.300109,15780
2002-08-08,4.776420,4.794790,4.702930,4.776420,0.296122,22721
2002-08-09,4.730490,4.813160,4.647820,4.785600,0.296692,17620
2002-08-12,4.776420,4.859090,4.776420,4.859090,0.301248,28812
2002-08-13,4.914200,4.914200,4.813160,4.877460,0.302387,13886
2002-08-14,4.895830,5.051980,4.803970,5.051980,0.313206,28551
2002-08-15,null,null,null,null,null,null
2002-08-16,4.859090,5.051980,4.859090,5.033610,0.312067,45997
2002-08-19,5.051980,5.097910,4.960130,5.051980,0.313206,20141
2002-08-20,5.134650,5.134650,4.978500,5.051980,0.313206,7893
2002-08-21,5.180580,5.180580,4.960130,5.033610,0.312067,33401
2002-08-22,4.932570,5.180580,4.932570,5.006050,0.310359,17691
2002-08-23,5.006050,5.070350,4.923380,5.033610,0.312067,5716
