Date,Open,High,Low,Close,Adj Close,Volume
2004-06-07,6.650000,6.650000,6.330000,6.550000,1.250511,51770
2004-06-08,6.725000,6.975000,6.500000,6.760000,1.290604,77770
2004-06-09,6.990000,7.300000,6.730000,7.040000,1.344061,30510
2004-06-10,7.300000,7.350000,6.710000,6.850000,1.307786,38840
2004-06-11,7.350000,7.350000,6.600000,6.690000,1.277240,29670
2004-06-14,6.570000,6.590000,6.310000,6.445000,1.230464,31100
2004-06-15,6.315000,6.645000,6.225000,6.590000,1.258147,39490
2004-06-16,6.315000,6.600000,6.315000,6.390000,1.219964,40480
2004-06-17,6.400000,6.500000,6.300000,6.315000,1.205645,34000
2004-06-18,6.400000,6.400000,6.270000,6.305000,1.203736,42200
2004-06-21,6.160000,6.580000,6.060000,6.060000,1.156961,59220
2004-06-22,6.200000,6.345000,5.850000,6.200000,1.183690,33350
2004-06-23,6.200000,6.215000,6.000000,6.135000,1.171280,38250
2004-06-24,6.480000,6.490000,6.050000,6.135000,1.171280,49050
2004-06-25,6.430000,6.520000,6.280000,6.350000,1.212327,69680
2004-06-28,6.690000,6.690000,6.300000,6.455000,1.232373,45240
2004-06-29,6.800000,6.800000,6.300000,6.570000,1.254329,40220
2004-06-30,6.900000,6.900000,6.100000,6.170000,1.177962,39450
2004-07-01,6.600000,6.600000,6.100000,6.150000,1.174144,49870
2004-07-02,6.300000,6.300000,6.100000,6.115000,1.167462,10970
2004-07-05,6.490000,6.490000,6.125000,6.160000,1.176053,38670
2004-07-06,6.325000,6.325000,6.120000,6.185000,1.180825,30520
2004-07-07,6.650000,6.650000,6.120000,6.240000,1.191326,2670
2004-07-08,6.300000,6.300000,5.810000,6.050000,1.155052,62680
2004-07-09,6.250000,6.375000,6.000000,6.290000,1.200872,30620
2004-07-12,6.590000,6.590000,6.040000,6.120000,1.168416,3660
2004-07-13,6.500000,6.500000,6.000000,6.100000,1.164598,37520
2004-07-14,6.200000,6.450000,6.000000,6.055000,1.156006,12810
2004-07-15,6.400000,6.400000,6.050000,6.140000,1.172234,20150
2004-07-16,6.600000,6.600000,6.030000,6.175000,1.178917,41290
2004-07-19,6.110000,6.290000,6.000000,6.195000,1.182735,26030
2004-07-20,6.695000,6.800000,6.000000,6.720000,1.282967,150560
