Date,Open,High,Low,Close,Adj Close,Volume
2013-06-26,22.850000,22.850000,18.100000,18.450001,18.450001,12210
2013-06-27,19.500000,19.500000,18.000000,18.000000,18.000000,795
2013-06-28,18.000000,18.000000,18.000000,18.000000,18.000000,1000
2013-07-01,19.850000,19.850000,16.500000,16.500000,16.500000,440
2013-07-02,16.900000,17.750000,15.150000,17.500000,17.500000,62032
2013-07-03,16.200001,17.950001,16.200001,16.549999,16.549999,500
2013-07-04,17.049999,18.450001,16.000000,16.049999,16.049999,5952
2013-07-05,16.100000,16.450001,15.300000,15.950000,15.950000,3817
2013-07-08,16.000000,16.000000,15.600000,15.600000,15.600000,705
2013-07-09,14.800000,14.800000,14.800000,14.800000,14.800000,25
2013-07-10,14.000000,15.850000,14.000000,15.200000,15.200000,1440
2013-07-11,16.500000,16.500000,14.500000,16.400000,16.400000,54376
2013-07-12,15.050000,16.750000,15.000000,15.750000,15.750000,13941
2013-07-15,16.000000,16.000000,16.000000,16.000000,16.000000,4000
2013-07-16,16.950001,17.000000,16.000000,16.100000,16.100000,3150
2013-07-17,16.350000,16.350000,15.950000,15.950000,15.950000,380
2013-07-18,15.950000,15.950000,15.950000,15.950000,15.950000,750
2013-07-19,15.400000,15.500000,15.150000,15.300000,15.300000,4400
2013-07-22,15.350000,15.400000,15.350000,15.350000,15.350000,600
2013-07-23,17.650000,17.650000,12.300000,12.300000,12.300000,60829
2013-07-24,9.850000,9.850000,9.850000,9.850000,9.850000,35562
2013-07-25,8.900000,8.900000,8.900000,8.900000,8.900000,18182
2013-07-26,8.050000,8.050000,8.050000,8.050000,8.050000,7044
2013-07-29,7.250000,8.850000,7.250000,8.850000,8.850000,297832
2013-07-30,8.850000,9.500000,8.000000,8.850000,8.850000,59022
2013-07-31,8.400000,8.600000,8.000000,8.350000,8.350000,48025
2013-08-01,8.650000,8.650000,7.750000,8.000000,8.000000,14221
2013-08-02,8.050000,8.050000,7.200000,7.900000,7.900000,63421
2013-08-05,8.000000,8.000000,7.600000,7.750000,7.750000,537
2013-08-06,7.750000,8.200000,7.650000,7.700000,7.700000,4679
2013-08-07,7.700000,8.250000,7.450000,7.450000,7.450000,2815
2013-08-08,8.000000,8.150000,7.750000,8.150000,8.150000,4288
2013-08-12,8.850000,8.900000,8.500000,8.750000,8.750000,6215
2013-08-13,9.000000,9.400000,8.650000,9.100000,9.100000,10772
2013-08-14,9.500000,9.550000,9.000000,9.500000,9.500000,4647
2013-08-16,8.650000,9.400000,8.600000,9.100000,9.100000,6516
2013-08-19,8.500000,8.500000,8.200000,8.250000,8.250000,456
2013-08-20,8.000000,8.000000,7.600000,7.600000,7.600000,3220
2013-08-21,8.000000,8.300000,7.000000,7.450000,7.450000,2616
2013-08-22,7.000000,7.900000,7.000000,7.850000,7.850000,3119
2013-08-23,7.850000,7.850000,7.850000,7.850000,7.850000,0
2013-08-26,8.600000,8.600000,8.200000,8.600000,8.600000,6447
2013-08-27,8.000000,8.200000,7.750000,7.750000,7.750000,13494
2013-08-28,7.100000,8.400000,7.100000,7.750000,7.750000,5224
2013-08-29,7.250000,8.300000,7.250000,8.300000,8.300000,22704
2013-08-30,8.500000,8.500000,7.650000,8.200000,8.200000,666
2013-09-02,8.500000,8.500000,8.400000,8.450000,8.450000,143
2013-09-03,8.500000,8.700000,8.250000,8.700000,8.700000,3105
2013-09-04,8.050000,8.950000,7.850000,8.950000,8.950000,1150
2013-09-05,8.750000,8.750000,8.450000,8.500000,8.500000,1154
2013-09-06,8.500000,8.500000,8.500000,8.500000,8.500000,501
2013-09-10,8.000000,9.000000,8.000000,8.900000,8.900000,207
2013-09-11,10.000000,10.000000,7.850000,8.800000,8.800000,2930
2013-09-12,9.000000,9.000000,8.950000,8.950000,8.950000,285
2013-09-13,9.500000,9.500000,8.050000,9.000000,9.000000,1143
2013-09-16,8.750000,8.750000,7.700000,8.200000,8.200000,24658
2013-09-17,8.300000,8.300000,7.750000,8.150000,8.150000,235
2013-09-18,7.850000,8.400000,7.850000,7.900000,7.900000,300
2013-09-19,7.950000,7.950000,7.850000,7.900000,7.900000,710
2013-09-20,7.900000,7.900000,7.900000,7.900000,7.900000,70
2013-09-23,8.000000,8.000000,7.750000,7.750000,7.750000,501
2013-09-24,8.400000,8.400000,8.000000,8.000000,8.000000,45
2013-09-25,8.000000,8.000000,8.000000,8.000000,8.000000,200
2013-09-26,8.000000,8.000000,8.000000,8.000000,8.000000,1870
2013-09-27,7.950000,7.950000,7.650000,7.650000,7.650000,129
2013-09-30,7.650000,7.650000,7.650000,7.650000,7.650000,0
2013-10-01,7.900000,8.000000,7.850000,7.850000,7.850000,2172
2013-10-03,7.600000,8.900000,7.300000,7.800000,7.800000,5685
2013-10-04,7.650000,7.650000,7.650000,7.650000,7.650000,334
2013-10-07,7.750000,7.750000,7.350000,7.400000,7.400000,7300
2013-10-08,8.850000,8.850000,8.850000,8.850000,8.850000,56323
2013-10-09,8.850000,10.600000,8.850000,9.450000,9.450000,120854
2013-10-10,9.950000,11.000000,9.950000,10.850000,10.850000,104018
2013-10-11,10.750000,10.900000,10.000000,10.250000,10.250000,83548
2013-10-14,10.050000,10.600000,9.700000,10.350000,10.350000,110330
2013-10-15,10.450000,10.750000,10.200000,10.400000,10.400000,18088
2013-10-17,10.000000,10.500000,9.400000,10.450000,10.450000,13072
2013-10-18,10.100000,10.300000,10.050000,10.050000,10.050000,4656
2013-10-21,10.200000,11.000000,10.000000,10.850000,10.850000,18222
2013-10-22,10.600000,10.600000,10.000000,10.000000,10.000000,6677
2013-10-23,9.800000,10.100000,9.250000,10.000000,10.000000,6531
2013-10-24,10.000000,10.000000,9.400000,9.400000,9.400000,5474
2013-10-25,9.100000,9.100000,9.100000,9.100000,9.100000,20
2013-10-28,9.000000,9.000000,8.650000,8.650000,8.650000,2000
2013-10-29,9.000000,9.000000,9.000000,9.000000,9.000000,375
2013-10-30,9.000000,9.000000,9.000000,9.000000,9.000000,1
2013-10-31,9.400000,9.400000,9.400000,9.400000,9.400000,250
2013-11-01,9.850000,9.850000,9.000000,9.000000,9.000000,880
2013-11-05,8.650000,9.450000,8.600000,8.950000,8.950000,5355
2013-11-06,8.950000,8.950000,8.950000,8.950000,8.950000,0
2013-11-07,8.600000,8.600000,8.600000,8.600000,8.600000,500
2013-11-08,8.200000,9.000000,8.200000,9.000000,9.000000,5405
2013-11-11,8.600000,8.600000,8.600000,8.600000,8.600000,100
2013-11-12,8.350000,8.350000,8.350000,8.350000,8.350000,160
2013-11-13,8.350000,8.350000,8.000000,8.000000,8.000000,200
2013-11-14,7.600000,8.400000,7.600000,8.400000,8.400000,6716
2013-11-18,8.150000,8.150000,8.150000,8.150000,8.150000,1500
2013-11-19,8.400000,8.400000,7.750000,7.750000,7.750000,500
2013-11-20,8.100000,8.100000,8.100000,8.100000,8.100000,500
2013-11-21,8.000000,8.000000,8.000000,8.000000,8.000000,1000
2013-11-22,8.050000,8.050000,8.050000,8.050000,8.050000,10
2013-11-25,8.450000,8.450000,8.450000,8.450000,8.450000,510
2013-11-26,8.500000,8.750000,8.500000,8.750000,8.750000,698
2013-11-27,8.750000,9.100000,8.750000,9.100000,9.100000,2000
2013-11-28,8.900000,9.550000,8.900000,9.550000,9.550000,8595
2013-11-29,10.000000,10.000000,9.950000,9.950000,9.950000,211
2013-12-02,9.700000,9.700000,9.700000,9.700000,9.700000,8
2013-12-03,9.750000,9.750000,9.750000,9.750000,9.750000,1000
2013-12-04,9.300000,9.900000,9.300000,9.900000,9.900000,510
2013-12-05,9.450000,10.100000,9.450000,10.100000,10.100000,50
2013-12-06,10.000000,10.000000,10.000000,10.000000,10.000000,100
2013-12-09,9.500000,9.500000,9.500000,9.500000,9.500000,1000
2013-12-10,9.500000,9.500000,9.050000,9.400000,9.400000,627
2013-12-11,9.000000,9.850000,8.950000,9.850000,9.850000,1186
2013-12-12,9.850000,9.850000,9.850000,9.850000,9.850000,0
2013-12-13,9.850000,9.850000,9.850000,9.850000,9.850000,0
2013-12-16,9.850000,9.850000,9.850000,9.850000,9.850000,0
2013-12-17,9.400000,9.400000,9.400000,9.400000,9.400000,3
2013-12-18,9.400000,9.400000,9.400000,9.400000,9.400000,0
2013-12-19,8.950000,8.950000,8.950000,8.950000,8.950000,550
2013-12-20,8.950000,8.950000,8.950000,8.950000,8.950000,300
2013-12-23,8.600000,8.700000,8.600000,8.650000,8.650000,968
2013-12-24,8.650000,8.650000,8.650000,8.650000,8.650000,0
2013-12-26,8.600000,9.000000,8.600000,8.650000,8.650000,403
2013-12-27,9.050000,9.050000,8.800000,8.900000,8.900000,7640
2013-12-30,8.500000,9.000000,8.500000,9.000000,9.000000,395
2013-12-31,9.000000,9.350000,9.000000,9.300000,9.300000,6
2014-01-01,9.100000,9.300000,8.900000,9.300000,9.300000,2111
2014-01-02,9.100000,9.100000,8.950000,8.950000,8.950000,4199
2014-01-03,9.000000,9.000000,9.000000,9.000000,9.000000,634
2014-01-06,9.000000,9.000000,8.550000,8.600000,8.600000,6704
2014-01-07,8.600000,8.600000,8.600000,8.600000,8.600000,0
2014-01-08,8.900000,8.900000,8.650000,8.750000,8.750000,633
2014-01-09,8.700000,8.750000,8.700000,8.750000,8.750000,5150
2014-01-10,8.800000,8.800000,8.750000,8.750000,8.750000,10635
2014-01-13,8.350000,8.350000,8.300000,8.350000,8.350000,500
2014-01-14,8.400000,8.400000,8.400000,8.400000,8.400000,200
2014-01-15,8.400000,8.400000,8.050000,8.200000,8.200000,1500
2014-01-16,8.200000,9.000000,8.200000,8.800000,8.800000,1753
2014-01-17,8.250000,8.250000,8.250000,8.250000,8.250000,300
2014-01-20,8.100000,8.400000,8.000000,8.350000,8.350000,4325
2014-01-21,8.850000,8.900000,8.850000,8.850000,8.850000,21
2014-01-22,8.400000,8.450000,8.050000,8.200000,8.200000,4200
2014-01-23,8.000000,8.200000,8.000000,8.200000,8.200000,505
2014-01-24,8.000000,9.000000,8.000000,8.300000,8.300000,231
2014-01-27,9.100000,9.100000,7.500000,7.700000,7.700000,5685
2014-01-28,7.800000,8.000000,7.800000,8.000000,8.000000,1550
2014-01-29,7.850000,8.000000,7.750000,7.750000,7.750000,3402
2014-01-30,7.850000,7.950000,7.500000,7.750000,7.750000,1304
2014-01-31,7.850000,7.850000,7.350000,7.400000,7.400000,1466
2014-02-03,7.900000,7.900000,7.500000,7.550000,7.550000,1000
2014-02-04,7.500000,7.800000,7.350000,7.800000,7.800000,350
2014-02-05,7.800000,7.800000,7.800000,7.800000,7.800000,0
2014-02-06,7.600000,7.700000,7.350000,7.650000,7.650000,8765
2014-02-07,7.400000,7.550000,7.350000,7.350000,7.350000,2232
2014-02-10,7.350000,7.350000,6.650000,6.900000,6.900000,3668
2014-02-11,7.150000,7.150000,7.000000,7.000000,7.000000,901
2014-02-12,7.000000,7.000000,7.000000,7.000000,7.000000,169
2014-02-13,7.100000,7.500000,7.000000,7.200000,7.200000,4001
2014-02-14,7.250000,7.750000,7.250000,7.500000,7.500000,4
2014-02-17,7.650000,7.650000,7.650000,7.650000,7.650000,170
2014-02-18,7.150000,7.950000,6.900000,7.200000,7.200000,5231
2014-02-19,7.000000,7.250000,6.900000,7.000000,7.000000,5566
2014-02-20,6.800000,7.000000,6.800000,7.000000,7.000000,2700
2014-02-21,7.050000,7.700000,7.050000,7.500000,7.500000,1902
2014-02-24,6.850000,7.900000,6.800000,7.450000,7.450000,950
2014-02-25,7.600000,7.600000,7.150000,7.500000,7.500000,1154
2014-02-26,7.100000,7.600000,7.050000,7.600000,7.600000,305
2014-02-28,7.100000,7.200000,6.850000,6.950000,6.950000,12222
2014-03-03,6.400000,7.250000,6.350000,6.650000,6.650000,10183
2014-03-04,6.650000,7.200000,6.650000,7.200000,7.200000,4021
2014-03-05,7.250000,7.300000,6.900000,7.100000,7.100000,6350
2014-03-06,7.500000,7.500000,7.000000,7.400000,7.400000,237893
2014-03-07,7.500000,7.500000,6.700000,6.900000,6.900000,145401
2014-03-10,7.350000,7.400000,7.350000,7.400000,7.400000,720
2014-03-11,7.500000,7.500000,7.000000,7.100000,7.100000,7907
2014-03-12,7.500000,7.500000,6.850000,7.050000,7.050000,5749
2014-03-13,6.900000,6.950000,6.350000,6.700000,6.700000,7354
