Date,Open,High,Low,Close,Adj Close,Volume
2008-01-01,46.000000,48.049999,46.000000,47.000000,47.000000,44379
2008-01-02,47.200001,49.250000,45.000000,46.599998,46.599998,133389
2008-01-03,47.299999,48.700001,46.000000,48.500000,48.500000,61887
2008-01-04,45.849998,50.700001,45.849998,50.700001,50.700001,112685
2008-01-07,51.500000,53.250000,51.500000,53.250000,53.250000,24590
2008-01-08,55.950001,55.950001,50.650002,55.099998,55.099998,195344
2008-01-09,52.000000,55.000000,51.150002,51.150002,51.150002,64926
2008-01-10,52.000000,52.000000,48.599998,48.599998,48.599998,48534
2008-01-11,46.299999,49.000000,46.200001,47.000000,47.000000,43397
2008-01-14,44.700001,48.849998,44.700001,46.950001,46.950001,17818
2008-01-15,46.549999,48.900002,46.000000,46.000000,46.000000,41678
2008-01-16,44.099998,46.900002,43.849998,45.950001,45.950001,26490
2008-01-17,46.000000,46.799999,42.450001,44.000000,44.000000,27465
2008-01-18,42.500000,42.500000,40.500000,40.500000,40.500000,19517
2008-01-21,38.549999,39.599998,38.500000,38.500000,38.500000,10257
2008-01-22,36.599998,36.599998,36.599998,36.599998,36.599998,200
2008-01-23,36.000000,37.500000,34.799999,34.799999,34.799999,12773
2008-01-24,33.200001,33.200001,33.200001,33.200001,33.200001,1220
2008-01-25,31.549999,33.200001,31.549999,31.549999,31.549999,15503
2008-01-28,31.150000,31.150000,31.150000,31.150000,31.150000,6026
2008-01-29,29.600000,31.400000,29.600000,29.600000,29.600000,10678
2008-01-30,30.950001,31.000000,28.150000,28.299999,28.299999,11392
2008-01-31,27.049999,29.250000,27.049999,28.250000,28.250000,5893
2008-02-01,29.799999,29.799999,26.950001,27.700001,27.700001,13793
2008-02-04,28.000000,28.549999,27.900000,28.549999,28.549999,3793
2008-02-05,28.549999,30.000000,28.000000,30.000000,30.000000,10557
2008-02-06,28.500000,31.500000,28.500000,31.500000,31.500000,8252
2008-02-07,33.099998,33.099998,30.100000,30.100000,30.100000,12229
2008-02-08,31.500000,31.600000,28.600000,28.750000,28.750000,7745
2008-02-11,27.549999,27.799999,27.350000,27.350000,27.350000,6000
2008-02-12,28.650000,28.650000,26.000000,26.000000,26.000000,9417
2008-02-13,24.700001,25.750000,24.700001,24.750000,24.750000,43014
2008-02-14,24.100000,26.000000,24.100000,26.000000,26.000000,36505
2008-02-15,27.299999,27.299999,27.299999,27.299999,27.299999,7417
2008-02-18,28.500000,28.500000,26.200001,26.350000,26.350000,15651
2008-02-19,26.650000,27.400000,25.750000,25.750000,25.750000,32699
2008-02-20,24.500000,25.500000,24.500000,24.500000,24.500000,21328
2008-02-21,24.250000,25.500000,24.250000,25.000000,25.000000,44670
2008-02-22,25.500000,25.500000,24.200001,24.600000,24.600000,35400
2008-02-25,25.250000,25.799999,23.450001,24.200001,24.200001,18302
2008-02-26,25.400000,25.400000,24.600000,25.400000,25.400000,10645
2008-02-27,25.600000,26.700001,25.600000,26.700001,26.700001,1499
2008-02-28,28.000000,28.049999,28.000000,28.049999,28.049999,3276
2008-02-29,28.000000,29.450001,28.000000,29.450001,29.450001,9345
2008-03-03,28.000000,30.950001,28.000000,29.000000,29.000000,28553
2008-03-04,29.000000,30.500000,28.049999,28.049999,28.049999,7112
2008-03-05,28.600000,28.600000,26.650000,26.650000,26.650000,15180
2008-03-07,27.000000,27.950001,25.350000,25.350000,25.350000,10358
2008-03-10,22.850000,26.000000,22.850000,23.100000,23.100000,24752
2008-03-11,23.000000,25.200001,23.000000,25.200001,25.200001,5403
2008-03-12,26.950001,27.450001,24.250000,24.600000,24.600000,11536
2008-03-13,26.900000,26.900000,24.250000,26.350000,26.350000,25547
2008-03-14,27.900000,27.900000,22.950001,24.600000,24.600000,49931
2008-03-17,26.650000,26.650000,23.500000,26.400000,26.400000,22577
2008-03-18,27.900000,27.900000,24.900000,26.950001,26.950001,33710
2008-03-19,27.000000,27.750000,25.000000,26.049999,26.049999,17033
2008-03-24,24.350000,27.000000,24.100000,27.000000,27.000000,18935
2008-03-25,25.650000,28.950001,24.600000,26.049999,26.049999,13903
2008-03-26,23.700001,26.850000,23.450001,25.400000,25.400000,10437
2008-03-27,26.299999,27.000000,25.650000,26.950001,26.950001,64093
2008-03-28,29.000000,29.650000,27.500000,29.100000,29.100000,12337
2008-03-31,29.100000,32.200001,29.000000,32.200001,32.200001,38783
2008-04-01,31.049999,35.400002,30.299999,35.400002,35.400002,29892
2008-04-02,37.000000,37.000000,35.500000,37.000000,37.000000,13839
2008-04-03,38.849998,38.849998,35.150002,38.000000,38.000000,28648
2008-04-04,38.000000,39.400002,35.650002,35.650002,35.650002,47042
2008-04-07,34.500000,35.000000,33.900002,33.900002,33.900002,16902
2008-04-08,32.799999,35.500000,32.549999,33.049999,33.049999,13837
2008-04-09,33.849998,35.049999,32.349998,34.900002,34.900002,14754
2008-04-10,33.549999,35.000000,33.500000,34.900002,34.900002,21048
2008-04-11,33.799999,36.000000,33.799999,36.000000,36.000000,9405
2008-04-15,36.250000,37.750000,35.500000,36.099998,36.099998,20282
2008-04-16,35.250000,37.549999,35.250000,36.500000,36.500000,12805
