Date,Open,High,Low,Close,Adj Close,Volume
2008-04-08,157.151001,157.151001,124.078003,139.151001,112.536842,11868
2008-04-09,138.102005,139.806000,132.815994,135.306000,109.427238,2591
2008-04-10,136.399002,144.175003,136.311005,144.175003,116.599922,892
2008-04-11,143.738007,143.738007,131.985992,136.311005,110.240005,1187
2008-04-15,133.078003,161.475998,133.035004,146.141006,118.189926,550
2008-04-16,142.427994,161.651001,136.399002,151.470993,122.500481,3218
2008-04-17,155.535004,159.904007,152.912994,157.369995,127.271210,1114
2008-04-21,145.923004,159.904007,145.923004,157.501007,127.377174,1393
2008-04-22,161.651001,161.651001,155.098007,156.626999,126.670349,686
2008-04-23,157.281998,161.651001,149.417999,161.126999,130.309677,1397
2008-04-24,152.912994,170.302002,152.912994,157.938004,127.730629,696
2008-04-25,169.514999,169.514999,151.035004,158.330994,128.048447,839
2008-04-28,151.602997,168.641006,132.160995,152.126999,123.031029,2828
2008-04-29,143.169998,151.908005,143.169998,146.709000,118.649269,521
2008-04-30,143.389008,164.272003,139.893997,149.287003,120.734230,4199
2008-05-02,166.020004,166.020004,152.475998,162.962006,131.793732,3265
2008-05-05,187.865005,187.865005,153.001007,153.001007,123.737885,1037
2008-05-06,176.505997,176.505997,152.389008,156.276993,126.387291,1737
2008-05-07,158.942001,162.524994,148.544006,158.636993,128.295929,2317
2008-05-08,159.904007,165.145996,152.957001,154.005005,124.549873,1907
2008-05-09,151.253006,152.912994,144.612000,145.048996,117.306793,382
2008-05-12,123.161003,150.815994,123.161003,147.714005,119.462059,4982
2008-05-13,149.417999,152.826004,144.044006,150.292007,121.546989,16418
2008-05-14,156.408005,156.975998,150.292007,152.781998,123.560753,1263
2008-05-15,152.039001,160.776993,151.253006,151.820999,122.783546,2440
2008-05-16,157.281998,164.490997,152.257996,157.587997,127.447556,7340
2008-05-20,170.389008,170.389008,148.544006,153.132004,123.843811,1488
2008-05-21,156.365005,159.641006,151.339996,157.281998,127.200066,1043
2008-05-22,161.651001,168.598007,158.593002,166.326004,134.514328,6828
2008-05-23,163.399002,172.923004,163.399002,171.175003,138.435898,5452
2008-05-26,147.496002,171.962006,146.884003,157.412994,127.306030,838
2008-05-27,162.263000,162.263000,153.873993,154.093002,124.621017,352
2008-05-28,136.485992,157.281998,136.485992,147.975998,119.673958,344
2008-05-29,145.399002,165.145996,145.399002,159.684998,129.143478,4717
2008-05-30,180.873993,180.873993,154.878998,166.326004,134.514328,3066
2008-06-02,166.020004,167.679993,159.248001,165.320999,133.701538,2691
2008-06-03,149.854996,164.972000,146.884003,162.438004,131.369934,1919
2008-06-04,165.145996,165.145996,151.166000,157.238007,127.164528,1461
2008-06-05,142.384003,159.904007,142.384003,149.156006,120.628265,167
2008-06-06,145.268005,152.912994,142.427994,148.936996,120.451157,1094
2008-06-09,140.679993,146.796997,136.354996,140.330994,113.491142,398
2008-06-10,135.656006,146.272003,135.656006,136.442001,110.345963,500
2008-06-11,135.436996,152.826004,135.436996,143.563995,116.105789,1171
2008-06-12,136.354996,152.912994,136.311005,148.981003,120.486732,1093
2008-06-13,148.544006,152.912994,145.048996,145.048996,117.306793,270
2008-06-16,140.417999,155.490997,140.417999,147.320999,119.144203,451
2008-06-17,145.835999,157.281998,145.835999,153.962006,124.515083,1750
2008-06-18,147.845001,154.005005,147.669998,153.787003,124.373550,795
2008-06-19,152.039001,153.350006,147.190002,153.350006,124.020119,19
2008-06-20,135.699997,151.776993,135.699997,137.490997,111.194321,859
2008-06-23,139.806000,139.806000,122.417999,127.355003,102.996948,1140
2008-06-24,123.640999,125.607002,113.680000,118.442001,95.788643,892
2008-06-25,98.738297,120.583000,98.738297,115.646004,93.527428,1006
2008-06-26,99.306198,124.777000,99.306198,124.166000,100.417870,41
2008-06-27,104.942001,125.781998,104.942001,110.928001,89.711807,1035
2008-06-30,104.855003,113.549004,104.855003,109.355003,88.439651,542
2008-07-01,88.340103,113.593002,88.340103,99.393600,80.383469,1449
2008-07-02,83.010002,107.039001,83.010002,99.961502,80.842751,5296
2008-07-03,81.699303,104.593002,81.699303,101.228996,81.867836,401
2008-07-04,86.548897,102.889000,86.548897,102.583000,82.962860,2074
2008-07-07,88.252800,117.961998,88.252800,111.669998,90.311882,3705
2008-07-08,96.116898,113.593002,96.116898,111.190002,89.923683,1132
2008-07-09,92.053802,119.928001,92.053802,110.054001,89.004951,4158
2008-07-10,92.228500,115.558998,92.228500,111.190002,89.923683,3437
2008-07-11,95.461502,113.374001,95.461502,105.248001,85.118156,3058
2008-07-14,90.874100,105.946999,90.874100,100.748001,81.478828,2141
2008-07-15,83.883797,103.107002,83.883797,102.889000,83.210342,1558
2008-07-16,91.747902,105.640999,91.747902,99.874199,80.772156,897
2008-07-17,91.747902,102.233002,91.747902,101.533997,82.114494,1178
2008-07-18,97.951797,102.845001,97.951797,102.058998,82.539085,1289
2008-07-21,96.116898,109.136002,96.116898,103.806000,83.951965,187
2008-07-22,96.291603,106.601997,96.291603,104.417999,84.446899,356
2008-07-23,98.956703,110.971001,98.956703,108.175003,87.485344,1299
2008-07-24,98.738297,109.661003,98.738297,106.952003,86.496262,528
2008-07-25,96.990700,113.593002,96.990700,109.310997,88.404060,1263
2008-07-28,112.719002,113.374001,107.475998,113.242996,91.584030,906
2008-07-29,110.971001,110.971001,103.413002,106.777000,86.354729,824
2008-07-30,103.107002,110.533997,103.107002,106.078003,85.789413,1158
2008-07-31,100.704002,108.787003,100.704002,104.855003,84.800316,1946
2008-08-01,91.966400,105.728996,91.966400,103.893997,86.075371,2340
2008-08-04,91.966400,105.466003,91.966400,104.025002,86.183891,430
2008-08-05,91.966400,106.601997,91.966400,105.378998,87.305672,1068
2008-08-06,103.543999,109.442001,99.000397,101.490997,84.084503,7572
2008-08-07,98.956703,107.475998,98.956703,105.029999,87.016525,748
2008-08-08,91.966400,124.952003,91.966400,107.695000,89.224472,7668
2008-08-11,117.087997,118.355003,107.607002,108.612000,89.984192,23622
2008-08-12,115.339996,115.339996,103.325996,105.684998,87.559196,9728
2008-08-13,100.486000,105.728996,99.612000,104.287003,86.400978,3615
2008-08-14,100.486000,106.252998,100.486000,103.543999,85.785400,15151
2008-08-18,100.661003,106.339996,100.661003,102.626999,85.025673,3497
2008-08-19,97.864502,103.893997,97.864502,103.500000,85.748947,856
2008-08-20,99.612000,104.810997,99.612000,102.452003,84.880699,1598
2008-08-21,92.053802,107.039001,92.053802,102.801003,85.169815,2811
2008-08-22,109.223999,122.242996,99.175102,115.646004,95.811821,182268
2008-08-25,119.446999,119.446999,109.223999,110.360001,91.432404,32570
2008-08-26,110.971001,117.525002,106.777000,109.266998,90.526863,28909
2008-08-27,113.549004,114.903000,104.855003,105.334999,87.269226,7502
2008-08-28,113.287003,116.651001,105.116997,106.690002,88.391830,31064
2008-08-29,112.500000,112.500000,105.116997,106.428001,88.174782,6291
2008-09-01,100.704002,106.558998,100.704002,104.855003,86.871567,1332
2008-09-02,104.855003,106.514999,102.713997,103.806000,86.002464,1103
2008-09-04,100.704002,107.169998,100.704002,104.374001,86.473045,2265
2008-09-05,98.345001,104.855003,98.345001,103.195000,85.496262,1766
2008-09-08,100.704002,103.981003,100.704002,102.931999,85.278358,1386
2008-09-09,100.704002,106.558998,100.704002,103.981003,86.147453,1416
2008-09-10,97.078003,110.971001,97.078003,107.213997,88.825974,6467
2008-09-11,110.971001,113.593002,106.863998,107.301003,88.898048,8614
2008-09-12,115.339996,117.087997,103.107002,104.593002,86.654488,7889
