Date,Open,High,Low,Close,Adj Close,Volume
2010-02-24,46.000000,48.299999,26.650000,28.200001,25.524502,61482600
2010-02-25,28.950001,31.750000,27.600000,29.350000,26.565393,12745026
2010-02-26,29.500000,30.299999,27.600000,27.850000,25.207708,3024944
2010-03-02,28.000000,28.700001,26.100000,26.250000,23.759506,1975827
2010-03-03,26.299999,27.549999,25.400000,26.000000,23.533226,3071247
2010-03-04,25.600000,26.850000,25.600000,25.950001,23.487972,1019700
2010-03-05,26.549999,26.549999,25.450001,25.600000,23.171179,815200
2010-03-08,25.799999,26.700001,25.299999,25.549999,23.125919,1481122
2010-03-09,25.500000,26.500000,25.500000,25.650000,23.216433,1278000
2010-03-10,25.700001,26.200001,25.200001,25.350000,22.944897,663900
2010-03-11,25.400000,25.600000,24.549999,24.650000,22.311312,598719
2010-03-12,24.750000,24.900000,23.250000,23.450001,21.225161,663968
2010-03-15,23.250000,23.950001,22.400000,22.799999,20.636829,870550
2010-03-16,23.000000,23.400000,22.750000,22.850000,20.682085,341300
2010-03-17,22.900000,23.450001,22.400000,22.600000,20.455805,574765
2010-03-18,22.400000,23.000000,21.799999,22.000000,19.912731,475166
2010-03-19,22.049999,24.400000,21.650000,23.150000,20.953621,2164600
2010-03-22,23.100000,23.100000,22.250000,22.299999,20.184269,343750
2010-03-23,22.549999,23.950001,22.299999,23.200001,20.998878,1334340
2010-03-25,22.750000,23.750000,22.400000,22.600000,20.455805,318200
2010-03-26,22.850000,23.450001,21.850000,22.000000,19.912731,604388
2010-03-29,21.850000,22.450001,20.450001,20.700001,18.736071,517400
2010-03-30,20.799999,21.650000,20.500000,20.900000,18.917095,644670
2010-03-31,20.650000,21.299999,20.549999,20.650000,18.690815,230500
2010-04-01,20.500000,23.250000,20.500000,22.200001,20.093754,1277071
2010-04-05,22.549999,23.049999,21.900000,22.200001,20.093754,418326
2010-04-06,22.299999,22.600000,22.000000,22.150000,20.048498,169563
2010-04-07,22.250000,22.650000,21.650000,21.900000,19.822218,206557
2010-04-08,21.900000,22.549999,21.750000,21.850000,19.776960,226151
2010-04-09,22.000000,22.250000,21.700001,21.750000,19.686447,152265
2010-04-12,21.700001,22.350000,21.400000,21.549999,19.505424,216528
2010-04-13,21.200001,21.750000,21.100000,21.299999,19.279142,125462
2010-04-15,21.400000,22.049999,21.049999,21.150000,19.143373,425200
2010-04-16,21.250000,21.350000,20.750000,20.850000,18.871838,118342
2010-04-19,20.500000,20.799999,19.799999,20.200001,18.283508,168438
2010-04-20,20.650000,20.650000,20.100000,20.250000,18.328762,135062
2010-04-21,20.700001,20.799999,20.200001,20.299999,18.374018,167400
2010-04-22,20.000000,20.549999,19.900000,20.100000,18.192991,123801
2010-04-23,20.100000,20.400000,19.799999,20.000000,18.102482,109079
2010-04-26,20.100000,20.299999,19.650000,19.850000,17.966715,97625
2010-04-27,19.750000,20.049999,19.299999,19.400000,17.559408,119512
2010-04-28,18.450001,19.250000,18.100000,18.900000,17.106846,111339
2010-04-29,19.000000,19.400000,18.700001,18.799999,17.016329,80600
2010-04-30,18.500000,19.100000,18.500000,18.650000,16.880564,93600
2010-05-03,18.350000,18.750000,18.100000,18.299999,16.563768,107224
2010-05-04,18.049999,18.549999,17.600000,17.750000,16.065954,133395
2010-05-05,17.200001,17.450001,17.049999,17.250000,15.613391,126425
2010-05-06,17.049999,17.500000,17.049999,17.200001,15.568134,78380
2010-05-07,17.000000,17.000000,16.100000,16.299999,14.753522,92327
2010-05-10,16.450001,16.650000,16.299999,16.400000,14.844035,83965
2010-05-11,16.299999,16.500000,15.950000,16.049999,14.527241,72130
2010-05-12,15.800000,18.400000,15.800000,17.900000,16.201721,866900
2010-05-13,18.100000,18.450001,17.100000,17.200001,15.568134,223956
2010-05-14,16.950001,17.200001,16.200001,16.400000,14.844035,85641
2010-05-17,16.200001,16.299999,15.550000,15.750000,14.255706,118181
2010-05-18,15.750000,16.650000,15.600000,16.150000,14.617754,137100
2010-05-19,16.200001,16.200001,15.150000,15.250000,13.803144,117413
2010-05-20,15.700000,15.700000,14.950000,15.100000,13.667374,95834
2010-05-21,15.100000,15.400000,14.350000,14.950000,13.531606,88200
2010-05-24,15.200000,15.650000,15.000000,15.150000,13.712627,128525
2010-05-25,15.600000,15.600000,13.300000,14.400000,13.033787,109590
2010-05-26,14.500000,15.600000,14.450000,14.700000,13.305324,158081
2010-05-27,14.850000,15.300000,14.600000,14.950000,13.531606,73634
2010-05-28,15.000000,15.300000,14.900000,14.950000,13.531606,84300
2010-05-31,15.000000,15.500000,14.800000,15.200000,13.757886,118400
2010-06-01,15.050000,16.200001,15.000000,15.550000,14.074679,166146
2010-06-02,15.600000,16.450001,15.550000,15.650000,14.165191,89000
2010-06-03,16.000000,16.150000,15.500000,15.600000,14.119936,54145
2010-06-04,15.800000,16.150000,15.250000,15.500000,14.029423,53300
2010-06-07,14.900000,15.750000,14.800000,15.150000,13.712627,40800
2010-06-08,15.500000,15.500000,14.900000,15.000000,13.576861,43400
2010-06-09,15.000000,15.350000,14.700000,15.000000,13.576861,71846
2010-06-10,14.900000,15.200000,14.850000,14.900000,13.486350,39800
2010-06-11,15.000000,15.350000,15.000000,15.000000,13.576861,69234
2010-06-14,15.000000,15.250000,14.950000,15.100000,13.667374,39117
2010-06-15,15.100000,15.250000,14.950000,15.000000,13.576861,43100
2010-06-16,15.050000,17.250000,14.550000,16.400000,14.844035,478181
2010-06-17,16.600000,16.900000,15.900000,16.150000,14.617754,135878
2010-06-18,16.299999,16.500000,15.400000,15.550000,14.074679,76421
2010-06-21,16.250000,16.850000,15.900000,16.250000,14.708267,196094
2010-06-22,16.850000,19.500000,16.700001,19.450001,17.604664,2146494
2010-06-23,20.000000,20.250000,18.500000,18.950001,17.152103,1743794
2010-06-24,18.950001,19.400000,18.549999,18.799999,17.016329,294973
2010-06-25,19.000000,19.400000,18.500000,18.700001,16.925821,215977
2010-06-28,18.700001,19.450001,18.700001,18.799999,17.016329,256662
2010-06-29,19.000000,19.000000,18.150000,18.250000,16.518517,96613
2010-06-30,18.200001,19.000000,17.650000,18.500000,16.744795,181176
2010-07-01,18.299999,19.100000,18.150000,18.850000,17.061590,166764
2010-07-02,18.799999,20.100000,18.450001,19.400000,17.559408,387944
2010-07-05,19.500000,19.850000,19.000000,19.100000,17.287874,90381
2010-07-06,19.549999,19.549999,18.600000,18.700001,16.925821,70399
2010-07-07,18.600000,19.150000,18.400000,18.500000,16.744795,145400
2010-07-08,18.700001,19.400000,18.500000,18.650000,16.880564,185572
2010-07-09,18.950001,19.000000,18.150000,18.350000,16.609028,63549
2010-07-12,18.750000,18.799999,18.299999,18.350000,16.609028,45300
2010-07-13,18.650000,18.700001,18.100000,18.150000,16.427999,59487
2010-07-14,18.450001,18.549999,18.000000,18.049999,16.337490,88200
2010-07-15,18.299999,19.500000,18.299999,18.900000,17.106846,393720
2010-07-16,19.200001,19.250000,18.600000,18.900000,17.106846,114800
2010-07-19,18.850000,19.500000,18.500000,19.250000,17.423637,186990
2010-07-20,19.500000,19.700001,18.850000,19.100000,17.287874,150605
2010-07-21,19.200001,19.400000,18.850000,18.900000,17.106846,51411
2010-07-22,18.650000,19.049999,18.500000,18.750000,16.971079,35800
2010-07-23,19.100000,19.350000,18.200001,18.350000,16.609028,84200
2010-07-26,18.950001,18.950001,18.100000,18.200001,16.473259,41794
2010-07-27,18.400000,19.100000,18.000000,18.400000,16.654284,95123
2010-07-28,18.600000,18.600000,18.000000,18.100000,16.382746,52663
2010-07-29,18.100000,18.500000,17.650000,17.750000,16.065954,69791
2010-07-30,18.000000,18.000000,17.450001,17.500000,15.839671,93700
2010-08-02,17.350000,18.100000,17.299999,17.450001,15.794418,49000
2010-08-03,17.450001,17.700001,16.900000,16.950001,15.341853,86792
2010-08-04,17.000000,17.400000,17.000000,17.200001,15.568134,50500
2010-08-05,17.100000,17.700001,16.900000,17.000000,15.387109,63567
2010-08-06,16.900000,17.650000,16.900000,17.100000,15.477624,50956
2010-08-09,17.100000,17.500000,17.100000,17.250000,15.613391,30711
2010-08-10,17.250000,17.500000,17.000000,17.049999,15.432364,34800
