Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,86.500000,95.500000,86.500000,95.500000,53.367466,3986
2002-07-02,99.000000,105.050003,98.000000,105.050003,58.704212,12609
2002-07-03,109.800003,110.300003,109.000000,110.300003,61.638023,3841
2002-07-04,115.849998,115.849998,111.000000,115.849998,64.739487,18798
2002-07-05,121.000000,121.000000,112.349998,113.449997,63.398319,16713
2002-07-08,118.000000,119.099998,114.000000,119.000000,66.499771,13443
2002-07-09,119.000000,119.750000,113.099998,113.849998,63.621841,7926
2002-07-10,112.300003,113.900002,107.000000,107.550003,60.101257,3600
2002-07-11,103.550003,108.000000,103.550003,104.699997,58.508621,5122
2002-07-12,106.000000,110.000000,105.650002,106.949997,59.765953,2785
2002-07-15,107.199997,107.199997,98.800003,102.599998,57.335114,3058
2002-07-16,99.000000,103.000000,99.000000,102.000000,56.999794,1387
2002-07-17,102.000000,103.000000,100.250000,100.349998,56.077755,1519
2002-07-18,101.000000,103.000000,101.000000,102.800003,57.446865,690
2002-07-19,101.000000,102.699997,100.000000,100.300003,56.049809,2235
2002-07-22,109.699997,109.699997,98.000000,98.400002,54.988052,2789
2002-07-23,95.000000,100.250000,95.000000,99.650002,55.686573,1781
2002-07-24,99.250000,100.949997,96.550003,98.800003,55.211582,2677
2002-07-25,98.000000,99.000000,97.599998,98.099998,54.820381,799
2002-07-26,91.099998,96.449997,91.099998,94.800003,52.976292,1181
2002-07-29,92.250000,92.250000,89.300003,90.199997,50.405704,792
2002-07-30,92.500000,94.500000,90.000000,91.199997,50.964554,1200
2002-07-31,84.000000,89.900002,84.000000,87.349998,48.813065,1608
2002-08-01,90.000000,90.000000,87.000000,87.000000,48.617466,1737
2002-08-02,89.800003,89.800003,87.050003,87.250000,48.757183,328
2002-08-05,89.000000,92.900002,89.000000,90.900002,50.796890,565
2002-08-06,94.000000,94.000000,90.000000,91.750000,51.271885,832
2002-08-07,91.000000,91.000000,88.000000,88.099998,49.232197,3360
2002-08-08,89.000000,90.000000,88.550003,89.000000,49.735126,580
2002-08-09,89.000000,92.900002,89.000000,92.900002,51.914555,183
2002-08-12,92.300003,92.300003,88.050003,89.300003,49.902790,377
2002-08-13,88.000000,90.000000,87.000000,87.150002,48.701290,896
2002-08-14,86.050003,88.949997,86.000000,87.300003,48.785141,685
2002-08-15,null,null,null,null,null,null
2002-08-16,88.500000,88.500000,86.000000,86.449997,48.310120,1260
2002-08-19,86.000000,86.000000,83.400002,83.500000,46.661598,1183
2002-08-20,86.900002,86.949997,84.000000,85.000000,47.499847,506
2002-08-21,86.849998,87.000000,86.849998,86.900002,48.561596,180
2002-08-22,89.900002,91.750000,89.000000,89.000000,49.735126,856
2002-08-23,89.849998,91.000000,89.300003,89.300003,49.902790,610
2002-08-26,90.000000,94.900002,90.000000,94.199997,52.640984,1560
2002-08-27,99.900002,101.000000,93.500000,97.250000,54.345387,2059
2002-08-28,92.050003,95.849998,92.050003,95.099998,53.143944,1682
2002-08-29,93.500000,94.550003,90.199997,92.750000,51.830704,1450
2002-08-30,97.000000,97.000000,94.050003,94.800003,52.976292,1030
2002-09-02,94.949997,94.949997,92.050003,93.599998,52.305698,950
2002-09-03,81.000000,93.000000,81.000000,90.400002,50.517467,1539
2002-09-04,null,null,null,null,null,null
2002-09-05,92.900002,92.900002,91.000000,91.099998,50.908657,580
2002-09-06,91.000000,91.000000,89.000000,89.349998,49.930717,384
2002-09-09,90.000000,91.599998,88.599998,89.300003,49.902790,1461
2002-09-10,null,null,null,null,null,null
2002-09-11,89.050003,89.050003,87.650002,88.000000,49.176296,500
2002-09-12,88.050003,90.449997,88.000000,89.449997,49.986588,523
2002-09-13,92.000000,92.000000,88.000000,88.550003,49.483643,770
2002-09-16,87.099998,88.500000,86.550003,88.400002,49.399818,500
2002-09-17,92.599998,92.599998,92.599998,92.599998,51.746880,20
2002-09-18,90.849998,90.900002,89.050003,89.050003,49.763069,180
2002-09-19,87.050003,87.050003,85.650002,85.750000,47.918961,370
2002-09-20,86.050003,88.900002,86.050003,88.150002,49.260113,350
2002-09-23,null,null,null,null,null,null
2002-09-24,85.250000,85.349998,83.699997,83.849998,46.857182,1145
2002-09-25,92.000000,92.000000,85.250000,86.050003,48.086632,145
2002-09-26,92.000000,92.000000,85.050003,86.849998,48.533665,401
2002-09-27,84.250000,85.349998,84.250000,84.699997,47.332195,36
2002-09-30,85.449997,87.000000,83.199997,83.400002,46.605732,302
2002-10-01,83.050003,83.050003,83.050003,83.050003,46.410133,50
2002-10-02,null,null,null,null,null,null
2002-10-03,83.099998,83.099998,82.449997,82.949997,46.354248,598
2002-10-04,83.150002,83.150002,82.900002,82.900002,46.326321,175
2002-10-07,81.300003,83.199997,81.300003,83.099998,46.438076,199
2002-10-08,85.000000,85.000000,84.000000,84.800003,47.388077,2142
2002-10-09,85.300003,87.000000,85.300003,87.000000,48.617466,1025
2002-10-10,86.000000,86.000000,85.000000,85.000000,47.499847,350
