Date,Open,High,Low,Close,Adj Close,Volume
2005-04-20,8.505000,9.145000,8.505000,9.050000,2.454201,6116
2005-04-21,9.105000,9.195000,8.500000,8.935000,2.423016,5320
2005-04-22,9.195000,9.240000,9.030000,9.080000,2.462337,9412
2005-04-25,9.395000,9.395000,9.060000,9.200000,2.494878,1708
2005-04-26,9.400000,9.400000,9.150000,9.155000,2.482676,2584
2005-04-27,9.100000,9.100000,9.025000,9.025000,2.447422,670
2005-04-28,9.055000,9.150000,9.050000,9.140000,2.478608,650
2005-04-29,9.150000,9.400000,8.775000,8.850000,2.399965,1808
2005-05-02,8.810000,8.850000,8.805000,8.850000,2.399965,500
2005-05-03,8.850000,9.315000,8.850000,9.250000,2.508438,8552
2005-05-04,9.065000,10.440000,9.065000,10.110000,2.741655,35642
2005-05-05,10.200000,10.305000,9.600000,9.675000,2.623691,27284
2005-05-06,10.250000,10.250000,9.500000,9.680000,2.625046,9390
2005-05-09,9.560000,10.250000,9.560000,9.940000,2.695554,17350
2005-05-10,9.750000,10.145000,9.750000,9.950000,2.698266,23844
2005-05-11,10.000000,10.475000,9.900000,10.410000,2.823009,53208
2005-05-12,10.565000,11.095000,10.565000,10.965000,2.973516,105462
2005-05-13,11.000000,11.005000,10.455000,10.570000,2.866399,53648
2005-05-16,11.000000,11.000000,10.450000,10.890000,2.953177,51872
2005-05-17,11.250000,11.700000,10.800000,11.130000,3.018261,154518
2005-05-18,11.350000,11.595000,11.150000,11.435000,3.100972,87366
2005-05-19,11.590000,11.690000,11.055000,11.220000,3.042668,61002
2005-05-20,11.320000,12.045000,11.050000,11.515000,3.122666,186428
2005-05-23,11.700000,11.850000,11.450000,11.630000,3.153852,43652
2005-05-24,11.870000,11.870000,11.260000,11.325000,3.071141,39824
2005-05-25,11.550000,11.850000,11.300000,11.335000,3.073853,66964
2005-05-26,11.425000,11.750000,11.260000,11.560000,3.134869,56070
2005-05-27,12.250000,12.250000,11.350000,11.510000,3.121310,77002
2005-05-30,11.635000,11.635000,11.020000,11.125000,3.016904,20432
2005-05-31,11.410000,12.945000,11.105000,11.985000,3.250122,843720
2005-06-01,12.050000,12.365000,11.775000,11.945000,3.239275,406486
2005-06-02,12.000000,12.050000,11.550000,11.645000,3.157920,142660
2005-06-03,11.650000,12.200000,11.530000,11.905000,3.228428,133530
2005-06-06,12.050000,12.210000,11.805000,11.855000,3.214868,93510
2005-06-07,11.940000,11.940000,11.750000,11.800000,3.199952,61240
2005-06-08,11.895000,11.925000,11.405000,11.500000,3.118599,88330
2005-06-09,11.515000,11.750000,11.350000,11.395000,3.090124,48542
2005-06-10,11.420000,11.875000,11.420000,11.705000,3.174191,67010
2005-06-13,11.725000,12.050000,11.605000,11.940000,3.237918,75332
2005-06-14,12.100000,12.805000,12.060000,12.455000,3.377578,321268
2005-06-15,12.625000,13.140000,12.625000,12.780000,3.465712,404506
2005-06-16,12.855000,12.960000,12.200000,12.385000,3.358595,120354
2005-06-17,12.445000,12.550000,12.105000,12.255000,3.323342,69352
2005-06-20,12.325000,12.555000,11.900000,12.005000,3.255545,46538
2005-06-21,11.930000,12.300000,11.850000,12.155000,3.296222,34418
2005-06-22,12.250000,12.250000,12.050000,12.115000,3.285376,30020
2005-06-23,12.395000,12.395000,11.915000,11.990000,3.251478,23406
2005-06-24,12.140000,12.300000,11.900000,12.040000,3.265036,26208
2005-06-27,11.820000,12.250000,11.750000,12.070000,3.273173,19208
2005-06-28,11.900000,11.995000,11.650000,11.785000,3.195886,23556
2005-06-29,12.450000,12.450000,11.715000,12.185000,3.304358,47128
2005-06-30,12.200000,12.285000,12.050000,12.085000,5.196248,23744
2005-07-01,12.075000,12.105000,11.865000,11.935000,5.131754,14244
2005-07-04,11.950000,12.175000,11.950000,12.025000,5.170450,26676
2005-07-05,12.150000,12.175000,11.680000,11.790000,5.069406,30868
2005-07-06,11.995000,12.075000,11.835000,12.015000,5.166150,18848
2005-07-07,11.905000,11.990000,11.750000,11.780000,5.065105,22344
2005-07-08,11.930000,11.990000,11.750000,11.830000,5.086605,16852
2005-07-11,11.975000,12.400000,11.805000,12.235000,5.260744,70038
2005-07-12,12.300000,12.550000,12.250000,12.395000,5.329542,53964
2005-07-13,12.500000,12.690000,12.080000,12.145000,5.222048,39486
2005-07-14,12.150000,12.440000,12.005000,12.200000,5.245696,24258
2005-07-15,12.250000,12.400000,12.105000,12.145000,5.222048,14028
2005-07-18,12.425000,12.425000,12.105000,12.140000,5.219897,21672
2005-07-19,12.150000,12.395000,12.120000,12.205000,5.247847,33294
2005-07-20,12.000000,12.000000,11.250000,11.375000,4.890966,116598
2005-07-21,11.375000,11.590000,11.100000,11.180000,4.807121,37578
2005-07-22,11.100000,11.270000,11.050000,11.090000,4.768423,26594
2005-07-25,11.090000,11.185000,10.805000,10.890000,4.682429,40140
2005-07-26,10.890000,10.995000,10.450000,10.500000,4.514739,41100
2005-07-27,10.745000,11.000000,10.590000,10.820000,4.652330,11090
2005-07-28,null,null,null,null,null,null
2005-07-29,10.850000,10.940000,10.550000,10.580000,4.549135,15646
2005-08-01,10.750000,10.800000,10.545000,10.590000,4.553435,3792
2005-08-02,11.150000,11.200000,10.675000,10.795000,4.641579,9930
2005-08-03,10.940000,10.940000,10.275000,10.385000,4.465292,19508
2005-08-04,10.750000,11.245000,10.400000,10.435000,4.486790,24242
2005-08-05,10.550000,10.550000,10.405000,10.460000,4.497539,14714
2005-08-08,10.380000,10.750000,10.380000,10.565000,4.542686,10908
2005-08-09,10.935000,10.935000,10.465000,10.575000,4.546987,15796
2005-08-10,10.650000,10.700000,10.510000,10.660000,4.583535,7246
2005-08-11,10.750000,10.950000,10.750000,10.905000,4.688877,23886
2005-08-12,10.900000,11.070000,10.900000,10.935000,4.701778,17334
2005-08-16,11.350000,11.350000,10.800000,10.970000,4.716826,21606
2005-08-17,10.560000,10.900000,10.550000,10.845000,4.663079,32878
2005-08-18,10.985000,11.000000,10.775000,10.895000,4.684578,14040
2005-08-19,10.975000,11.100000,10.750000,10.990000,4.725426,74380
2005-08-22,11.000000,11.545000,10.950000,11.255000,4.839369,54646
2005-08-23,11.250000,11.425000,10.850000,11.020000,4.738326,33708
