Date,Open,High,Low,Close,Adj Close,Volume
2007-01-31,83.500000,84.375000,74.750000,74.974998,46.831829,7476
2007-02-01,74.025002,77.000000,70.500000,76.974998,48.081089,2082
2007-02-02,76.000000,76.000000,73.050003,73.050003,45.629417,484
2007-02-05,78.449997,84.400002,77.500000,77.925003,48.674503,1180
2007-02-06,84.000000,84.000000,78.050003,78.050003,48.752571,90
2007-02-07,74.000000,83.000000,74.000000,75.775002,47.331539,4600
2007-02-08,79.625000,79.625000,78.000000,78.050003,48.752571,650
2007-02-09,71.175003,80.000000,71.175003,75.025002,46.863068,1030
2007-02-12,71.800003,71.800003,71.800003,71.800003,44.848625,50
2007-02-13,null,null,null,null,null,null
2007-02-14,null,null,null,null,null,null
2007-02-15,null,null,null,null,null,null
2007-02-19,71.525002,74.500000,71.525002,74.500000,46.535126,404
2007-02-20,72.000000,77.500000,72.000000,74.000000,46.222824,26000
2007-02-21,null,null,null,null,null,null
2007-02-22,72.000000,77.000000,72.000000,74.650002,46.628822,16000
2007-02-23,71.500000,77.750000,71.400002,73.000000,45.598183,52250
2007-02-26,70.650002,70.650002,70.500000,70.500000,44.036598,400
2007-02-27,70.099998,77.224998,70.099998,70.375000,43.958519,140
2007-02-28,69.000000,74.500000,69.000000,71.500000,44.661232,4400
2007-03-01,69.949997,74.050003,69.949997,70.425003,43.989754,8250
2007-03-02,71.000000,71.000000,67.599998,69.625000,43.490047,150
2007-03-05,62.500000,75.000000,62.500000,69.599998,43.474430,28860
2007-03-06,null,null,null,null,null,null
2007-03-07,68.000000,69.250000,67.000000,69.250000,43.255810,520
2007-03-08,70.500000,70.500000,67.500000,69.000000,43.099651,4450
2007-03-09,69.000000,70.000000,69.000000,70.000000,43.724289,110
2007-03-12,null,null,null,null,null,null
2007-03-13,67.025002,73.750000,67.025002,73.000000,45.598183,2130
2007-03-14,73.000000,73.000000,69.000000,69.000000,43.099651,24
2007-03-15,71.000000,72.150002,71.000000,71.974998,44.957932,242
2007-03-16,70.000000,70.000000,67.500000,67.500000,42.162701,256
2007-03-19,65.000000,77.000000,65.000000,67.074997,41.897232,5720
2007-03-20,68.900002,68.900002,67.000000,68.000000,42.475014,2002
2007-03-21,null,null,null,null,null,null
2007-03-22,70.949997,70.949997,67.099998,67.099998,41.912849,1600
2007-03-23,69.949997,69.949997,66.550003,66.550003,41.569302,4000
2007-03-26,66.500000,70.000000,66.000000,66.000000,41.225750,2942
2007-03-28,65.500000,65.500000,64.250000,64.500000,40.288799,1600
2007-03-29,null,null,null,null,null,null
2007-03-30,69.000000,69.000000,69.000000,69.000000,43.099651,2
2007-04-02,65.000000,65.000000,65.000000,65.000000,40.601124,100
2007-04-03,null,null,null,null,null,null
2007-04-04,64.125000,70.000000,64.125000,67.275002,42.022160,252
2007-04-05,65.500000,66.500000,65.500000,66.500000,41.538071,40
2007-04-09,69.500000,69.500000,65.500000,65.525002,40.929054,228
2007-04-10,63.549999,66.000000,63.549999,65.650002,41.007130,550
2007-04-11,null,null,null,null,null,null
2007-04-12,null,null,null,null,null,null
2007-04-13,null,null,null,null,null,null
2007-04-16,null,null,null,null,null,null
2007-04-17,null,null,null,null,null,null
2007-04-18,68.750000,68.750000,65.250000,65.250000,40.757278,148
2007-04-19,65.500000,65.500000,65.500000,65.500000,40.913437,200
2007-04-20,null,null,null,null,null,null
2007-04-23,null,null,null,null,null,null
2007-04-24,null,null,null,null,null,null
2007-04-25,null,null,null,null,null,null
2007-04-26,null,null,null,null,null,null
2007-04-27,null,null,null,null,null,null
2007-04-30,null,null,null,null,null,null
2007-05-03,null,null,null,null,null,null
2007-05-04,null,null,null,null,null,null
2007-05-07,null,null,null,null,null,null
2007-05-08,null,null,null,null,null,null
2007-05-09,null,null,null,null,null,null
2007-05-10,null,null,null,null,null,null
2007-05-11,null,null,null,null,null,null
2007-05-14,61.650002,65.000000,61.650002,63.750000,39.820328,500
2007-05-15,null,null,null,null,null,null
2007-05-16,66.500000,66.500000,66.500000,66.500000,41.538071,100
2007-05-17,null,null,null,null,null,null
2007-05-18,64.050003,67.250000,64.050003,67.150002,41.944080,4760
2007-05-21,null,null,null,null,null,null
2007-05-22,64.000000,65.000000,64.000000,65.000000,40.601124,358
2007-05-23,null,null,null,null,null,null
2007-05-24,null,null,null,null,null,null
2007-05-25,null,null,null,null,null,null
2007-05-28,64.750000,64.750000,64.750000,64.750000,40.444962,54
2007-05-29,64.500000,67.849998,62.049999,62.099998,38.789684,270
2007-05-30,null,null,null,null,null,null
2007-05-31,null,null,null,null,null,null
2007-06-01,61.000000,64.000000,61.000000,64.000000,39.976490,700
2007-06-04,62.500000,62.500000,61.000000,62.500000,39.039543,1258
2007-06-05,61.674999,65.000000,61.674999,62.500000,39.039543,384
2007-06-06,62.500000,65.000000,62.500000,65.000000,40.601124,142
2007-06-07,61.825001,64.550003,61.825001,64.000000,39.976490,48
2007-06-08,61.400002,65.650002,61.400002,65.449997,40.882198,594
2007-06-11,null,null,null,null,null,null
2007-06-12,null,null,null,null,null,null
2007-06-13,null,null,null,null,null,null
2007-06-14,63.049999,63.049999,62.325001,62.325001,38.930233,100
2007-06-15,null,null,null,null,null,null
2007-06-18,null,null,null,null,null,null
2007-06-19,null,null,null,null,null,null
2007-06-20,65.050003,65.250000,64.000000,65.250000,40.757278,600
2007-06-21,68.500000,68.500000,68.500000,68.500000,42.787331,20
2007-06-22,68.550003,68.550003,68.525002,68.525002,42.802944,100
2007-06-25,70.500000,70.500000,70.500000,70.500000,44.036598,1400
2007-06-26,72.000000,73.000000,70.000000,70.074997,43.771126,4620
2007-06-27,70.000000,72.449997,69.974998,72.449997,45.254631,17054
2007-06-28,71.525002,71.525002,71.500000,71.500000,44.661232,400
2007-06-29,70.000000,70.800003,70.000000,70.800003,44.223991,600
2007-07-02,70.500000,71.000000,70.500000,71.000000,44.348911,140
2007-07-03,70.599998,73.250000,70.599998,73.250000,45.754337,228
2007-07-04,73.000000,73.025002,73.000000,73.000000,45.598183,180
2007-07-05,71.500000,75.500000,71.500000,75.500000,47.159763,100
2007-07-06,72.500000,72.500000,70.500000,70.599998,44.099068,500
2007-07-09,73.000000,74.500000,73.000000,73.000000,45.598183,828
2007-07-10,null,null,null,null,null,null
2007-07-11,73.500000,76.849998,73.500000,76.000000,47.472076,3040
2007-07-12,77.500000,82.375000,77.500000,80.074997,50.017456,3008
2007-07-13,80.500000,81.500000,79.000000,79.000000,49.345978,9064
2007-07-16,82.400002,82.400002,73.500000,75.750000,47.315918,2506
2007-07-17,79.849998,81.400002,75.000000,75.000000,46.847443,1500
2007-07-18,75.000000,82.500000,75.000000,81.675003,51.016872,3872
2007-07-19,84.000000,86.500000,80.599998,82.074997,51.266716,4052
2007-07-20,79.500000,84.500000,78.000000,81.849998,51.126175,1424
2007-07-23,75.625000,78.599998,75.625000,77.750000,48.565186,2200
2007-07-24,80.000000,80.099998,80.000000,80.000000,49.970612,350
2007-07-25,84.500000,84.500000,80.125000,80.125000,50.048687,2504
2007-07-26,81.250000,82.250000,81.250000,82.250000,51.376038,400
