Date,Open,High,Low,Close,Adj Close,Volume
2017-07-31,69.400002,72.000000,69.400002,69.400002,69.400002,44519
2017-08-01,66.300003,70.400002,65.949997,68.449997,68.449997,59791
2017-08-02,66.550003,71.849998,65.050003,71.849998,71.849998,63971
2017-08-03,70.150002,75.400002,70.150002,71.199997,71.199997,35334
2017-08-04,68.000000,72.500000,67.650002,70.150002,70.150002,47282
2017-08-07,68.150002,73.650002,66.650002,72.900002,72.900002,46702
2017-08-08,73.650002,74.000000,69.300003,69.599998,69.599998,20854
2017-08-09,66.199997,69.349998,66.150002,66.150002,66.150002,27945
2017-08-10,65.400002,65.400002,62.849998,62.849998,62.849998,2377
2017-08-11,59.750000,60.000000,59.750000,59.799999,59.799999,22141
2017-08-14,58.799999,62.750000,56.900002,61.599998,61.599998,77262
2017-08-16,59.200001,64.650002,58.549999,63.549999,63.549999,52179
2017-08-17,66.650002,66.699997,60.500000,60.900002,60.900002,25355
2017-08-18,58.200001,60.000000,57.900002,57.950001,57.950001,9845
2017-08-21,57.000000,60.799999,55.549999,59.250000,59.250000,16366
2017-08-22,58.099998,62.200001,58.099998,61.299999,61.299999,18276
2017-08-23,60.700001,64.349998,60.700001,64.349998,64.349998,3847
2017-08-24,66.750000,67.550003,65.000000,66.699997,66.699997,25919
2017-08-28,63.549999,68.500000,63.549999,64.949997,64.949997,21801
2017-08-29,66.000000,66.000000,62.000000,62.150002,62.150002,25436
2017-08-30,61.049999,65.250000,61.049999,65.250000,65.250000,25862
2017-08-31,68.500000,68.500000,65.599998,68.500000,68.500000,45687
2017-09-01,70.000000,71.800003,70.000000,71.300003,71.300003,30755
2017-09-04,74.300003,74.849998,71.300003,74.800003,74.800003,26957
2017-09-05,74.849998,78.500000,74.849998,78.500000,78.500000,22471
2017-09-06,82.400002,82.400002,82.400002,82.400002,82.400002,6943
2017-09-07,86.500000,86.500000,78.400002,81.150002,81.150002,72203
2017-09-08,79.000000,83.500000,77.099998,77.150002,77.150002,27175
2017-09-11,80.400002,80.500000,73.599998,79.599998,79.599998,47089
2017-09-12,79.599998,83.550003,78.500000,82.550003,82.550003,40558
2017-09-13,81.000000,83.900002,80.099998,80.699997,80.699997,38876
2017-09-14,81.449997,83.400002,79.099998,79.949997,79.949997,8691
2017-09-15,76.000000,82.000000,76.000000,78.199997,78.199997,8271
2017-09-18,81.400002,82.000000,75.099998,79.550003,79.550003,52629
2017-09-19,79.000000,83.500000,79.000000,83.500000,83.500000,22629
2017-09-20,83.500000,87.650002,82.250000,87.349998,87.349998,12249
2017-09-21,87.000000,90.000000,84.099998,86.000000,86.000000,21007
2017-09-22,83.000000,87.800003,81.699997,83.000000,83.000000,4644
2017-09-25,82.000000,82.000000,78.849998,80.550003,80.550003,10415
2017-09-26,80.550003,81.500000,78.099998,78.849998,78.849998,4235
2017-09-27,81.800003,82.750000,77.000000,77.949997,77.949997,16977
2017-09-28,81.800003,81.800003,76.000000,81.250000,81.250000,15672
2017-09-29,79.000000,84.000000,79.000000,81.099998,81.099998,6539
2017-10-03,78.000000,82.000000,78.000000,80.099998,80.099998,5765
2017-10-04,80.000000,80.000000,77.099998,78.449997,78.449997,3902
2017-10-05,77.250000,82.000000,77.099998,77.449997,77.449997,10516
2017-10-06,77.000000,79.000000,76.099998,77.000000,77.000000,3899
2017-10-09,77.000000,79.900002,75.750000,79.000000,79.000000,9991
2017-10-10,75.500000,81.000000,75.500000,79.849998,79.849998,8503
2017-10-11,83.800003,83.800003,79.500000,83.800003,83.800003,37486
2017-10-12,87.000000,87.949997,84.150002,87.949997,87.949997,42667
2017-10-13,92.300003,92.300003,92.300003,92.300003,92.300003,11469
2017-10-16,96.900002,96.900002,88.000000,92.300003,92.300003,74179
2017-10-17,87.699997,92.900002,87.699997,90.599998,90.599998,10275
2017-10-18,90.000000,95.099998,90.000000,95.099998,95.099998,36169
2017-10-19,96.000000,99.849998,96.000000,99.800003,99.800003,46667
2017-10-23,97.099998,104.750000,97.099998,104.750000,104.750000,10073
2017-10-24,109.949997,109.949997,109.949997,109.949997,109.949997,8917
2017-10-25,115.400002,115.400002,109.000000,115.400002,115.400002,54945
2017-10-26,121.000000,121.000000,112.050003,115.900002,115.900002,17381
2017-10-27,116.500000,121.650002,112.599998,114.599998,114.599998,42596
2017-10-30,111.099998,120.300003,110.500000,117.300003,117.300003,17259
2017-10-31,116.500000,119.500000,115.000000,115.550003,115.550003,6381
2017-11-01,116.000000,120.000000,113.699997,115.000000,115.000000,25506
2017-11-02,111.800003,118.300003,111.300003,116.150002,116.150002,8611
2017-11-03,119.000000,119.800003,112.099998,115.000000,115.000000,8221
2017-11-06,111.500000,120.000000,111.500000,115.050003,115.050003,17427
2017-11-07,115.000000,115.000000,109.400002,109.750000,109.750000,15026
2017-11-08,106.349998,112.000000,106.349998,107.349998,107.349998,3734
2017-11-09,104.000000,111.250000,104.000000,107.000000,107.000000,10719
2017-11-10,105.000000,110.949997,105.000000,108.199997,108.199997,17845
2017-11-13,104.500000,108.849998,104.500000,107.800003,107.800003,3730
2017-11-14,105.000000,106.650002,104.300003,104.550003,104.550003,14149
2017-11-15,100.849998,107.000000,100.500000,101.550003,101.550003,6592
2017-11-16,101.199997,103.800003,97.300003,103.800003,103.800003,12914
2017-11-17,103.800003,105.050003,102.000000,102.050003,102.050003,3439
2017-11-20,106.500000,107.150002,104.000000,104.349998,104.349998,9137
2017-11-21,106.000000,106.000000,104.000000,104.500000,104.500000,14373
2017-11-22,104.000000,105.000000,102.000000,103.800003,103.800003,7108
2017-11-23,102.000000,108.949997,102.000000,105.750000,105.750000,18340
2017-11-24,105.050003,109.900002,105.000000,105.099998,105.099998,8611
2017-11-27,103.000000,110.349998,103.000000,110.349998,110.349998,14678
2017-11-28,111.000000,115.849998,111.000000,115.849998,115.849998,4535
2017-11-29,115.000000,116.000000,112.050003,112.500000,112.500000,3591
2017-11-30,111.000000,111.300003,111.000000,111.099998,111.099998,2063
2017-12-01,116.650002,116.650002,112.050003,114.050003,114.050003,6331
2017-12-04,109.000000,118.000000,109.000000,113.000000,113.000000,3586
2017-12-05,114.000000,118.650002,114.000000,117.400002,117.400002,19917
2017-12-06,117.000000,123.250000,117.000000,123.250000,123.250000,10454
2017-12-07,127.000000,129.000000,118.349998,119.949997,119.949997,11110
2017-12-08,123.500000,124.000000,118.199997,118.949997,118.949997,12226
2017-12-11,124.750000,124.750000,113.599998,116.000000,116.000000,5747
2017-12-12,114.000000,117.500000,113.500000,113.900002,113.900002,4577
2017-12-13,112.000000,113.199997,110.000000,111.250000,111.250000,4591
2017-12-14,111.949997,111.949997,106.099998,108.000000,108.000000,2368
