Date,Open,High,Low,Close,Adj Close,Volume
2003-01-23,34.000000,34.000000,30.000000,30.674999,25.995663,13926
2003-01-24,32.000000,34.849998,28.875000,29.750000,25.211767,8670
2003-01-27,32.000000,32.000000,26.625000,26.625000,22.563467,1688
2003-01-28,28.900000,31.299999,28.900000,30.075001,25.487188,55422
2003-01-29,31.250000,31.250000,29.049999,29.325001,24.851597,7712
2003-01-30,30.000000,32.250000,30.000000,30.475000,25.826168,18930
2003-01-31,30.000000,30.250000,28.750000,29.500000,24.999897,1934
2003-02-03,30.225000,31.250000,29.799999,31.025000,26.292267,8722
2003-02-04,31.000000,31.725000,29.575001,29.725000,25.190577,10794
2003-02-05,31.000000,31.000000,29.100000,29.350000,24.872782,1680
2003-02-06,29.799999,29.799999,29.100000,29.500000,24.999897,810
2003-02-07,29.700001,29.700001,28.750000,29.450001,24.957531,2650
2003-02-10,29.750000,29.750000,28.049999,28.075001,23.792278,808
2003-02-11,28.799999,28.799999,27.125000,27.549999,23.347364,1738
2003-02-12,29.250000,29.250000,26.049999,26.700001,22.627028,4820
2003-02-13,null,null,null,null,null,null
2003-02-14,26.250000,26.250000,24.950001,25.475000,21.588896,4100
2003-02-17,27.150000,29.000000,26.000000,28.549999,24.194818,12810
2003-02-18,29.000000,29.000000,27.025000,27.025000,22.902452,4542
2003-02-19,28.400000,28.400000,26.500000,27.250000,23.093130,3208
2003-02-20,26.500000,26.500000,26.150000,26.500000,22.457541,1046
2003-02-21,26.025000,27.475000,26.025000,26.799999,22.711773,2408
2003-02-24,26.825001,27.250000,25.500000,25.600000,21.694826,4530
2003-02-25,25.025000,25.100000,24.750000,24.750000,20.974493,1898
2003-02-26,25.424999,25.424999,25.000000,25.000000,21.186357,404
2003-02-27,25.450001,25.650000,25.375000,25.424999,21.546520,1600
2003-02-28,25.350000,27.000000,25.250000,26.575001,22.521101,3076
2003-03-03,27.500000,28.500000,26.500000,26.875000,22.775333,3150
2003-03-04,24.650000,24.875000,24.600000,24.875000,21.080423,1598
2003-03-05,24.250000,25.500000,24.250000,24.950001,21.143982,638022
2003-03-06,25.000000,25.000000,24.000000,24.150000,20.466019,12204
2003-03-07,23.400000,24.299999,22.500000,22.674999,19.216024,642008
2003-03-10,22.250000,22.250000,21.049999,21.049999,17.838911,1200
2003-03-11,21.950001,22.475000,21.950001,22.325001,18.919416,906
2003-03-12,22.500000,22.725000,21.750000,21.750000,18.432131,2640
2003-03-13,21.000000,21.700001,21.000000,21.375000,18.114334,1700
2003-03-14,null,null,null,null,null,null
2003-03-17,19.500000,21.000000,19.500000,20.975000,17.775352,10800
2003-03-18,null,null,null,null,null,null
2003-03-19,19.000000,22.500000,19.000000,21.750000,18.432131,25350
2003-03-20,22.000000,22.725000,22.000000,22.450001,19.025351,10700
2003-03-21,22.025000,23.000000,22.000000,22.750000,19.279587,26550
