Date,Open,High,Low,Close,Adj Close,Volume
2015-02-16,4.800000,5.250000,4.800000,4.800000,4.800000,10132
2015-02-18,4.600000,4.600000,4.600000,4.600000,4.600000,6865
2015-02-19,4.400000,4.400000,4.400000,4.400000,4.400000,1000
2015-02-20,4.200000,4.200000,4.200000,4.200000,4.200000,6848
2015-02-23,4.000000,4.000000,4.000000,4.000000,4.000000,2462
2015-02-24,3.800000,3.800000,3.800000,3.800000,3.800000,1133
2015-02-25,3.650000,3.650000,3.650000,3.650000,3.650000,202
2015-02-26,3.500000,3.500000,3.500000,3.500000,3.500000,3122
2015-02-27,3.350000,3.350000,3.350000,3.350000,3.350000,1608
2015-02-28,null,null,null,null,null,null
2015-03-02,2.950000,3.050000,2.900000,2.900000,2.900000,76518
2015-03-03,2.900000,2.900000,2.650000,2.750000,2.750000,35922
2015-03-04,2.500000,3.000000,2.500000,2.900000,2.900000,33933
2015-03-05,2.800000,2.950000,2.800000,2.900000,2.900000,15647
2015-03-09,3.000000,3.000000,2.800000,2.800000,2.800000,6556
2015-03-10,2.900000,2.900000,2.700000,2.700000,2.700000,12746
2015-03-11,2.700000,2.750000,2.600000,2.700000,2.700000,10371
2015-03-12,2.800000,2.800000,2.650000,2.750000,2.750000,7282
2015-03-13,2.650000,2.850000,2.650000,2.700000,2.700000,42478
2015-03-16,2.800000,2.800000,2.600000,2.800000,2.800000,23606
2015-03-17,2.750000,2.900000,2.700000,2.700000,2.700000,47455
2015-03-18,2.600000,2.750000,2.600000,2.600000,2.600000,1742552
2015-03-19,2.550000,2.700000,2.500000,2.600000,2.600000,23445
2015-03-20,2.700000,2.700000,2.500000,2.550000,2.550000,19926
2015-03-23,2.450000,2.500000,2.450000,2.450000,2.450000,14549
2015-03-24,2.450000,2.500000,2.450000,2.450000,2.450000,16059
2015-03-25,2.500000,2.500000,2.350000,2.350000,2.350000,4001
2015-03-26,2.350000,2.350000,2.250000,2.250000,2.250000,2793
2015-03-27,2.150000,2.150000,2.150000,2.150000,2.150000,1616744
2015-03-30,2.050000,2.050000,2.050000,2.050000,2.050000,21942
2015-03-31,1.950000,2.050000,1.950000,1.950000,1.950000,41205
2015-04-01,1.900000,2.000000,1.900000,2.000000,2.000000,118367
2015-04-06,2.100000,2.100000,1.900000,1.900000,1.900000,19791
2015-04-07,1.950000,1.950000,1.850000,1.850000,1.850000,46214
2015-04-08,1.900000,1.900000,1.800000,1.850000,1.850000,55435
2015-04-09,1.850000,1.850000,1.800000,1.800000,1.800000,27551
2015-04-10,1.800000,1.800000,1.750000,1.750000,1.750000,215293
2015-04-13,1.750000,1.800000,1.700000,1.800000,1.800000,142579
2015-04-15,1.800000,1.800000,1.750000,1.750000,1.750000,119407
2015-04-16,1.750000,1.800000,1.700000,1.750000,1.750000,95859
2015-04-17,1.700000,1.750000,1.700000,1.750000,1.750000,55303
2015-04-20,1.750000,1.750000,1.700000,1.750000,1.750000,56604
2015-04-21,1.800000,1.800000,1.700000,1.700000,1.700000,86162
2015-04-22,1.650000,1.650000,1.650000,1.650000,1.650000,35575
2015-04-23,1.650000,1.700000,1.650000,1.700000,1.700000,7132
2015-04-24,1.750000,1.750000,1.650000,1.700000,1.700000,31410
2015-04-27,1.750000,1.750000,1.650000,1.700000,1.700000,34050
2015-04-28,1.650000,1.750000,1.650000,1.650000,1.650000,11875
2015-04-29,1.700000,1.700000,1.700000,1.700000,1.700000,49102
2015-04-30,1.750000,1.750000,1.700000,1.700000,1.700000,11606
2015-05-04,1.700000,1.850000,1.700000,1.850000,1.850000,43401
2015-05-05,1.750000,2.000000,1.750000,2.000000,2.000000,55824
