Date,Open,High,Low,Close,Adj Close,Volume
2008-06-30,186.431000,190.604996,177.839996,179.417999,165.159882,36195
2008-07-01,185.727997,186.014999,171.386002,173.522995,159.733353,26419
2008-07-02,169.664993,189.169998,169.664993,188.287994,173.324966,26747
2008-07-03,null,null,null,null,null,null
2008-07-04,186.438004,211.522003,186.438004,202.507996,186.414932,145231
2008-07-07,212.977997,221.569000,210.253006,213.695007,196.712906,167306
2008-07-08,212.977997,232.770004,206.524002,224.738007,206.878342,385219
2008-07-09,null,null,null,null,null,null
2008-07-10,229.328003,233.057007,219.145004,222.292999,204.627625,120346
2008-07-11,null,null,null,null,null,null
2008-07-14,null,null,null,null,null,null
2008-07-15,null,null,null,null,null,null
2008-07-16,197.919006,202.938995,191.772995,194.412003,178.962326,115898
2008-07-17,200.501007,215.128998,196.628006,206.251999,189.861389,211791
2008-07-18,null,null,null,null,null,null
2008-07-21,null,null,null,null,null,null
2008-07-22,null,null,null,null,null,null
2008-07-23,null,null,null,null,null,null
2008-07-24,null,null,null,null,null,null
2008-07-25,null,null,null,null,null,null
2008-07-28,233.057007,248.145004,233.057007,240.923004,221.777161,392478
2008-07-29,null,null,null,null,null,null
2008-07-30,null,null,null,null,null,null
2008-07-31,null,null,null,null,null,null
2008-08-01,234.061005,238.076004,230.345993,235.207993,216.516296,222445
2008-08-04,238.649994,243.669998,236.942993,239.617996,220.575836,239047
2008-08-05,239.511002,242.235992,236.076004,237.209000,218.358261,91319
2008-08-06,null,null,null,null,null,null
2008-08-07,225.886002,236.212006,224.681000,231.580002,213.176605,55167
2008-08-08,null,null,null,null,null,null
2008-08-11,238.220001,239.796997,235.350998,237.431000,218.562622,69558
2008-08-12,null,null,null,null,null,null
2008-08-13,null,null,null,null,null,null
2008-08-14,null,null,null,null,null,null
2008-08-18,null,null,null,null,null,null
2008-08-19,235.925003,235.925003,230.690002,233.035004,214.515991,73365
2008-08-20,235.925003,236.492004,230.546997,232.826996,214.324524,53431
2008-08-21,null,null,null,null,null,null
2008-08-22,null,null,null,null,null,null
2008-08-25,null,null,null,null,null,null
2008-08-26,219.432007,222.257004,217.710999,219.481995,202.040009,28113
2008-08-27,219.876999,221.582993,210.826996,213.264999,196.317047,60494
2008-08-28,null,null,null,null,null,null
2008-08-29,217.136993,220.865997,208.819000,218.822006,201.432480,37031
2008-09-01,217.330994,230.761993,217.287994,229.313995,211.090668,79731
2008-09-02,230.904999,237.302002,230.203003,236.046997,217.288620,113945
2008-09-04,null,null,null,null,null,null
2008-09-05,223.024994,238.076004,223.024994,233.436996,214.886063,99526
2008-09-08,null,null,null,null,null,null
2008-09-09,null,null,null,null,null,null
2008-09-10,226.459000,235.207993,224.451996,227.197998,209.142838,259644
2008-09-11,223.733994,228.037003,223.031998,225.863998,207.914841,144415
2008-09-12,null,null,null,null,null,null
2008-09-15,228.037003,228.037003,212.261002,215.128998,198.032928,130219
2008-09-16,null,null,null,null,null,null
2008-09-17,null,null,null,null,null,null
2008-09-18,null,null,null,null,null,null
2008-09-19,null,null,null,null,null,null
2008-09-22,224.436996,225.018005,220.162994,222.358002,204.687469,137708
2008-09-23,217.998001,222.013000,213.695007,215.121994,198.026505,83427
2008-09-24,null,null,null,null,null,null
2008-09-25,219.432007,222.149994,215.128998,219.854996,202.383392,102252
2008-09-26,null,null,null,null,null,null
2008-09-29,null,null,null,null,null,null
2008-09-30,null,null,null,null,null,null
2008-10-01,null,null,null,null,null,null
2008-10-03,null,null,null,null,null,null
2008-10-06,null,null,null,null,null,null
2008-10-07,180.709000,187.865005,173.537994,174.261993,160.413605,636531
2008-10-08,null,null,null,null,null,null
2008-10-10,null,null,null,null,null,null
2008-10-13,149.128006,149.716003,136.535004,146.690002,135.032715,297498
2008-10-14,null,null,null,null,null,null
2008-10-15,149.873001,149.873001,125.636002,129.565002,119.268631,168757
2008-10-16,124.359001,133.164993,115.739998,129.371994,119.090942,269078
2008-10-17,null,null,null,null,null,null
2008-10-20,null,null,null,null,null,null
2008-10-21,126.932999,136.822006,124.775002,132.957001,122.391075,173275
2008-10-22,136.248993,138.723007,129.113007,131.192993,120.767227,146489
2008-10-23,null,null,null,null,null,null
2008-10-24,null,null,null,null,null,null
2008-10-27,null,null,null,null,null,null
2008-10-29,128.001999,128.001999,116.348999,120.688004,111.097061,113040
2008-10-31,null,null,null,null,null,null
2008-11-03,132.339996,141.985001,129.794998,139.869995,128.754684,279909
2008-11-04,null,null,null,null,null,null
2008-11-05,144.207993,144.639008,124.057999,125.994003,115.981392,122516
2008-11-06,null,null,null,null,null,null
2008-11-07,null,null,null,null,null,null
2008-11-10,128.360992,132.662994,127.714996,130.798996,120.404549,113703
2008-11-11,130.798996,130.798996,124.954002,125.994003,115.981392,73933
2008-11-12,null,null,null,null,null,null
2008-11-14,null,null,null,null,null,null
2008-11-17,121.906998,121.906998,109.716003,111.293999,102.449600,81932
2008-11-18,111.150002,111.150002,106.488998,107.134003,98.620193,51923
2008-11-19,110.432999,110.432999,100.572998,101.612999,93.537926,82409
2008-11-20,100.393997,105.197998,95.553299,102.544998,94.395874,66674
2008-11-21,null,null,null,null,null,null
2008-11-24,100.393997,103.405998,100.107002,101.720001,93.636436,39122
2008-11-25,102.653000,109.286003,101.253998,102.222000,94.098541,124096
2008-11-26,null,null,null,null,null,null
2008-11-27,null,null,null,null,null,null
2008-11-28,98.242401,102.185997,96.808197,99.676598,91.755424,42361
2008-12-01,101.755997,101.755997,96.808197,97.525299,89.775078,18813
2008-12-02,null,null,null,null,null,null
2008-12-03,109.357002,109.357002,100.393997,104.230003,95.946960,84558
2008-12-04,null,null,null,null,null,null
2008-12-05,null,null,null,null,null,null
2008-12-08,null,null,null,null,null,null
2008-12-10,null,null,null,null,null,null
2008-12-11,101.828003,107.995003,101.218002,105.485001,97.102234,136649
2008-12-12,null,null,null,null,null,null
2008-12-15,105.413002,114.736000,103.978996,112.620003,103.670219,150226
2008-12-16,114.736000,127.106003,114.736000,125.528000,115.552422,360118
2008-12-17,null,null,null,null,null,null
2008-12-18,null,null,null,null,null,null
2008-12-19,null,null,null,null,null,null
2008-12-22,125.491997,131.945999,124.416000,129.901993,119.578827,130431
2008-12-23,130.511993,131.731003,124.775002,129.794998,119.480324,119565
2008-12-24,129.078003,135.817993,124.057999,134.311996,123.638374,176693
2008-12-26,133.380005,140.085007,132.662994,135.209000,124.464088,152246
2008-12-29,136.069000,145.570999,129.865997,143.886002,132.451569,113466
2008-12-30,null,null,null,null,null,null
