Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,0.653000,0.667330,0.653000,0.654720,0.150278,22763
2002-07-02,0.670200,0.687970,0.661600,0.681090,0.156331,125848
2002-07-03,0.687970,0.743010,0.687970,0.704600,0.161727,145384
2002-07-04,0.715490,0.733840,0.713200,0.725240,0.166465,142052
2002-07-05,0.716640,0.737280,0.716640,0.724660,0.166332,86637
2002-07-08,0.733840,0.753330,0.731540,0.739000,0.169623,162390
2002-07-09,0.748740,0.847350,0.746450,0.804350,0.184623,359701
2002-07-10,0.837030,0.945960,0.828430,0.925900,0.212523,1114737
2002-07-11,0.927620,1.036540,0.905830,0.961440,0.220680,3678813
2002-07-12,0.986090,1.009030,0.928760,0.942520,0.216337,782055
2002-07-15,0.951690,0.974630,0.856520,0.872000,0.200151,474560
2002-07-16,0.859960,0.882900,0.825570,0.835890,0.191863,247144
2002-07-17,0.818690,0.869710,0.816390,0.859960,0.197387,244545
2002-07-18,0.860540,0.888060,0.859960,0.868560,0.199361,99301
2002-07-19,0.877160,0.890350,0.853090,0.859390,0.197257,205299
2002-07-22,0.859960,0.859960,0.802630,0.812950,0.186597,131604
2002-07-23,0.819830,0.835310,0.809510,0.822700,0.188835,67956
2002-07-24,0.831300,0.831300,0.802630,0.808370,0.185546,62776
2002-07-25,0.848500,0.848500,0.798050,0.806650,0.185151,95359
2002-07-26,0.812950,0.814100,0.745300,0.775110,0.177912,85503
2002-07-29,0.711480,0.767660,0.711480,0.752180,0.172648,94800
2002-07-30,0.825570,0.825570,0.740140,0.746450,0.171333,88556
2002-07-31,0.690270,0.744730,0.689690,0.737280,0.169228,40135
2002-08-01,0.710900,0.833590,0.710900,0.742440,0.170413,50409
2002-08-02,0.753900,0.753900,0.742440,0.749320,0.171992,12820
2002-08-05,0.694280,0.765370,0.694280,0.763080,0.175150,59584
2002-08-06,0.767090,0.779130,0.763080,0.773400,0.177519,48054
2002-08-07,0.768240,0.799770,0.768240,0.781420,0.179360,39943
2002-08-08,0.779700,0.779700,0.758490,0.764220,0.175412,33664
2002-08-09,0.745300,0.791170,0.734980,0.779700,0.178965,54944
2002-08-12,0.799190,0.842770,0.785430,0.828430,0.190150,81038
2002-08-13,0.805500,0.842190,0.805500,0.814100,0.186861,40118
2002-08-14,0.814100,0.815250,0.790020,0.806070,0.185018,41949
2002-08-15,null,null,null,null,null,null
2002-08-16,0.842770,0.842770,0.775110,0.786580,0.180544,17512
2002-08-19,0.751610,0.785430,0.751040,0.781990,0.179491,37938
2002-08-20,0.778550,0.779700,0.775110,0.775110,0.177912,17443
2002-08-21,0.773970,0.782570,0.768240,0.772820,0.177386,16134
2002-08-22,0.768240,0.773970,0.768240,0.768240,0.176335,6977
2002-08-23,0.775110,0.779700,0.768240,0.769960,0.176730,64625
2002-08-26,0.773970,0.791170,0.769960,0.772250,0.177255,53409
2002-08-27,0.782570,0.791170,0.769960,0.773970,0.177650,24245
2002-08-28,0.773970,0.801490,0.773970,0.798620,0.183308,41862
2002-08-29,0.769960,0.773970,0.769960,0.771680,0.177124,13518
2002-08-30,0.769380,0.779700,0.768240,0.769960,0.176730,13082
