Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,1.295000,1.375000,1.295000,1.372500,20.340862,21640
2002-07-02,1.380000,1.380000,1.325000,1.329500,19.703585,14300
2002-07-03,1.358500,1.450000,1.351000,1.368500,20.281584,185700
2002-07-04,1.375000,1.415000,1.375000,1.401500,20.770647,41690
2002-07-05,1.400000,1.410000,1.380500,1.395500,20.681728,310550
2002-07-08,1.408500,1.410000,1.375500,1.395000,20.674320,12430
2002-07-09,1.380000,1.435000,1.380000,1.408500,20.874390,27670
2002-07-10,1.400000,1.405000,1.385000,1.397000,20.703962,20690
2002-07-11,1.365000,1.405000,1.365000,1.384000,20.511293,15000
2002-07-12,1.375000,1.375000,1.355000,1.375000,20.377916,3850
2002-07-15,1.360000,1.360000,1.327000,1.344000,19.918488,6660
2002-07-16,1.340000,1.340000,1.310500,1.320500,19.570206,11600
2002-07-17,1.335000,1.340000,1.295000,1.327000,19.666538,13570
2002-07-18,1.310500,1.350000,1.310500,1.348500,19.985174,8580
2002-07-19,1.326000,1.359000,1.326000,1.345000,19.933311,11330
2002-07-22,1.344500,1.355000,1.336500,1.346000,19.948124,49460
2002-07-23,1.260000,1.335000,1.255000,1.327000,19.666538,5100
2002-07-24,1.330000,1.345000,1.330000,1.344500,19.925892,17600
2002-07-25,1.345000,1.358500,1.330000,1.348000,19.977770,32310
2002-07-26,1.323500,1.336000,1.316500,1.328500,19.688768,10360
2002-07-29,1.312500,1.330000,1.307000,1.330000,19.711004,31630
2002-07-30,1.325000,1.330000,1.313000,1.321000,19.577620,14450
2002-07-31,1.275000,1.275000,1.230500,1.255000,18.599482,154090
2002-08-01,1.270500,1.277500,1.250000,1.256500,18.621708,8700
2002-08-02,1.228500,1.297500,1.205500,1.222500,18.117819,16710
2002-08-05,1.250000,1.260000,1.180000,1.193000,17.680624,10900
2002-08-06,1.219500,1.219500,1.190000,1.198000,17.754721,6880
2002-08-07,1.205000,1.225000,1.192000,1.196500,17.732489,14490
2002-08-08,1.200000,1.205000,1.191000,1.197500,17.747307,2900
2002-08-09,1.198500,1.245000,1.185000,1.210000,17.932568,14240
2002-08-12,1.217500,1.225000,1.215000,1.217500,18.043715,5120
2002-08-13,1.212500,1.219500,1.205000,1.211500,17.954794,1870
2002-08-14,1.190500,1.199500,1.170000,1.177000,17.443497,6540
2002-08-15,null,null,null,null,null,null
2002-08-16,1.180000,1.184000,1.140500,1.145500,16.976652,6650
2002-08-19,1.179000,1.198000,1.163500,1.197000,17.739906,10510
2002-08-20,1.200000,1.212500,1.180000,1.197000,17.739906,3540
2002-08-21,1.190000,1.200000,1.190000,1.200000,17.784359,1500
2002-08-22,1.200000,1.215000,1.200000,1.215000,18.006668,2010
2002-08-23,1.212500,1.212500,1.211500,1.211500,17.954794,700
2002-08-26,1.210000,1.210000,1.190000,1.195500,17.717669,4320
2002-08-27,1.199500,1.199500,1.185000,1.188500,17.613926,3610
2002-08-28,1.200000,1.207500,1.185000,1.207500,17.895514,6550
2002-08-29,1.209000,1.224000,1.200000,1.224000,18.140051,7900
2002-08-30,1.202000,1.220000,1.202000,1.204000,17.843645,5130
2002-09-02,1.205000,1.232500,1.182500,1.191000,17.650982,8910
2002-09-03,1.190500,1.200000,1.185000,1.200000,17.784359,800
2002-09-04,1.200000,1.200000,1.170500,1.175500,17.421263,1340
2002-09-05,1.181000,1.225000,1.180000,1.204000,17.843645,22310
2002-09-06,1.182500,1.182500,1.180000,1.180000,17.487955,250
2002-09-09,1.180500,1.180500,1.125000,1.139000,16.880323,14860
2002-09-10,null,null,null,null,null,null
2002-09-11,1.160000,1.160000,1.123000,1.136500,16.843269,10000
2002-09-12,1.140000,1.150000,1.117000,1.147000,-3.972290,2270
2002-09-13,1.115500,1.145000,1.115000,1.126500,-3.901295,13750
2002-09-16,1.135000,1.149000,1.110000,1.112500,-3.852809,5770
2002-09-17,1.115000,1.115000,1.091500,1.110000,-3.844152,1230
2002-09-18,1.095000,1.095000,1.080500,1.089000,-3.771425,6750
2002-09-19,1.085000,1.085000,1.011000,1.042500,-3.610386,12360
2002-09-20,1.030000,1.059500,1.030000,1.044000,-3.615582,1020
2002-09-23,1.055000,1.055000,1.035000,1.037500,-3.593070,1070
2002-09-24,1.026000,1.035000,1.006500,1.008000,-3.490906,9280
2002-09-25,1.000000,1.000000,0.972500,0.976000,-3.380083,13770
2002-09-26,0.975000,0.979500,0.955500,0.959000,-3.321208,16180
2002-09-27,0.940000,0.949000,0.934500,0.935000,-3.238092,18070
2002-09-30,0.930000,0.980000,0.925000,0.957000,-3.314282,11200
2002-10-01,0.992500,0.992500,0.965000,0.987500,-3.419910,66820
2002-10-02,null,null,null,null,null,null
