Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,35.900002,36.000000,35.200001,35.900002,19.194588,337973
2002-07-02,36.500000,36.750000,35.650002,36.500000,19.515387,409342
2002-07-03,36.900002,36.900002,35.250000,35.799999,19.141121,162212
2002-07-04,35.599998,36.400002,35.200001,36.000000,19.248053,217367
2002-07-05,36.250000,36.599998,35.750000,36.400002,19.461924,290027
2002-07-08,37.000000,40.650002,35.450001,38.450001,20.557991,1412336
2002-07-09,38.700001,39.500000,36.950001,36.950001,19.755989,409085
2002-07-10,36.549999,38.150002,36.500000,36.849998,19.702518,430638
2002-07-11,36.750000,37.099998,36.000000,36.849998,19.702518,448018
2002-07-12,37.099998,38.250000,36.599998,37.099998,19.836189,352193
2002-07-15,38.000000,38.000000,35.900002,36.950001,19.755989,448140
2002-07-16,37.250000,37.250000,36.000000,36.650002,19.595589,264812
2002-07-17,36.049999,36.599998,35.500000,36.450001,19.488659,335007
2002-07-18,36.500000,37.799999,36.500000,37.200001,19.889654,239622
2002-07-19,37.000000,37.349998,36.500000,36.950001,19.755989,240466
2002-07-22,36.000000,38.500000,35.500000,37.650002,20.130257,580005
2002-07-23,36.750000,37.250000,36.450001,36.950001,19.755989,229315
2002-07-24,36.900002,37.950001,35.500000,35.700001,19.087654,321993
2002-07-25,34.000000,36.900002,34.000000,34.849998,18.633184,330987
2002-07-26,34.500000,34.500000,33.500000,33.950001,18.151981,177907
2002-07-29,32.650002,33.099998,28.750000,30.799999,17.776823,152596
2002-07-30,32.750000,32.750000,29.150000,29.700001,17.141939,137087
2002-07-31,29.000000,30.700001,27.150000,29.650000,17.113077,129453
2002-08-01,29.500000,30.799999,29.100000,29.500000,17.026506,70716
2002-08-02,28.900000,29.500000,28.299999,28.900000,16.680202,66266
2002-08-05,30.000000,33.049999,29.000000,31.250000,18.036549,206738
2002-08-06,31.200001,31.250000,30.049999,30.799999,17.776823,67441
2002-08-07,31.250000,31.750000,30.850000,31.049999,17.921112,46670
2002-08-08,31.000000,31.250000,29.600000,29.900000,17.257370,29022
2002-08-09,29.750000,30.200001,29.000000,29.549999,17.055361,31611
2002-08-12,29.750000,30.250000,29.549999,29.700001,17.141939,16526
2002-08-13,29.900000,30.000000,29.600000,29.750000,17.170795,18889
2002-08-14,29.100000,30.000000,29.000000,29.299999,16.911068,24840
2002-08-15,null,null,null,null,null,null
2002-08-16,30.750000,30.750000,29.000000,29.100000,16.795633,18029
2002-08-19,29.049999,29.700001,28.500000,28.600000,16.507048,27874
2002-08-20,28.700001,29.100000,27.549999,28.299999,16.333899,44943
2002-08-21,28.900000,29.000000,28.150000,28.400000,16.391615,20098
2002-08-22,28.500000,34.000000,28.049999,30.350000,17.517097,43748
2002-08-23,29.900000,29.950001,28.400000,28.799999,16.622486,39831
2002-08-26,29.700001,29.700001,28.750000,28.850000,16.651344,17298
2002-08-27,29.250000,29.250000,28.750000,28.799999,16.622486,25928
2002-08-28,28.500000,28.799999,27.450001,27.700001,15.987597,35508
2002-08-29,27.950001,27.950001,27.200001,27.500000,15.872164,26128
2002-08-30,25.500000,27.900000,25.500000,27.299999,15.756729,28568
2002-09-02,28.400000,28.400000,27.250000,28.000000,16.160749,22266
2002-09-03,27.750000,28.000000,27.400000,27.500000,15.872164,17979
2002-09-04,27.200001,27.500000,26.650000,27.100000,15.641297,48303
2002-09-05,27.200001,27.200001,26.799999,26.900000,15.525862,18779
2002-09-06,27.000000,27.000000,26.000000,26.299999,15.179559,58350
2002-09-09,26.500000,26.500000,25.200001,25.350000,14.631248,59943
2002-09-10,null,null,null,null,null,null
2002-09-11,25.350000,26.000000,25.350000,25.600000,14.775541,32555
2002-09-12,26.000000,26.650000,25.600000,25.799999,14.890977,24117
2002-09-13,24.000000,27.850000,23.000000,27.350000,15.785587,120227
2002-09-16,27.500000,27.600000,25.900000,26.000000,15.006411,53446
2002-09-17,26.500000,26.500000,25.799999,25.950001,14.977551,26472
2002-09-18,26.000000,26.200001,25.750000,25.799999,14.890977,15676
2002-09-19,25.400000,25.950001,23.750000,24.799999,14.313807,82789
2002-09-20,24.000000,25.000000,24.000000,24.900000,14.371521,29216
2002-09-23,24.850000,25.000000,24.700001,24.850000,14.342664,42219
2002-09-24,24.500000,25.250000,24.500000,25.000000,14.429239,25120
2002-09-25,24.650000,25.700001,24.549999,25.549999,14.746683,23669
2002-09-26,25.549999,26.100000,25.250000,25.900000,14.948692,18169
2002-09-27,26.600000,26.600000,25.900000,26.100000,15.064128,10621
2002-09-30,26.100000,26.400000,25.600000,26.000000,15.006411,19647
2002-10-01,25.950001,26.900000,25.600000,25.950001,14.977551,25381
2002-10-02,null,null,null,null,null,null
2002-10-03,26.400000,26.400000,25.950001,26.049999,15.035268,11258
2002-10-04,26.000000,26.250000,25.900000,25.950001,14.977551,20818
2002-10-07,26.500000,27.900000,26.299999,27.250000,15.727874,74471
2002-10-08,27.500000,28.000000,27.049999,27.100000,15.641297,41141
2002-10-09,27.850000,28.200001,26.650000,26.799999,15.468146,20453
2002-10-10,26.600000,26.750000,26.000000,26.100000,15.064128,27660
2002-10-11,26.150000,26.700001,26.000000,26.549999,15.323851,16212
2002-10-14,26.600000,26.799999,26.200001,26.500000,15.294993,7822
2002-10-15,null,null,null,null,null,null
2002-10-16,26.549999,26.850000,26.500000,26.700001,15.410430,23698
2002-10-17,26.200001,26.700001,26.200001,26.500000,15.294993,10060
2002-10-18,27.000000,27.000000,26.500000,26.600000,15.352711,17909
2002-10-21,26.500000,27.049999,26.500000,26.650000,15.381571,16910
2002-10-22,26.049999,26.500000,26.049999,26.350000,15.208421,13553
2002-10-23,25.200001,26.549999,25.200001,26.150000,15.092986,13426
2002-10-24,25.549999,26.350000,25.549999,25.750000,14.862121,16329
2002-10-25,25.450001,26.000000,25.200001,25.750000,14.862121,21689
2002-10-28,25.000000,25.900000,24.900000,25.350000,14.631248,45816
2002-10-29,26.000000,26.100000,25.500000,25.950001,14.977551,65662
2002-10-30,26.250000,26.450001,25.950001,26.049999,15.035268,8964
2002-10-31,26.400000,26.500000,26.150000,26.200001,15.121843,7109
2002-11-01,25.450001,26.750000,25.450001,26.250000,15.150702,12253
2002-11-04,27.500000,27.500000,26.250000,26.950001,15.554721,11694
2002-11-05,28.250000,28.250000,26.500000,27.000000,15.583577,6805
2002-11-06,null,null,null,null,null,null
2002-11-07,27.000000,27.500000,26.500000,27.299999,15.756729,15421
2002-11-08,27.000000,27.299999,26.900000,26.950001,15.554721,12898
2002-11-11,26.600000,27.000000,26.600000,26.750000,15.439286,9122
2002-11-12,26.950001,27.200001,26.549999,27.150000,15.670156,17759
2002-11-13,26.750000,27.250000,26.700001,27.150000,15.670156,33555
2002-11-14,27.000000,27.250000,27.000000,27.000000,15.583577,18918
2002-11-15,27.000000,27.450001,27.000000,27.250000,15.727874,15786
2002-11-18,27.500000,28.200001,27.500000,28.000000,16.160749,35754
2002-11-19,null,null,null,null,null,null
2002-11-20,27.500000,28.750000,27.500000,27.850000,16.074171,37345
2002-11-21,28.299999,29.299999,28.000000,28.000000,16.160749,31195
2002-11-22,28.049999,28.549999,28.049999,28.250000,16.305042,32633
2002-11-25,28.000000,28.400000,27.549999,28.250000,16.305042,25544
2002-11-26,28.799999,28.799999,28.100000,28.350000,16.362759,25093
2002-11-27,28.500000,28.700001,28.150000,28.250000,16.305042,22844
2002-11-28,28.650000,28.650000,28.049999,28.150000,16.247322,13836
2002-11-29,28.150000,29.150000,28.049999,28.950001,16.709059,31477
2002-12-02,29.500000,29.799999,29.000000,29.100000,16.795633,38166
2002-12-03,29.650000,29.799999,28.600000,28.700001,16.564768,30352
2002-12-04,28.250000,28.549999,28.100000,28.250000,16.305042,16353
2002-12-05,28.250000,29.000000,28.150000,28.900000,16.680202,23614
2002-12-06,29.500000,33.000000,29.350000,29.700001,17.141939,134155
2002-12-09,30.000000,30.500000,29.350000,29.500000,17.026506,60295
2002-12-10,28.750000,30.000000,28.750000,29.700001,17.141939,23853
2002-12-11,29.850000,30.250000,29.750000,29.850000,17.228516,29282
2002-12-12,28.850000,30.400000,28.850000,29.600000,17.084217,44227
2002-12-13,29.299999,33.349998,29.299999,32.450001,18.729156,247157
2002-12-16,34.000000,34.500000,32.049999,32.299999,18.642580,444238
2002-12-17,32.700001,32.700001,30.350000,30.950001,17.863400,96730
2002-12-18,32.349998,32.349998,30.500000,30.799999,17.776823,51435
2002-12-19,30.500000,31.350000,30.000000,30.750000,17.747963,39635
2002-12-20,29.000000,32.200001,29.000000,31.450001,18.151985,71712
2002-12-23,31.700001,32.099998,31.000000,31.350000,18.094267,59082
2002-12-24,31.500000,31.500000,30.750000,31.200001,18.007689,35326
2002-12-25,null,null,null,null,null,null
2002-12-26,34.000000,34.000000,31.799999,32.299999,18.642580,116417
2002-12-27,32.349998,32.849998,31.850000,31.950001,18.440567,72696
2002-12-30,31.400000,31.500000,31.049999,31.250000,18.036549,24459
2002-12-31,31.250000,31.600000,30.799999,31.400000,18.123123,34334
2003-01-01,31.600000,31.750000,31.049999,31.200001,18.007689,40062
2003-01-02,31.049999,31.500000,31.000000,31.100000,17.949974,26511
2003-01-03,31.250000,31.650000,30.750000,31.000000,17.892260,30785
2003-01-06,30.500000,30.900000,30.000000,30.150000,17.401663,34425
2003-01-07,30.600000,30.600000,29.799999,29.950001,17.286230,38442
2003-01-08,30.450001,30.650000,30.000000,30.450001,17.574816,16777
2003-01-09,30.950001,30.950001,30.100000,30.500000,17.603674,26891
2003-01-10,30.950001,31.000000,30.250000,30.350000,17.517097,37149
2003-01-13,30.049999,30.400000,29.500000,29.950001,17.286230,29760
2003-01-14,30.549999,30.549999,29.750000,29.850000,17.228516,24148
2003-01-15,30.350000,30.350000,29.500000,29.799999,17.199654,41611
2003-01-16,30.000000,31.500000,29.750000,30.950001,17.863400,78808
2003-01-17,31.450001,31.450001,30.450001,30.600000,17.661390,49304
2003-01-20,31.500000,31.500000,30.600000,31.049999,17.921112,59342
2003-01-21,31.799999,32.250000,30.549999,30.650000,17.690247,36011
2003-01-22,31.000000,32.400002,30.100000,31.650000,18.267416,118208
2003-01-23,32.000000,33.150002,31.250000,31.650000,18.267416,117533
2003-01-24,32.000000,32.500000,30.000000,30.200001,17.430521,58940
2003-01-27,31.299999,31.299999,29.600000,29.900000,17.257370,85917
2003-01-28,30.700001,30.700001,29.500000,30.049999,17.343946,71096
2003-01-29,29.900000,30.250000,29.750000,29.900000,17.257370,15547
2003-01-30,30.100000,30.100000,29.700001,29.850000,17.228516,33728
2003-01-31,29.650000,29.950001,29.400000,29.650000,17.113077,33662
2003-02-03,30.000000,30.100000,29.500000,29.850000,17.228516,18427
2003-02-04,30.450001,30.799999,29.500000,30.299999,17.488239,62523
2003-02-05,30.100000,30.600000,29.700001,30.000000,17.315088,45382
2003-02-06,29.600000,30.350000,29.600000,30.049999,17.343946,40651
2003-02-07,30.000000,30.250000,29.900000,30.000000,17.315088,22364
2003-02-10,29.799999,30.299999,29.799999,30.100000,17.372805,30600
2003-02-11,30.000000,30.100000,29.650000,29.750000,17.170795,27086
2003-02-12,29.650000,30.000000,29.650000,29.900000,17.257370,27562
2003-02-13,null,null,null,null,null,null
2003-02-14,30.000000,30.000000,29.500000,29.500000,17.026506,23186
2003-02-17,32.049999,32.049999,30.000000,30.650000,17.690247,45573
2003-02-18,31.500000,31.500000,30.549999,31.000000,17.892260,81302
2003-02-19,31.000000,32.349998,30.850000,31.200001,18.007689,239034
2003-02-20,31.200001,31.700001,31.000000,31.250000,18.036549,49126
2003-02-21,31.150000,31.350000,30.850000,31.049999,17.921112,55797
2003-02-24,31.650000,31.799999,31.000000,31.450001,18.151985,61352
2003-02-25,31.500000,31.650000,30.900000,31.100000,17.949974,55525
2003-02-26,31.150000,31.200001,30.750000,30.950001,17.863400,42826
2003-02-27,30.799999,31.700001,30.799999,31.350000,18.094267,67009
2003-02-28,32.000000,32.299999,30.049999,30.500000,17.603674,123993
2003-03-03,31.500000,31.700001,30.400000,30.450001,17.574816,35762
2003-03-04,30.250000,30.450001,29.850000,29.950001,17.286230,32541
2003-03-05,29.500000,29.900000,29.500000,29.600000,17.084217,43656
2003-03-06,29.500000,29.549999,29.200001,29.250000,16.882214,46697
2003-03-07,29.250000,29.400000,28.750000,28.850000,16.651344,40692
2003-03-10,28.900000,29.299999,28.000000,28.350000,16.362759,46357
2003-03-11,28.100000,29.000000,27.750000,28.400000,16.391615,62219
2003-03-12,29.500000,29.500000,28.000000,28.049999,16.189608,71823
2003-03-13,28.100000,28.400000,28.000000,28.100000,16.218464,37668
2003-03-14,null,null,null,null,null,null
2003-03-17,28.150000,28.150000,27.549999,27.700001,15.987597,90795
2003-03-18,null,null,null,null,null,null
2003-03-19,28.150000,29.000000,28.000000,28.150000,16.247322,22082
2003-03-20,28.200001,28.549999,27.900000,28.450001,16.420473,38023
2003-03-21,28.650000,28.850000,28.200001,28.299999,16.333899,76972
2003-03-24,28.500000,28.700001,27.650000,28.000000,16.160749,34944
2003-03-25,28.000000,28.000000,27.700001,27.750000,16.016457,62385
2003-03-26,28.100000,28.250000,27.750000,27.850000,16.074171,21886
2003-03-27,27.700001,28.049999,27.500000,27.850000,16.074171,100237
2003-03-28,27.750000,28.450001,27.750000,28.049999,16.189608,33177
2003-03-31,28.000000,28.000000,27.500000,27.700001,15.987597,59767
2003-04-01,28.799999,28.799999,27.600000,27.799999,16.045315,27475
2003-04-02,28.500000,28.500000,28.150000,28.350000,16.362759,13106
2003-04-03,28.750000,28.900000,28.299999,28.450001,16.420473,18218
2003-04-04,28.650000,29.100000,28.500000,29.000000,16.737923,27673
2003-04-07,29.600000,29.650000,29.100000,29.450001,16.997646,52293
2003-04-08,29.250000,29.500000,29.150000,29.450001,16.997646,46207
2003-04-09,29.500000,29.850000,29.350000,29.650000,17.113077,33196
2003-04-10,29.500000,29.600000,28.450001,28.600000,16.507048,67111
2003-04-11,28.600000,29.450001,28.600000,28.850000,16.651344,46801
2003-04-14,null,null,null,null,null,null
2003-04-15,29.000000,29.250000,28.500000,29.100000,16.795633,15656
2003-04-16,28.799999,29.299999,28.799999,29.200001,16.853352,24445
2003-04-17,28.799999,29.049999,28.799999,28.900000,16.680202,39009
2003-04-18,null,null,null,null,null,null
2003-04-21,29.250000,29.250000,28.600000,29.150000,16.824493,20852
2003-04-22,29.000000,29.250000,28.900000,29.049999,16.766777,17066
2003-04-23,29.000000,29.000000,28.500000,28.600000,16.507048,49889
2003-04-24,28.549999,28.950001,28.100000,28.450001,16.420473,39925
2003-04-25,28.299999,28.700001,28.000000,28.400000,16.391615,90304
2003-04-28,28.500000,29.150000,28.400000,28.950001,16.709059,41969
2003-04-29,29.000000,29.900000,29.000000,29.600000,17.084217,38048
2003-04-30,29.600000,30.500000,29.450001,29.600000,17.084217,65557
2003-05-01,null,null,null,null,null,null
2003-05-02,29.750000,30.750000,29.600000,30.549999,17.632530,79653
2003-05-05,30.549999,31.250000,30.549999,30.650000,17.690247,55464
2003-05-06,31.150000,31.150000,30.650000,30.750000,17.747963,54538
2003-05-07,30.950001,31.000000,30.299999,30.600000,17.661390,34244
2003-05-08,30.500000,30.850000,30.200001,30.350000,17.517097,32824
2003-05-09,30.150000,30.799999,30.049999,30.600000,17.661390,20213
2003-05-12,30.850000,30.850000,30.250000,30.450001,17.574816,26251
2003-05-13,30.350000,30.850000,30.350000,30.549999,17.632530,39702
2003-05-14,30.850000,32.000000,30.750000,31.350000,18.094267,96195
2003-05-15,31.750000,32.750000,31.200001,32.299999,18.642580,179172
2003-05-16,32.950001,33.650002,32.500000,32.799999,18.931158,211139
2003-05-19,32.700001,33.299999,31.850000,32.099998,18.527143,150270
2003-05-20,32.950001,32.950001,31.100000,32.099998,18.527143,32015
2003-05-21,32.000000,32.700001,32.000000,32.349998,18.671434,54745
2003-05-22,34.500000,34.500000,32.700001,33.099998,19.104311,131350
2003-05-23,33.500000,33.950001,33.049999,33.400002,19.277466,113322
2003-05-26,33.000000,34.500000,33.000000,34.049999,19.652622,120102
2003-05-27,34.500000,34.650002,33.000000,33.099998,19.104311,86348
2003-05-28,33.500000,33.599998,32.500000,33.250000,19.190887,82422
2003-05-29,33.299999,33.950001,32.650002,32.799999,18.931158,84448
2003-05-30,33.099998,33.500000,32.599998,33.049999,19.075453,86120
2003-06-02,33.150002,33.799999,32.849998,33.000000,19.046598,74128
2003-06-03,33.750000,33.750000,32.650002,32.849998,18.960022,52707
2003-06-04,33.049999,33.299999,32.500000,32.750000,18.902308,156336
2003-06-05,33.000000,33.200001,32.250000,32.900002,18.988882,96382
2003-06-06,32.500000,34.900002,32.500000,34.000000,19.623764,249580
2003-06-09,34.250000,34.900002,34.250000,34.700001,20.027782,214149
2003-06-10,34.700001,35.150002,33.549999,33.900002,19.566050,295989
2003-06-11,34.500000,34.700001,33.700001,34.200001,19.739201,102150
