Date,Open,High,Low,Close,Adj Close,Volume
2004-09-24,12.440500,12.440500,9.330360,9.528270,7.833541,8329617
2004-09-27,9.712050,9.712050,8.793150,8.991070,7.391888,2364025
2004-09-28,8.764880,8.934520,8.538690,8.566960,7.043212,1211368
2004-09-29,8.651790,8.764880,8.552830,8.637650,7.101327,588531
2004-09-30,8.708330,8.920390,8.665920,8.779020,7.217555,582164
2004-10-01,8.793150,8.849700,8.482140,8.566960,7.043212,348733
2004-10-04,8.566960,8.764880,8.496280,8.538690,7.019971,540076
2004-10-05,8.510420,8.665920,8.298360,8.411460,6.915371,613996
2004-10-06,8.482140,9.584820,8.213540,9.160710,7.531356,3244345
2004-10-07,9.188990,9.415180,9.061760,9.160710,7.531356,801802
2004-10-08,null,null,null,null,null,null
2004-10-11,9.005210,9.118300,8.793150,8.849700,7.275663,257482
2004-10-12,8.877980,8.877980,8.566960,8.609380,7.078086,281533
2004-10-13,null,null,null,null,null,null
2004-10-14,8.665920,8.694200,8.453870,8.468010,6.961861,385869
2004-10-15,null,null,null,null,null,null
2004-10-18,8.453870,8.581100,8.298360,8.340770,6.857254,159512
2004-10-19,8.439730,8.439730,8.213540,8.354910,6.868878,280825
2004-10-20,8.482140,8.863840,8.482140,8.566960,7.043212,668817
2004-10-21,8.623510,8.637650,8.340770,8.397320,6.903744,284362
2004-10-22,null,null,null,null,null,null
2004-10-25,8.468010,8.468010,8.255950,8.284230,6.810771,139352
2004-10-26,8.270090,8.383180,7.860120,7.916670,6.508585,523099
2004-10-27,8.171130,8.270090,8.001490,8.072170,6.636428,367478
2004-10-28,8.199400,8.270090,8.001490,8.043900,6.613185,265617
2004-10-29,null,null,null,null,null,null
2004-11-01,8.199400,8.284230,8.043900,8.058040,6.624811,251823
2004-11-02,8.171130,8.199400,8.058040,8.086310,6.648052,188160
2004-11-03,8.114580,8.142860,7.944940,7.987350,6.566693,253592
2004-11-04,7.973210,8.072170,7.902530,7.930800,6.520202,365356
2004-11-05,8.114580,8.185270,7.704610,7.761160,6.380734,514611
2004-11-08,7.888390,7.916670,7.648070,7.690480,6.322626,409920
2004-11-09,7.775300,7.888390,7.633930,7.662200,6.299376,282240
2004-11-10,7.633930,7.803570,7.577380,7.718750,6.345868,531234
2004-11-11,7.732890,7.803570,7.492560,7.549110,6.206400,526636
2004-11-12,7.492560,7.747020,7.464290,7.534970,6.194775,164109
2004-11-15,null,null,null,null,null,null
2004-11-16,7.549110,8.298360,7.421880,8.128720,6.682920,1946678
2004-11-17,8.227680,9.160710,8.171130,8.736610,7.182690,3772749
2004-11-18,8.849700,8.877980,8.425600,8.538690,7.226767,908615
2004-11-19,null,null,null,null,null,null
2004-11-22,8.241820,8.340770,7.944940,8.298360,7.023361,252177
2004-11-23,8.227680,8.708330,8.227680,8.566960,7.250693,979705
2004-11-24,8.538690,8.595240,8.284230,8.354910,7.071224,268093
2004-11-25,8.340770,8.510420,8.241820,8.298360,7.023361,379857
2004-11-26,null,null,null,null,null,null
2004-11-29,8.284230,8.595240,8.227680,8.468010,7.166945,489499
2004-11-30,8.482140,8.482140,8.128720,8.199400,6.939606,320792
2004-12-01,8.892110,8.892110,8.072170,8.284230,7.011404,252177
2004-12-02,8.425600,8.524550,8.199400,8.298360,7.023361,403907
2004-12-03,8.411460,8.468010,8.128720,8.142860,6.891753,495158
2004-12-06,9.415180,9.415180,8.001490,8.213540,6.951575,279764
