Date,Open,High,Low,Close,Adj Close,Volume
2018-08-06,1726.250000,1844.000000,1726.250000,1815.949951,1790.473633,19305566
2018-08-07,1819.800049,1834.000000,1755.000000,1769.949951,1745.119019,3507846
2018-08-08,1762.000000,1798.900024,1742.349976,1779.650024,1754.683105,1678483
2018-08-09,1779.599976,1787.000000,1740.000000,1749.050049,1724.512329,674845
2018-08-10,1740.000000,1768.000000,1740.000000,1748.900024,1724.364380,587382
2018-08-13,1739.000000,1741.199951,1704.500000,1705.550049,1681.622681,726503
2018-08-14,1707.500000,1746.949951,1707.500000,1727.949951,1703.708252,570586
2018-08-16,1726.900024,1741.000000,1707.000000,1710.300049,1686.306030,377188
2018-08-17,1719.699951,1731.800049,1714.050049,1715.650024,1691.580933,320048
2018-08-20,1724.750000,1755.800049,1722.199951,1747.150024,1722.638916,793064
2018-08-21,1757.500000,1773.300049,1747.000000,1763.599976,1738.858154,606276
2018-08-23,1780.000000,1848.800049,1771.199951,1834.699951,1808.960571,2303105
2018-08-24,1834.500000,1924.400024,1822.449951,1895.050049,1868.464111,2700488
2018-08-27,1910.000000,1970.000000,1910.000000,1942.000000,1914.755371,1702446
2018-08-28,1952.000000,1955.449951,1852.050049,1863.800049,1837.652466,1131489
2018-08-29,1865.000000,1865.000000,1807.550049,1820.050049,1794.516235,1022262
2018-08-30,1820.050049,1854.650024,1820.000000,1837.599976,1811.819946,427818
2018-08-31,1840.000000,1844.949951,1810.000000,1814.050049,1788.600464,283317
2018-09-03,1810.000000,1810.000000,1738.000000,1741.900024,1717.462646,1029800
2018-09-04,1749.000000,1772.000000,1731.750000,1738.449951,1714.060913,558416
2018-09-05,1742.000000,1748.800049,1662.000000,1682.400024,1658.797363,1043911
2018-09-06,1690.000000,1715.000000,1681.250000,1685.750000,1662.100342,645979
2018-09-07,1700.199951,1703.949951,1660.000000,1672.250000,1648.789673,718911
2018-09-10,1672.900024,1672.900024,1626.000000,1631.300049,1608.414185,646712
2018-09-11,1640.000000,1665.000000,1608.099976,1614.150024,1591.504883,607873
2018-09-12,1619.900024,1635.349976,1592.900024,1630.650024,1607.773438,694731
2018-09-14,1645.900024,1658.000000,1626.550049,1635.449951,1612.505981,421041
2018-09-17,1625.000000,1625.000000,1595.000000,1599.699951,1577.257446,472311
2018-09-18,1601.250000,1604.500000,1526.000000,1536.199951,1514.648315,831087
2018-09-19,1475.000000,1480.000000,1396.500000,1408.849976,1389.084961,5636088
2018-09-21,1425.000000,1430.000000,1250.000000,1383.300049,1363.893555,1963372
2018-09-24,1390.000000,1414.349976,1325.199951,1334.949951,1316.221802,780175
2018-09-25,1343.400024,1406.849976,1315.750000,1397.199951,1377.598389,963229
2018-09-26,1417.000000,1444.000000,1410.000000,1439.050049,1418.861328,700334
2018-09-27,1439.900024,1445.449951,1365.500000,1371.099976,1351.864624,458882
2018-09-28,1394.000000,1394.000000,1308.000000,1327.449951,1308.826904,635077
2018-10-01,1334.900024,1334.900024,1282.000000,1301.400024,1283.142456,528034
2018-10-03,1300.000000,1321.000000,1280.000000,1290.099976,1272.000977,500186
2018-10-04,1278.000000,1308.699951,1265.750000,1292.550049,1274.416626,502210
2018-10-05,1295.000000,1319.250000,1282.199951,1297.449951,1279.247803,344449
2018-10-08,1297.400024,1302.000000,1251.000000,1272.900024,1255.042236,339225
2018-10-09,1280.250000,1283.949951,1250.000000,1268.900024,1251.098511,274939
2018-10-10,1265.000000,1335.250000,1265.000000,1323.900024,1305.326904,309756
2018-10-11,1281.000000,1389.000000,1250.000000,1347.800049,1328.891479,559977
2018-10-12,1367.000000,1384.900024,1362.050049,1369.400024,1350.188477,246506
2018-10-15,1376.400024,1412.400024,1354.849976,1385.000000,1365.569580,259617
2018-10-16,1393.650024,1407.000000,1381.000000,1389.099976,1369.612061,171655
2018-10-17,1400.000000,1410.000000,1350.000000,1352.250000,1333.279053,160226
2018-10-19,1350.500000,1350.500000,1325.050049,1331.900024,1313.214600,134527
2018-10-22,1340.699951,1365.449951,1332.000000,1348.949951,1330.025269,179780
2018-10-23,1333.500000,1375.449951,1328.000000,1367.400024,1348.216553,271521
2018-10-24,1375.800049,1378.150024,1352.000000,1372.000000,1352.751953,300874
2018-10-25,1360.099976,1363.800049,1344.150024,1353.550049,1334.560913,204892
2018-10-26,1344.000000,1364.800049,1326.000000,1351.300049,1332.342407,195905
2018-10-29,1365.000000,1382.099976,1350.000000,1374.849976,1355.561890,173384
2018-10-30,1375.000000,1403.050049,1355.750000,1370.400024,1351.174438,385986
