Date,Open,High,Low,Close,Adj Close,Volume
1996-01-01,31.250000,31.500000,31.200001,31.250000,29.373388,1900
1996-01-02,31.250000,31.950001,31.000000,31.250000,29.373388,3600
1996-01-03,31.250000,34.000000,31.250000,32.349998,30.407331,2200
1996-01-04,31.000000,31.250000,30.000000,31.000000,29.138403,1500
1996-01-05,30.500000,31.250000,30.250000,30.650000,28.809420,1700
1996-01-08,29.150000,30.700001,29.150000,29.950001,28.151457,3400
1996-01-09,29.950001,30.000000,28.000000,29.500000,27.728477,4700
1996-01-10,29.500000,29.000000,28.000000,29.000000,27.258507,1000
1996-01-11,29.000000,32.000000,29.000000,30.750000,28.903414,3600
1996-01-12,30.750000,33.000000,31.500000,32.250000,30.313337,3600
1996-01-15,32.250000,32.500000,30.350000,31.049999,29.185398,1500
1996-01-16,31.049999,30.950001,30.049999,30.799999,28.950413,1400
1996-01-17,30.799999,31.000000,30.049999,30.549999,28.715427,2900
1996-01-18,30.549999,31.000000,30.000000,30.950001,29.091406,6900
1996-01-19,30.950001,31.500000,30.500000,31.500000,29.608376,5100
1996-01-22,31.500000,31.250000,29.799999,29.799999,28.010462,5800
1996-01-23,29.799999,30.000000,29.250000,29.250000,27.493494,1200
1996-01-24,29.500000,29.500000,28.500000,28.500000,26.788530,1100
1996-01-25,28.500000,29.350000,28.500000,29.350000,27.587488,800
1996-01-26,null,null,null,null,null,null
1996-01-29,27.049999,27.950001,27.049999,27.200001,25.566599,2700
1996-01-30,27.250000,28.400000,26.500000,26.500000,24.908634,5400
1996-01-31,26.500000,28.000000,27.150000,27.500000,25.848583,1800
1996-02-01,28.600000,29.600000,28.500000,29.450001,27.681482,1600
1996-02-02,29.450001,30.850000,30.000000,30.799999,28.950413,1400
1996-02-05,30.799999,33.250000,31.000000,32.599998,30.642319,3300
1996-02-06,32.599998,34.900002,32.500000,34.900002,32.804199,7100
1996-02-07,34.900002,32.000000,31.250000,31.799999,29.890360,900
1996-02-08,31.799999,35.000000,32.750000,34.750000,32.663208,3900
1996-02-09,34.750000,38.200001,35.500000,38.099998,35.812035,2900
1996-02-12,38.500000,42.000000,38.000000,41.049999,38.584885,4200
1996-02-13,41.049999,40.500000,39.000000,40.099998,37.691933,5500
1996-02-14,40.099998,43.250000,41.549999,42.500000,39.947811,5800
1996-02-15,43.000000,43.000000,42.000000,43.000000,40.417786,4000
1996-02-16,43.000000,41.950001,40.000000,40.599998,38.161911,2800
1996-02-19,40.599998,40.000000,37.299999,39.000000,36.657986,4000
1996-02-20,39.000000,39.049999,38.000000,38.500000,36.188019,4600
1996-02-21,null,null,null,null,null,null
1996-02-22,38.500000,41.900002,39.000000,39.150002,36.798985,1300
1996-02-23,39.150002,40.049999,38.250000,39.000000,36.657986,1800
1996-02-26,39.000000,40.000000,39.000000,40.000000,37.597935,3000
1996-02-27,39.750000,41.000000,39.750000,40.000000,37.597935,4700
1996-02-28,40.000000,40.500000,40.000000,40.049999,37.644939,6000
1996-02-29,40.049999,40.099998,38.750000,39.200001,36.845978,13300
1996-03-01,38.000000,38.049999,37.099998,37.750000,35.483051,6200
1996-03-04,36.250000,37.450001,36.250000,37.150002,34.919086,2700
1996-03-05,null,null,null,null,null,null
1996-03-06,35.000000,37.000000,35.000000,35.000000,32.898197,2900
1996-03-07,35.000000,36.900002,35.000000,36.900002,34.684101,4100
1996-03-08,36.900002,36.000000,35.200001,36.000000,33.838146,600
1996-03-11,35.000000,35.000000,35.000000,35.000000,32.898197,1000
1996-03-12,35.000000,35.000000,33.000000,33.750000,31.723261,1700
1996-03-13,33.500000,33.549999,33.250000,33.500000,31.488276,1800
1996-03-14,33.750000,34.250000,33.750000,34.250000,32.193233,800
1996-03-15,34.250000,34.500000,33.000000,33.000000,31.018301,1100
1996-03-18,32.000000,32.000000,31.000000,31.150000,29.279394,1600
1996-03-19,31.000000,31.900000,31.000000,31.500000,29.608376,1700
1996-03-20,null,null,null,null,null,null
1996-03-21,31.000000,32.950001,31.000000,32.950001,30.971302,500
1996-03-22,33.049999,33.049999,33.049999,33.049999,31.065296,400
1996-03-25,32.000000,33.000000,32.000000,32.799999,30.830309,1100
1996-03-26,32.549999,33.000000,32.549999,33.000000,31.018301,300
1996-03-27,33.000000,35.000000,34.000000,34.250000,32.193233,1000
1996-03-28,34.250000,35.250000,34.500000,34.500000,32.428223,1000
1996-03-29,34.500000,35.500000,34.000000,34.349998,32.287224,4200
1996-04-01,34.349998,35.250000,35.000000,35.000000,32.898197,1300
1996-04-02,35.000000,36.000000,34.000000,35.250000,33.133186,3100
1996-04-03,37.000000,38.750000,37.000000,37.549999,35.295063,1800
1996-04-04,37.549999,37.500000,36.000000,36.250000,34.073135,3000
1996-04-05,null,null,null,null,null,null
1996-04-08,36.250000,36.000000,35.599998,35.599998,33.462162,1300
1996-04-09,35.599998,35.799999,35.450001,35.650002,33.509163,1200
1996-04-10,null,null,null,null,null,null
1996-04-11,35.950001,36.099998,35.500000,35.750000,33.603161,6900
1996-04-12,35.750000,36.500000,35.750000,36.500000,34.308117,400
1996-04-15,36.000000,37.000000,36.000000,36.950001,34.731098,1800
1996-04-16,36.950001,37.250000,36.500000,36.500000,34.308117,4700
1996-04-17,37.000000,38.000000,37.000000,38.000000,35.718040,2000
1996-04-18,38.000000,38.500000,38.000000,38.500000,36.188019,600
1996-04-19,38.549999,39.650002,38.549999,39.000000,36.657986,6900
1996-04-22,38.750000,39.450001,37.500000,38.500000,36.188019,6000
1996-04-23,37.000000,38.900002,37.000000,37.750000,35.483051,4200
1996-04-24,38.049999,38.049999,36.299999,37.000000,34.778095,800
1996-04-25,37.000000,39.000000,38.049999,38.049999,35.765038,3000
1996-04-26,37.000000,38.000000,36.000000,36.500000,34.308117,1600
1996-04-29,36.500000,37.000000,36.049999,36.049999,33.885143,1400
1996-04-30,36.000000,36.000000,35.099998,35.099998,32.992191,900
1996-05-01,35.250000,38.000000,35.000000,38.000000,35.718040,3000
1996-05-02,38.000000,38.000000,37.500000,38.000000,35.718040,2200
