Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,3.390000,3.445000,3.332500,3.365000,1.540356,39134
2002-07-02,3.310000,3.342500,3.225000,3.257500,1.491146,41330
2002-07-03,3.255000,3.400000,3.255000,3.380000,1.547222,81812
2002-07-04,3.400000,3.525000,3.305000,3.340000,1.528911,101884
2002-07-05,3.397500,3.397500,3.265000,3.282500,1.502590,32594
2002-07-08,3.325000,3.445000,3.325000,3.375000,1.544933,81158
2002-07-09,3.362500,3.400000,3.322500,3.337500,1.527767,31876
2002-07-10,3.300000,3.365000,3.225000,3.232500,1.479702,28812
2002-07-11,3.200000,3.217500,3.030000,3.057500,1.399595,40762
2002-07-12,3.100000,3.147500,3.000000,3.022500,1.383573,40598
2002-07-15,3.000000,3.122500,2.855000,2.867500,1.312621,23334
2002-07-16,2.807500,2.890000,2.750000,2.785000,1.274856,31616
2002-07-17,2.750000,2.795000,2.652500,2.685000,1.229080,27312
2002-07-18,2.177500,2.825000,2.177500,2.760000,1.263412,27304
2002-07-19,2.765000,2.765000,2.652500,2.685000,1.229080,27824
2002-07-22,2.550000,2.635000,2.507500,2.530000,1.158127,29496
2002-07-23,2.525000,2.700000,2.477500,2.670000,1.222214,38122
2002-07-24,2.645000,2.662500,2.577500,2.612500,1.195892,50094
2002-07-25,2.705000,2.800000,2.562500,2.620000,1.199326,29888
2002-07-26,2.540000,2.565000,2.355000,2.385000,1.091753,46162
2002-07-29,2.697500,2.697500,2.200000,2.262500,1.035677,40514
2002-07-30,2.497500,2.497500,2.007500,2.182500,0.999057,55402
2002-07-31,2.105000,2.120000,2.025000,2.060000,0.942981,71652
2002-08-01,2.100000,2.157500,2.057500,2.087500,0.955570,33812
2002-08-02,1.950000,2.100000,1.932500,2.075000,0.949848,24168
2002-08-05,2.117500,2.200000,2.000000,2.135000,0.977313,76640
2002-08-06,2.142500,2.175000,2.085000,2.137500,0.978458,26054
2002-08-07,2.195000,2.262500,2.170000,2.207500,1.010501,74802
2002-08-08,2.210000,2.360000,2.205000,2.222500,1.017367,71374
2002-08-09,2.295000,2.295000,2.125000,2.187500,1.001345,25370
2002-08-12,2.200000,2.250000,2.200000,2.212500,1.012790,15222
2002-08-13,2.200000,2.237500,2.200000,2.207500,1.010501,5862
2002-08-14,2.190000,2.217500,2.137500,2.155000,0.986468,22028
2002-08-15,null,null,null,null,null,null
2002-08-16,2.237500,2.275000,2.200000,2.247500,1.028811,42772
2002-08-19,2.300000,2.412500,2.300000,2.332500,1.067720,79144
2002-08-20,2.412500,2.605000,2.375000,2.560000,1.171860,158278
2002-08-21,2.550000,2.750000,2.550000,2.675000,1.224502,254982
2002-08-22,2.725000,2.745000,2.627500,2.642500,1.209625,61354
2002-08-23,2.675000,2.700000,2.577500,2.600000,1.190170,82222
2002-08-26,2.600000,3.120000,2.575000,2.982500,1.365263,310652
2002-08-27,3.150000,3.250000,2.955000,2.977500,1.362974,1155514
2002-08-28,2.950000,2.950000,2.827500,2.862500,1.310332,263656
2002-08-29,2.825000,2.892500,2.812500,2.837500,1.298888,96616
2002-08-30,2.850000,3.170000,2.825000,3.122500,1.429350,445776
2002-09-02,3.195000,3.460000,3.137500,3.320000,1.519756,898256
2002-09-03,3.345000,3.412500,3.207500,3.227500,1.477414,399234
2002-09-04,3.195000,3.875000,3.102500,3.850000,1.762367,3019972
2002-09-05,3.832500,4.087500,3.770000,3.862500,1.768090,4871760
2002-09-06,3.750000,3.930000,3.660000,3.742500,1.713159,3116690
2002-09-09,3.862500,4.015000,3.692500,3.822500,1.749779,3016068
2002-09-10,null,null,null,null,null,null
2002-09-11,3.950000,4.587500,3.902500,4.582500,2.097675,6831170
2002-09-12,4.600000,5.387500,4.512500,5.097500,2.333421,24214288
2002-09-13,4.850000,5.135000,4.782500,4.950000,2.265901,17411660
2002-09-16,5.007500,5.310000,4.877500,4.997500,2.287645,15203466
2002-09-17,5.105000,5.187500,4.905000,5.005000,2.291079,12249686
2002-09-18,4.990000,5.107500,4.775000,4.832500,2.212115,8542212
2002-09-19,4.945000,4.945000,3.992500,4.187500,1.916861,23910322
2002-09-20,4.100000,4.500000,3.877500,4.422500,2.024435,29207496
2002-09-23,4.470000,4.690000,4.342500,4.535000,2.075932,20561806
2002-09-24,4.550000,4.550000,4.205000,4.282500,1.960347,10478380
2002-09-25,4.140000,4.390000,4.077500,4.320000,1.977515,11907190
2002-09-26,4.250000,4.515000,4.250000,4.447500,2.035879,8277786
2002-09-27,4.500000,4.625000,4.467500,4.550000,2.082798,8424796
2002-09-30,4.485000,4.492500,4.215000,4.317500,1.976370,5647790
2002-10-01,4.230000,4.395000,4.082500,4.335000,1.984380,11534466
2002-10-02,null,null,null,null,null,null
2002-10-03,4.387500,4.435000,4.255000,4.307500,1.971792,7565130
2002-10-04,4.335000,4.385000,4.265000,4.350000,1.991247,4805082
2002-10-07,4.415000,4.652500,4.355000,4.602500,2.106831,8684560
2002-10-08,4.605000,4.887500,4.535000,4.822500,2.207537,11771058
2002-10-09,4.875000,4.960000,4.552500,4.605000,2.107975,10081220
2002-10-10,4.555000,4.765000,4.417500,4.692500,2.148030,11381564
2002-10-11,4.810000,4.920000,4.760000,4.850000,2.220126,6840706
2002-10-14,4.940000,4.950000,4.660000,4.740000,2.169772,5617446
2002-10-15,null,null,null,null,null,null
2002-10-16,4.822500,4.840000,4.555000,4.610000,2.110264,4511980
2002-10-17,4.610000,4.730000,4.420000,4.672500,2.138874,8875906
2002-10-18,4.780000,4.790000,4.495000,4.552500,2.083943,7107218
2002-10-21,4.620000,4.622500,4.467500,4.505000,2.062200,4564258
2002-10-22,4.550000,4.567500,4.367500,4.400000,2.014135,4217118
2002-10-23,4.390000,4.607500,4.325000,4.467500,2.045034,7726948
2002-10-24,4.512500,4.570000,4.355000,4.417500,2.022145,4945906
2002-10-25,4.345000,4.372500,4.230000,4.290000,1.963782,3480646
2002-10-28,4.300000,4.305000,4.067500,4.117500,1.884818,2616792
2002-10-29,4.125000,4.290000,3.940000,4.230000,1.936316,4450240
2002-10-30,4.255000,4.322500,4.165000,4.207500,1.926016,2926382
2002-10-31,4.240000,4.245000,4.152500,4.197500,1.921440,1624042
