Date,Open,High,Low,Close,Adj Close,Volume
2012-06-18,31.950001,32.900002,31.500000,31.750000,31.750000,71581
2012-06-19,31.299999,31.950001,31.049999,31.200001,31.200001,48916
2012-06-20,31.500000,31.850000,31.100000,31.200001,31.200001,53980
2012-06-21,31.000000,31.950001,30.799999,31.250000,31.250000,68868
2012-06-22,30.799999,32.000000,30.799999,31.650000,31.650000,94410
2012-06-25,31.650000,32.000000,31.549999,31.650000,31.650000,59487
2012-06-26,31.549999,31.750000,31.100000,31.299999,31.299999,55873
2012-06-27,31.450001,31.549999,31.000000,31.350000,31.350000,46495
2012-06-28,31.200001,31.600000,31.200001,31.350000,31.350000,42443
2012-06-29,31.400000,34.900002,31.350000,33.599998,33.599998,532516
2012-07-02,34.000000,34.000000,33.000000,33.049999,33.049999,226857
2012-07-03,33.000000,33.349998,32.500000,32.650002,32.650002,120519
2012-07-04,32.549999,33.400002,32.200001,32.700001,32.700001,157583
2012-07-05,32.750000,33.500000,32.099998,33.049999,33.049999,192618
2012-07-06,32.700001,33.349998,32.200001,32.500000,32.500000,162166
2012-07-09,33.000000,33.200001,31.950001,32.299999,32.299999,60699
2012-07-10,32.200001,32.750000,32.200001,32.599998,32.599998,103926
2012-07-11,32.250000,33.450001,32.250000,32.549999,32.549999,163505
2012-07-12,32.299999,32.450001,32.099998,32.150002,32.150002,77816
2012-07-13,32.150002,32.700001,31.799999,31.950001,31.950001,87777
2012-07-16,32.000000,32.400002,31.799999,32.150002,32.150002,105786
2012-07-17,32.000000,32.450001,31.049999,31.350000,31.350000,61946
2012-07-18,31.400000,31.549999,30.799999,31.049999,31.049999,56873
2012-07-19,31.200001,32.299999,31.200001,32.049999,32.049999,121068
2012-07-20,32.599998,33.700001,32.049999,32.299999,32.299999,947713
2012-07-23,31.600000,32.150002,30.900000,31.100000,31.100000,107825
2012-07-24,31.250000,32.500000,31.100000,31.549999,31.549999,244087
2012-07-25,31.700001,31.700001,30.850000,31.049999,31.049999,76282
2012-07-26,31.100000,31.500000,30.650000,30.750000,30.750000,69528
2012-07-27,30.950001,31.450001,29.799999,30.100000,30.100000,144549
2012-07-30,30.100000,31.049999,29.799999,30.299999,30.299999,147101
2012-07-31,30.299999,31.000000,30.100000,30.850000,30.850000,85369
2012-08-01,31.700001,31.799999,30.549999,30.900000,30.900000,177458
2012-08-02,31.500000,31.799999,29.799999,31.450001,31.450001,1449016
2012-08-03,30.250000,31.450001,29.049999,30.750000,30.750000,150253
2012-08-06,31.000000,31.299999,30.500000,30.799999,30.799999,105856
2012-08-07,31.000000,31.100000,30.549999,30.650000,30.650000,88544
2012-08-08,30.799999,31.000000,30.350000,30.450001,30.450001,64924
2012-08-09,30.549999,30.900000,30.150000,30.450001,30.450001,58856
2012-08-10,30.450001,31.200001,30.000000,30.350000,30.350000,60008
2012-08-13,30.049999,31.400000,30.000000,30.700001,30.700001,145572
2012-08-14,30.650000,31.250000,30.150000,30.400000,30.400000,84250
2012-08-16,30.400000,30.600000,30.250000,30.350000,30.350000,34942
2012-08-17,30.500000,31.000000,30.100000,30.200001,30.200001,91687
2012-08-21,30.150000,30.900000,30.049999,30.350000,30.350000,73663
2012-08-22,30.299999,30.700001,30.100000,30.350000,30.350000,61216
2012-08-23,30.700001,31.100000,30.000000,30.049999,30.049999,94516
2012-08-24,30.500000,30.500000,29.650000,29.799999,29.799999,70021
2012-08-27,29.900000,30.950001,29.450001,29.600000,29.600000,102721
2012-08-28,30.200001,30.200001,28.500000,28.850000,28.850000,109271
2012-08-29,29.000000,29.049999,28.299999,28.500000,28.500000,47697
2012-08-30,28.600000,28.600000,28.100000,28.299999,28.299999,47002
2012-08-31,28.100000,28.400000,27.500000,27.900000,27.900000,96708
2012-09-03,27.799999,28.400000,27.600000,27.700001,27.700001,45642
2012-09-04,27.700001,27.950001,27.400000,27.600000,27.600000,54723
2012-09-05,27.549999,28.600000,27.350000,27.700001,27.700001,214536
2012-09-06,27.700001,28.350000,27.549999,27.850000,27.850000,78499
2012-09-07,28.049999,28.299999,27.650000,27.950001,27.950001,123644
2012-09-08,null,null,null,null,null,null
2012-09-10,28.200001,28.600000,27.700001,27.950001,27.950001,125669
2012-09-11,28.200001,28.799999,27.700001,28.100000,28.100000,187414
2012-09-12,28.500000,29.600000,28.200001,29.350000,29.350000,247174
2012-09-13,29.850000,30.299999,29.100000,29.500000,29.500000,228068
2012-09-14,29.200001,30.299999,29.150000,29.500000,29.500000,169894
2012-09-17,29.549999,30.000000,29.000000,29.350000,29.350000,131978
2012-09-18,29.400000,29.750000,28.750000,28.950001,28.950001,230017
2012-09-20,28.150000,29.000000,28.150000,28.400000,28.400000,144304
2012-09-21,29.100000,29.799999,28.299999,28.549999,28.549999,502147
2012-09-24,28.650000,29.799999,28.500000,29.200001,29.200001,223273
2012-09-25,29.700001,30.549999,29.500000,29.600000,29.600000,269559
2012-09-26,29.500000,29.900000,29.100000,29.650000,29.650000,129969
2012-09-27,29.650000,30.000000,29.299999,29.700001,29.700001,75706
2012-09-28,29.000000,31.299999,29.000000,30.750000,30.750000,643620
2012-10-01,31.750000,33.500000,30.799999,33.099998,33.099998,1358227
2012-10-03,34.200001,35.299999,33.700001,34.250000,34.250000,3069861
2012-10-04,34.500000,34.500000,32.400002,33.099998,33.099998,495859
2012-10-05,33.099998,33.400002,31.549999,31.950001,31.950001,262833
2012-10-08,31.799999,32.900002,31.600000,31.750000,31.750000,165005
2012-10-09,32.000000,32.349998,31.250000,31.600000,31.600000,177012
2012-10-10,31.450001,31.700001,30.299999,30.500000,30.500000,176789
2012-10-11,31.000000,31.549999,29.299999,30.950001,30.950001,193574
