Date,Open,High,Low,Close,Adj Close,Volume
2019-08-19,413.000000,424.799988,409.200012,415.399994,415.399994,2857
2019-08-20,401.000000,424.799988,401.000000,409.950012,409.950012,1835
2019-08-21,402.000000,415.000000,400.000000,400.500000,400.500000,1040
2019-08-22,390.000000,406.850006,383.000000,397.200012,397.200012,1077
2019-08-23,383.000000,395.049988,383.000000,394.450012,394.450012,785
2019-08-26,409.000000,420.000000,390.000000,395.049988,395.049988,1639
2019-08-27,417.850006,454.899994,401.000000,449.000000,449.000000,23948
2019-08-28,454.899994,461.500000,435.000000,435.700012,435.700012,5801
2019-08-29,449.899994,449.899994,415.700012,430.200012,430.200012,1930
2019-08-30,430.049988,460.049988,418.000000,458.049988,458.049988,4942
2019-09-03,464.000000,485.000000,440.049988,469.500000,469.500000,14551
2019-09-04,458.549988,515.000000,458.549988,508.600006,508.600006,94823
2019-09-05,510.000000,520.000000,487.049988,500.750000,500.750000,15882
2019-09-06,515.000000,515.000000,496.200012,509.100006,509.100006,8102
2019-09-09,536.000000,536.000000,500.000000,507.750000,507.750000,17767
2019-09-11,507.799988,517.599976,494.950012,501.799988,501.799988,5275
2019-09-12,503.450012,510.000000,486.000000,503.649994,503.649994,10310
2019-09-13,515.000000,515.000000,495.600006,500.149994,500.149994,2310
2019-09-16,495.000000,504.000000,485.149994,494.200012,494.200012,5890
2019-09-17,492.100006,492.100006,470.000000,470.000000,470.000000,1397
2019-09-18,470.000000,488.000000,446.500000,485.000000,485.000000,2690
2019-09-19,463.049988,496.000000,461.000000,485.000000,485.000000,777
2019-09-20,485.000000,500.000000,475.000000,488.149994,488.149994,1672
2019-09-23,491.100006,498.899994,471.000000,480.500000,480.500000,1387
2019-09-24,481.100006,504.500000,475.000000,504.500000,504.500000,1866
2019-09-25,509.250000,510.000000,496.000000,497.049988,497.049988,2157
2019-09-26,513.950012,513.950012,490.549988,497.000000,497.000000,587
2019-09-27,483.049988,521.849976,483.049988,521.849976,521.849976,1731
2019-09-30,521.849976,540.000000,505.200012,530.250000,530.250000,6602
2019-10-01,511.049988,552.500000,511.049988,530.000000,530.000000,6278
2019-10-03,525.000000,545.000000,506.000000,532.750000,532.750000,1200
2019-10-04,546.000000,546.000000,515.500000,527.500000,527.500000,2140
2019-10-07,517.450012,536.849976,517.450012,528.200012,528.200012,763
2019-10-09,549.900024,549.900024,516.549988,533.099976,533.099976,5863
2019-10-10,548.950012,548.950012,525.549988,531.799988,531.799988,1041
2019-10-11,540.950012,540.950012,527.000000,531.599976,531.599976,1344
2019-10-14,538.799988,538.849976,511.000000,528.900024,528.900024,636
2019-10-15,522.049988,537.950012,520.000000,537.950012,537.950012,1381
2019-10-16,520.650024,536.000000,520.500000,535.000000,535.000000,1955
2019-10-17,539.450012,557.000000,526.099976,545.549988,545.549988,5513
2019-10-18,528.049988,572.799988,528.049988,572.799988,572.799988,3759
2019-10-22,590.000000,601.400024,570.000000,572.349976,572.349976,7781
2019-10-23,575.049988,600.950012,561.000000,600.549988,600.549988,23284
2019-10-24,626.950012,626.950012,576.049988,580.000000,580.000000,6554
2019-10-25,552.000000,599.000000,552.000000,585.049988,585.049988,2103
2019-10-27,null,null,null,null,null,null
2019-10-29,597.549988,597.549988,580.000000,586.000000,586.000000,1646
2019-10-30,560.000000,599.950012,560.000000,581.549988,581.549988,3112
2019-10-31,570.150024,600.000000,570.150024,597.250000,597.250000,482
2019-11-01,598.000000,609.000000,587.000000,605.650024,605.650024,817
2019-11-04,607.000000,635.900024,600.000000,631.000000,631.000000,5834
2019-11-05,647.950012,647.950012,610.000000,614.900024,614.900024,1837
2019-11-06,610.049988,645.599976,610.049988,635.750000,635.750000,1486
2019-11-07,620.250000,640.000000,620.250000,626.650024,626.650024,739
2019-11-08,623.000000,640.000000,615.049988,624.200012,624.200012,1849
2019-11-11,639.950012,655.000000,610.250000,640.200012,640.200012,3722
2019-11-13,650.000000,672.200012,640.000000,663.700012,663.700012,4984
2019-11-14,678.000000,678.000000,631.500000,640.950012,640.950012,2269
2019-11-15,612.000000,654.000000,609.000000,650.150024,650.150024,2181
2019-11-18,640.000000,661.950012,618.099976,636.950012,636.950012,1023
2019-11-19,649.799988,649.799988,625.000000,628.200012,628.200012,2295
2019-11-20,627.000000,650.000000,601.000000,627.400024,627.400024,1293
