Date,Open,High,Low,Close,Adj Close,Volume
2017-05-19,73.000000,77.849998,71.000000,72.550003,70.602966,210956446
2017-05-22,72.650002,73.449997,69.650002,70.150002,68.267380,19233222
2017-05-23,69.400002,69.900002,66.550003,68.150002,66.321053,14721869
2017-05-24,68.500000,69.449997,66.400002,66.650002,64.861313,8670873
2017-05-25,67.099998,72.250000,66.949997,70.750000,68.851280,13265189
2017-05-26,71.000000,73.250000,70.550003,72.949997,70.992233,12062826
2017-05-29,73.250000,74.699997,72.750000,73.150002,71.186867,8905003
2017-05-30,73.250000,74.000000,71.550003,73.000000,71.040894,10410782
2017-05-31,72.550003,73.650002,71.650002,73.199997,71.235512,5615107
2017-06-01,73.199997,74.250000,72.500000,73.000000,71.040894,3673826
2017-06-02,73.400002,73.599998,72.550003,73.000000,71.040894,3123069
2017-06-05,73.000000,73.300003,72.000000,72.199997,70.262360,1682821
2017-06-06,72.050003,72.900002,71.300003,71.900002,69.970406,2086019
2017-06-07,72.000000,72.250000,71.300003,71.550003,69.629807,1284804
2017-06-08,71.599998,71.900002,69.849998,70.000000,68.121407,2299141
2017-06-09,70.000000,70.699997,69.699997,70.300003,68.413361,1635150
2017-06-12,70.099998,70.099998,68.550003,68.750000,66.904953,2136002
2017-06-13,69.250000,69.400002,68.099998,68.300003,66.467026,2062007
2017-06-14,68.500000,68.699997,68.000000,68.199997,66.369705,1103623
2017-06-15,68.000000,70.699997,68.000000,69.050003,67.196899,2373038
2017-06-16,69.400002,69.699997,68.349998,68.550003,66.710320,1394334
2017-06-19,68.099998,69.050003,67.750000,67.900002,66.077766,2181687
2017-06-20,68.099998,68.349998,67.550003,68.000000,66.175079,1856784
2017-06-21,67.699997,69.000000,67.550003,68.050003,66.223747,1745830
2017-06-22,68.300003,68.300003,67.800003,68.000000,66.175079,1433730
2017-06-23,69.599998,70.000000,68.250000,68.550003,66.710320,3423901
2017-06-27,68.800003,68.800003,66.550003,66.800003,65.007286,1902993
2017-06-28,67.099998,67.199997,66.000000,66.099998,64.326065,1737873
2017-06-29,66.400002,68.150002,66.250000,67.849998,66.029106,1866113
2017-06-30,67.150002,68.099998,66.699997,67.099998,65.299240,1341896
2017-07-03,67.500000,67.900002,67.050003,67.449997,65.639839,1022100
2017-07-04,67.250000,68.849998,67.199997,67.449997,65.639839,1760410
2017-07-05,67.500000,67.900002,67.199997,67.650002,65.834465,710006
2017-07-06,67.699997,70.349998,67.650002,68.699997,66.856293,3817920
2017-07-07,68.699997,69.900002,68.300003,69.000000,67.148239,2144002
2017-07-10,69.099998,69.650002,69.000000,69.500000,67.634819,375350
2017-07-11,69.750000,79.800003,69.599998,78.449997,76.344635,52983772
2017-07-12,81.000000,92.650002,81.000000,90.050003,87.633324,104720139
2017-07-13,92.300003,99.750000,92.000000,97.699997,95.078018,100252333
2017-07-14,99.199997,102.300003,88.550003,90.699997,88.265869,106125913
2017-07-17,90.500000,93.900002,86.800003,89.650002,87.244057,50591166
2017-07-18,88.000000,91.500000,86.550003,87.000000,84.665176,18910056
2017-07-19,87.750000,89.150002,86.599998,87.199997,84.859802,10858237
2017-07-20,87.750000,91.449997,86.199997,90.250000,87.827950,29764568
2017-07-21,90.750000,91.650002,87.750000,88.650002,86.270897,12588587
2017-07-24,89.099998,89.900002,87.500000,87.800003,85.443703,9212165
2017-07-25,89.000000,89.449997,86.199997,86.400002,84.081276,15364923
2017-07-26,86.750000,86.900002,83.150002,83.300003,81.064468,10209823
2017-07-27,83.750000,85.449997,82.349998,82.699997,80.480576,12314817
2017-07-28,82.199997,84.400002,80.750000,83.300003,81.064468,19771547
2017-07-31,83.400002,83.550003,81.400002,81.800003,79.604729,6389486
2017-08-01,82.050003,82.449997,80.750000,81.050003,78.874863,4152813
2017-08-02,81.300003,83.300003,80.800003,82.650002,80.431915,8086692
2017-08-03,82.599998,83.900002,81.150002,81.550003,79.361443,5682769
2017-08-04,81.699997,81.800003,79.550003,79.900002,77.755722,5373958
2017-08-07,80.250000,84.900002,80.150002,84.300003,82.037628,15749582
