Date,Open,High,Low,Close,Adj Close,Volume
2011-08-18,48.000000,48.000000,6.300000,7.550000,7.050863,264609
2011-08-19,7.600000,7.950000,7.200000,7.200000,6.724001,1124444
2011-08-22,7.200000,7.500000,6.850000,6.850000,6.397140,19563
2011-08-23,6.550000,6.550000,6.550000,6.550000,6.116974,20205
2011-08-24,6.250000,6.550000,6.250000,6.250000,5.836807,514067
2011-08-25,6.250000,6.250000,5.950000,5.950000,5.556640,3938
2011-08-26,5.650000,5.650000,5.650000,5.650000,5.276474,8217
2011-08-29,5.400000,5.400000,5.400000,5.400000,5.043001,13658
2011-08-30,5.150000,5.150000,5.150000,5.150000,4.809529,11897
2011-09-02,4.900000,4.900000,4.900000,4.900000,4.576057,119701
2011-09-05,4.450000,4.450000,4.450000,4.450000,4.155807,34768
2011-09-06,4.000000,4.000000,4.000000,4.000000,3.735556,46924
2011-09-07,3.600000,3.600000,3.600000,3.600000,3.362001,88736
2011-09-08,3.450000,3.800000,3.450000,3.450000,3.221918,9248415
2011-09-09,3.300000,3.650000,3.300000,3.650000,3.408695,4358483
2011-09-12,3.700000,3.850000,3.500000,3.500000,3.268612,1027275
2011-09-13,3.400000,3.600000,3.350000,3.350000,3.128529,2161826
2011-09-14,3.200000,3.350000,3.200000,3.200000,2.988445,439930
2011-09-15,3.200000,3.350000,3.050000,3.200000,2.988445,1640254
2011-09-16,3.350000,3.400000,3.200000,3.400000,3.175223,1673043
2011-09-19,3.500000,3.600000,3.500000,3.600000,3.362001,1262479
2011-09-20,3.800000,3.800000,3.800000,3.800000,3.548779,199494
2011-09-21,4.000000,4.000000,4.000000,4.000000,3.735556,958080
2011-09-22,4.200000,4.200000,3.800000,4.050000,3.782251,4497465
2011-09-23,4.200000,4.250000,3.900000,4.250000,3.969029,862848
2011-09-26,4.050000,4.500000,4.050000,4.500000,4.202501,907144
2011-09-27,4.750000,4.750000,4.550000,4.700000,4.389279,976932
2011-09-28,4.750000,4.800000,4.500000,4.500000,4.202501,503230
2011-09-29,4.300000,4.300000,4.300000,4.300000,4.015723,276559
2011-09-30,4.100000,4.100000,4.100000,4.100000,3.828945,69174
2011-10-03,3.900000,3.900000,3.900000,3.900000,3.642168,20020
2011-10-04,3.700000,3.700000,3.700000,3.700000,3.455390,42769
2011-10-05,3.550000,3.550000,3.550000,3.550000,3.315306,109280
2011-10-07,3.400000,3.750000,3.400000,3.400000,3.175223,741016
2011-10-10,3.450000,3.600000,3.250000,3.450000,3.221918,736008
2011-10-11,3.550000,3.650000,3.400000,3.600000,3.362001,388337
2011-10-12,3.750000,3.750000,3.450000,3.550000,3.315306,342150
2011-10-13,3.600000,3.650000,3.450000,3.500000,3.268612,282243
2011-10-14,3.400000,3.700000,3.400000,3.700000,3.455390,434327
2011-10-17,3.800000,3.900000,3.800000,3.900000,3.642168,520684
2011-10-18,3.900000,4.100000,3.900000,4.100000,3.828945,201449
2011-10-19,4.350000,4.350000,4.350000,4.350000,4.062418,66907
2011-10-20,4.600000,4.600000,4.600000,4.600000,4.295889,197032
2011-10-21,4.850000,4.850000,4.400000,4.850000,4.529362,2489641
2011-10-24,5.000000,5.100000,4.750000,5.100000,4.762835,527141
2011-10-25,5.300000,5.400000,4.850000,4.850000,4.529362,552391
2011-10-28,5.300000,5.400000,4.850000,5.200000,4.856223,644046
2011-10-31,5.050000,5.500000,5.000000,5.500000,5.136390,582747
2011-11-01,5.700000,5.700000,5.250000,5.300000,4.949613,924859
2011-11-02,5.250000,5.600000,5.200000,5.600000,5.229779,722748
2011-11-03,5.900000,5.900000,5.800000,5.900000,5.509946,448957
2011-11-04,6.200000,6.200000,5.750000,5.800000,5.416557,1212030
2011-11-08,5.850000,5.950000,5.550000,5.550000,5.183084,325890
2011-11-09,5.400000,5.650000,5.300000,5.300000,4.949613,194214
2011-11-11,5.050000,5.300000,5.050000,5.050000,4.716140,140383
2011-11-14,5.000000,5.300000,4.800000,5.300000,4.949613,493400
2011-11-15,5.550000,5.600000,5.050000,5.600000,5.229779,728427
2011-11-16,5.400000,5.800000,5.350000,5.500000,5.136390,321502
2011-11-17,5.350000,5.800000,5.250000,5.250000,4.902918,225328
2011-11-18,5.000000,5.150000,5.000000,5.000000,4.669446,152814
2011-11-21,5.000000,5.000000,4.750000,4.750000,4.435973,107481
2011-11-22,4.750000,4.750000,4.550000,4.550000,4.249196,270513
2011-11-23,4.350000,4.350000,4.350000,4.350000,4.062418,42582
2011-11-24,4.150000,4.600000,4.150000,4.600000,4.295889,296601
2011-11-25,4.800000,4.850000,4.800000,4.850000,4.529362,32154
2011-11-28,5.100000,5.100000,4.650000,5.050000,4.716140,449128
2011-11-29,5.050000,5.250000,4.800000,4.800000,4.482668,183614
2011-11-30,4.800000,5.000000,4.600000,4.700000,4.389279,230999
2011-12-01,4.900000,4.900000,4.700000,4.850000,4.529362,190358
2011-12-02,5.050000,5.050000,4.700000,4.950000,4.622751,221314
2011-12-05,5.150000,5.150000,4.700000,4.900000,4.576057,191996
2011-12-07,4.950000,5.150000,4.950000,5.150000,4.809529,503264
2011-12-08,5.300000,5.400000,4.950000,5.400000,5.043001,399921
2011-12-09,5.500000,5.650000,5.200000,5.650000,5.276474,514949
2011-12-12,5.750000,5.900000,5.600000,5.750000,5.369863,328762
2011-12-13,5.800000,5.950000,5.650000,5.800000,5.416557,295339
2011-12-14,5.800000,5.800000,5.550000,5.550000,5.183084,218892
2011-12-15,5.300000,5.450000,5.300000,5.300000,4.949613,29684
2011-12-16,5.050000,5.450000,5.050000,5.050000,4.716140,366657
2011-12-19,4.800000,4.800000,4.800000,4.800000,4.482668,51268
2011-12-20,4.600000,4.800000,4.600000,4.600000,4.295889,25337
2011-12-21,4.700000,4.700000,4.400000,4.400000,4.109112,154228
2011-12-22,4.400000,4.450000,4.200000,4.350000,4.062418,172941
2011-12-23,4.150000,4.550000,4.150000,4.500000,4.202501,139385
2011-12-26,4.450000,4.700000,4.450000,4.700000,4.389279,73701
2011-12-27,4.800000,4.800000,4.500000,4.550000,4.249196,42504
2011-12-28,4.400000,4.750000,4.400000,4.650000,4.342585,62667
2011-12-29,4.700000,4.700000,4.450000,4.450000,4.155807,77346
2011-12-30,4.500000,4.500000,4.250000,4.250000,3.969029,104835
2012-01-02,4.050000,4.350000,4.050000,4.150000,3.875640,273491
2012-01-03,4.150000,4.350000,4.150000,4.350000,4.062418,44107
2012-01-04,4.550000,4.550000,4.400000,4.550000,4.249196,192588
2012-01-05,4.750000,4.750000,4.500000,4.750000,4.435973,69623
2012-01-06,4.800000,4.950000,4.650000,4.900000,4.576057,85368
2012-01-07,null,null,null,null,null,null
2012-01-09,5.150000,5.200000,4.900000,5.050000,4.716140,102835
2012-01-10,5.200000,5.250000,4.800000,4.900000,4.576057,131010
2012-01-11,4.900000,5.150000,4.800000,5.150000,4.809529,199361
2012-01-12,5.300000,5.350000,4.950000,5.100000,4.762835,48276
2012-01-13,5.350000,5.350000,4.950000,5.000000,4.669446,78832
2012-01-16,5.200000,5.200000,4.750000,4.750000,4.435973,84478
2012-01-17,4.800000,4.950000,4.650000,4.950000,4.622751,68826
2012-01-18,5.200000,5.200000,4.800000,5.200000,4.856223,132289
2012-01-19,5.300000,5.450000,5.300000,5.450000,5.089695,122513
2012-01-20,5.700000,5.700000,5.500000,5.700000,5.323168,175229
2012-01-23,5.950000,5.950000,5.550000,5.950000,5.556640,268410
2012-01-24,6.200000,6.250000,5.850000,6.250000,5.836807,292068
2012-01-25,6.550000,6.550000,5.950000,5.950000,5.556640,303609
2012-01-27,6.000000,6.200000,5.650000,5.700000,5.323168,246460
2012-01-30,5.650000,5.900000,5.500000,5.600000,5.229779,68797
2012-01-31,5.400000,5.800000,5.400000,5.700000,5.323168,162203
2012-02-01,5.500000,5.950000,5.500000,5.900000,5.509946,120391
2012-02-02,5.800000,6.150000,5.800000,6.150000,5.743418,216660
2012-02-03,6.450000,6.450000,6.150000,6.450000,6.023584,182229
2012-02-06,6.200000,6.750000,6.200000,6.750000,6.303751,78498
2012-02-07,6.750000,7.050000,6.500000,6.650000,6.210362,435968
2012-02-08,6.800000,6.950000,6.650000,6.950000,6.490529,93338
2012-02-09,6.950000,7.250000,6.950000,7.200000,6.724001,175889
2012-02-10,7.500000,7.550000,7.200000,7.550000,7.050863,903886
2012-02-13,7.900000,7.900000,7.800000,7.900000,7.377724,111559
2012-02-14,8.250000,8.250000,8.200000,8.250000,7.704586,127583
2012-02-15,8.650000,8.650000,8.500000,8.650000,8.078141,279392
2012-02-16,9.050000,9.050000,8.750000,9.050000,8.451697,227067
2012-02-17,9.500000,9.500000,9.500000,9.500000,8.871946,61777
2012-02-21,9.950000,9.950000,9.950000,9.950000,9.292196,40329
2012-02-22,10.400000,10.400000,9.500000,9.500000,8.871946,345912
2012-02-23,9.500000,9.500000,9.050000,9.050000,8.451697,101921
2012-02-24,8.600000,8.600000,8.600000,8.600000,8.031446,17692
2012-02-27,8.200000,8.200000,8.200000,8.200000,7.657890,15932
2012-02-28,7.800000,8.600000,7.800000,8.600000,8.031446,78822
2012-02-29,9.000000,9.000000,8.650000,8.950000,8.358307,86056
2012-03-01,8.950000,9.300000,8.550000,8.550000,7.984752,145258
2012-03-02,8.900000,8.900000,8.150000,8.800000,8.218224,113344
2012-03-03,null,null,null,null,null,null
2012-03-05,8.750000,8.900000,8.400000,8.450000,7.891363,50108
2012-03-06,8.700000,8.850000,8.050000,8.100000,7.564502,80002
2012-03-07,8.000000,8.500000,7.700000,7.950000,7.424418,58869
2012-03-09,8.050000,8.300000,8.050000,8.100000,7.564502,62723
2012-03-12,8.100000,8.500000,8.100000,8.500000,7.938057,20616
2012-03-13,8.900000,8.900000,8.900000,8.900000,8.311613,35632
2012-03-14,9.300000,9.300000,9.300000,9.300000,8.685169,15773
2012-03-15,9.750000,9.750000,9.050000,9.750000,9.105418,201958
2012-03-16,9.800000,10.200000,9.300000,9.300000,8.685169,51978
2012-03-19,9.300000,9.300000,8.850000,8.850000,8.264919,11886
2012-03-20,8.850000,9.250000,8.450000,8.800000,8.218224,39959
2012-03-21,9.100000,9.150000,8.500000,8.750000,8.171530,13996
2012-03-22,8.700000,9.000000,8.350000,8.400000,7.844668,32066
2012-03-23,8.800000,8.800000,8.150000,8.750000,8.171530,22849
2012-03-26,8.650000,9.000000,8.350000,8.400000,7.844668,148457
2012-03-27,8.050000,8.500000,8.000000,8.100000,7.564502,112112
2012-03-28,7.900000,8.500000,7.750000,7.800000,7.284335,44458
2012-03-29,7.650000,8.150000,7.650000,7.850000,7.331029,13741
2012-03-30,8.000000,8.200000,8.000000,8.200000,7.657890,11626
2012-04-02,8.600000,8.600000,8.350000,8.600000,8.031446,12604
2012-04-03,9.000000,9.000000,8.600000,9.000000,8.405002,38826
2012-04-04,9.000000,9.450000,9.000000,9.050000,8.451697,31672
2012-04-09,8.600000,9.500000,8.600000,9.300000,8.685169,20228
