Date,Open,High,Low,Close,Adj Close,Volume
2005-08-12,29.299400,35.354599,24.538200,33.938400,22.602863,511151702
2005-08-16,33.914001,35.012699,31.106199,31.594500,21.041836,155984145
2005-08-17,34.182598,34.182598,30.275999,32.937401,21.936203,57741575
2005-08-18,34.011700,34.524399,33.035000,33.352402,22.212591,91947084
2005-08-19,33.718700,33.840801,32.766499,32.864101,21.887384,22379701
2005-08-22,32.766499,33.596600,32.278099,32.546700,21.675995,19411453
2005-08-23,32.546700,32.717602,31.325899,31.960699,21.285723,28784803
2005-08-24,32.229301,32.229301,31.130600,31.350300,20.879200,25180947
2005-08-25,31.496799,32.400200,31.179399,31.887501,21.236969,31560742
2005-08-26,31.985100,32.546700,31.814199,32.009602,21.318291,17287161
2005-08-29,31.838600,32.131599,31.106199,31.350300,20.879200,12490663
2005-08-30,31.740999,32.351398,31.496799,32.156101,21.415857,18737622
2005-08-31,32.351398,32.815300,32.180500,32.302601,21.513428,10059951
2005-09-01,32.668800,33.059399,32.351398,32.571098,21.692244,10137324
2005-09-02,32.912899,33.132702,32.034000,32.107201,21.383289,6286265
2005-09-05,32.107201,34.500000,32.107201,33.889599,22.570364,42679882
2005-09-06,34.304699,34.622101,33.450100,33.596600,22.375229,22182164
2005-09-08,34.109299,36.404499,33.791901,35.916100,23.920010,71487066
2005-09-09,36.135899,36.843899,35.403400,36.087101,24.033890,39484663
2005-09-12,36.135899,36.770699,35.745201,36.209099,24.115143,20641853
2005-09-13,36.428902,37.063702,35.989399,36.673000,24.424099,19298159
2005-09-14,36.966000,37.429901,36.355598,36.746300,24.472918,18720246
2005-09-15,36.941601,37.088100,36.380001,36.477699,24.294031,13920028
2005-09-16,37.112499,37.112499,36.380001,36.721901,24.456669,17536910
2005-09-19,36.843899,37.063702,36.380001,36.502102,24.310278,6588129
2005-09-20,36.575401,36.624199,35.452202,35.623100,23.724867,11493651
2005-09-21,35.867298,35.867298,33.206001,34.207001,22.781752,26452395
2005-09-22,34.280300,35.061600,32.595501,32.839699,21.871130,19207762
2005-09-23,33.962799,34.182598,32.912899,33.450100,22.277657,11324064
2005-09-26,34.133801,34.915100,32.961800,34.792999,23.172024,9232521
2005-09-27,34.622101,35.501099,34.475601,34.963902,23.285845,10707597
2005-09-28,35.159199,35.159199,34.622101,34.963902,23.285845,5013281
2005-09-29,35.159199,35.403400,34.426800,34.841801,23.204531,8030388
2005-09-30,35.159199,35.305698,33.938400,34.646500,23.074455,4813724
2005-10-03,34.890701,35.745201,34.670898,35.110401,23.383413,10526915
2005-10-04,35.159199,35.501099,35.159199,35.379002,23.562302,4497292
2005-10-05,35.598701,35.647598,34.939499,35.012699,23.318344,4648663
2005-10-06,35.110401,35.110401,34.231400,34.402302,22.911821,6333328
2005-10-07,34.548801,34.988300,34.182598,34.500000,22.976887,5023076
2005-10-10,34.670898,35.208099,34.182598,34.646500,23.074455,5270045
2005-10-11,34.890701,34.890701,33.718700,34.133801,22.733000,3961329
2005-10-13,34.182598,34.451199,33.694302,33.840801,22.537865,3169046
2005-10-14,33.938400,34.084900,33.254799,33.425701,22.261406,4670653
2005-10-17,33.694302,33.694302,32.351398,32.668800,21.757313,6889167
2005-10-18,32.790901,33.206001,31.887501,32.204899,21.448360,6037650
2005-10-19,32.204899,32.204899,31.130600,31.448000,20.944263,6252674
2005-10-20,31.765400,32.668800,29.665600,30.300400,20.179968,7269174
2005-10-21,30.617800,31.960699,29.201700,31.496799,20.976767,17142403
2005-10-24,32.009602,32.082802,31.130600,31.252701,20.814198,8186889
2005-10-25,31.374701,31.863100,31.106199,31.570101,21.025585,5704703
2005-10-26,31.496799,31.814199,31.057301,31.252701,20.814198,6655009
2005-10-27,31.008499,31.252701,30.300400,30.593399,20.375107,9570273
2005-10-28,30.959700,30.959700,30.080700,30.202801,20.114969,5267099
2005-10-31,30.642300,31.960699,30.642300,31.716600,21.123152,7185524
2005-11-02,32.424599,32.888500,31.911900,32.717602,21.789818,8593960
2005-11-04,null,null,null,null,null,null
2005-11-07,33.206001,33.352402,32.327000,32.864101,21.887384,6727428
2005-11-08,33.108299,33.108299,32.473499,32.668800,21.757313,7080373
2005-11-09,32.815300,32.864101,31.740999,31.960699,21.285723,4986477
2005-11-10,31.252701,32.668800,30.764299,32.449100,21.610996,4719543
2005-11-11,32.571098,33.840801,32.424599,33.694302,22.440290,12037408
2005-11-14,34.060501,34.329102,33.206001,33.450100,22.277657,5006040
2005-11-16,33.669800,34.744202,33.279202,34.524399,22.993134,11673202
2005-11-17,34.670898,35.525501,34.524399,35.061600,23.350908,18043266
2005-11-18,35.330200,35.842899,35.305698,35.403400,23.578550,9486648
2005-11-21,35.403400,35.549900,33.523399,34.133801,22.733000,20825768
2005-11-22,34.182598,34.426800,32.717602,33.791901,22.505297,6816664
2005-11-23,33.694302,34.353500,33.206001,34.182598,22.765503,5034298
2005-11-24,34.402302,34.792999,34.207001,34.597698,23.041952,5415599
