Date,Open,High,Low,Close,Adj Close,Volume
2017-10-23,150.000000,166.000000,150.000000,162.914993,142.030289,33457980
2017-10-24,161.500000,163.505005,159.524994,160.339996,139.785385,2164280
2017-10-25,160.000000,160.100006,154.565002,156.304993,136.267639,1407480
2017-10-26,155.244995,159.000000,153.110001,156.264999,136.232773,871500
2017-10-27,156.000000,157.479996,155.110001,156.509995,136.446365,311480
2017-10-30,156.509995,158.115005,155.850006,156.714996,136.625092,469090
2017-10-31,156.100006,157.285004,154.100006,155.425003,135.500458,235920
2017-11-01,155.029999,157.000000,153.880005,155.934998,135.945084,931850
2017-11-02,156.000000,157.500000,155.000000,156.315002,136.276367,288830
2017-11-03,155.300003,162.000000,155.300003,159.229996,138.817673,947830
2017-11-06,158.009995,161.899994,158.000000,160.264999,139.720001,480410
2017-11-07,161.000000,161.850006,159.009995,160.699997,140.099228,513830
2017-11-08,160.199997,161.850006,151.100006,158.600006,138.268448,247650
2017-11-09,158.600006,161.175003,155.800003,160.014999,139.502045,263790
2017-11-10,158.199997,161.000000,158.199997,159.664993,139.196915,170400
2017-11-13,158.850006,160.115005,156.904999,157.285004,137.122025,126780
2017-11-14,157.500000,158.365005,154.050003,154.285004,134.506607,109190
2017-11-15,155.490005,155.490005,150.899994,151.145004,131.769135,122660
2017-11-16,153.300003,153.300003,149.000000,150.835007,131.498871,1051490
2017-11-17,151.500000,152.490005,150.500000,151.384995,131.978363,103580
2017-11-20,152.369995,154.794998,150.000000,150.414993,131.132706,171880
2017-11-21,150.509995,152.199997,150.509995,151.559998,132.130936,83160
2017-11-22,150.600006,157.899994,150.600006,155.785004,135.814316,215250
2017-11-23,156.660004,157.300003,153.710007,155.669998,135.714050,385390
2017-11-24,154.604996,156.399994,154.130005,154.949997,135.086349,238690
2017-11-27,154.005005,157.000000,153.755005,155.300003,135.391495,99200
2017-11-28,156.479996,156.479996,153.800003,154.690002,134.859680,61620
2017-11-29,154.699997,155.315002,151.160004,152.684998,133.111710,80690
