Date,Open,High,Low,Close,Adj Close,Volume
2019-09-20,22.000000,23.100000,22.000000,23.100000,22.314953,73482
2019-09-23,24.250000,24.250000,24.250000,24.250000,23.425871,20530
2019-09-24,25.450001,25.450001,25.450001,25.450001,24.585089,11034
2019-09-25,26.700001,26.700001,26.700001,26.700001,25.792608,272034
2019-09-26,28.000000,28.000000,28.000000,28.000000,27.048428,141567
2019-09-27,29.400000,29.400000,29.400000,29.400000,28.400848,62367
2019-09-30,30.850000,30.850000,30.850000,30.850000,29.801571,1677470
2019-10-01,30.500000,30.500000,29.350000,29.350000,28.352549,272123
2019-10-03,27.900000,30.650000,27.900000,27.900000,26.951826,466513
2019-10-04,26.750000,29.200001,26.549999,26.549999,25.647705,101140
2019-10-07,25.000000,29.500000,23.500000,25.200001,24.343586,456262
2019-10-09,24.200001,26.900000,22.000000,23.250000,22.459856,240875
2019-10-10,23.250000,25.500000,20.500000,22.549999,21.783644,178087
2019-10-11,22.950001,22.950001,20.549999,20.700001,19.996517,132637
2019-10-14,21.850000,21.850000,19.049999,19.650000,18.982201,251506
2019-10-15,19.650000,20.400000,19.049999,19.250000,18.595795,502589
2019-10-16,19.650000,21.150000,19.250000,20.799999,20.093117,565589
2019-10-17,20.250000,22.400000,20.250000,22.100000,21.348938,476617
2019-10-18,22.200001,24.250000,22.000000,23.850000,23.039465,404452
2019-10-22,24.350000,26.200001,24.350000,26.150000,25.261299,591401
2019-10-23,26.900000,26.900000,24.850000,25.450001,24.585089,250807
2019-10-24,24.600000,26.700001,24.600000,26.700001,25.792608,324748
2019-10-25,28.000000,28.000000,27.000000,28.000000,27.048428,1310711
2019-10-27,null,null,null,null,null,null
2019-10-29,30.850000,30.850000,28.049999,30.850000,29.801571,653984
2019-10-30,29.350000,31.700001,29.350000,29.400000,28.400848,588799
2019-10-31,29.000000,30.100000,28.549999,29.700001,28.690655,281674
2019-11-01,29.600000,29.600000,28.549999,29.100000,28.111046,180990
2019-11-04,29.100000,30.400000,28.200001,29.950001,28.932158,284638
2019-11-05,29.900000,30.400000,28.750000,28.950001,27.966143,144323
2019-11-06,29.950001,29.950001,27.549999,27.549999,26.613720,173284
2019-11-07,27.049999,28.700001,26.350000,26.950001,26.034113,143305
2019-11-08,25.650000,27.400000,25.650000,26.350000,25.454502,395226
2019-11-11,26.000000,26.950001,25.549999,25.950001,25.068098,167390
2019-11-13,26.450001,26.450001,25.250000,25.650000,24.778292,82122
2019-11-14,25.100000,26.350000,25.100000,25.799999,24.923193,83084
2019-11-15,25.700001,26.450001,25.250000,25.500000,24.633390,160846
2019-11-18,25.500000,25.799999,25.049999,25.200001,24.343586,246527
2019-11-19,25.200001,25.549999,24.150000,24.200001,23.377571,195335
2019-11-20,24.700001,25.100000,23.799999,23.900000,23.087765,164027
2019-11-21,24.700001,24.700001,23.400000,23.450001,22.653059,164199
2019-11-22,23.350000,24.299999,23.350000,23.650000,22.846260,283999
2019-11-25,23.650000,24.250000,22.500000,22.600000,21.831945,415244
2019-11-26,22.600000,23.700001,22.100000,22.850000,22.073450,2576175
2019-11-27,23.000000,23.950001,22.100000,23.450001,22.653059,1617131
2019-11-28,24.600000,24.600000,24.100000,24.600000,23.763977,2982162
2019-11-29,25.799999,25.799999,25.799999,25.799999,24.923193,105105
2019-12-02,27.049999,27.049999,27.049999,27.049999,26.130713,387544
2019-12-03,28.000000,28.400000,26.000000,28.000000,27.048428,1804136
2019-12-04,28.299999,29.400000,27.500000,29.400000,28.400848,1572926
2019-12-05,30.200001,30.850000,29.400000,30.850000,29.801571,418527
2019-12-06,32.349998,32.349998,29.549999,32.349998,31.250593,1041699
2019-12-09,33.400002,33.950001,30.750000,33.950001,32.796219,576565
2019-12-10,33.799999,34.700001,32.299999,32.299999,31.202293,779867
2019-12-11,30.700001,33.400002,30.700001,31.450001,30.381182,851220
2019-12-12,31.450001,33.000000,31.450001,32.900002,31.781904,196236
2019-12-13,33.599998,34.500000,32.150002,34.500000,33.327526,179602
2019-12-16,36.200001,36.200001,34.500000,36.200001,34.969753,933274
2019-12-17,37.200001,38.000000,37.000000,38.000000,36.708580,289482
2019-12-18,39.900002,39.900002,37.049999,39.150002,37.819500,982779
2019-12-19,39.799999,40.849998,37.200001,39.099998,37.771194,593635
2019-12-20,39.500000,40.599998,38.200001,38.700001,37.384792,252429
2019-12-23,39.900002,39.900002,36.799999,37.549999,36.273872,120265
2019-12-24,36.450001,39.400002,36.400002,39.400002,38.061005,399436
2019-12-26,41.349998,41.349998,39.049999,39.599998,38.254204,503568
2019-12-27,41.000000,41.000000,39.000000,39.150002,37.819500,230579
2019-12-30,40.400002,40.400002,38.700001,39.200001,37.867798,1247097
2019-12-31,39.799999,41.150002,38.599998,40.700001,39.316822,412027
2020-01-01,41.000000,42.700001,41.000000,42.700001,41.248852,89467
2020-01-02,44.799999,44.799999,44.000000,44.799999,43.277485,324862
2020-01-03,47.000000,47.000000,47.000000,47.000000,45.402718,25804
2020-01-06,49.349998,49.349998,48.500000,49.349998,47.672852,1294163
2020-01-07,51.799999,51.799999,51.500000,51.799999,50.039589,179989
2020-01-08,54.349998,54.349998,54.000000,54.349998,52.502930,433814
2020-01-09,57.049999,57.049999,57.049999,57.049999,55.111172,79647
2020-01-10,59.900002,59.900002,54.200001,54.200001,52.358028,2051617
2020-01-13,51.500000,51.500000,51.500000,51.500000,49.749786,89971
2020-01-14,48.950001,53.799999,48.950001,48.950001,47.286449,2431580
2020-01-15,48.950001,49.900002,46.549999,46.549999,44.968010,827173
2020-01-16,45.099998,48.849998,45.099998,48.849998,47.189846,547215
2020-01-17,51.250000,51.250000,47.500000,51.250000,49.508282,1421026
2020-01-20,51.750000,52.200001,48.700001,49.000000,47.334747,819439
2020-01-21,46.599998,51.450001,46.599998,51.400002,49.653187,788175
2020-01-22,52.500000,52.849998,49.250000,49.750000,48.059261,471261
2020-01-23,50.900002,52.200001,49.200001,52.200001,50.425999,532681
2020-01-24,53.150002,54.799999,50.500000,54.650002,52.792736,891810
2020-01-27,54.000000,57.349998,53.500000,55.950001,54.048557,1329095
2020-01-28,56.799999,56.799999,53.200001,53.200001,51.392014,624044
2020-01-29,52.049999,54.500000,50.549999,52.150002,50.377697,708019
2020-01-30,52.700001,53.650002,50.000000,51.700001,49.942989,516102
2020-01-31,51.700001,53.799999,51.150002,53.000000,51.198811,421670
2020-02-03,49.099998,51.950001,47.900002,50.450001,48.735470,486380
2020-02-04,51.250000,51.849998,48.799999,49.349998,47.672852,569521
2020-02-05,50.799999,50.799999,48.599998,49.099998,47.431347,429325
2020-02-06,49.900002,51.549999,49.349998,51.549999,49.798088,455574
2020-02-07,52.599998,53.450001,50.500000,50.900002,49.170177,709404
2020-02-10,53.400002,53.400002,53.400002,53.400002,51.585217,208152
2020-02-11,56.049999,56.049999,54.000000,56.049999,54.145157,1701485
2020-02-12,58.849998,58.849998,56.650002,58.849998,56.849998,1509208
2020-02-13,58.700001,59.650002,57.200001,59.650002,59.650002,648894
2020-02-14,61.799999,62.599998,56.700001,56.700001,56.700001,1550006
2020-02-17,53.900002,56.099998,53.900002,53.900002,53.900002,631940
