Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,187.500000,190.899994,186.500000,189.899994,138.352493,5616
2002-07-02,193.199997,193.199997,188.550003,190.000000,138.425369,2604
2002-07-03,189.000000,210.550003,188.000000,208.750000,152.085754,39195
2002-07-04,209.000000,214.649994,205.000000,208.699997,152.049316,34599
2002-07-05,206.899994,219.850006,206.899994,217.399994,158.387711,25949
2002-07-08,222.899994,227.000000,218.199997,225.949997,164.616852,15719
2002-07-09,226.399994,226.399994,212.750000,215.750000,157.185638,9025
2002-07-10,218.800003,218.949997,210.000000,210.250000,153.178604,3774
2002-07-11,211.000000,214.899994,206.149994,212.300003,154.672104,5356
2002-07-12,214.000000,216.850006,210.600006,211.250000,153.907120,5547
2002-07-15,214.000000,218.750000,210.000000,215.300003,156.857819,10120
2002-07-16,215.000000,220.000000,209.899994,210.199997,153.142120,9003
2002-07-17,210.000000,212.800003,204.100006,205.949997,150.045792,5057
2002-07-18,209.850006,210.000000,207.100006,209.100006,152.340759,3178
2002-07-19,208.000000,212.899994,208.000000,209.500000,152.632156,13342
2002-07-22,208.000000,208.000000,204.250000,204.649994,149.098679,4477
2002-07-23,200.000000,210.899994,198.300003,209.000000,152.267899,9114
2002-07-24,210.000000,211.000000,201.149994,203.350006,148.151550,13474
2002-07-25,213.899994,215.000000,203.000000,203.300003,148.115143,8127
2002-07-26,203.000000,203.899994,197.000000,200.949997,146.403030,6181
2002-07-29,197.100006,202.000000,193.250000,199.750000,145.528763,7886
2002-07-30,202.000000,215.000000,198.000000,198.449997,144.581635,3747
2002-07-31,189.250000,197.899994,188.000000,193.250000,140.793121,6680
2002-08-01,202.850006,202.850006,195.000000,199.350006,145.237366,1965
2002-08-02,192.500000,203.000000,192.500000,200.850006,146.330154,8513
2002-08-05,192.500000,205.750000,192.500000,201.050003,146.475861,1393
2002-08-06,202.949997,202.949997,200.000000,200.850006,146.330154,1344
2002-08-07,204.000000,204.000000,196.000000,196.399994,143.088089,1704
2002-08-08,199.000000,201.000000,197.500000,200.000000,145.710922,3878
2002-08-09,198.000000,201.000000,198.000000,200.899994,146.366562,1756
2002-08-12,198.000000,202.550003,198.000000,201.350006,146.694458,1848
2002-08-13,201.000000,202.000000,201.000000,201.399994,146.730865,905
2002-08-14,200.000000,205.000000,200.000000,201.000000,146.439423,850
2002-08-15,null,null,null,null,null,null
2002-08-16,203.000000,203.750000,201.550003,203.250000,148.078690,2360
2002-08-19,202.000000,204.000000,202.000000,203.500000,148.260834,1258
2002-08-20,202.500000,204.250000,200.000000,204.000000,148.625153,3602
2002-08-21,203.000000,204.000000,202.149994,202.899994,147.823639,1455
2002-08-22,204.000000,205.500000,202.699997,205.199997,149.499405,718
2002-08-23,203.100006,206.000000,203.100006,205.899994,150.009369,1694
2002-08-26,211.899994,216.899994,208.100006,214.000000,155.910660,6294
2002-08-27,216.000000,218.899994,213.500000,215.550003,157.039917,6642
2002-08-28,216.750000,218.000000,215.100006,217.100006,158.169205,5248
2002-08-29,218.000000,218.000000,215.000000,215.199997,156.784912,2265
2002-08-30,215.000000,216.699997,207.000000,215.399994,156.930649,1302
2002-09-02,217.899994,226.000000,217.000000,223.649994,162.941208,5331
2002-09-03,225.000000,225.000000,213.500000,215.300003,156.857819,6769
2002-09-04,215.500000,216.850006,215.000000,215.199997,156.784912,750
2002-09-05,215.000000,216.000000,214.000000,214.000000,155.910660,4550
2002-09-06,214.000000,215.899994,214.000000,214.000000,155.910660,1076
2002-09-09,213.899994,215.050003,210.500000,214.000000,155.910660,2121
2002-09-10,null,null,null,null,null,null
