Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,18.270000,19.240000,18.270000,19.180000,18.275227,3975
2002-07-02,19.520000,19.580000,19.180000,19.180000,18.275227,3000
2002-07-03,20.030001,20.250000,19.240000,19.969999,19.027962,7859
2002-07-04,19.969999,22.400000,19.969999,22.120001,21.076542,38185
2002-07-05,24.670000,26.139999,22.629999,23.930000,22.801155,30804
2002-07-08,23.879999,25.570000,22.690001,23.420000,22.315212,23253
2002-07-09,23.200001,23.709999,22.910000,23.080000,21.991255,16683
2002-07-10,22.629999,22.629999,21.500000,21.780001,20.752579,4025
2002-07-11,24.209999,24.209999,20.709999,20.820000,19.837866,4405
2002-07-12,20.370001,21.500000,20.370001,21.389999,20.380976,5810
2002-07-15,22.629999,22.629999,20.480000,20.590000,19.618713,6320
2002-07-16,20.080000,20.930000,20.080000,20.480000,19.513905,12427
2002-07-17,19.799999,20.200001,19.240000,19.520000,18.599188,2725
2002-07-18,19.520000,19.799999,19.290001,19.290001,18.380039,2758
2002-07-19,20.200001,20.200001,19.520000,19.690001,18.761171,3008
2002-07-22,20.250000,21.500000,19.290001,20.080000,19.132774,8511
2002-07-23,20.370001,20.650000,19.920000,20.250000,19.294752,7648
2002-07-24,19.920000,21.500000,19.920000,20.879999,19.895033,9311
2002-07-25,21.049999,21.270000,20.480000,21.219999,20.218992,6710
2002-07-26,20.930000,20.990000,20.080000,20.709999,19.733053,8146
2002-07-29,22.350000,22.350000,18.160000,20.250000,19.294752,8035
2002-07-30,21.330000,21.559999,19.920000,20.030001,19.085133,6475
2002-07-31,18.670000,20.250000,18.670000,20.030001,19.085133,3150
2002-08-01,19.580000,19.969999,19.580000,19.629999,18.703997,786
2002-08-02,19.690001,19.690001,19.520000,19.520000,18.599188,500
2002-08-05,20.309999,20.370001,19.520000,20.370001,19.409092,2151
2002-08-06,19.750000,20.030001,19.240000,19.799999,18.865978,1377
2002-08-07,19.290001,19.750000,19.240000,19.350000,18.437210,2102
2002-08-08,19.290001,20.250000,18.900000,18.900000,18.008436,2827
2002-08-09,20.930000,20.930000,18.219999,18.950001,18.056078,901
2002-08-12,20.930000,20.930000,18.670000,18.730000,17.846453,1895
2002-08-13,19.459999,19.459999,18.900000,18.950001,18.056078,560
2002-08-14,20.930000,20.930000,18.950001,19.010000,18.113247,973
2002-08-15,null,null,null,null,null,null
2002-08-16,19.240000,20.309999,19.240000,19.799999,18.865978,1584
2002-08-19,18.389999,19.799999,18.389999,19.240000,18.332397,952
2002-08-20,18.219999,19.690001,18.219999,19.010000,18.113247,1242
2002-08-21,18.840000,20.030001,18.840000,19.750000,18.818338,3851
2002-08-22,null,null,null,null,null,null
2002-08-23,19.459999,19.520000,18.900000,19.010000,18.113247,2700
2002-08-26,18.559999,21.389999,18.559999,19.459999,18.542017,2254
2002-08-27,19.799999,19.799999,19.010000,19.010000,18.113247,1225
2002-08-28,19.070000,19.070000,18.559999,18.730000,17.846453,1902
2002-08-29,18.670000,18.780001,18.670000,18.670000,17.789286,1050
2002-08-30,17.770000,18.950001,17.770000,17.879999,17.036552,1603
2002-09-02,18.559999,18.670000,17.709999,18.559999,17.684475,2152
2002-09-03,17.030001,18.670000,16.410000,17.030001,16.226652,6652
2002-09-04,16.969999,17.030001,16.629999,16.969999,16.169479,1240
2002-09-05,16.969999,17.650000,16.969999,17.650000,16.817404,878
