Date,Open,High,Low,Close,Adj Close,Volume
2017-02-27,51.799999,52.000000,49.250000,49.250000,49.250000,16358
2017-02-28,46.799999,49.000000,46.799999,46.799999,46.799999,25883
2017-03-01,44.500000,47.000000,44.500000,44.500000,44.500000,44854
2017-03-02,42.299999,45.400002,42.299999,42.299999,42.299999,67642
2017-03-03,40.349998,43.450001,40.200001,40.200001,40.200001,151189
2017-03-06,40.200001,42.200001,39.000000,42.200001,42.200001,50285
2017-03-07,44.299999,44.299999,44.299999,44.299999,44.299999,2596
2017-03-08,46.500000,46.500000,46.500000,46.500000,46.500000,13758
2017-03-09,48.799999,48.799999,48.250000,48.799999,48.799999,38169
2017-03-10,51.200001,51.200001,51.200001,51.200001,51.200001,2285
2017-03-14,53.750000,53.750000,52.750000,53.750000,53.750000,36125
2017-03-15,56.400002,56.400002,54.000000,56.400002,56.400002,28631
2017-03-16,57.500000,59.200001,57.500000,59.200001,59.200001,27979
2017-03-17,62.150002,62.150002,61.599998,62.150002,62.150002,8964
2017-03-20,64.800003,65.250000,64.800003,65.250000,65.250000,3407
2017-03-21,68.500000,68.500000,68.500000,68.500000,68.500000,3730
2017-03-22,71.900002,71.900002,70.000000,71.900002,71.900002,20072
2017-03-23,75.449997,75.449997,73.000000,75.449997,75.449997,33339
2017-03-24,79.199997,79.199997,79.199997,79.199997,79.199997,1815
2017-03-27,83.150002,83.150002,75.250000,75.800003,75.800003,102910
2017-03-28,78.000000,78.000000,72.050003,72.050003,72.050003,64877
2017-03-29,68.550003,70.000000,68.449997,68.500000,68.500000,85341
2017-03-30,65.099998,71.900002,65.099998,71.900002,71.900002,20256
2017-03-31,73.900002,75.449997,70.000000,73.900002,73.900002,36566
2017-04-03,75.000000,75.000000,70.250000,70.250000,70.250000,9450
2017-04-05,66.750000,69.750000,66.750000,67.449997,67.449997,24374
2017-04-06,66.050003,67.599998,65.000000,66.650002,66.650002,21091
2017-04-07,64.199997,68.000000,64.199997,66.050003,66.050003,14119
2017-04-10,63.599998,66.900002,62.750000,62.750000,62.750000,16982
2017-04-11,64.949997,64.949997,59.650002,60.299999,60.299999,48751
2017-04-12,62.000000,63.299999,59.700001,63.299999,63.299999,9857
2017-04-13,66.199997,66.449997,65.500000,66.449997,66.449997,30062
2017-04-17,67.800003,67.800003,63.150002,63.500000,63.500000,18218
2017-04-18,65.000000,66.349998,61.000000,61.299999,61.299999,18981
2017-04-19,63.900002,63.900002,59.049999,60.450001,60.450001,12075
2017-04-20,60.500000,62.799999,59.799999,62.599998,62.599998,12680
2017-04-21,61.000000,63.900002,59.900002,60.250000,60.250000,23900
2017-04-24,57.500000,62.000000,57.500000,61.599998,61.599998,12237
2017-04-25,61.599998,64.650002,60.049999,64.650002,64.650002,81215
2017-04-26,67.500000,67.849998,67.500000,67.849998,67.849998,9876
2017-04-27,70.699997,71.000000,65.300003,69.099998,69.099998,33717
2017-04-28,68.099998,68.300003,66.199997,67.900002,67.900002,12129
2017-05-02,65.250000,69.500000,65.250000,68.900002,68.900002,27833
2017-05-03,69.949997,72.300003,67.500000,72.300003,72.300003,90999
2017-05-04,72.300003,74.500000,69.199997,71.650002,71.650002,30967
2017-05-05,72.000000,72.000000,68.349998,68.349998,68.349998,7244
