Date,Open,High,Low,Close,Adj Close,Volume
2004-01-12,12.250000,12.950000,12.180000,12.590000,3.749118,26512
2004-01-13,12.750000,12.750000,11.800000,11.855000,3.530245,47852
2004-01-14,12.005000,12.220000,11.765000,11.855000,3.530245,31180
2004-01-15,11.750000,11.975000,11.105000,11.270000,3.356041,33644
2004-01-16,11.200000,11.200000,10.855000,11.130000,3.314352,8252
2004-01-19,11.050000,11.050000,10.525000,10.900000,3.245861,15772
2004-01-20,10.900000,11.000000,10.505000,10.640000,3.168437,69816
2004-01-21,10.275000,10.500000,9.575000,9.705000,2.890007,29020
2004-01-22,9.705000,9.750000,9.200000,9.655000,2.875118,26000
2004-01-23,9.750000,10.300000,9.520000,10.165000,3.026988,47496
2004-01-26,null,null,null,null,null,null
2004-01-27,10.250000,10.440000,10.215000,10.250000,3.052300,25284
2004-01-28,10.285000,10.300000,9.755000,9.990000,2.974876,7104
2004-01-29,9.500000,10.495000,9.500000,10.295000,3.065701,47052
2004-01-30,10.200000,10.325000,9.300000,9.425000,2.806628,54160
2004-02-02,null,null,null,null,null,null
2004-02-03,9.840000,9.840000,9.000000,9.130000,2.718781,26600
2004-02-04,9.495000,9.495000,8.930000,9.260000,2.757492,9364
2004-02-05,9.265000,9.385000,9.000000,9.180000,2.733670,4936
2004-02-06,9.200000,9.250000,9.055000,9.225000,2.747070,4676
2004-02-09,9.330000,9.825000,9.325000,9.725000,2.895963,17988
2004-02-10,9.500000,9.800000,9.450000,9.650000,2.873629,12664
2004-02-11,9.500000,9.565000,9.450000,9.495000,2.827472,10792
2004-02-12,9.500000,9.750000,9.500000,9.695000,2.887029,14584
2004-02-13,9.795000,10.300000,9.795000,9.995000,2.976366,27160
2004-02-16,10.245000,10.250000,9.915000,10.205000,3.038900,17136
2004-02-17,10.200000,10.250000,9.950000,9.990000,2.974876,14648
2004-02-18,10.065000,10.065000,9.780000,9.815000,2.922764,2680
2004-02-19,9.875000,9.875000,9.230000,9.355000,2.785782,7044
2004-02-20,9.010000,9.340000,9.010000,9.170000,2.730692,19200
2004-02-23,9.290000,9.290000,8.700000,8.745000,2.604133,23552
2004-02-24,8.765000,8.900000,8.700000,8.845000,2.633912,3540
2004-02-25,8.815000,8.900000,8.800000,8.840000,2.632423,2840
2004-02-26,8.900000,8.900000,8.725000,8.760000,2.608600,8788
2004-02-27,8.655000,8.695000,8.600000,8.630000,2.569888,2928
2004-03-01,8.605000,8.995000,8.550000,8.770000,2.611578,15580
2004-03-02,null,null,null,null,null,null
2004-03-03,8.815000,9.025000,8.810000,8.890000,2.647312,16600
2004-03-04,9.050000,9.050000,8.700000,8.755000,2.607111,16636
2004-03-05,8.900000,8.900000,8.505000,8.530000,2.540109,8764
2004-03-08,8.750000,8.800000,8.650000,8.800000,2.620511,6188
2004-03-09,8.730000,8.730000,8.455000,8.455000,2.517776,4320
2004-03-10,8.575000,8.575000,8.375000,8.435000,2.511820,28400
2004-03-11,8.450000,8.600000,8.405000,8.410000,2.504375,2128
2004-03-12,8.340000,8.700000,8.340000,8.515000,2.535642,10740
2004-03-15,8.450000,8.450000,8.000000,8.155000,2.428440,9668
2004-03-16,8.000000,8.200000,7.500000,7.625000,2.270614,9968
