Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,10.533300,11.200000,10.500000,10.666700,2.883009,57900
2002-07-02,11.066700,11.083300,10.666700,10.800000,2.919038,101316
2002-07-03,10.666700,11.166700,10.666700,11.150000,3.013637,9348
2002-07-04,11.333300,11.466700,11.250000,11.333300,3.063178,8844
2002-07-05,11.333300,11.333300,11.166700,11.166700,3.018150,10482
2002-07-08,11.650000,11.650000,10.683300,10.700000,2.892009,900
2002-07-09,11.250000,11.250000,11.250000,11.250000,3.040664,6834
2002-07-10,11.500000,11.900000,11.366700,11.450000,3.094720,22326
2002-07-11,null,null,null,null,null,null
2002-07-12,10.666700,10.833300,10.666700,10.833300,2.928038,1200
2002-07-15,11.166700,11.166700,11.166700,11.166700,3.018150,900
2002-07-16,11.166700,11.166700,10.666700,10.666700,2.883009,3600
2002-07-17,10.116700,10.116700,10.116700,10.116700,2.734354,600
2002-07-18,null,null,null,null,null,null
2002-07-19,10.333300,10.333300,10.333300,10.333300,2.792897,1200
2002-07-22,10.333300,10.333300,10.333300,10.333300,2.792897,6
2002-07-23,10.500000,11.000000,10.500000,10.666700,2.883009,9024
2002-07-24,11.166700,11.166700,10.833300,10.833300,2.928038,1800
2002-07-25,11.000000,11.800000,10.833300,11.066700,2.991121,12660
2002-07-26,11.000000,11.333300,10.966700,11.083300,2.995608,5400
2002-07-29,10.533300,11.333300,10.533300,11.216700,3.031664,7200
2002-07-30,10.683300,11.566700,10.583300,10.783300,2.914523,6072
2002-07-31,10.500000,11.866700,10.500000,11.516700,3.112747,3000
2002-08-01,11.000000,11.716700,10.666700,11.400000,3.081207,16230
2002-08-02,11.500000,11.666700,11.500000,11.583300,3.130749,11100
2002-08-05,11.166700,12.333300,11.166700,12.333300,3.333460,10524
2002-08-06,12.333300,12.966700,11.500000,12.333300,3.333460,4860
2002-08-07,12.666700,12.900000,12.500000,12.900000,3.486628,4242
2002-08-08,13.166700,13.333300,12.666700,12.666700,3.423572,2316
2002-08-09,13.333300,13.333300,12.833300,13.316700,3.599254,8700
2002-08-12,13.583300,13.633300,12.833300,13.300000,3.594741,3036
2002-08-13,13.500000,13.500000,12.883300,12.950000,3.500143,8070
2002-08-14,13.000000,13.333300,13.000000,13.266700,3.585740,15180
2002-08-15,null,null,null,null,null,null
2002-08-16,13.633300,14.400000,13.166700,14.100000,3.810966,35100
2002-08-19,14.333300,14.333300,13.666700,13.666700,3.693853,16380
2002-08-20,14.166700,14.966700,14.000000,14.583300,3.941592,45900
2002-08-21,14.583300,15.566700,14.500000,15.433300,4.171330,40986
2002-08-22,14.816700,15.000000,14.816700,14.966700,4.647485,3600
2002-08-23,14.000000,14.666700,14.000000,14.666700,4.554329,1620
2002-08-26,13.833300,14.666700,13.666700,14.600000,4.533617,27318
2002-08-27,13.750000,14.750000,13.750000,14.500000,4.502566,12840
2002-08-28,14.166700,14.933300,14.166700,14.666700,4.554329,7200
2002-08-29,14.916700,14.916700,14.916700,14.916700,4.631959,6000
2002-08-30,14.750000,14.833300,14.750000,14.783300,4.590537,600
2002-09-02,14.166700,14.833300,14.166700,14.833300,4.606061,6636
2002-09-03,14.666700,14.983300,14.666700,14.966700,4.647485,7800
2002-09-04,14.966700,15.333300,14.366700,14.966700,4.647485,10248
2002-09-05,15.216700,15.233300,15.000000,15.083300,4.683692,5400
2002-09-06,14.966700,15.216700,14.966700,15.000000,4.657825,3600
2002-09-09,14.300000,14.666700,14.300000,14.666700,4.554329,5124
2002-09-10,null,null,null,null,null,null
2002-09-11,14.000000,14.000000,14.000000,14.000000,4.347304,1200
2002-09-12,14.666700,14.666700,14.666700,14.666700,4.554329,3000
2002-09-13,14.000000,14.000000,14.000000,14.000000,4.347304,600
2002-09-16,14.033300,14.033300,14.033300,14.033300,4.357645,1500
2002-09-17,14.250000,14.850000,14.066700,14.850000,4.611248,7320
2002-09-18,14.900000,14.900000,14.300000,14.550000,4.518091,6246
2002-09-19,14.333300,14.666700,14.333300,14.633300,4.543958,1860
2002-09-20,13.850000,13.850000,13.833300,13.833300,4.295540,600
2002-09-23,13.750000,13.750000,13.750000,13.750000,4.269674,732
2002-09-24,14.166700,14.666700,14.000000,14.000000,4.347304,13200
2002-09-25,13.833300,14.666700,13.833300,14.583300,4.528431,9060
2002-09-26,14.650000,14.933300,14.650000,14.700000,4.564669,1800
2002-09-27,14.000000,15.000000,14.000000,14.683300,4.559484,9012
2002-09-30,null,null,null,null,null,null
2002-10-01,13.666700,14.666700,13.666700,14.533300,4.512906,3732
2002-10-02,null,null,null,null,null,null
2002-10-03,13.700000,15.166700,13.683300,15.166700,4.709590,5748
2002-10-04,14.333300,14.333300,14.333300,14.333300,4.450800,600
2002-10-07,14.316700,15.083300,14.300000,14.633300,4.543958,2976
2002-10-08,null,null,null,null,null,null
2002-10-09,null,null,null,null,null,null
2002-10-10,null,null,null,null,null,null
2002-10-11,null,null,null,null,null,null
2002-10-14,null,null,null,null,null,null
2002-10-15,null,null,null,null,null,null
2002-10-16,13.350000,13.350000,13.350000,13.350000,4.145465,30
2002-10-17,null,null,null,null,null,null
2002-10-18,null,null,null,null,null,null
2002-10-21,null,null,null,null,null,null
2002-10-22,null,null,null,null,null,null
2002-10-23,null,null,null,null,null,null
2002-10-24,null,null,null,null,null,null
2002-10-25,null,null,null,null,null,null
2002-10-28,14.583300,14.583300,14.583300,14.583300,4.528431,600
2002-10-29,13.833300,14.983300,13.833300,14.583300,4.528431,13800
2002-10-30,14.666700,15.333300,14.666700,14.916700,4.631959,4800
2002-10-31,null,null,null,null,null,null
2002-11-01,null,null,null,null,null,null
2002-11-04,null,null,null,null,null,null
2002-11-05,null,null,null,null,null,null
2002-11-06,null,null,null,null,null,null
2002-11-07,null,null,null,null,null,null
2002-11-08,null,null,null,null,null,null
