Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,2.110000,2.225000,2.110000,2.210000,0.001249,11270
2002-07-02,2.265000,2.270000,2.200000,2.215000,0.001252,18020
2002-07-03,2.210000,2.210000,2.200000,2.205000,0.001246,43500
2002-07-04,2.250000,2.350000,2.195000,2.345000,0.001325,59440
2002-07-05,2.400000,2.485000,2.310000,2.370000,0.001339,21560
2002-07-08,2.485000,2.490000,2.350000,2.360000,0.001334,41940
2002-07-09,2.470000,2.475000,2.265000,2.285000,0.001291,35000
2002-07-10,2.290000,2.290000,2.150000,2.155000,0.001218,50250
2002-07-11,2.190000,2.200000,2.120000,2.190000,0.001238,9030
2002-07-12,2.025000,2.250000,2.025000,2.240000,0.001266,1530
2002-07-15,2.025000,2.240000,2.025000,2.185000,0.001235,9040
2002-07-16,2.200000,2.200000,2.115000,2.185000,0.001235,13750
2002-07-17,2.200000,2.200000,2.150000,2.155000,0.001218,14000
2002-07-18,2.175000,2.175000,2.175000,2.175000,0.001229,5000
2002-07-19,2.150000,2.200000,2.150000,2.155000,0.001218,8290
2002-07-22,2.175000,2.175000,2.175000,2.175000,0.001229,25920
2002-07-23,2.130000,2.130000,2.125000,2.125000,0.001201,6000
2002-07-24,2.220000,2.220000,2.115000,2.115000,0.001195,15000
2002-07-25,2.050000,2.175000,1.925000,1.980000,0.001119,7000
2002-07-26,2.100000,2.100000,2.035000,2.035000,0.001150,49290
2002-07-29,1.930000,1.990000,1.925000,1.925000,0.001088,48500
2002-07-30,1.975000,1.975000,1.880000,1.915000,0.001082,2250
2002-07-31,2.000000,2.075000,2.000000,2.005000,0.001133,120
2002-08-01,2.025000,2.025000,1.855000,2.000000,0.001130,5100
2002-08-02,1.820000,1.825000,1.800000,1.825000,0.001031,4130
2002-08-05,1.805000,2.000000,1.805000,1.905000,0.001077,4030
2002-08-06,1.830000,1.975000,1.830000,1.975000,0.001116,540
2002-08-07,2.000000,2.050000,2.000000,2.050000,0.001159,7240
2002-08-08,1.950000,2.085000,1.950000,2.015000,0.001139,20750
2002-08-09,2.000000,2.200000,2.000000,2.035000,0.001150,28080
2002-08-12,1.985000,2.020000,1.985000,1.985000,0.065226,11510
2002-08-13,1.815000,2.125000,1.815000,2.100000,0.069005,30
2002-08-14,2.310000,2.310000,1.900000,1.900000,0.062433,11270
2002-08-15,null,null,null,null,null,null
2002-08-16,1.890000,1.890000,1.780000,1.815000,0.059640,2530
2002-08-19,1.710000,1.885000,1.710000,1.885000,0.061940,520
2002-08-20,1.725000,1.895000,1.725000,1.760000,0.057833,1020
2002-08-21,1.620000,1.780000,1.620000,1.775000,0.058326,240
2002-08-22,1.710000,1.735000,1.710000,1.735000,0.057011,1500
2002-08-23,1.610000,1.750000,1.610000,1.750000,0.057504,30
2002-08-26,1.615000,1.750000,1.615000,1.750000,0.057504,510
2002-08-27,1.615000,1.920000,1.615000,1.870000,0.061447,4290
2002-08-28,2.060000,2.060000,1.700000,1.915000,0.062926,6470
2002-08-29,1.780000,1.930000,1.775000,1.775000,0.058326,4060
2002-08-30,1.935000,1.935000,1.765000,1.765000,0.057997,3530
2002-09-02,1.665000,1.665000,1.665000,1.665000,0.054711,10
2002-09-03,1.530000,1.760000,1.530000,1.760000,0.057833,510
2002-09-04,1.750000,1.765000,1.750000,1.765000,0.057997,1000
2002-09-05,1.685000,1.890000,1.650000,1.750000,0.057504,14020
2002-09-06,1.750000,1.750000,1.685000,1.725000,0.056683,15240
2002-09-09,1.700000,1.700000,1.700000,1.700000,0.055861,250
2002-09-10,null,null,null,null,null,null
2002-09-11,1.680000,1.800000,1.680000,1.800000,0.059147,550
2002-09-12,1.700000,1.700000,1.700000,1.700000,0.055861,500
2002-09-13,2.035000,2.035000,1.685000,1.795000,0.058983,2780
2002-09-16,2.120000,2.120000,1.725000,1.755000,0.057668,50
2002-09-17,2.085000,2.085000,1.700000,1.700000,0.055861,13560
2002-09-18,2.010000,2.010000,1.700000,1.700000,0.055861,5670
2002-09-19,2.000000,2.000000,1.670000,1.780000,0.058490,6340
2002-09-20,1.750000,1.845000,1.685000,1.750000,0.057504,8160
2002-09-23,2.000000,2.000000,1.995000,1.995000,0.065555,20
2002-09-24,1.825000,1.830000,1.800000,1.815000,0.059640,21670
2002-09-25,1.835000,1.850000,1.705000,1.845000,0.060626,40
2002-09-26,null,null,null,null,null,null
2002-09-27,1.715000,1.725000,1.710000,1.725000,0.056683,1870
2002-09-30,1.720000,1.995000,1.720000,1.745000,0.057340,3190
2002-10-01,1.735000,1.840000,1.680000,1.840000,0.060461,4840
2002-10-02,null,null,null,null,null,null
2002-10-03,2.200000,2.200000,1.725000,1.850000,0.060790,5280
2002-10-04,2.210000,2.210000,1.780000,1.780000,0.058490,5970
2002-10-07,1.680000,1.890000,1.680000,1.880000,0.061776,1070
2002-10-08,1.940000,1.940000,1.800000,1.800000,0.059147,12410
2002-10-09,1.755000,1.755000,1.700000,1.725000,0.056683,24040
2002-10-10,1.700000,1.700000,1.700000,1.700000,0.055861,750
2002-10-11,1.795000,1.795000,1.795000,1.795000,0.058983,260
2002-10-14,1.670000,1.890000,1.670000,1.715000,0.056354,4030
2002-10-15,null,null,null,null,null,null
2002-10-16,1.735000,1.735000,1.720000,1.720000,0.056518,4840
2002-10-17,1.720000,1.850000,1.720000,1.850000,0.060790,700
2002-10-18,1.800000,1.800000,1.775000,1.785000,0.058654,6500
2002-10-21,1.800000,1.800000,1.760000,1.760000,0.057833,5250
2002-10-22,1.800000,1.800000,1.800000,1.800000,0.059147,550
2002-10-23,1.750000,1.815000,1.750000,1.765000,0.057997,5750
2002-10-24,null,null,null,null,null,null
2002-10-25,1.715000,1.715000,1.700000,1.700000,0.055861,10000
2002-10-28,1.730000,1.730000,1.730000,1.730000,0.056847,1000
2002-10-29,1.840000,1.840000,1.700000,1.700000,0.055861,850
2002-10-30,null,null,null,null,null,null
2002-10-31,1.630000,1.750000,1.625000,1.750000,0.057504,5480
2002-11-01,1.850000,1.850000,1.840000,1.840000,0.060461,3000
2002-11-04,1.700000,1.700000,1.700000,1.700000,0.055861,500
2002-11-05,1.735000,1.735000,1.705000,1.710000,0.056190,3000
2002-11-06,null,null,null,null,null,null
2002-11-07,1.700000,1.835000,1.655000,1.745000,0.057340,4060
2002-11-08,1.710000,1.725000,1.660000,1.660000,0.054547,61830
2002-11-11,1.600000,1.835000,1.600000,1.700000,0.055861,2250
2002-11-12,1.530000,1.795000,1.530000,1.795000,0.058983,6250
2002-11-13,1.700000,1.700000,1.700000,1.700000,0.055861,3980
2002-11-14,1.710000,1.710000,1.705000,1.710000,0.056190,1250
2002-11-15,null,null,null,null,null,null
2002-11-18,1.530000,1.750000,1.530000,1.750000,0.057504,110
2002-11-19,null,null,null,null,null,null
2002-11-20,1.595000,1.780000,1.595000,1.700000,0.055861,1520
2002-11-21,1.700000,1.795000,1.700000,1.795000,0.058983,2410
2002-11-22,1.720000,1.720000,1.720000,1.720000,0.056518,500
2002-11-25,1.555000,1.800000,1.555000,1.800000,0.059147,6300
2002-11-26,1.800000,1.800000,1.760000,1.760000,0.057833,1120
2002-11-27,1.720000,1.790000,1.720000,1.790000,0.058818,1380
2002-11-28,1.750000,1.750000,1.700000,1.700000,0.055861,22220
2002-11-29,1.710000,1.745000,1.700000,1.710000,0.056190,9890
2002-12-02,1.725000,1.845000,1.715000,1.715000,0.056354,18620
2002-12-03,2.060000,2.060000,1.715000,1.715000,0.056354,2020
2002-12-04,1.715000,1.715000,1.715000,1.715000,0.056354,2250
2002-12-05,1.810000,1.820000,1.805000,1.810000,0.059476,220
2002-12-06,1.710000,1.720000,1.710000,1.720000,0.056518,1140
2002-12-09,1.710000,1.750000,1.700000,1.750000,0.057504,8000
2002-12-10,1.560000,1.700000,1.560000,1.700000,0.055861,8550
2002-12-11,1.715000,1.755000,1.700000,1.700000,0.055861,9870
2002-12-12,1.700000,1.705000,1.700000,1.700000,0.055861,23830
2002-12-13,1.705000,1.815000,1.705000,1.745000,0.057340,7130
2002-12-16,1.945000,1.945000,1.750000,1.800000,0.059147,5540
2002-12-17,1.750000,1.840000,1.735000,1.750000,0.057504,25040
2002-12-18,1.715000,1.715000,1.715000,1.715000,0.056354,11430
2002-12-19,1.770000,1.770000,1.770000,1.770000,0.058161,750
2002-12-20,1.795000,1.795000,1.795000,1.795000,0.058983,1000
2002-12-23,null,null,null,null,null,null
2002-12-24,1.705000,1.805000,1.705000,1.805000,0.059311,30
2002-12-25,null,null,null,null,null,null
2002-12-26,1.715000,1.775000,1.715000,1.770000,0.058161,4770
2002-12-27,1.720000,1.720000,1.700000,1.700000,0.055861,58630
2002-12-30,1.650000,1.800000,1.650000,1.745000,0.057340,540
2002-12-31,1.705000,1.805000,1.700000,1.800000,0.059147,3900
2003-01-01,1.715000,1.715000,1.715000,1.715000,0.056354,3750
2003-01-02,1.705000,1.715000,1.650000,1.675000,0.055040,17400
2003-01-03,1.705000,1.705000,1.705000,1.705000,0.056025,101000
2003-01-06,1.695000,1.720000,1.695000,1.700000,0.055861,28030
2003-01-07,1.695000,1.715000,1.695000,1.695000,0.055697,17000
2003-01-08,1.765000,1.765000,1.695000,1.710000,0.056190,7450
2003-01-09,1.695000,1.695000,1.695000,1.695000,0.055697,2370
2003-01-10,1.665000,1.670000,1.665000,1.670000,0.054875,1050
2003-01-13,1.610000,1.700000,1.610000,1.685000,0.055368,3500
2003-01-14,null,null,null,null,null,null
2003-01-15,1.750000,1.750000,1.670000,1.670000,0.054875,870
2003-01-16,1.680000,1.680000,1.650000,1.655000,0.054382,3860
2003-01-17,1.650000,1.675000,1.650000,1.675000,0.055040,9810
2003-01-20,1.650000,1.675000,1.650000,1.675000,0.055040,11620
2003-01-21,1.670000,1.675000,1.660000,1.675000,0.055040,2990
2003-01-22,1.640000,1.650000,1.640000,1.650000,0.054218,1290
2003-01-23,1.650000,1.795000,1.650000,1.745000,0.057340,3020
2003-01-24,1.605000,1.750000,1.605000,1.720000,0.056518,10140
2003-01-27,1.725000,1.755000,1.650000,1.660000,0.054547,10010
2003-01-28,1.625000,1.630000,1.625000,1.630000,0.053561,18750
2003-01-29,1.625000,1.630000,1.625000,1.625000,0.053397,4500
2003-01-30,1.770000,1.770000,1.580000,1.625000,0.053397,1750
2003-01-31,1.725000,1.725000,1.565000,1.595000,0.052411,6520
2003-02-03,null,null,null,null,null,null
2003-02-04,1.650000,1.675000,1.580000,1.645000,0.054054,12790
2003-02-05,1.555000,1.700000,1.550000,1.610000,0.052904,3310
2003-02-06,null,null,null,null,null,null
2003-02-07,1.580000,1.700000,1.580000,1.640000,0.053890,1520
2003-02-10,1.550000,1.775000,1.535000,1.545000,0.050768,15610
2003-02-11,1.690000,1.690000,1.550000,1.670000,0.054875,1190
2003-02-12,1.665000,1.665000,1.665000,1.665000,0.054711,750
2003-02-13,null,null,null,null,null,null
2003-02-14,1.530000,1.530000,1.525000,1.525000,0.050111,1650
2003-02-17,1.510000,1.675000,1.510000,1.600000,0.052575,790
2003-02-18,1.550000,1.695000,1.550000,1.695000,0.055697,2020
2003-02-19,1.500000,1.950000,1.500000,1.535000,0.050439,2510
2003-02-20,1.570000,1.640000,1.570000,1.575000,0.051754,3600
2003-02-21,1.695000,1.695000,1.695000,1.695000,0.055697,190
2003-02-24,1.500000,1.600000,1.500000,1.600000,0.052575,5280
2003-02-25,1.540000,1.920000,1.540000,1.805000,0.059311,70
2003-02-26,1.725000,1.850000,1.590000,1.605000,0.052739,12800
2003-02-27,1.740000,1.740000,1.575000,1.590000,0.052247,10510
2003-02-28,1.720000,1.850000,1.625000,1.640000,0.053890,16050
2003-03-03,1.600000,1.600000,1.600000,1.600000,0.052575,160
2003-03-04,1.525000,1.690000,1.525000,1.600000,0.052575,5020
2003-03-05,1.540000,1.680000,1.540000,1.550000,0.050932,4140
2003-03-06,1.535000,1.670000,1.505000,1.600000,0.052575,19240
2003-03-07,1.515000,1.640000,1.500000,1.500000,0.049289,8560
2003-03-10,1.515000,1.595000,1.505000,1.520000,0.049946,5000
2003-03-11,null,null,null,null,null,null
2003-03-12,1.660000,1.660000,1.555000,1.600000,0.052575,2230
2003-03-13,1.605000,1.610000,1.525000,1.580000,0.051918,390
2003-03-14,null,null,null,null,null,null
