Date,Open,High,Low,Close,Adj Close,Volume
2012-06-18,187.949997,188.500000,186.000000,186.050003,170.645035,784
2012-06-19,189.649994,189.649994,182.000000,183.850006,168.627213,2828
2012-06-20,185.949997,185.949997,179.500000,180.550003,165.600449,3221
2012-06-21,185.000000,186.899994,181.000000,184.449997,169.177490,619
2012-06-22,183.000000,185.000000,179.000000,180.000000,165.095963,1979
2012-06-25,182.000000,184.000000,180.300003,182.000000,166.930374,1268
2012-06-26,182.149994,182.500000,180.000000,182.449997,167.343094,1407
2012-06-27,182.500000,182.500000,181.000000,182.250000,167.159668,238
2012-06-28,184.949997,184.949997,176.300003,177.750000,163.032257,4066
2012-06-29,185.000000,186.000000,180.449997,185.350006,170.002991,1659
2012-07-02,185.000000,185.000000,179.800003,180.350006,165.417007,3228
2012-07-03,183.000000,183.000000,180.000000,180.550003,165.600449,2430
2012-07-04,181.500000,191.000000,181.500000,189.449997,173.763519,4406
2012-07-05,190.000000,200.000000,190.000000,195.899994,179.679413,5023
2012-07-06,195.000000,225.000000,195.000000,207.300003,190.135513,36983
2012-07-09,204.000000,208.600006,194.199997,198.000000,181.605560,3747
2012-07-10,206.949997,206.949997,198.000000,201.350006,184.678177,4814
2012-07-11,202.000000,211.250000,201.050003,205.500000,188.484558,3876
2012-07-12,214.800003,214.800003,200.250000,206.149994,189.080719,4451
2012-07-13,205.100006,205.100006,200.000000,200.800003,184.173706,1050
2012-07-16,198.500000,201.850006,198.100006,200.300003,183.715134,1202
2012-07-17,197.000000,200.050003,193.750000,193.850006,177.799194,2839
2012-07-18,198.850006,198.850006,193.100006,194.649994,178.532944,444
2012-07-19,195.050003,197.949997,192.250000,192.850006,176.882004,2358
2012-07-20,195.949997,197.000000,192.500000,195.750000,179.541870,1372
2012-07-23,196.949997,196.949997,188.600006,193.000000,177.019577,1336
2012-07-24,191.600006,195.000000,191.550003,193.050003,177.065445,958
2012-07-25,191.000000,191.100006,189.350006,190.399994,174.634827,852
2012-07-26,191.000000,192.250000,189.000000,190.000000,174.267960,678
2012-07-27,190.500000,204.899994,190.500000,199.000000,182.522781,12367
2012-07-30,210.000000,215.949997,202.899994,205.850006,188.805603,37861
2012-07-31,207.500000,212.000000,205.000000,206.149994,189.080719,2872
2012-08-01,209.949997,210.250000,205.100006,209.100006,191.786499,1968
2012-08-02,210.899994,210.899994,206.050003,207.100006,189.952103,3631
2012-08-03,205.000000,206.600006,203.399994,204.449997,187.521545,5854
2012-08-06,206.550003,206.550003,199.000000,202.199997,185.457809,1969
2012-08-07,204.699997,204.699997,200.600006,202.050003,185.320251,3025
2012-08-08,203.000000,206.699997,200.500000,202.449997,185.687119,4542
2012-08-09,205.350006,209.899994,200.149994,202.800003,186.008133,4974
2012-08-10,201.600006,203.500000,200.100006,201.000000,184.357147,471
2012-08-13,203.500000,206.800003,201.750000,205.800003,188.759735,9228
2012-08-14,204.550003,206.949997,201.550003,202.100006,185.366104,3301
2012-08-16,203.899994,215.000000,200.649994,212.899994,195.271851,3975
2012-08-17,212.000000,223.649994,207.050003,210.000000,192.611969,9523
2012-08-21,208.050003,216.600006,208.050003,212.100006,194.538071,1540
2012-08-22,212.000000,218.199997,212.000000,214.000000,196.280746,11768
2012-08-23,213.050003,218.300003,208.250000,215.850006,197.977600,6585
2012-08-24,213.100006,213.100006,211.000000,211.250000,193.758469,35533
2012-08-27,213.149994,214.000000,209.500000,209.899994,192.520233,11330
2012-08-28,207.000000,210.000000,205.250000,206.750000,189.631058,8719
2012-08-29,206.199997,207.500000,205.949997,206.500000,189.401749,2741
2012-08-30,204.350006,207.949997,204.350006,207.399994,190.227219,1106
2012-08-31,207.000000,208.050003,203.649994,204.500000,187.567368,7406
2012-09-03,206.000000,210.000000,204.050003,208.449997,191.190308,1595
2012-09-04,202.699997,207.500000,202.649994,205.500000,188.484558,4097
2012-09-05,205.000000,208.000000,204.250000,207.300003,190.135513,2046
2012-09-06,205.050003,207.500000,202.500000,206.600006,189.493469,2171
2012-09-07,206.050003,207.899994,202.649994,206.149994,189.080719,2045
2012-09-08,null,null,null,null,null,null
2012-09-10,209.550003,210.949997,205.050003,210.000000,192.611969,12857
2012-09-11,207.149994,211.000000,207.149994,209.149994,191.832336,20452
2012-09-12,215.850006,215.850006,207.300003,210.000000,192.611969,11960
2012-09-13,210.000000,210.050003,204.300003,205.149994,188.163513,9354
2012-09-14,210.050003,210.050003,204.199997,205.800003,188.759735,5068
2012-09-17,206.500000,210.000000,205.050003,208.899994,191.603058,6597
2012-09-18,207.600006,210.949997,207.600006,208.449997,191.190308,3114
2012-09-20,207.000000,208.600006,204.949997,205.149994,188.163513,1963
2012-09-21,203.500000,208.750000,203.500000,207.300003,190.135513,7126
2012-09-24,209.449997,210.000000,209.000000,209.300003,191.969925,10422
2012-09-25,210.350006,210.350006,206.500000,207.750000,190.548279,4930
2012-09-26,204.100006,208.850006,202.550003,207.750000,190.548279,7570
2012-09-27,207.949997,208.750000,205.350006,208.750000,191.465469,6165
2012-09-28,208.000000,208.000000,205.050003,205.899994,188.851456,4382
2012-10-01,206.149994,210.000000,205.149994,207.250000,190.089691,3260
2012-10-03,206.550003,208.600006,206.550003,207.649994,190.456543,14199
2012-10-04,208.000000,217.800003,208.000000,213.899994,196.189041,8228
2012-10-05,217.899994,217.949997,208.000000,213.649994,195.959747,2996
2012-10-08,214.949997,225.000000,214.949997,219.149994,201.004333,18519
2012-10-09,219.149994,220.000000,216.500000,218.399994,200.316422,17842
2012-10-10,224.000000,224.850006,213.000000,215.199997,197.381409,8207
2012-10-11,218.649994,218.699997,210.000000,212.949997,195.317719,8872
2012-10-12,215.800003,215.800003,208.100006,209.199997,191.878204,51435
2012-10-15,208.250000,212.399994,208.149994,210.600006,193.162277,51131
2012-10-16,210.600006,212.500000,208.100006,211.850006,194.308777,7651
2012-10-17,212.949997,226.850006,212.899994,222.750000,204.306274,23368
2012-10-18,224.949997,241.449997,224.949997,236.800003,217.192902,91363
2012-10-19,239.000000,239.899994,228.550003,229.949997,210.910095,13653
2012-10-22,231.899994,235.000000,228.399994,232.649994,213.386551,14571
2012-10-23,228.550003,235.500000,225.000000,235.000000,215.541962,10376
2012-10-25,230.000000,237.899994,227.050003,232.100006,212.882095,11902
2012-10-29,224.500000,226.000000,219.050003,221.250000,202.930466,6323
2012-10-30,220.000000,225.600006,211.500000,219.399994,201.233643,22473
2012-10-31,219.000000,231.000000,217.000000,229.050003,210.084641,5533
2012-11-01,221.000000,233.500000,221.000000,228.750000,209.809464,8525
2012-11-02,229.000000,233.000000,226.500000,228.199997,209.304993,5888
2012-11-05,230.899994,230.899994,222.600006,225.300003,206.645126,35211
2012-11-06,225.000000,230.949997,223.000000,227.449997,208.617096,3538
2012-11-07,229.850006,229.850006,226.199997,228.100006,209.213287,1596
2012-11-08,222.149994,233.800003,222.149994,230.600006,212.437637,8882
2012-11-09,230.000000,231.750000,225.850006,228.250000,210.272705,4755
2012-11-11,null,null,null,null,null,null
2012-11-12,225.850006,231.000000,225.000000,230.000000,211.884872,4451
2012-11-15,238.000000,238.000000,229.000000,233.050003,214.694656,4526
2012-11-16,234.750000,234.750000,226.199997,228.899994,210.871490,5562
2012-11-19,232.850006,232.899994,229.000000,229.199997,211.147888,4615
2012-11-20,229.050003,232.699997,222.500000,227.350006,209.443604,3402
2012-11-21,233.699997,233.699997,225.000000,228.600006,210.595169,5575
2012-11-22,233.199997,233.199997,228.500000,229.750000,211.654556,2711
2012-11-23,230.949997,231.000000,228.649994,230.050003,211.930923,2099
2012-11-26,233.899994,233.899994,228.800003,229.300003,211.240005,3419
2012-11-27,234.949997,234.949997,225.250000,226.750000,208.890839,3619
2012-11-29,226.399994,229.500000,223.149994,225.850006,208.061737,5577
2012-11-30,227.500000,230.100006,220.100006,228.000000,210.042389,3420
2012-12-03,235.600006,235.600006,226.149994,228.149994,210.180573,9002
2012-12-04,233.350006,233.350006,227.300003,228.199997,210.226639,3769
2012-12-05,229.949997,229.949997,227.649994,228.199997,210.226639,728
2012-12-06,233.949997,233.949997,227.300003,229.000000,210.963623,1977
2012-12-07,228.949997,235.600006,227.300003,233.750000,215.339539,12600
2012-12-10,237.899994,237.899994,231.000000,235.699997,217.135910,4614
2012-12-11,236.949997,236.949997,235.000000,235.800003,217.228043,33297
2012-12-12,237.250000,237.250000,227.600006,229.899994,211.792725,917
2012-12-13,230.050003,236.000000,229.300003,232.500000,214.187973,4096
2012-12-14,231.350006,233.000000,229.000000,229.149994,211.101822,4682
2012-12-17,231.000000,233.199997,229.000000,230.750000,212.575806,2214
2012-12-18,229.149994,231.050003,229.100006,231.000000,212.806122,1050
2012-12-19,231.000000,231.000000,225.300003,226.000000,208.199921,7193
2012-12-20,225.550003,230.449997,225.500000,227.600006,209.673920,1726
2012-12-21,226.000000,227.949997,225.000000,225.550003,207.785355,2576
2012-12-24,227.000000,227.000000,220.100006,221.300003,203.870102,4456
2012-12-26,237.000000,237.000000,218.050003,221.699997,204.238586,5030
2012-12-27,223.100006,224.000000,221.600006,221.800003,204.330734,891
2012-12-28,227.949997,228.000000,220.000000,222.899994,205.344101,1704
2012-12-31,239.800003,239.800003,223.000000,223.100006,205.528320,1195
2013-01-01,225.600006,227.449997,221.000000,224.050003,206.403503,3619
2013-01-02,227.750000,228.000000,220.350006,221.850006,204.376801,24580
2013-01-03,228.949997,228.949997,216.899994,219.550003,202.257965,6296
2013-01-04,225.949997,225.949997,218.500000,221.000000,203.593719,1837
2013-01-07,227.899994,227.899994,214.500000,215.250000,198.296585,13863
2013-01-08,219.949997,219.949997,214.100006,214.649994,197.743851,5466
2013-01-09,218.000000,218.000000,206.100006,208.100006,191.709778,13202
2013-01-10,216.899994,216.899994,204.550003,205.000000,188.853912,15644
2013-01-11,213.899994,213.899994,201.050003,201.550003,185.675644,6328
2013-01-14,215.000000,215.000000,199.550003,200.199997,184.431961,8292
2013-01-15,208.699997,208.699997,199.949997,200.500000,184.708328,5328
2013-01-16,204.899994,204.899994,199.000000,199.050003,183.372543,3541
2013-01-17,209.899994,209.899994,195.199997,195.850006,180.424561,10172
2013-01-18,203.850006,203.850006,195.100006,196.600006,181.115509,1824
2013-01-21,206.550003,206.550003,196.100006,198.600006,182.957993,2216
2013-01-22,203.600006,203.600006,196.500000,197.350006,181.806442,446
2013-01-23,200.000000,200.000000,194.000000,195.149994,179.779709,1066
2013-01-24,197.000000,198.000000,191.850006,192.550003,177.384476,1174
2013-01-25,196.250000,196.899994,193.000000,194.050003,178.766357,1203
2013-01-28,195.100006,198.199997,193.350006,195.149994,179.779709,1300
2013-01-29,209.800003,209.800003,192.600006,195.250000,179.871841,2037
2013-01-30,195.199997,196.949997,188.399994,189.949997,174.989258,5792
