Date,Open,High,Low,Close,Adj Close,Volume
2007-10-04,42.110001,52.200001,42.110001,45.230000,35.433697,51087005
2007-10-05,45.410000,47.200001,41.200001,41.520000,32.527245,8017945
2007-10-08,38.310001,42.740002,35.799999,37.919998,29.706957,5703580
2007-10-09,36.200001,39.490002,35.799999,39.240002,30.741068,4306700
2007-10-10,39.590000,41.959999,38.400002,40.970001,32.096371,2141845
2007-10-11,41.779999,43.099998,40.110001,42.599998,33.373333,983505
2007-10-12,42.000000,44.599998,41.630001,41.639999,32.621258,1348300
2007-10-15,42.250000,43.959999,42.220001,42.500000,33.294991,414750
2007-10-16,43.000000,43.180000,40.599998,41.439999,32.464581,360890
2007-10-17,38.799999,39.980000,36.000000,38.980000,30.537384,334785
2007-10-18,40.240002,46.400002,39.529999,42.000000,32.903286,1450140
2007-10-19,43.980000,49.000000,39.000000,39.799999,31.179783,518110
2007-10-22,39.599998,42.700001,38.939999,41.299999,32.354900,494025
2007-10-23,42.400002,44.220001,41.400002,43.520000,34.094067,523190
2007-10-24,44.799999,44.799999,41.799999,42.299999,33.138309,275960
2007-10-25,42.099998,43.959999,42.099998,43.400002,34.000057,219185
2007-10-26,43.799999,46.200001,43.000000,45.200001,35.410194,735970
2007-10-29,45.900002,47.200001,45.250000,46.700001,36.585320,542520
2007-10-30,48.000000,48.000000,44.029999,44.799999,35.096832,495320
2007-10-31,45.400002,45.970001,42.400002,43.000000,33.686695,165415
2007-11-01,43.220001,44.000000,41.209999,41.220001,32.292229,481820
2007-11-02,40.439999,42.799999,38.790001,41.599998,32.589916,171655
2007-11-05,42.000000,42.599998,40.500000,42.400002,33.216644,258795
2007-11-06,42.000000,42.000000,38.240002,39.860001,31.226782,475090
2007-11-07,41.000000,42.759998,41.000000,42.099998,32.981621,182960
2007-11-08,41.000000,42.189999,40.619999,41.570000,32.566418,72025
2007-11-12,40.020000,42.560001,40.000000,42.549999,33.334152,190375
2007-11-13,43.000000,44.000000,42.400002,44.000000,34.470112,195695
2007-11-14,45.799999,45.799999,43.799999,44.380001,34.767803,228665
2007-11-15,43.980000,44.180000,43.200001,43.599998,34.156742,143030
2007-11-16,44.000000,46.799999,43.200001,45.549999,35.684402,489630
