Date,Open,High,Low,Close,Adj Close,Volume
2010-01-08,87.733299,92.166702,84.729202,86.304199,84.525993,1939195
2010-01-11,86.041702,86.800003,82.862503,83.824997,82.097870,1134866
2010-01-12,84.000000,84.000000,81.666702,82.220802,80.526718,1167519
2010-01-13,82.016701,87.441704,82.016701,84.466698,82.726341,1170722
2010-01-14,85.050003,86.800003,83.795799,83.941704,82.212166,1106095
2010-01-15,84.816704,86.333298,82.891701,84.116699,82.383568,1141450
2010-01-18,84.525002,86.041702,83.241699,85.429199,83.669014,791189
2010-01-19,84.583298,86.625000,83.562500,83.591698,81.869370,840756
2010-01-20,84.087502,86.800003,83.445801,85.429199,83.669014,901613
2010-01-21,86.333298,88.579201,84.583298,86.566704,84.783073,878314
2010-01-22,85.720802,95.229202,85.720802,94.441704,92.495834,2030539
2010-01-25,98.000000,103.891998,93.916702,103.396004,101.265625,1869156
2010-01-27,107.567001,108.967003,98.583298,99.487503,97.437660,1390248
2010-01-28,102.317001,104.824997,96.599998,100.858002,98.779930,872695
2010-01-29,100.333000,110.949997,100.333000,110.949997,108.663994,1175314
2010-02-01,116.521004,116.521004,113.167000,116.521004,114.120193,721995
2010-02-02,119.407997,122.208000,115.500000,116.667000,114.263191,981960
2010-02-03,118.650002,121.333000,110.833000,114.304001,111.948875,869028
2010-02-04,115.500000,116.550003,109.228996,111.650002,109.349556,1004290
2010-02-05,110.016998,113.458000,106.896004,109.695999,107.435822,787311
2010-02-06,null,null,null,null,null,null
2010-02-08,108.792000,110.891998,105.903999,106.662003,104.464340,820250
2010-02-09,107.478996,110.250000,105.787003,109.054001,106.807037,789972
2010-02-10,111.417000,111.621002,107.099998,107.246002,105.036301,1090975
2010-02-11,107.333000,110.192001,105.000000,109.695999,107.435822,889449
2010-02-15,111.417000,115.179001,110.250000,115.179001,112.805832,463716
2010-02-16,120.954002,120.954002,117.250000,120.954002,118.461861,266705
2010-02-17,125.067001,127.021004,117.833000,127.021004,124.403847,737885
2010-02-18,128.917007,133.378998,124.833000,126.000000,123.403885,2050611
2010-02-19,125.417000,127.050003,119.699997,120.079002,117.604889,144939
2010-02-22,121.333000,124.103996,114.362999,114.945999,112.577644,89309
2010-02-23,111.417000,113.721001,109.375000,109.491997,107.236015,238822
2010-02-24,105.817001,109.491997,104.037003,104.037003,101.893417,16550
2010-02-25,98.845802,98.845802,98.845802,98.845802,96.809189,17541
2010-02-26,93.916702,93.916702,93.916702,93.916702,91.981659,107277
2010-03-02,89.220802,89.220802,89.220802,89.220802,87.382492,28923
2010-03-03,84.758301,84.758301,84.758301,84.758301,83.011948,41602
2010-03-04,80.529198,80.529198,80.529198,80.529198,78.869972,20275
2010-03-05,76.504204,84.554199,76.504204,84.554199,82.812042,313678
2010-03-08,88.083298,88.783302,84.554199,88.783302,86.954010,235999
2010-03-09,88.550003,92.720802,84.349998,87.791702,85.982849,197422
2010-03-10,90.387497,90.387497,85.166702,86.275002,84.497391,86066
2010-03-11,84.670799,88.550003,81.958298,84.845802,83.097641,178786
2010-03-12,81.724998,84.525002,80.616699,82.425003,80.726723,73349
2010-03-15,81.316704,84.029198,78.750000,81.958298,80.269638,86487
2010-03-16,79.449997,83.125000,79.041702,79.741699,78.098709,61493
2010-03-17,80.791702,83.737503,78.750000,83.737503,82.012161,89342
2010-03-18,87.383301,87.937500,82.833298,85.750000,83.983200,134983
2010-03-19,87.791702,88.375000,82.833298,84.145798,82.412041,97008
2010-03-22,84.583298,86.333298,81.666702,83.241699,81.526573,130911
2010-03-23,84.583298,84.583298,81.783302,83.329201,81.612282,44071
2010-03-25,82.250000,85.108299,81.666702,82.191704,80.498222,98494
2010-03-26,82.833298,83.300003,80.237503,80.704201,79.041367,98599
2010-03-29,77.058296,82.250000,77.058296,81.258301,79.584053,136642
2010-03-30,82.716698,84.525002,79.333298,81.724998,80.041130,78144
2010-03-31,81.083298,84.583298,80.208298,80.937500,79.269867,35385
2010-04-01,79.916702,82.250000,79.916702,81.199997,79.526955,19786
2010-04-05,80.500000,81.666702,79.625000,79.945801,78.298592,40299
2010-04-06,78.166702,83.941704,78.166702,83.941704,82.212166,65518
2010-04-07,86.333298,86.829201,83.358299,85.925003,84.154602,120437
2010-04-08,85.750000,86.333298,84.758301,85.779198,84.011810,76005
2010-04-09,90.066704,90.066704,84.875000,85.866699,84.097504,103845
2010-04-12,86.333298,86.916702,85.750000,85.983299,84.211708,31937
2010-04-13,85.166702,90.300003,84.583298,90.300003,88.439445,106673
2010-04-15,90.300003,94.820801,87.733299,90.154198,88.296661,169464
2010-04-16,87.500000,93.333298,87.150002,91.904198,90.010597,123081
2010-04-19,91.583298,94.500000,90.416702,93.829201,91.895943,182990
2010-04-20,96.220802,96.250000,92.750000,95.404198,93.438477,88809
2010-04-21,95.666702,96.541702,93.916702,95.141701,93.181404,91253
2010-04-22,95.695801,95.695801,93.333298,95.141701,93.181404,65350
2010-04-23,95.666702,97.708298,93.770798,96.687500,94.695351,75699
2010-04-26,97.416702,100.333000,97.416702,99.079201,97.037766,106505
2010-04-27,98.000000,100.333000,96.308296,96.891701,94.895355,38093
2010-04-28,96.250000,96.250000,94.441704,94.937500,92.981415,66756
2010-04-29,94.266701,96.250000,93.916702,94.324997,92.381523,27461
2010-04-30,96.220802,96.250000,93.041702,93.566704,91.638863,65097
2010-05-03,95.608299,95.608299,92.166702,93.595802,91.667358,40332
2010-05-04,92.750000,95.083298,92.750000,93.508301,91.581642,76639
2010-05-05,92.166702,93.858299,92.166702,93.070801,91.153175,77943
2010-05-06,93.187500,95.054199,92.166702,93.041702,91.124672,60396
2010-05-07,91.000000,95.083298,91.000000,93.945801,92.010155,72713
2010-05-10,94.208298,98.000000,92.516701,97.416702,95.409515,103771
2010-05-11,96.833298,97.591698,94.500000,96.395798,94.409668,48478
2010-05-12,96.250000,99.750000,94.849998,97.650002,95.638016,87686
2010-05-13,100.917000,100.917000,96.833298,97.066704,95.066742,36963
2010-05-14,96.250000,98.000000,95.724998,96.541702,94.552551,55603
2010-05-17,93.333298,96.191704,92.895798,93.245796,91.324547,32383
2010-05-18,93.391701,93.391701,89.308296,89.775002,87.925270,32251
2010-05-19,90.474998,90.474998,86.362503,87.937500,86.125641,41203
2010-05-20,87.500000,89.687500,83.737503,83.824997,82.097870,47405
2010-05-21,82.833298,82.833298,79.654198,80.150002,78.498596,67214
2010-05-24,82.833298,84.175003,78.750000,80.675003,79.012779,57002
2010-05-25,81.666702,81.666702,78.750000,79.770798,78.127197,41052
2010-05-26,79.333298,83.766701,79.333298,82.745796,81.040894,60322
2010-05-27,82.745796,83.125000,81.666702,81.958298,80.269638,31505
2010-05-28,82.833298,83.504204,80.558296,81.870796,80.183929,21075
2010-05-31,81.433296,84.233299,78.750000,81.433296,79.755440,27276
2010-06-01,79.916702,82.833298,79.916702,80.879204,79.212769,18307
2010-06-02,80.558296,83.416702,80.208298,80.558296,78.898476,38042
2010-06-03,81.666702,81.987503,79.916702,80.791702,79.127068,20895
2010-06-04,77.000000,81.958298,77.000000,79.887497,78.241493,10653
2010-06-07,78.750000,81.083298,77.175003,78.341698,76.727531,58476
2010-06-08,80.966698,82.279198,80.966698,82.279198,80.583916,13553
2010-06-09,86.391701,86.391701,86.391701,86.391701,84.611679,14073
2010-06-10,90.737503,90.737503,90.737503,90.737503,88.867950,29969
2010-06-11,95.287498,95.287498,89.570801,90.533302,88.667953,470837
2010-06-14,89.833298,95.083298,89.279198,95.083298,93.124191,378410
2010-06-15,138.699997,138.699997,138.699997,138.699997,135.842224,35764
2010-06-16,131.800003,131.800003,131.800003,131.800003,129.084396,26883
2010-06-17,125.250000,125.250000,125.250000,125.250000,122.669342,17156
2010-06-18,119.000000,119.000000,119.000000,119.000000,116.548119,11476
2010-06-21,113.050003,113.050003,113.050003,113.050003,110.720726,14646
2010-06-22,107.400002,111.699997,107.400002,107.400002,105.187134,303358
2010-06-23,102.050003,104.000000,102.050003,102.050003,99.947357,166659
2010-06-24,96.949997,98.500000,96.949997,96.949997,94.952438,113223
2010-06-25,92.099998,101.800003,92.099998,94.599998,92.650856,821063
2010-06-28,98.000000,98.000000,93.000000,93.500000,91.573524,305599
2010-06-29,91.000000,96.000000,91.000000,92.099998,90.202354,324362
2010-06-30,91.000000,92.400002,90.250000,90.500000,88.635345,300476
2010-07-01,91.000000,91.000000,86.250000,86.500000,84.717751,239102
2010-07-02,86.199997,90.599998,86.050003,88.449997,86.627571,348093
2010-07-05,89.400002,90.849998,87.500000,87.699997,85.893028,223682
2010-07-06,87.000000,88.500000,85.650002,86.000000,84.228058,240847
2010-07-07,88.099998,88.099998,84.500000,84.949997,83.199684,245530
2010-07-08,85.650002,87.500000,84.550003,85.050003,83.297630,267331
2010-07-09,85.500000,87.349998,85.150002,86.199997,84.423943,300690
2010-07-12,87.000000,87.400002,84.300003,84.650002,82.905869,277894
2010-07-13,84.650002,84.900002,83.500000,83.750000,82.024422,265745
2010-07-14,84.250000,85.150002,83.550003,84.000000,82.269257,286671
2010-07-15,84.900002,85.250000,83.199997,83.550003,81.828537,244915
2010-07-16,83.050003,87.750000,83.050003,85.849998,84.081146,449522
2010-07-19,85.349998,86.800003,84.050003,84.349998,82.612053,280765
2010-07-20,84.500000,85.300003,83.849998,84.500000,82.758957,241482
2010-07-21,84.400002,85.300003,84.300003,84.500000,82.758957,261191
2010-07-22,84.099998,84.900002,83.900002,84.199997,82.465141,256812
2010-07-23,84.550003,86.300003,84.150002,85.050003,83.297630,255008
2010-07-26,86.500000,86.500000,81.500000,82.449997,80.751190,282929
2010-07-27,83.900002,84.349998,80.599998,80.650002,78.988274,250079
2010-07-28,81.150002,84.500000,80.099998,82.150002,80.457382,257089
2010-07-29,83.000000,84.800003,81.550003,82.400002,80.702232,239359
2010-07-30,82.099998,83.449997,81.500000,81.650002,79.967682,261980
2010-08-02,82.099998,85.500000,81.650002,84.599998,82.856895,363409
2010-08-03,85.000000,88.849998,84.599998,88.849998,87.019333,643102
2010-08-04,89.849998,91.449997,85.150002,85.650002,83.885269,344705
2010-08-05,86.500000,88.000000,84.349998,84.800003,83.052780,222797
2010-08-06,87.000000,87.400002,83.750000,84.150002,82.416176,271461
2010-08-09,83.099998,85.800003,83.099998,84.500000,82.758957,284219
2010-08-10,84.500000,87.349998,84.250000,86.800003,85.011589,288293
2010-08-11,85.349998,87.599998,85.349998,86.400002,84.619797,251576
2010-08-12,86.000000,87.000000,85.599998,86.500000,84.717751,292359
2010-08-13,86.099998,89.250000,86.099998,88.150002,86.333755,375251
2010-08-16,89.800003,89.800003,85.650002,86.050003,84.277023,286167
2010-08-17,86.900002,86.900002,85.699997,85.750000,83.983200,245848
2010-08-18,87.900002,89.000000,85.550003,88.800003,86.970360,252129
2010-08-19,90.000000,90.000000,88.050003,88.400002,86.578613,257498
2010-08-20,90.000000,91.800003,87.000000,87.849998,86.039932,563883
2010-08-23,88.000000,90.000000,86.800003,87.000000,85.207443,267606
2010-08-24,88.550003,91.349998,87.199997,91.349998,89.467819,591128
2010-08-25,91.099998,95.000000,88.500000,89.099998,87.264175,317965
2010-08-26,90.500000,90.500000,88.150002,88.599998,86.774483,247317
2010-08-27,89.900002,89.900002,87.199997,87.599998,85.795067,257504
2010-08-30,90.000000,91.349998,87.750000,88.300003,86.480675,265057
2010-08-31,89.000000,90.500000,87.550003,88.750000,86.921394,317204
2010-09-01,88.550003,89.349998,87.250000,87.800003,85.990974,257115
2010-09-02,88.750000,88.750000,86.099998,86.949997,85.158478,301765
2010-09-03,88.800003,88.800003,85.750000,86.050003,84.277023,239769
2010-09-06,86.500000,88.400002,86.099998,87.099998,85.305389,251960
2010-09-07,87.949997,87.949997,86.949997,87.300003,85.501266,238602
2010-09-08,87.300003,89.199997,87.050003,87.449997,85.648178,270798
2010-09-09,89.400002,89.400002,87.050003,87.500000,85.697136,267868
2010-09-13,88.500000,88.800003,87.150002,87.349998,85.550240,252757
2010-09-14,87.250000,88.150002,87.099998,87.199997,85.403328,273030
2010-09-15,87.199997,90.300003,87.050003,89.099998,87.264175,354042
2010-09-16,90.000000,91.599998,89.500000,90.550003,88.684303,341171
2010-09-17,89.000000,93.500000,89.000000,91.550003,89.663712,269675
2010-09-20,92.900002,94.800003,91.500000,93.550003,91.622505,541478
2010-09-21,94.000000,98.500000,94.000000,97.500000,95.593285,652178
2010-09-22,98.000000,98.500000,95.199997,96.550003,94.661880,479944
2010-09-23,97.000000,101.250000,96.000000,98.550003,96.622765,572918
2010-09-24,99.500000,101.750000,98.650002,100.400002,98.436584,503082
2010-09-27,101.000000,102.650002,100.250000,100.400002,98.436584,508019
2010-09-28,98.250000,101.949997,98.099998,98.650002,96.720818,510744
2010-09-29,99.250000,103.400002,97.750000,102.800003,100.789635,601368
2010-09-30,103.699997,110.449997,102.000000,108.900002,106.770355,967060
2010-10-01,110.000000,114.300003,110.000000,110.800003,108.633217,501523
2010-10-04,113.800003,114.900002,110.300003,111.599998,109.417564,512984
2010-10-05,111.000000,112.650002,110.000000,110.349998,108.192001,511881
2010-10-06,112.800003,113.900002,111.050003,111.900002,109.711685,524627
2010-10-07,113.849998,113.849998,110.150002,110.750000,108.584175,511774
2010-10-08,113.500000,114.500000,110.000000,112.550003,110.348976,517318
2010-10-11,113.050003,117.400002,112.000000,114.900002,112.653023,619033
2010-10-12,115.000000,116.400002,113.300003,113.550003,111.329422,503917
2010-10-13,113.599998,114.800003,112.250000,112.949997,110.741150,493319
2010-10-14,114.199997,114.199997,111.500000,113.150002,110.937248,488176
2010-10-15,115.900002,117.800003,113.000000,116.050003,113.780540,536376
2010-10-18,120.000000,120.000000,115.000000,115.650002,113.388367,512736
2010-10-19,115.699997,118.000000,115.550003,116.550003,114.270767,521395
2010-10-20,118.500000,118.500000,116.349998,117.449997,115.153137,487445
2010-10-21,119.800003,119.800003,116.900002,118.099998,115.790436,506884
2010-10-22,119.800003,120.349998,118.000000,119.900002,117.555237,526348
2010-10-25,123.000000,123.000000,117.500000,118.400002,116.084587,430604
2010-10-26,117.599998,119.750000,117.599998,119.199997,116.868919,542333
2010-10-27,120.800003,122.800003,118.050003,121.599998,119.221992,515618
2010-10-28,128.000000,128.000000,121.500000,122.300003,119.908302,692265
2010-10-29,123.000000,124.300003,121.050003,123.449997,121.035812,527166
2010-11-01,125.050003,125.599998,121.050003,121.500000,119.123962,459553
2010-11-02,122.800003,122.800003,120.349998,121.099998,118.731766,214956
2010-11-03,121.349998,124.949997,121.349998,124.500000,122.065285,271535
2010-11-04,126.000000,130.949997,123.550003,127.900002,125.398788,658617
2010-11-08,121.949997,130.100006,121.949997,129.149994,126.624329,609044
2010-11-09,133.500000,133.500000,126.500000,127.000000,124.516380,514253
2010-11-10,129.800003,129.800003,124.500000,128.350006,125.840004,550823
2010-11-11,129.000000,129.500000,126.000000,126.300003,123.830078,521215
2010-11-12,123.250000,127.250000,122.000000,122.150002,119.761238,527627
2010-11-15,123.000000,123.000000,112.000000,118.349998,116.035545,256663
2010-11-16,112.000000,121.449997,105.500000,107.449997,105.348694,415448
2010-11-18,105.000000,108.000000,99.599998,100.349998,98.387543,271953
2010-11-19,101.000000,103.900002,100.050003,101.750000,99.760185,528976
2010-11-22,103.900002,104.099998,101.150002,102.449997,100.446480,720042
2010-11-23,102.000000,103.500000,98.199997,101.349998,99.367996,519618
2010-11-24,108.699997,108.699997,100.800003,101.550003,99.564102,524125
2010-11-25,104.000000,104.500000,102.000000,103.750000,101.721062,524047
2010-11-26,108.000000,108.000000,100.050003,101.500000,99.515076,485660
2010-11-29,102.000000,104.500000,99.250000,100.300003,98.338539,468438
2010-11-30,100.000000,115.400002,99.000000,114.199997,111.966698,1029820
2010-12-01,115.000000,124.150002,108.250000,114.650002,112.407913,655288
2010-12-02,115.349998,119.699997,111.900002,112.699997,110.496033,600049
2010-12-03,106.000000,113.500000,106.000000,107.900002,105.789917,623712
2010-12-06,110.500000,111.000000,106.699997,107.400002,105.299683,631426
2010-12-07,108.000000,109.949997,103.199997,105.400002,103.338814,456366
2010-12-08,107.500000,107.500000,104.949997,105.050003,102.995644,409910
2010-12-09,104.250000,108.000000,101.050003,102.300003,100.299438,604956
2010-12-10,110.000000,110.000000,102.000000,107.650002,105.544800,552102
2010-12-13,105.500000,109.849998,105.500000,107.349998,105.250664,528912
2010-12-14,115.000000,115.000000,106.099998,107.099998,105.005562,556806
2010-12-15,110.000000,110.000000,102.349998,104.550003,102.505424,575165
2010-12-16,108.000000,108.000000,103.500000,104.599998,102.554443,590417
2010-12-20,105.550003,105.550003,100.500000,101.599998,99.613106,512504
2010-12-21,102.000000,104.000000,100.500000,101.349998,99.367996,680739
2010-12-22,104.900002,104.900002,100.250000,100.750000,98.779739,490732
2010-12-23,102.000000,103.800003,100.500000,101.550003,99.564102,479281
