Date,Open,High,Low,Close,Adj Close,Volume
2000-05-31,10.984400,11.875000,10.984400,11.281200,9.851544,0
2000-06-01,11.250000,11.250000,11.250000,11.250000,9.824297,0
2000-06-02,11.250000,11.859400,11.250000,11.250000,9.824297,0
2000-06-05,11.250000,11.515600,11.187500,11.250000,9.824297,0
2000-06-06,11.234400,11.250000,11.125000,11.156200,9.742388,0
2000-06-07,11.046900,11.281200,10.984400,11.281200,9.851544,0
2000-06-08,11.406200,11.406200,11.125000,11.406200,9.960705,0
2000-06-09,11.625000,11.625000,11.390600,11.390600,9.947082,0
2000-06-12,12.109400,12.109400,11.421900,11.562500,10.097197,0
2000-06-13,11.828100,11.875000,11.640600,11.796900,10.301892,0
2000-06-14,12.406200,12.406200,11.765600,11.765600,10.274559,0
2000-06-15,11.343800,11.625000,11.343800,11.625000,10.151776,0
2000-06-16,11.562500,11.562500,11.453100,11.562500,10.097197,0
2000-06-19,11.562500,11.562500,11.421900,11.515600,10.056242,0
2000-06-20,11.765600,12.437500,11.765600,12.406200,10.833976,0
2000-06-21,12.062500,12.203100,12.046900,12.187500,10.642991,0
2000-06-22,null,null,null,null,null,null
2000-06-23,11.875000,11.875000,11.875000,11.875000,10.370097,0
2000-06-26,12.031200,12.031200,11.250000,11.406200,9.960705,0
2000-06-27,12.109400,12.187500,11.781200,11.812500,10.315514,0
2000-06-28,12.234400,12.234400,11.734400,12.171900,10.629370,0
2000-06-29,11.593800,12.656200,11.593800,12.234400,10.683948,0
2000-06-30,12.218800,12.593800,11.875000,11.875000,10.370097,0
2000-07-03,11.734400,11.765600,11.718800,11.765600,10.274559,0
2000-07-04,11.750000,11.953100,11.718800,11.796900,10.301892,0
2000-07-05,11.000000,11.750000,11.000000,11.750000,10.260936,0
2000-07-06,11.750000,11.750000,11.687500,11.687500,10.206356,0
2000-07-07,11.671900,12.250000,11.671900,12.250000,10.697570,0
2000-07-10,11.812500,11.843800,11.656200,11.687500,10.206356,0
2000-07-11,11.562500,12.296900,11.406200,11.796900,10.301892,0
2000-07-12,11.875000,12.187500,11.875000,12.187500,10.642991,0
2000-07-13,12.500000,12.500000,11.562500,11.562500,10.097197,0
2000-07-14,11.875000,12.656200,11.640600,12.343800,10.779483,0
2000-07-17,11.765600,11.765600,11.765600,11.765600,10.274559,0
2000-07-18,11.890600,12.343800,11.875000,12.343800,10.779483,0
2000-07-19,12.343800,12.421900,12.187500,12.187500,10.642991,0
2000-07-20,12.406200,12.406200,12.000000,12.000000,10.479254,0
2000-07-21,11.875000,12.031200,11.875000,12.031200,10.506499,0
2000-07-24,11.250000,11.406200,11.250000,11.406200,9.960705,0
2000-07-25,11.093800,11.250000,11.093800,11.250000,9.824297,0
2000-07-26,null,null,null,null,null,null
2000-07-27,11.718800,11.718800,11.718800,11.718800,10.233690,0
2000-07-28,12.015600,12.015600,12.015600,12.015600,10.492877,0
2000-07-31,11.406200,11.468800,11.406200,11.468800,10.015372,0
2000-08-01,11.250000,11.406200,11.125000,11.125000,9.715140,0
2000-08-02,10.812500,10.812500,10.812500,10.812500,9.442245,0
2000-08-03,10.953100,11.171900,10.953100,10.968800,9.578734,0
2000-08-04,11.250000,11.250000,10.718800,11.250000,9.824297,0
2000-08-07,11.250000,11.250000,11.093800,11.093800,9.687893,0
2000-08-08,10.656200,11.062500,10.640600,11.031200,9.633226,0
2000-08-09,10.984400,10.984400,10.625000,10.625000,9.278506,0
2000-08-10,10.671900,11.015600,10.625000,10.859400,9.483198,0
2000-08-11,10.812500,10.812500,10.703100,10.703100,9.346708,0
2000-08-14,10.656200,10.656200,10.390600,10.562500,9.223926,0
2000-08-15,null,null,null,null,null,null
2000-08-16,10.781200,10.781200,10.703100,10.703100,9.346708,0
2000-08-17,10.500000,10.656200,10.500000,10.656200,9.305752,0
2000-08-18,10.890600,10.937500,10.812500,10.921900,9.537778,0
2000-08-21,10.765600,11.687500,10.765600,11.515600,10.056242,0
2000-08-22,11.015600,11.718800,11.015600,11.531200,10.069863,0
2000-08-23,11.453100,11.453100,11.453100,11.453100,10.001662,0
2000-08-24,12.375000,12.375000,12.375000,12.375000,10.806730,0
2000-08-25,13.359400,13.375000,12.843800,13.375000,11.679999,0
