Date,Open,High,Low,Close,Adj Close,Volume
2017-03-15,79.699997,83.650002,79.699997,82.849998,81.930199,122000
2017-03-16,84.500000,84.500000,83.349998,84.050003,83.116890,88000
2017-03-17,84.900002,88.599998,84.900002,87.800003,86.825249,156000
2017-03-20,89.900002,91.650002,87.900002,88.199997,87.220810,144000
2017-03-21,89.900002,89.900002,87.900002,88.449997,87.468033,74000
2017-03-22,86.699997,88.500000,86.449997,86.449997,85.490234,62000
2017-03-23,88.000000,88.000000,86.500000,86.500000,85.539680,24000
2017-03-24,86.650002,86.699997,85.050003,85.449997,84.501335,104000
2017-03-27,87.949997,88.000000,86.699997,86.949997,85.984680,86000
2017-03-28,86.599998,88.500000,86.250000,87.000000,86.034134,24000
2017-03-29,87.150002,88.000000,86.349998,86.949997,85.984680,12000
2017-03-30,86.000000,86.949997,86.000000,86.949997,85.984680,4000
2017-03-31,88.000000,90.000000,87.250000,88.099998,87.121918,44000
2017-04-03,88.000000,91.400002,88.000000,90.500000,89.495270,36000
2017-04-05,92.500000,92.599998,91.000000,91.000000,89.989731,10000
2017-04-06,92.000000,94.000000,91.900002,93.250000,92.214737,18000
2017-04-07,94.000000,94.000000,91.800003,92.050003,91.028069,16000
2017-04-10,94.000000,94.900002,92.599998,93.050003,92.016968,14000
2017-04-11,93.000000,93.000000,93.000000,93.000000,91.967522,2000
2017-04-12,93.000000,93.000000,91.500000,92.250000,91.225845,12000
2017-04-13,93.800003,93.800003,92.500000,92.500000,91.473076,8000
2017-04-17,93.500000,94.500000,93.500000,94.500000,93.450874,10000
2017-04-18,93.500000,93.500000,93.000000,93.000000,91.967522,6000
2017-04-19,92.000000,92.000000,91.099998,91.449997,90.434723,10000
2017-04-20,92.000000,93.500000,92.000000,93.500000,92.461975,4000
2017-04-21,93.250000,93.250000,93.250000,93.250000,92.214737,2000
2017-04-24,94.099998,94.500000,93.099998,93.099998,92.066406,6000
2017-04-25,94.000000,94.000000,94.000000,94.000000,92.956421,2000
2017-04-26,92.599998,93.500000,92.000000,93.500000,92.461975,8000
2017-04-27,92.099998,92.099998,92.099998,92.099998,91.077515,2000
2017-04-28,92.099998,92.099998,92.099998,92.099998,91.077515,0
2017-05-02,92.500000,92.500000,91.000000,91.500000,90.484177,14000
2017-05-03,91.500000,91.500000,89.750000,89.849998,88.852493,14000
2017-05-04,90.000000,90.000000,89.000000,89.000000,88.011932,8000
2017-05-05,89.000000,89.000000,86.500000,86.500000,85.539680,18000
2017-05-08,86.500000,86.500000,86.500000,86.500000,85.539680,0
2017-05-09,87.449997,87.449997,87.449997,87.449997,86.479134,2000
2017-05-10,90.000000,90.000000,90.000000,90.000000,89.000824,2000
2017-05-11,90.900002,90.900002,90.900002,90.900002,89.890831,2000
2017-05-12,90.949997,91.150002,90.949997,91.150002,90.138062,12000
2017-05-15,92.599998,92.650002,91.250000,92.400002,91.374184,8000
2017-05-16,94.000000,94.400002,93.750000,93.750000,92.709198,8000
2017-05-17,92.000000,94.000000,92.000000,93.900002,92.857529,8000
2017-05-18,95.800003,97.599998,94.199997,96.000000,94.934212,24000
