Date,Open,High,Low,Close,Adj Close,Volume
2017-09-21,985.000000,1024.000000,896.250000,904.650024,900.481018,3338604
2017-09-22,887.799988,887.799988,801.200012,821.900024,818.112366,1158347
2017-09-25,816.299988,836.900024,785.000000,801.400024,797.706848,382426
2017-09-26,797.099976,819.400024,797.099976,803.150024,799.448730,137703
2017-09-27,810.000000,817.900024,790.000000,792.200012,788.549194,118476
2017-09-28,792.200012,800.950012,775.549988,791.650024,788.001709,65955
2017-09-29,797.950012,810.000000,792.000000,795.000000,791.336243,55982
2017-10-03,800.000000,815.000000,794.000000,807.500000,803.778687,84170
2017-10-04,810.000000,819.799988,805.000000,812.700012,808.954773,29829
2017-10-05,814.950012,828.000000,810.450012,823.049988,819.257019,31612
2017-10-06,826.900024,827.000000,814.950012,819.950012,816.171326,21450
2017-10-09,820.000000,839.500000,810.849976,835.349976,831.500305,32022
2017-10-10,833.549988,864.799988,833.549988,857.950012,853.996216,49582
2017-10-11,858.250000,870.000000,858.250000,865.200012,861.212769,50993
2017-10-12,860.000000,862.000000,852.000000,855.849976,851.905823,9384
2017-10-13,858.299988,869.000000,855.650024,862.500000,858.525269,16465
2017-10-16,861.000000,882.400024,859.099976,870.549988,866.538086,18502
2017-10-17,870.000000,880.000000,867.049988,870.700012,866.687439,5806
2017-10-18,870.000000,872.750000,867.000000,870.049988,866.040405,7361
2017-10-19,872.000000,872.000000,830.500000,846.650024,842.748291,1708
2017-10-23,858.000000,874.000000,845.000000,863.049988,859.072632,15200
2017-10-24,867.099976,879.950012,863.599976,869.500000,865.492920,15313
2017-10-25,864.250000,872.000000,860.000000,870.150024,866.140015,12791
2017-10-26,859.500000,871.900024,852.000000,857.250000,853.299377,14242
2017-10-27,852.150024,857.549988,841.099976,854.049988,850.114136,11168
2017-10-30,850.000000,866.000000,847.200012,865.049988,861.063416,5827
2017-10-31,860.000000,885.000000,860.000000,882.650024,878.582397,17835
2017-11-01,875.000000,882.900024,875.000000,880.599976,876.541809,8845
2017-11-02,852.000000,880.000000,852.000000,878.150024,874.103149,4292
2017-11-03,877.000000,879.950012,872.049988,878.049988,874.003540,8088
2017-11-06,874.799988,876.700012,870.000000,870.000000,865.990662,3993
2017-11-07,875.299988,876.500000,870.000000,871.000000,866.986023,9165
2017-11-08,873.400024,873.400024,870.000000,872.200012,868.180542,4423
2017-11-09,872.000000,878.900024,870.099976,874.049988,870.021973,3637
2017-11-10,870.049988,872.500000,870.000000,870.049988,866.040405,2287
2017-11-13,871.200012,872.700012,870.000000,871.900024,867.881958,4362
2017-11-14,866.400024,872.099976,860.000000,864.000000,860.018311,2733
2017-11-15,870.750000,875.000000,850.000000,865.650024,861.660706,10352
2017-11-16,868.950012,878.000000,850.000000,863.950012,859.968567,4553
2017-11-17,890.000000,891.650024,857.099976,867.500000,863.502136,17463
2017-11-20,867.500000,879.000000,855.049988,873.599976,869.574036,9660
2017-11-21,871.799988,882.049988,858.500000,879.349976,875.297546,6412
2017-11-22,862.049988,882.049988,861.799988,879.700012,875.645996,6863
2017-11-23,880.000000,881.849976,870.000000,874.650024,870.619263,1641
2017-11-24,868.750000,887.150024,859.000000,882.299988,878.233948,4813
2017-11-27,875.099976,890.000000,875.099976,887.099976,883.011841,4779
2017-11-28,880.599976,892.000000,878.000000,885.549988,881.468994,4681
2017-11-29,878.900024,890.000000,874.549988,885.000000,880.921509,3281
2017-11-30,883.950012,890.000000,870.150024,887.650024,883.559387,3638
2017-12-01,869.900024,891.950012,869.900024,888.000000,883.907715,6793
2017-12-04,890.000000,890.000000,880.000000,883.950012,879.876404,2305
2017-12-05,882.049988,916.000000,876.000000,906.000000,901.824707,9137
2017-12-06,888.000000,905.000000,888.000000,890.150024,886.047791,5750
2017-12-07,890.950012,906.000000,883.000000,903.599976,899.435791,5311
2017-12-08,902.950012,905.099976,890.099976,898.500000,894.359314,3547
2017-12-11,898.500000,905.450012,891.000000,892.500000,888.386963,1451
2017-12-12,883.650024,915.000000,883.650024,908.900024,904.711365,13720
2017-12-13,891.349976,924.000000,891.349976,903.700012,899.535339,5166
2017-12-14,903.700012,917.000000,899.000000,904.049988,899.883728,2890
2017-12-15,901.049988,910.000000,894.299988,900.150024,896.001709,2322
2017-12-18,890.250000,913.000000,889.150024,909.700012,905.507751,2616
2017-12-19,905.000000,915.000000,905.000000,909.700012,905.507751,2388
2017-12-20,915.000000,944.000000,910.000000,935.200012,930.890198,11333
2017-12-21,930.700012,934.000000,915.000000,916.650024,912.425720,3286
2017-12-22,915.549988,949.000000,912.000000,925.450012,921.185120,5558
2017-12-26,933.849976,955.099976,927.000000,948.950012,944.576843,26916
2017-12-27,951.000000,958.049988,945.000000,952.799988,948.409058,9750
2017-12-28,933.700012,956.000000,933.700012,953.700012,949.304993,2994
2017-12-29,940.049988,949.950012,935.000000,938.000000,933.677246,1219
2018-01-01,921.000000,969.900024,921.000000,935.200012,930.890198,4505
2018-01-02,935.950012,935.950012,921.200012,924.500000,920.239502,13614
2018-01-03,934.750000,935.000000,914.099976,924.849976,920.587830,6226
2018-01-04,910.250000,927.500000,910.200012,918.549988,914.316895,6174
2018-01-05,922.500000,929.349976,902.000000,922.599976,918.348267,2688
2018-01-08,930.950012,930.950012,915.650024,920.250000,916.009033,1510
2018-01-09,915.000000,919.950012,901.349976,905.900024,901.725281,945
2018-01-10,880.150024,922.799988,880.150024,914.650024,910.434937,2200
2018-01-11,920.000000,954.950012,916.099976,936.450012,932.134460,15878
2018-01-12,930.049988,945.000000,920.250000,939.750000,935.419250,4254
2018-01-15,953.799988,991.000000,950.150024,958.500000,954.082825,22921
2018-01-16,953.900024,959.000000,920.099976,930.650024,926.361145,4460
2018-01-17,901.000000,950.049988,901.000000,943.250000,938.903076,1861
2018-01-18,936.000000,936.900024,901.500000,912.400024,908.195251,1690
2018-01-19,900.049988,928.950012,900.049988,911.950012,907.747314,351
2018-01-22,915.049988,935.000000,907.950012,925.299988,921.035767,10540
2018-01-23,919.700012,933.650024,911.049988,924.900024,920.637695,1104
2018-01-24,916.500000,924.950012,912.049988,915.650024,911.430298,747
2018-01-25,922.750000,926.000000,908.049988,920.799988,916.556519,481
2018-01-29,908.250000,924.000000,908.200012,920.150024,915.909607,973
2018-01-30,922.700012,924.900024,907.150024,921.750000,917.502136,952
2018-01-31,924.500000,934.950012,923.950012,928.599976,924.320618,3525
2018-02-01,928.500000,949.000000,908.549988,941.900024,937.559387,5839
2018-02-02,920.099976,955.000000,852.099976,904.000000,899.833923,4580
2018-02-05,900.000000,945.000000,895.799988,907.150024,902.969482,4070
2018-02-06,890.549988,920.000000,877.200012,912.150024,907.946411,1416
2018-02-07,918.349976,918.349976,850.099976,874.599976,870.569458,1640
2018-02-08,892.650024,902.450012,882.099976,890.400024,886.296692,978
2018-02-09,879.950012,899.849976,858.700012,895.799988,891.671753,1667
2018-02-12,885.650024,900.000000,884.650024,893.799988,889.680969,164
2018-02-14,882.049988,893.849976,875.000000,879.299988,875.247742,482
2018-02-15,881.700012,889.950012,874.000000,880.849976,876.790588,266
2018-02-16,871.049988,896.000000,860.000000,861.049988,857.081909,885
2018-02-19,861.049988,864.950012,859.500000,859.599976,855.638550,574
2018-02-20,851.000000,877.849976,851.000000,858.299988,854.344543,255
2018-02-21,860.150024,867.750000,852.150024,863.500000,859.520630,335
2018-02-22,840.049988,868.549988,840.049988,852.299988,848.372192,450
2018-02-23,844.599976,860.000000,840.099976,847.650024,843.743713,821
2018-02-26,839.000000,848.250000,839.000000,846.349976,842.449585,488
2018-02-27,867.950012,867.950012,836.000000,842.450012,838.567627,369
2018-02-28,823.049988,834.000000,823.000000,826.599976,822.790588,335
2018-03-01,827.049988,845.849976,820.000000,840.599976,836.726135,313
2018-03-05,830.000000,834.150024,820.000000,822.299988,818.510437,445
2018-03-06,753.000000,824.950012,753.000000,820.799988,817.017395,2994
2018-03-07,813.000000,831.500000,813.000000,820.750000,816.967590,737
2018-03-08,813.000000,825.049988,813.000000,821.599976,817.813721,375
2018-03-09,813.000000,840.000000,813.000000,826.049988,822.243225,668
2018-03-12,818.000000,836.000000,811.000000,820.150024,816.370361,1496
2018-03-13,814.900024,834.950012,813.950012,825.700012,821.894836,1172
2018-03-14,811.549988,835.000000,811.549988,827.599976,823.786011,2221
2018-03-15,830.299988,835.200012,827.000000,834.150024,830.305908,697
2018-03-16,836.099976,849.950012,814.000000,839.349976,835.481934,946
2018-03-19,826.049988,834.450012,815.200012,822.000000,818.211853,456
2018-03-20,822.200012,829.849976,801.000000,807.500000,803.778687,3089
2018-03-21,815.950012,822.000000,807.200012,810.099976,806.366699,309
2018-03-22,801.000000,814.000000,791.000000,794.400024,790.739075,497
2018-03-23,776.000000,800.000000,776.000000,783.099976,779.491150,449
2018-03-26,805.599976,820.000000,768.099976,783.950012,780.337219,7727
2018-03-27,785.000000,798.049988,783.000000,784.150024,780.536255,819
2018-03-28,782.000000,797.799988,744.000000,752.700012,749.231201,1100
2018-04-02,762.250000,775.950012,760.400024,772.799988,769.238586,549
2018-04-03,770.049988,794.750000,764.950012,788.250000,784.617371,632
2018-04-04,778.049988,804.349976,760.000000,766.599976,763.067139,1261
2018-04-05,760.049988,780.950012,750.000000,752.049988,748.584229,1116
2018-04-06,759.950012,764.000000,753.000000,760.000000,756.497559,207
2018-04-09,765.000000,798.000000,765.000000,791.099976,787.454224,1649
2018-04-10,798.799988,819.000000,798.799988,808.700012,804.973206,659
2018-04-11,807.049988,815.950012,780.000000,812.849976,809.104004,424
2018-04-12,802.299988,809.950012,792.000000,793.549988,789.892944,139
2018-04-13,817.000000,817.000000,781.049988,782.950012,779.341858,205
2018-04-16,770.000000,800.000000,755.000000,789.250000,785.612793,384
2018-04-17,781.000000,812.900024,780.000000,782.000000,778.396179,9441
