Date,Open,High,Low,Close,Adj Close,Volume
2007-06-28,33.250000,33.250000,26.000000,26.600000,20.969812,60929763
2007-06-29,26.850000,27.299999,25.600000,26.100000,20.575645,9439990
2007-07-02,26.500000,29.150000,25.250000,28.700001,22.625322,13892720
2007-07-03,29.250000,29.250000,27.600000,27.900000,21.994656,7521909
2007-07-04,29.000000,29.000000,26.600000,26.650000,21.009233,2844773
2007-07-05,26.750000,26.900000,25.600000,26.000000,20.496807,1638123
2007-07-06,26.500000,27.700001,25.299999,26.850000,21.166903,3558958
2007-07-09,26.850000,27.600000,26.750000,27.150000,21.403402,1950048
2007-07-10,26.850000,27.400000,26.000000,26.049999,20.536224,1222630
2007-07-11,25.549999,26.799999,25.549999,25.799999,20.339140,1696053
2007-07-12,26.000000,26.500000,25.900000,26.000000,20.496807,982909
2007-07-13,26.700001,26.700001,25.250000,25.400000,20.023808,1019354
2007-07-16,26.000000,26.000000,25.100000,25.150000,19.826723,523407
2007-07-17,25.400000,26.900000,25.000000,25.750000,20.299726,2444372
2007-07-18,25.250000,26.500000,25.250000,25.600000,20.181475,1090464
2007-07-19,25.350000,26.200001,25.150000,25.250000,19.905558,956517
2007-07-20,26.000000,26.049999,24.250000,24.350000,19.196049,1505104
2007-07-23,26.000000,26.000000,23.600000,23.750000,18.723045,771288
2007-07-24,24.450001,24.450001,22.450001,22.600000,17.816462,861224
2007-07-25,23.000000,23.000000,21.200001,22.350000,17.619375,1405410
2007-07-26,22.900000,22.900000,22.200001,22.700001,17.895294,736912
2007-07-27,22.200001,23.450001,21.600000,22.100000,17.422287,1238153
2007-07-30,20.100000,22.700001,20.100000,22.250000,17.540539,407238
2007-07-31,22.350000,22.799999,22.150000,22.350000,17.619375,443488
2007-08-01,22.000000,23.299999,21.850000,23.250000,18.328878,1177337
2007-08-02,22.850000,24.100000,22.850000,23.500000,18.525965,760155
2007-08-03,23.500000,24.500000,23.350000,23.500000,18.525965,661799
2007-08-06,23.500000,24.049999,22.150000,23.850000,18.801882,436224
2007-08-07,24.500000,24.600000,23.150000,23.200001,18.289467,521718
2007-08-08,23.250000,24.049999,23.250000,23.549999,18.565382,316362
2007-08-09,24.400000,24.400000,22.799999,22.850000,18.013542,553572
2007-08-10,21.049999,22.900000,21.049999,22.600000,17.816462,464416
2007-08-13,23.000000,23.500000,22.500000,22.600000,17.816462,277250
2007-08-14,23.350000,23.350000,22.400000,22.450001,17.698208,220415
2007-08-16,22.000000,22.500000,21.549999,21.950001,17.304037,432475
2007-08-17,21.799999,22.500000,21.400000,21.950001,17.304037,406703
2007-08-20,22.450001,22.799999,21.750000,21.950001,17.304037,328095
2007-08-21,21.500000,22.100000,20.700001,21.000000,16.555117,423660
2007-08-22,20.750000,21.400000,20.000000,20.799999,16.397446,313614
2007-08-23,21.299999,21.750000,20.200001,20.350000,16.042696,228488
2007-08-24,19.400000,21.049999,19.400000,20.799999,16.397446,236690
2007-08-27,21.350000,21.350000,20.799999,21.200001,16.712784,326733
2007-08-28,21.200001,21.500000,20.950001,21.100000,16.633949,138237
2007-08-29,21.000000,21.150000,20.500000,21.049999,16.594532,154862
2007-08-30,21.450001,23.250000,21.000000,22.100000,17.422287,940136
2007-08-31,21.549999,22.500000,21.000000,21.200001,16.712784,668399
2007-09-03,22.400000,22.400000,20.799999,21.400000,16.870451,672613
2007-09-04,22.250000,23.299999,21.200001,23.000000,18.131792,1530724
2007-09-05,23.000000,23.350000,22.700001,23.100000,18.210625,486139
2007-09-06,23.000000,24.400000,22.700001,23.900000,18.841297,1052437
2007-09-07,23.500000,24.350000,23.049999,23.299999,18.368292,471109
2007-09-10,22.250000,23.950001,22.250000,23.799999,18.762465,343690
2007-09-11,24.250000,24.549999,23.200001,23.750000,18.723045,551595
2007-09-12,24.000000,24.350000,23.700001,23.799999,18.762465,314140
2007-09-13,23.549999,24.350000,23.549999,23.850000,18.801882,198537
2007-09-14,24.000000,25.700001,24.000000,24.049999,18.959547,846764
2007-09-17,25.100000,25.100000,23.850000,24.000000,18.920135,272735
2007-09-18,24.700001,24.700001,23.799999,23.900000,18.841297,236875
2007-09-19,24.250000,24.500000,23.700001,23.850000,18.801882,347875
2007-09-20,24.100000,24.400000,23.799999,23.850000,18.801882,355231
2007-09-21,24.299999,24.299999,23.500000,23.549999,18.565382,225608
2007-09-24,23.799999,23.950001,23.450001,23.600000,18.604795,310861
2007-09-25,23.150000,24.000000,23.049999,23.250000,18.328878,256047
2007-09-26,23.700001,26.200001,23.150000,24.650000,19.432552,2199819
2007-09-27,25.799999,26.900000,25.299999,25.500000,20.102640,2175179
2007-09-28,25.799999,26.400000,24.450001,25.000000,19.708473,1600322
2007-10-01,25.100000,26.500000,25.100000,25.799999,20.339140,971483
2007-10-03,26.250000,26.500000,24.450001,24.850000,19.590219,662498
2007-10-04,25.000000,25.600000,24.100000,24.350000,19.196049,555641
2007-10-05,24.799999,24.799999,23.850000,23.850000,18.801882,268577
2007-10-08,23.950001,24.049999,23.299999,23.850000,18.801882,466924
2007-10-09,23.000000,24.049999,22.950001,23.750000,18.723045,341574
2007-10-10,24.500000,24.500000,23.299999,23.650000,18.644213,238710
2007-10-11,24.000000,24.100000,23.049999,23.200001,18.289467,151440
2007-10-12,23.000000,24.799999,23.000000,23.500000,18.525965,557163
2007-10-15,23.150000,24.100000,23.150000,23.299999,18.368292,273236
2007-10-16,23.049999,23.400000,22.600000,22.750000,17.934710,292065
2007-10-17,22.500000,22.799999,21.000000,22.350000,17.619375,216879
2007-10-18,23.100000,23.450001,21.600000,21.700001,17.106953,335362
2007-10-19,21.500000,22.400000,21.000000,21.200001,16.712784,283466
2007-10-22,20.299999,21.500000,20.200001,21.049999,16.594532,205273
2007-10-23,21.900000,22.150000,21.400000,22.049999,17.382874,208335
2007-10-24,23.400000,23.400000,21.500000,21.799999,17.185787,257263
2007-10-25,22.900000,22.900000,21.750000,21.900000,17.264620,178805
2007-10-26,22.500000,23.000000,21.799999,22.100000,17.422287,233803
2007-10-29,22.500000,22.799999,21.750000,21.950001,17.304037,242870
2007-10-30,22.500000,24.299999,21.700001,23.250000,18.328878,1099103
2007-10-31,23.900000,26.700001,23.799999,25.450001,20.063223,2612833
2007-11-01,26.250000,26.799999,23.500000,23.900000,18.841297,826504
2007-11-02,23.000000,23.600000,22.450001,23.450001,18.486542,282063
2007-11-05,23.600000,24.500000,22.900000,23.450001,18.486542,359690
2007-11-06,24.000000,24.200001,22.500000,22.650000,17.855879,245589
2007-11-07,23.400000,23.400000,21.650000,21.950001,17.304037,249208
2007-11-08,21.500000,23.100000,21.500000,22.049999,17.382874,227263
2007-11-12,22.450001,22.900000,21.549999,22.000000,17.343452,217593
2007-11-13,22.900000,24.100000,22.100000,23.650000,18.644213,405686
2007-11-14,24.100000,24.650000,23.299999,23.600000,18.604795,531544
2007-11-15,24.700001,28.500000,24.049999,28.500000,22.467657,2310979
2007-11-16,29.700001,33.500000,29.549999,31.650000,24.950926,5236340
2007-11-19,33.000000,33.799999,30.100000,30.299999,23.886667,1628974
2007-11-20,30.000000,30.650000,28.450001,28.650000,22.585909,1077684
