Date,Open,High,Low,Close,Adj Close,Volume
2015-05-06,65.000000,65.000000,52.799999,58.400002,55.024296,17012497
2015-05-07,57.099998,59.950001,48.750000,51.500000,48.523136,3803574
2015-05-08,50.750000,58.500000,50.750000,53.400002,50.313309,2079792
2015-05-11,54.000000,58.400002,54.000000,57.799999,54.458969,2879155
2015-05-12,58.099998,58.750000,55.599998,58.099998,54.741634,1037797
2015-05-13,58.000000,61.750000,56.799999,58.700001,55.306953,2314174
2015-05-14,59.000000,60.349998,57.250000,58.450001,55.071404,1457363
2015-05-15,59.299999,60.750000,57.549999,59.150002,55.730949,2168366
2015-05-18,58.599998,60.000000,58.000000,59.700001,56.249149,1089585
2015-05-19,59.950001,62.000000,58.799999,61.299999,57.756657,1209215
2015-05-20,61.750000,62.000000,58.099998,59.099998,55.683826,888024
2015-05-21,58.950001,59.349998,57.500000,58.049999,54.694519,533298
2015-05-22,58.700001,58.750000,56.900002,57.349998,54.034981,391199
2015-05-25,57.450001,59.900002,55.150002,59.500000,56.060711,841624
2015-05-26,59.299999,63.099998,58.099998,62.150002,58.557537,1417209
2015-05-27,61.549999,63.500000,59.599998,62.700001,59.075737,1535455
2015-05-28,61.450001,62.200001,59.349998,59.549999,56.107811,520057
2015-05-29,59.500000,60.799999,56.000000,58.750000,55.354061,643175
2015-06-01,59.299999,59.700001,57.000000,58.250000,54.882961,496586
2015-06-02,58.200001,58.349998,54.599998,55.599998,52.386139,569389
2015-06-03,55.650002,57.250000,53.000000,55.700001,52.480358,815274
2015-06-04,55.099998,56.200001,50.250000,53.099998,50.030651,538817
2015-06-05,53.000000,54.750000,52.400002,53.549999,50.454628,2155694
2015-06-08,54.000000,55.400002,53.250000,54.049999,50.925735,243936
2015-06-09,53.900002,53.900002,49.000000,50.500000,47.580940,231674
2015-06-10,50.500000,58.000000,50.500000,54.549999,51.396832,3004670
2015-06-11,55.000000,55.349998,51.799999,53.049999,49.983543,489840
2015-06-12,52.099998,53.000000,50.500000,51.599998,48.617352,359642
2015-06-15,51.500000,54.500000,51.500000,53.450001,50.360420,430542
2015-06-16,54.000000,54.599998,52.150002,53.849998,50.737297,295648
2015-06-17,54.599998,55.049999,53.150002,54.049999,50.925735,215849
2015-06-18,53.400002,54.750000,52.000000,52.450001,49.418217,239821
2015-06-19,53.250000,53.900002,44.500000,48.049999,45.272552,1478894
2015-06-22,48.000000,57.349998,47.900002,56.400002,53.139904,2940515
2015-06-23,55.099998,58.099998,52.200001,53.349998,50.266197,1206601
2015-06-24,53.950001,56.000000,51.650002,52.650002,49.606655,513272
2015-06-25,52.049999,54.400002,52.049999,53.599998,50.501747,212970
2015-06-26,53.900002,61.799999,53.500000,58.900002,55.495388,3098938
