Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,6.830000,6.830000,6.330000,6.370000,5.643208,10617
2002-07-02,5.830000,6.400000,5.750000,5.830000,5.164820,11975
2002-07-03,6.170000,6.170000,5.250000,5.370000,4.757304,17152
2002-07-04,5.530000,5.900000,5.470000,5.720000,5.067370,23771
2002-07-05,5.680000,6.170000,5.650000,5.770000,5.111665,27493
2002-07-08,6.120000,6.330000,6.020000,6.230000,5.519181,15486
2002-07-09,6.230000,6.570000,5.830000,6.020000,5.333142,14840
2002-07-10,6.270000,6.270000,5.830000,6.080000,5.386295,8450
2002-07-11,6.000000,6.100000,5.750000,5.870000,5.200256,9116
2002-07-12,6.230000,6.230000,5.800000,5.920000,5.244551,8323
2002-07-15,5.700000,5.920000,5.700000,5.770000,5.111665,900
2002-07-16,6.130000,6.130000,5.470000,5.530000,4.899049,4460
2002-07-17,5.350000,5.350000,5.020000,5.120000,4.535828,8573
2002-07-18,5.170000,5.430000,5.170000,5.420000,4.801600,5300
2002-07-19,5.500000,5.500000,5.480000,5.480000,4.854753,101
2002-07-22,5.020000,5.150000,4.930000,5.050000,4.473814,4668
2002-07-23,4.870000,4.870000,4.600000,4.630000,4.101735,8350
2002-07-24,4.580000,5.000000,4.580000,4.930000,4.367506,1600
2002-07-25,5.000000,5.080000,4.500000,4.530000,4.013145,9200
2002-07-26,4.670000,4.670000,4.350000,4.380000,3.880259,7900
2002-07-29,4.000000,4.170000,3.950000,3.950000,3.499321,4700
2002-07-30,4.230000,4.320000,3.970000,4.000000,3.543615,10625
2002-07-31,4.170000,4.330000,3.750000,4.100000,3.632205,12660
2002-08-01,4.330000,4.330000,4.070000,4.080000,3.614488,6200
2002-08-02,4.130000,4.250000,4.130000,4.170000,3.694219,1575
2002-08-05,4.330000,4.580000,4.330000,4.580000,4.057439,1475
2002-08-06,4.650000,4.650000,4.420000,4.620000,4.092876,1401
2002-08-07,4.800000,5.080000,4.800000,5.080000,4.500392,7780
2002-08-08,5.000000,5.330000,5.000000,5.180000,4.588982,2800
2002-08-09,5.100000,5.170000,5.100000,5.120000,4.535828,1200
2002-08-12,5.030000,5.250000,5.030000,5.080000,4.500392,170
2002-08-13,4.920000,5.330000,4.920000,5.100000,4.518110,7580
2002-08-14,4.970000,5.170000,4.830000,4.930000,4.367506,2300
2002-08-15,null,null,null,null,null,null
2002-08-16,5.000000,5.130000,5.000000,5.050000,4.473814,3900
2002-08-19,5.200000,5.200000,4.730000,4.730000,4.190325,1750
2002-08-20,5.080000,5.220000,4.800000,5.180000,4.588982,2977
2002-08-21,4.950000,5.250000,4.830000,4.950000,4.385223,2205
2002-08-22,5.120000,5.130000,4.830000,5.120000,4.535828,4
2002-08-23,4.780000,4.780000,4.780000,4.780000,4.234622,1
2002-08-26,4.670000,5.150000,4.670000,4.780000,4.234622,1240
2002-08-27,4.880000,4.880000,4.820000,4.830000,4.278915,1000
2002-08-28,4.730000,4.920000,4.580000,4.920000,4.358647,301
2002-08-29,null,null,null,null,null,null
2002-08-30,4.900000,5.000000,4.830000,4.900000,4.340929,13261
2002-09-02,4.670000,4.670000,4.600000,4.670000,4.137171,2790
2002-09-03,4.670000,4.670000,4.430000,4.670000,4.137171,1750
2002-09-04,4.670000,4.820000,4.550000,4.550000,4.030862,4400
2002-09-05,4.580000,4.720000,4.580000,4.670000,4.137171,3600
2002-09-06,4.600000,4.680000,4.500000,4.680000,4.146030,830
2002-09-09,4.500000,4.500000,4.350000,4.500000,3.986567,7150
2002-09-10,null,null,null,null,null,null
2002-09-11,4.200000,4.280000,4.200000,4.280000,3.791669,106
2002-09-12,4.330000,4.670000,4.330000,4.670000,4.137171,7150
2002-09-13,4.930000,5.130000,4.870000,5.070000,4.491532,10105
2002-09-16,5.570000,5.580000,5.070000,5.500000,4.872471,25502
2002-09-17,5.630000,5.920000,5.520000,5.670000,5.023074,5934
2002-09-18,5.480000,5.480000,5.330000,5.330000,4.721868,1050
2002-09-19,5.520000,5.670000,5.500000,5.530000,4.899049,12170
2002-09-20,5.480000,5.480000,5.100000,5.150000,4.562404,4651
2002-09-23,5.330000,5.670000,5.330000,5.430000,4.810458,10750
2002-09-24,5.500000,5.500000,5.170000,5.370000,4.757304,4823
2002-09-25,5.530000,5.530000,5.270000,5.270000,4.668714,3101
2002-09-26,5.130000,5.320000,5.130000,5.320000,4.713009,390
2002-09-27,5.400000,5.620000,5.220000,5.330000,4.721868,9879
2002-09-30,5.830000,5.830000,5.350000,5.450000,4.828176,2389
2002-10-01,5.500000,5.670000,5.430000,5.530000,4.899049,5820
2002-10-02,null,null,null,null,null,null
2002-10-03,5.600000,5.650000,5.470000,5.500000,4.872471,15838
2002-10-04,6.000000,6.000000,5.420000,5.430000,4.810458,8646
2002-10-07,5.750000,5.920000,5.080000,5.750000,5.093947,19399
2002-10-08,5.820000,6.330000,5.750000,6.330000,5.607771,19349
2002-10-09,6.930000,6.970000,6.750000,6.970000,6.174750,8450
2002-10-10,7.670000,7.670000,6.900000,7.670000,6.794883,55211
2002-10-11,8.400000,8.430000,8.400000,8.430000,7.468171,14919
2002-10-14,9.270000,9.280000,8.420000,8.470000,7.503605,80500
2002-10-15,null,null,null,null,null,null
2002-10-16,8.430000,8.470000,7.630000,7.820000,6.927769,60956
2002-10-17,8.280000,8.330000,7.470000,7.880000,6.980922,58108
2002-10-18,7.830000,8.030000,7.730000,8.000000,7.087231,16706
2002-10-21,7.850000,7.950000,7.780000,7.820000,6.927769,7868
2002-10-22,7.800000,7.830000,7.750000,7.770000,6.883472,11861
2002-10-23,7.580000,7.900000,7.530000,7.630000,6.759447,10548
2002-10-24,7.530000,7.670000,7.450000,7.530000,6.670856,6610
2002-10-25,7.350000,7.630000,7.180000,7.600000,6.732869,7286
2002-10-28,7.280000,7.550000,7.280000,7.380000,6.537970,2726
2002-10-29,7.330000,7.470000,7.330000,7.430000,6.582265,1090
2002-10-30,7.500000,7.570000,7.500000,7.520000,6.661997,1500
2002-10-31,7.570000,7.680000,7.570000,7.620000,6.750587,1969
2002-11-01,7.670000,7.870000,7.670000,7.720000,6.839177,3390
2002-11-04,7.930000,7.930000,7.600000,7.630000,6.759447,650
2002-11-05,7.700000,7.830000,7.700000,7.830000,6.936627,1424
