Date,Open,High,Low,Close,Adj Close,Volume
2018-04-26,161.332993,161.332993,155.332993,156.399994,156.399994,21600
2018-04-27,153.332993,165.332993,153.332993,160.000000,160.000000,26100
2018-04-30,159.332993,161.332993,154.100006,155.567001,155.567001,19800
2018-05-02,159.332993,163.332993,156.667007,158.367004,158.367004,56700
2018-05-03,160.000000,160.667007,157.899994,158.667007,158.667007,30600
2018-05-04,157.332993,157.332993,153.466995,153.867004,153.867004,21600
2018-05-07,154.000000,154.000000,148.000000,150.332993,150.332993,38700
2018-05-08,152.000000,154.000000,150.000000,150.766998,150.766998,25200
2018-05-09,149.367004,152.000000,149.332993,151.266998,151.266998,13500
2018-05-10,153.332993,154.667007,150.000000,150.000000,150.000000,8100
2018-05-11,150.667007,150.667007,148.667007,149.132996,149.132996,30600
2018-05-14,150.667007,150.667007,148.332993,148.432999,148.432999,6300
2018-05-15,151.000000,151.000000,148.000000,150.899994,150.899994,22500
2018-05-16,150.000000,152.000000,148.000000,151.432999,151.432999,27900
2018-05-17,154.300003,154.332993,148.667007,149.000000,149.000000,28800
2018-05-18,149.332993,151.332993,149.332993,150.266998,150.266998,15300
2018-05-21,151.332993,151.332993,145.132996,145.432999,145.432999,23400
2018-05-22,148.000000,148.667007,144.000000,144.000000,144.000000,10800
2018-05-23,144.667007,144.667007,142.500000,142.500000,142.500000,7200
2018-05-24,148.667007,149.000000,147.667007,148.100006,148.100006,7200
2018-05-25,150.399994,150.399994,150.399994,150.399994,150.399994,2700
2018-05-28,152.000000,152.000000,148.667007,148.667007,148.667007,8100
2018-05-29,151.966995,152.000000,148.667007,150.733002,150.733002,26100
2018-05-30,153.300003,153.332993,148.667007,148.667007,148.667007,25200
2018-05-31,157.332993,157.399994,148.667007,149.567001,149.567001,108900
2018-06-01,150.000000,150.033005,144.667007,145.667007,145.667007,34200
2018-06-04,152.000000,152.000000,140.000000,140.800003,140.800003,54900
2018-06-05,143.332993,144.733002,136.667007,136.899994,136.899994,54900
2018-06-06,153.332993,153.332993,138.667007,139.667007,139.667007,48600
2018-06-07,146.667007,147.332993,143.332993,144.167007,144.167007,41400
2018-06-08,146.667007,147.667007,146.667007,146.667007,146.667007,8100
