Date,Open,High,Low,Close,Adj Close,Volume
2013-03-14,46.099998,52.849998,45.900002,47.700001,46.814205,3475
2013-03-15,47.700001,48.799999,46.299999,46.700001,45.832775,3279
2013-03-18,48.950001,48.950001,46.299999,46.450001,45.587418,491
2013-03-19,46.500000,48.700001,45.799999,46.049999,45.194843,71025
2013-03-20,46.049999,47.900002,44.799999,46.450001,45.587418,34136
2013-03-21,49.000000,49.000000,45.250000,46.099998,45.243916,133949
2013-03-22,46.000000,46.500000,44.000000,45.549999,44.704128,150938
2013-03-25,45.150002,45.150002,39.099998,39.650002,38.913696,27621
2013-03-26,42.250000,42.250000,38.500000,40.599998,39.846050,351
2013-03-28,40.349998,42.500000,39.000000,40.900002,40.140484,7336
2013-04-01,41.250000,44.849998,38.049999,39.400002,38.668339,5274
2013-04-02,40.000000,43.049999,38.799999,39.799999,39.060909,11966
2013-04-03,41.400002,41.400002,38.000000,38.950001,38.226696,10096
2013-04-04,38.599998,39.900002,36.099998,36.900002,36.214764,24252
2013-04-05,39.000000,39.000000,35.599998,37.650002,36.950836,28652
2013-04-08,38.500000,40.000000,36.799999,37.500000,36.803619,9558
2013-04-09,37.099998,38.500000,36.099998,36.700001,36.018478,2688
2013-04-10,37.500000,39.400002,37.000000,39.000000,38.275764,225
2013-04-11,37.500000,37.950001,36.500000,37.950001,37.245266,636
2013-04-12,37.049999,40.250000,36.000000,39.799999,39.060909,1393
2013-04-15,39.650002,44.799999,33.299999,37.500000,36.803619,10991
2013-04-16,37.099998,37.799999,36.299999,36.299999,35.625904,329
2013-04-17,37.099998,39.900002,36.000000,36.750000,36.067547,26015
2013-04-18,40.750000,40.750000,35.500000,36.950001,36.263836,7048
2013-04-22,37.750000,37.750000,36.150002,36.700001,36.018478,3353
2013-04-23,38.000000,38.000000,36.950001,36.950001,36.263836,139
2013-04-25,37.750000,38.000000,36.000000,36.049999,35.380547,3324
2013-04-26,36.049999,37.000000,35.400002,36.150002,35.478691,233
2013-04-29,42.000000,42.000000,35.000000,35.150002,34.497261,780
2013-04-30,36.000000,36.000000,36.000000,36.000000,35.331474,25
2013-05-02,36.000000,36.900002,35.500000,36.900002,36.214764,166
2013-05-03,37.150002,39.049999,35.500000,38.000000,37.294334,1161
2013-05-06,37.500000,39.650002,35.599998,36.049999,35.380547,33594
2013-05-07,38.000000,38.000000,30.100000,35.150002,34.497261,31257
2013-05-08,36.000000,36.000000,30.250000,34.799999,34.153759,8058
2013-05-09,35.000000,38.799999,32.500000,34.250000,33.613972,920
2013-05-10,34.500000,35.650002,33.150002,33.849998,33.221401,8333
2013-05-13,37.750000,37.750000,30.650000,33.849998,33.221401,2486
