Date,Open,High,Low,Close,Adj Close,Volume
2004-07-15,18.857100,18.857100,18.857100,18.857100,18.689560,0
2004-07-16,18.857100,18.857100,18.857100,18.857100,18.689560,0
2004-07-19,18.857100,18.857100,18.857100,18.857100,18.689560,0
2004-07-20,18.857100,18.857100,18.857100,18.857100,18.689560,0
2004-07-21,18.857100,18.857100,18.857100,18.857100,18.689560,0
2004-07-22,18.857100,18.857100,18.857100,18.857100,18.689560,0
2004-07-23,18.857100,18.857100,18.857100,18.857100,18.689560,0
2004-07-26,18.857100,18.857100,18.857100,18.857100,18.689560,0
2004-07-27,18.857100,18.857100,18.857100,18.857100,18.689560,0
2004-07-28,18.857100,18.857100,18.857100,18.857100,18.689560,0
2004-07-29,18.857100,18.857100,18.857100,18.857100,18.689560,0
2004-07-30,18.857100,18.857100,18.857100,18.857100,18.689560,0
2004-08-02,18.857100,18.857100,18.857100,18.857100,18.689560,0
2004-08-03,18.857100,18.857100,18.857100,18.857100,18.689560,0
2004-08-04,18.857100,18.857100,18.857100,18.857100,18.689560,0
2004-08-05,18.857100,18.857100,18.857100,18.857100,18.689560,0
2004-08-06,18.857100,18.857100,18.857100,18.857100,18.689560,0
2004-08-09,18.857100,18.857100,18.857100,18.857100,18.689560,0
2004-08-10,18.857100,18.857100,18.857100,18.857100,18.689560,0
2004-08-11,18.857100,18.857100,18.857100,18.857100,18.689560,0
2004-08-12,18.857100,18.857100,18.857100,18.857100,18.689560,0
2004-08-13,18.857100,18.857100,18.857100,18.857100,18.689560,0
2004-08-16,18.857100,18.857100,18.857100,18.857100,18.689560,0
2004-08-17,18.857100,18.857100,18.857100,18.857100,18.689560,0
2004-08-18,18.857100,18.857100,18.857100,18.857100,18.689560,0
2004-08-19,18.857100,18.857100,18.857100,18.857100,18.689560,0
2004-08-20,18.857100,18.857100,18.857100,18.857100,18.689560,0
2004-08-23,18.857100,18.857100,18.857100,18.857100,18.689560,0
2004-08-24,18.857100,18.857100,18.857100,18.857100,18.689560,0
2004-08-25,18.857100,18.857100,18.857100,18.857100,18.689560,0
2004-08-26,18.857100,18.857100,18.857100,18.857100,18.689560,0
2004-08-27,18.857100,18.857100,18.857100,18.857100,18.689560,0
2004-08-30,18.857100,18.857100,18.857100,18.857100,18.689560,0
2004-08-31,18.857100,18.857100,18.857100,18.857100,18.689560,0
2004-09-01,18.857100,18.857100,18.857100,18.857100,18.689560,0
2004-09-02,18.857100,18.857100,18.857100,18.857100,18.689560,0
2004-09-03,18.857100,18.857100,18.857100,18.857100,18.689560,0
2004-09-06,18.857100,18.857100,18.857100,18.857100,18.689560,0
2004-09-07,18.857100,18.857100,18.857100,18.857100,18.689560,0
2004-09-08,18.857100,18.857100,18.857100,18.857100,18.689560,0
2004-09-09,18.857100,18.857100,18.857100,18.857100,18.689560,0
2004-09-10,18.857100,18.857100,18.857100,18.857100,18.689560,0
2004-09-13,18.857100,18.857100,18.857100,18.857100,18.689560,0
2004-09-14,18.857100,18.857100,18.857100,18.857100,18.689560,0
2004-09-15,18.857100,18.857100,18.857100,18.857100,18.689560,0
2004-09-16,18.857100,18.857100,18.857100,18.857100,18.689560,0
2004-09-17,18.857100,18.857100,18.857100,18.857100,18.689560,0
2004-09-20,18.857100,18.857100,18.857100,18.857100,18.689560,0
2004-09-21,18.857100,18.857100,18.857100,18.857100,18.689560,0
2004-09-22,18.857100,18.857100,18.857100,18.857100,18.689560,0
2004-09-23,18.857100,18.857100,18.857100,18.857100,18.689560,0
2004-09-24,18.857100,18.857100,18.857100,18.857100,18.689560,0
2004-09-27,18.857100,18.857100,18.857100,18.857100,18.689560,0
2004-09-28,18.857100,18.857100,18.857100,18.857100,18.689560,0
2004-09-29,18.857100,18.857100,18.857100,18.857100,18.689560,0
2004-09-30,18.857100,18.857100,18.857100,18.857100,18.689560,0
2004-10-01,18.857100,18.857100,18.857100,18.857100,18.689560,0
2004-10-04,18.857100,18.857100,18.857100,18.857100,18.689560,0
2004-10-05,18.857100,18.857100,18.857100,18.857100,18.689560,0
2004-10-06,18.857100,18.857100,18.857100,18.857100,18.689560,0
2004-10-07,18.857100,18.857100,18.857100,18.857100,18.689560,0
2004-10-08,18.857100,18.857100,18.857100,18.857100,18.689560,0
2004-10-11,18.857100,18.857100,18.857100,18.857100,18.689560,0
2004-10-12,18.857100,18.857100,18.857100,18.857100,18.689560,0
2004-10-13,18.857100,18.857100,18.857100,18.857100,18.689560,0
2004-10-14,18.857100,18.857100,18.857100,18.857100,18.689560,0
2004-10-15,18.857100,18.857100,18.857100,18.857100,18.689560,0
2004-10-18,null,null,null,null,null,null
2004-10-19,null,null,null,null,null,null
2004-10-20,null,null,null,null,null,null
2004-10-21,null,null,null,null,null,null
2004-10-22,null,null,null,null,null,null
2004-10-25,null,null,null,null,null,null
2004-10-26,null,null,null,null,null,null
2004-10-27,null,null,null,null,null,null
2004-10-28,null,null,null,null,null,null
2004-10-29,null,null,null,null,null,null
2004-11-01,null,null,null,null,null,null
2004-11-02,null,null,null,null,null,null
2004-11-03,null,null,null,null,null,null
2004-11-04,null,null,null,null,null,null
2004-11-05,null,null,null,null,null,null
2004-11-08,null,null,null,null,null,null
2004-11-09,null,null,null,null,null,null
2004-11-10,null,null,null,null,null,null
2004-11-11,null,null,null,null,null,null
2004-11-12,null,null,null,null,null,null
2004-11-15,null,null,null,null,null,null
2004-11-16,null,null,null,null,null,null
2004-11-17,null,null,null,null,null,null
2004-11-18,null,null,null,null,null,null
2004-11-19,null,null,null,null,null,null
2004-11-22,null,null,null,null,null,null
