Date,Open,High,Low,Close,Adj Close,Volume
2010-12-15,282.500000,295.000000,228.324997,232.100006,142.192734,130264920
2010-12-16,232.500000,239.699997,225.175003,230.750000,141.365692,38355352
2010-12-20,230.024994,230.024994,220.175003,220.899994,135.331207,11848990
2010-12-21,222.475006,225.425003,216.625000,217.800003,133.432037,8467354
2010-12-22,218.250000,235.300003,215.699997,230.550003,141.243164,41555634
2010-12-23,231.000000,232.699997,223.524994,224.524994,137.552017,10337906
2010-12-24,225.475006,228.899994,223.500000,224.425003,137.490753,6640626
2010-12-27,225.975006,227.199997,219.024994,220.125000,134.856445,3558576
2010-12-28,220.500000,222.350006,218.000000,219.824997,134.672623,3489704
2010-12-29,219.824997,224.350006,219.250000,220.300003,134.963654,3316230
2010-12-30,221.000000,226.850006,220.500000,225.675003,138.256561,6806482
2010-12-31,224.899994,228.675003,224.074997,224.850006,137.751144,3258746
2011-01-03,227.000000,230.250000,225.399994,226.975006,139.052979,3555824
2011-01-04,228.350006,229.000000,226.375000,227.524994,139.389954,2051522
2011-01-05,227.000000,228.000000,223.500000,224.175003,137.337631,1875250
2011-01-06,224.750000,226.000000,222.600006,224.175003,137.337631,1190724
2011-01-07,224.550003,224.899994,216.750000,217.649994,133.340149,1414228
2011-01-10,218.000000,219.475006,214.100006,215.899994,132.268051,1897264
2011-01-11,215.000000,219.850006,215.000000,216.500000,132.635620,1488932
2011-01-12,217.550003,218.800003,214.000000,217.574997,133.294205,1021128
2011-01-13,218.050003,222.750000,216.000000,221.074997,135.438416,1726476
2011-01-14,220.000000,220.975006,216.899994,217.824997,133.447372,1795546
2011-01-17,217.000000,219.000000,215.100006,217.524994,133.263565,734036
2011-01-18,218.500000,219.350006,215.250000,217.350006,133.156387,606854
2011-01-19,219.000000,219.000000,216.000000,217.399994,133.187027,487486
2011-01-20,216.500000,221.350006,215.550003,217.500000,133.248276,943082
2011-01-21,217.625000,219.800003,216.000000,216.399994,132.574341,627948
2011-01-24,217.425003,218.000000,215.125000,215.425003,131.977036,388676
2011-01-25,215.975006,217.250000,213.574997,214.100006,131.165314,391404
2011-01-27,215.100006,216.375000,211.750000,212.350006,130.093201,454114
