Date,Open,High,Low,Close,Adj Close,Volume
2007-12-03,42.200001,49.400002,42.200001,44.200001,34.997971,55627
2007-12-04,45.400002,45.450001,42.599998,43.200001,34.206161,13375
2007-12-05,43.000000,49.950001,42.150002,48.000000,38.006847,30713
2007-12-06,53.900002,57.299999,49.049999,57.299999,45.370670,92520
2007-12-07,60.000000,60.000000,51.650002,53.000000,41.965893,26081
2007-12-10,60.000000,60.000000,51.900002,55.750000,44.143368,10300
2007-12-11,62.000000,62.000000,54.099998,55.500000,43.945415,18746
2007-12-12,56.700001,56.700001,54.000000,54.950001,43.509922,5086
2007-12-13,53.650002,59.950001,53.650002,56.099998,44.420498,16700
2007-12-14,58.000000,62.000000,56.549999,58.299999,46.162483,32500
2007-12-17,60.500000,63.250000,53.500000,55.849998,44.222546,24300
2007-12-18,52.000000,64.900002,52.000000,54.099998,42.836884,8000
2007-12-19,58.000000,58.000000,53.200001,54.900002,43.470337,5462
2007-12-20,52.000000,55.049999,51.000000,52.299999,41.411625,10617
2007-12-24,51.500000,59.000000,51.500000,55.099998,43.628693,2228
2007-12-26,56.299999,56.299999,53.750000,53.950001,42.718109,2491
2007-12-27,56.000000,56.950001,54.500000,54.700001,43.311974,2083
2007-12-28,56.950001,61.500000,54.599998,60.049999,47.548149,10009
2007-12-31,64.000000,68.400002,61.049999,62.900002,49.804806,20601
2008-01-01,62.000000,66.000000,61.099998,63.549999,50.319481,29184
2008-01-02,66.000000,75.250000,65.050003,72.500000,57.406178,43402
2008-01-03,73.000000,77.000000,66.000000,71.849998,56.891499,41740
2008-01-04,73.900002,75.000000,68.550003,70.599998,55.901737,10704
2008-01-07,69.099998,72.000000,66.250000,68.250000,54.040989,5391
2008-01-08,70.000000,70.900002,55.099998,63.349998,50.161118,10068
2008-01-09,63.000000,63.000000,59.299999,61.700001,48.854633,1008
2008-01-10,60.000000,61.750000,56.000000,56.799999,44.974770,2071
2008-01-11,54.000000,54.000000,54.000000,54.000000,42.757702,150
2008-01-14,52.049999,53.500000,52.049999,52.049999,41.213673,388
2008-01-15,51.299999,54.650002,51.299999,54.650002,43.272377,725
2008-01-16,52.599998,54.900002,52.549999,52.549999,41.609577,804
2008-01-17,51.000000,55.150002,51.000000,55.150002,43.668285,1600
2008-01-18,52.450001,56.500000,52.450001,53.000000,41.965893,1008
2008-01-21,51.000000,51.000000,51.000000,51.000000,40.382278,300
2008-01-22,51.650002,51.650002,51.650002,51.650002,40.896954,10
2008-01-23,51.650002,51.650002,51.650002,51.650002,40.896954,0
2008-01-24,51.650002,51.650002,51.650002,51.650002,40.896954,0
2008-01-25,49.099998,49.099998,49.099998,49.099998,38.877834,1
2008-01-28,49.099998,49.099998,49.099998,49.099998,38.877834,0
2008-01-29,51.599998,51.599998,51.599998,51.599998,40.857361,100
2008-01-30,49.049999,49.049999,49.049999,49.049999,38.838245,7
2008-01-31,46.599998,46.599998,46.599998,46.599998,36.898312,150
2008-02-01,46.599998,46.599998,46.599998,46.599998,36.898312,0
2008-02-04,46.599998,46.599998,46.599998,46.599998,36.898312,0
2008-02-05,45.000000,45.700001,44.549999,44.549999,35.275101,380
2008-02-06,44.549999,44.549999,42.349998,44.549999,35.275101,1450
2008-02-07,43.049999,46.500000,43.049999,46.500000,36.819138,635
2008-02-08,47.950001,47.950001,47.950001,47.950001,37.967258,50
2008-02-11,47.950001,47.950001,47.950001,47.950001,37.967258,0
2008-02-12,45.549999,45.549999,45.549999,45.549999,36.066914,100
2008-02-13,43.299999,43.299999,43.299999,43.299999,34.285339,30
2008-02-14,41.200001,41.250000,41.200001,41.250000,32.662128,190
2008-02-15,41.250000,41.250000,41.250000,41.250000,32.662128,0
2008-02-18,39.349998,42.799999,39.349998,42.799999,33.889439,52
2008-02-19,40.799999,40.799999,40.700001,40.700001,32.226635,140
2008-02-20,40.700001,42.650002,38.750000,42.650002,33.770668,600
2008-02-21,42.650002,42.650002,42.650002,42.650002,33.770668,0
2008-02-22,41.000000,41.000000,41.000000,41.000000,32.464184,50
2008-02-25,40.950001,40.950001,38.950001,40.500000,32.068275,99
2008-02-26,42.000000,42.000000,40.000000,40.000000,31.672369,1850
2008-02-27,40.000000,40.000000,40.000000,40.000000,31.672369,0
2008-02-28,41.900002,41.900002,41.900002,41.900002,33.176811,50
2008-02-29,43.750000,43.750000,40.000000,41.049999,32.503773,596
2008-03-03,39.000000,40.900002,39.000000,39.000000,30.880564,129
2008-03-04,39.000000,39.000000,37.049999,37.049999,29.336535,340
2008-03-05,35.250000,38.549999,35.250000,35.299999,27.950869,772
2008-03-07,33.549999,36.900002,33.549999,34.000000,26.921516,1579
2008-03-10,31.350000,31.950001,30.700001,31.950001,25.298307,210
2008-03-11,29.049999,31.250000,29.049999,31.250000,24.744041,1747
2008-03-12,28.500000,33.450001,28.500000,31.250000,24.744041,90148
2008-03-13,31.250000,31.250000,31.250000,31.250000,24.744041,0
2008-03-14,30.000000,30.049999,30.000000,30.049999,23.793867,521
2008-03-17,29.000000,30.000000,29.000000,29.500000,23.358374,100601
2008-03-18,28.000000,28.000000,28.000000,28.000000,22.170660,2
2008-03-19,27.100000,27.299999,27.000000,27.000000,21.378851,413
