Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,238.500000,242.899994,233.050003,234.899994,119.971863,7308
2002-07-02,233.100006,239.000000,233.000000,236.000000,120.533691,7512
2002-07-03,235.100006,238.949997,230.399994,232.050003,118.516296,5897
2002-07-04,235.000000,243.500000,235.000000,240.350006,122.755394,15407
2002-07-05,247.800003,247.800003,240.000000,240.800003,122.985207,10623
2002-07-08,245.899994,245.899994,240.000000,240.899994,123.036301,9487
2002-07-09,244.399994,244.500000,240.000000,240.500000,122.832016,4227
2002-07-10,236.699997,240.050003,232.050003,232.699997,118.848259,4786
2002-07-11,237.550003,237.550003,227.500000,230.300003,117.622498,7170
2002-07-12,231.500000,231.500000,227.050003,228.000000,116.447800,3511
2002-07-15,228.000000,229.000000,219.000000,219.699997,112.208687,7455
2002-07-16,220.000000,224.800003,216.050003,219.050003,111.876694,9143
2002-07-17,224.000000,224.000000,214.649994,217.750000,111.212753,13233
2002-07-18,220.000000,223.699997,218.600006,222.850006,113.817520,2481
2002-07-19,221.000000,228.000000,221.000000,226.500000,115.681686,6073
2002-07-22,223.100006,225.000000,211.000000,212.600006,108.582489,6267
2002-07-23,212.000000,225.000000,210.750000,221.149994,112.949249,14371
2002-07-24,223.750000,223.750000,212.500000,214.449997,109.527313,4830
2002-07-25,220.000000,229.000000,216.399994,220.449997,112.591743,40197
2002-07-26,216.649994,218.949997,206.300003,207.199997,105.824501,12098
2002-07-29,208.050003,209.350006,197.000000,198.800003,101.534309,8457
2002-07-30,206.899994,207.449997,190.000000,190.800003,97.448418,10715
2002-07-31,190.000000,198.000000,182.100006,194.600006,99.389229,9667
2002-08-01,199.250000,203.399994,183.000000,184.500000,94.230774,12408
2002-08-02,179.000000,187.399994,178.100006,182.550003,93.234833,8005
2002-08-05,185.100006,195.000000,185.100006,191.199997,97.652710,8212
2002-08-06,191.000000,194.000000,189.100006,192.800003,98.469894,10089
2002-08-07,198.000000,200.000000,189.500000,191.100006,97.601631,9071
2002-08-08,190.100006,193.500000,183.000000,184.649994,94.307365,5819
2002-08-09,185.850006,187.949997,182.550003,184.300003,94.128654,5073
2002-08-12,183.800003,188.600006,182.100006,183.100006,93.515747,8008
2002-08-13,185.050003,186.000000,182.000000,183.600006,93.771141,7053
2002-08-14,182.500000,184.000000,182.000000,183.399994,93.668991,3126
