Date,Open,High,Low,Close,Adj Close,Volume
2008-03-11,151.199997,151.199997,151.199997,151.199997,112.756424,4071
2008-03-12,121.000000,121.000000,121.000000,121.000000,90.234993,4860
2008-03-13,96.800003,96.800003,96.800003,96.800003,72.187981,3402
2008-03-14,77.449997,97.000000,77.449997,77.550003,57.832424,557268
2008-03-17,74.500000,78.000000,70.099998,72.099998,53.768120,50310
2008-03-18,65.099998,75.000000,65.099998,71.050003,52.985088,36558
2008-03-19,74.099998,74.099998,65.050003,68.849998,51.344456,16911
2008-03-24,66.000000,66.500000,62.000000,62.799999,46.832699,14834
2008-03-25,62.000000,62.000000,58.500000,60.049999,44.781910,22532
2008-03-26,60.000000,66.000000,58.099998,59.900002,44.670044,52145
2008-03-27,61.849998,64.000000,57.500000,59.950001,44.707329,26169
2008-03-28,60.299999,61.849998,59.099998,60.000000,44.744617,69628
2008-03-31,57.250000,61.900002,57.250000,60.049999,44.781910,23757
2008-04-01,59.250000,61.000000,58.250000,60.049999,44.781910,22723
2008-04-02,60.400002,62.000000,59.599998,59.700001,44.520893,11120
2008-04-03,59.299999,60.349998,56.599998,57.950001,43.215843,23945
2008-04-04,59.400002,60.000000,56.549999,57.599998,42.954834,11489
2008-04-07,57.750000,59.000000,57.750000,57.799999,43.103981,5838
2008-04-08,58.000000,58.000000,56.650002,57.549999,42.917542,5918
2008-04-09,57.250000,58.950001,56.200001,56.650002,42.246387,21716
2008-04-10,57.000000,61.400002,57.000000,59.049999,44.036163,8488
2008-04-11,58.400002,60.299999,58.400002,59.099998,44.073452,2456
2008-04-15,60.000000,60.000000,57.500000,59.049999,44.036163,3009
2008-04-16,59.000000,60.799999,58.450001,59.349998,44.259884,7943
2008-04-17,59.000000,61.000000,58.500000,59.750000,44.558186,13470
2008-04-21,61.000000,61.049999,59.549999,60.500000,45.117496,21871
2008-04-22,61.000000,61.500000,60.000000,60.049999,44.781910,6275
2008-04-23,61.849998,62.099998,59.250000,59.450001,44.334465,29679
2008-04-24,59.250000,60.750000,53.549999,60.099998,44.819187,11741
2008-04-25,60.000000,60.950001,59.500000,59.650002,44.483612,7296
2008-04-28,60.000000,60.000000,58.500000,59.200001,44.148029,14937
2008-04-29,59.000000,60.400002,59.000000,59.299999,44.222595,3343
2008-04-30,59.099998,59.099998,57.650002,58.549999,43.663288,20407
2008-05-02,57.500000,58.900002,57.500000,58.299999,43.476849,3270
2008-05-05,60.450001,60.450001,58.700001,59.900002,44.670044,5571
2008-05-06,60.349998,60.349998,58.750000,58.799999,43.849724,9014
2008-05-07,59.500000,59.500000,57.549999,58.349998,43.514141,3072
2008-05-08,57.099998,59.000000,57.099998,58.000000,43.253128,4233
2008-05-09,57.099998,61.000000,55.299999,57.150002,42.619247,11334
2008-05-12,51.000000,59.400002,51.000000,58.500000,43.625999,2465
2008-05-13,55.200001,58.599998,55.200001,56.750000,42.320950,3581
2008-05-14,57.400002,58.700001,56.299999,57.799999,43.103981,2966
2008-05-15,59.000000,59.000000,56.049999,57.000000,42.507389,35301
2008-05-16,56.400002,58.750000,56.349998,57.299999,42.731110,1870
2008-05-20,57.799999,58.000000,56.549999,57.250000,42.693825,779
2008-05-21,56.000000,57.500000,56.000000,57.049999,42.544674,3739
2008-05-22,55.250000,59.950001,55.200001,57.799999,43.103981,4979
2008-05-23,57.299999,58.500000,57.099998,57.250000,42.693825,1628
2008-05-26,56.450001,58.400002,55.799999,55.950001,41.724358,3115
2008-05-27,56.250000,57.400002,55.000000,55.750000,41.575207,1705
2008-05-28,55.000000,55.000000,54.049999,54.950001,40.978611,1334
2008-05-29,58.400002,58.400002,50.000000,56.500000,42.134518,32338
2008-05-30,58.599998,58.599998,52.049999,53.000000,39.524410,32351
2008-06-02,52.099998,56.000000,51.700001,53.650002,40.009151,1583
2008-06-03,47.000000,55.000000,47.000000,54.099998,40.344727,2179
2008-06-04,52.049999,55.950001,52.000000,53.799999,40.121006,1846
2008-06-05,52.299999,54.500000,50.049999,51.750000,38.592236,2824
2008-06-06,59.000000,59.000000,50.000000,51.150002,38.144787,1329
2008-06-09,45.500000,50.500000,45.500000,49.650002,37.026173,1162
2008-06-10,47.099998,53.250000,46.099998,46.099998,34.378777,2526
2008-06-11,49.900002,55.000000,46.000000,50.849998,37.921059,6247
2008-06-12,48.750000,50.900002,47.299999,50.150002,37.399040,1044
2008-06-13,55.000000,55.000000,48.000000,50.349998,37.548195,1419
2008-06-16,54.349998,54.500000,48.400002,50.400002,37.585476,2020
2008-06-17,47.000000,52.000000,47.000000,49.799999,37.138031,1368
2008-06-18,52.900002,52.900002,49.000000,50.349998,37.548195,220
2008-06-19,50.000000,53.000000,45.250000,48.299999,36.019421,3929
2008-06-20,51.950001,51.950001,42.299999,43.700001,32.588997,2624
2008-06-23,43.900002,48.500000,43.099998,47.150002,35.161816,7450
2008-06-24,49.950001,49.950001,43.000000,44.700001,33.334736,2801
2008-06-25,41.000000,45.000000,41.000000,43.900002,32.738144,5775
2008-06-26,46.950001,46.950001,40.650002,40.950001,30.538198,5754
2008-06-27,40.599998,42.400002,38.900002,40.150002,29.941608,4030
2008-06-30,40.000000,42.000000,39.000000,39.799999,29.680593,1478
