Date,Open,High,Low,Close,Adj Close,Volume
2012-04-12,6.733330,6.733330,6.396670,6.463330,1.033410,14110860
2012-04-13,6.456670,6.460000,6.166670,6.323330,1.011025,1993290
2012-04-16,6.323330,6.323330,6.146670,6.180000,0.988109,1000080
2012-04-17,6.200000,6.200000,6.000000,6.076670,0.971588,1214340
2012-04-18,5.900000,6.380000,5.900000,6.380000,1.020087,1059675
2012-04-19,6.480000,6.696670,6.373330,6.696670,1.070718,2093070
2012-04-20,6.900000,6.900000,6.470000,6.546670,1.046735,687870
2012-04-23,6.600000,6.600000,6.303330,6.423330,1.027014,234075
2012-04-24,6.466670,6.633330,6.346670,6.616670,1.057927,582810
2012-04-25,6.446670,6.733330,6.446670,6.693330,1.070184,1061640
2012-04-26,6.790000,6.860000,6.466670,6.536670,1.045136,807225
2012-04-27,6.600000,6.600000,6.340000,6.380000,1.020087,479925
2012-04-30,6.286670,6.463330,6.286670,6.403330,1.023817,158490
2012-05-02,6.530000,6.530000,6.246670,6.316670,1.009961,222795
2012-05-03,6.413330,6.413330,6.166670,6.173330,0.987042,125415
2012-05-04,6.133330,6.166670,5.933330,6.003330,0.959861,264990
2012-05-07,6.000000,6.040000,5.840000,6.003330,0.959861,343140
2012-05-08,6.000000,6.193330,5.936670,6.156670,0.984379,467790
2012-05-09,6.100000,6.193330,5.950000,5.996670,0.958797,97185
2012-05-10,6.126670,6.126670,5.843330,5.896670,0.942808,112875
2012-05-11,5.870000,5.980000,5.720000,5.770000,0.922555,235890
2012-05-14,5.800000,5.853330,5.676670,5.700000,0.911363,95145
2012-05-15,5.666670,5.766670,5.610000,5.706670,0.912429,174780
2012-05-16,5.796670,5.796670,5.460000,5.510000,0.880984,235005
2012-05-17,5.720000,5.726670,4.866670,5.356670,0.856468,427650
2012-05-18,5.366670,5.420000,5.200000,5.360000,0.857001,185955
2012-05-21,5.400000,5.450000,5.333330,5.403330,0.863929,1697025
2012-05-22,5.400000,5.516670,5.366670,5.400000,0.863396,161055
2012-05-23,5.376670,5.433330,5.366670,5.396670,0.862864,35355
2012-05-24,5.463330,5.513330,5.266670,5.496670,0.878853,122085
2012-05-25,5.466670,5.473330,5.383330,5.390000,0.861797,160755
2012-05-28,5.466670,5.466670,5.400000,5.430000,0.868193,408150
2012-05-29,5.493330,5.606670,5.466670,5.566670,0.890045,160560
2012-05-30,5.660000,6.050000,5.660000,5.870000,0.938543,592635
2012-05-31,5.870000,5.900000,5.766670,5.880000,0.940142,148500
2012-06-01,5.750000,5.900000,5.740000,5.790000,0.925752,195420
2012-06-04,5.700000,5.893330,5.670000,5.770000,0.922555,107460
2012-06-05,5.676670,5.830000,5.603330,5.650000,0.903368,179325
2012-06-06,5.606670,5.793330,5.600000,5.716670,0.914028,443160
2012-06-07,5.733330,5.813330,5.643330,5.750000,0.919357,625170
2012-06-08,5.673330,5.780000,5.540000,5.653330,0.903901,424635
2012-06-11,5.606670,5.783330,5.606670,5.730000,0.916159,2491110
2012-06-12,5.730000,5.796670,5.593330,5.670000,0.906566,785910
2012-06-13,5.733330,5.806670,5.700000,5.790000,0.925752,2511255
