Date,Open,High,Low,Close,Adj Close,Volume
2002-08-12,2.686910,2.741990,2.631820,2.659360,1.394267,0
2002-08-13,2.693030,2.693030,2.631820,2.656300,1.392663,0
2002-08-14,2.634880,2.634880,2.573680,2.585920,1.355764,0
2002-08-15,null,null,null,null,null,null
2002-08-16,2.631820,2.662420,2.616520,2.641000,1.384641,0
2002-08-19,2.616520,2.677730,2.588980,2.619580,1.373411,0
2002-08-20,2.631820,2.723630,2.631820,2.705270,1.418337,0
2002-08-21,2.644060,2.738930,2.604280,2.610400,1.368598,0
2002-08-22,2.711390,2.745050,2.641000,2.659360,1.394267,0
2002-08-23,2.662420,2.662420,2.570620,2.579800,1.352555,0
2002-08-26,2.723630,2.723630,2.570620,2.576740,1.350951,0
2002-08-27,2.512470,2.598160,2.512470,2.558380,1.341325,0
2002-08-28,2.558380,2.579800,2.478810,2.491050,1.306024,0
2002-08-29,2.460450,2.546130,2.454330,2.478810,1.299607,0
2002-08-30,2.451270,2.592040,2.451270,2.472690,1.296399,0
2002-09-02,2.592040,2.613460,2.478810,2.570620,1.347742,0
2002-09-03,2.552260,2.588980,2.478810,2.494110,1.307629,0
2002-09-04,2.484930,2.491050,2.383940,2.469630,1.294794,0
2002-09-05,2.448210,2.530830,2.411480,2.423720,1.270724,0
2002-09-06,2.497170,2.497170,2.396180,2.460450,1.289981,0
2002-09-09,2.325800,2.387000,2.264590,2.307430,1.209755,0
2002-09-10,null,null,null,null,null,null
2002-09-11,2.325800,2.341100,2.301310,2.313560,1.212969,0
2002-09-12,2.325800,2.325800,2.295190,2.319680,1.216177,0
2002-09-13,2.310500,2.356400,2.301310,2.304370,1.208151,0
2002-09-16,2.298250,2.350280,2.286010,2.344160,1.229012,0
2002-09-17,2.383940,2.383940,2.310500,2.325800,1.219386,0
2002-09-18,2.325800,2.371700,2.295190,2.347220,1.230616,0
2002-09-19,2.301310,2.338040,2.295190,2.310500,1.211364,0
2002-09-20,2.279890,2.316620,2.276830,2.301310,1.206546,0
2002-09-23,2.258470,2.307430,2.258470,2.286010,1.198525,0
2002-09-24,2.267650,2.295190,2.267650,2.276830,1.193712,0
2002-09-25,2.264590,2.282950,2.255410,2.267650,1.188899,0
2002-09-26,2.267650,2.325800,2.267650,2.313560,1.212969,0
2002-09-27,2.325800,2.344160,2.273770,2.301310,1.206546,0
2002-09-30,2.258470,2.279890,2.258470,2.270710,1.190503,0
2002-10-01,null,null,null,null,null,null
2002-10-02,null,null,null,null,null,null
2002-10-03,null,null,null,null,null,null
2002-10-04,null,null,null,null,null,null
2002-10-07,null,null,null,null,null,null
2002-10-08,null,null,null,null,null,null
2002-10-09,null,null,null,null,null,null
2002-10-10,null,null,null,null,null,null
2002-10-11,null,null,null,null,null,null
2002-10-14,null,null,null,null,null,null
2002-10-15,null,null,null,null,null,null
2002-10-16,null,null,null,null,null,null
2002-10-17,null,null,null,null,null,null
2002-10-18,null,null,null,null,null,null
2002-10-21,null,null,null,null,null,null
2002-10-22,null,null,null,null,null,null
2002-10-23,null,null,null,null,null,null
2002-10-24,null,null,null,null,null,null
2002-10-25,null,null,null,null,null,null
2002-10-28,null,null,null,null,null,null
2002-10-29,null,null,null,null,null,null
2002-10-30,null,null,null,null,null,null
2002-10-31,null,null,null,null,null,null
2002-11-01,null,null,null,null,null,null
