Date,Open,High,Low,Close,Adj Close,Volume
2000-08-23,7.000000,7.000000,6.000000,6.200000,3.074893,2900
2000-08-24,6.100000,6.200000,5.000000,5.550000,2.752525,16700
2000-08-25,6.000000,6.000000,5.500000,5.600000,2.777322,3660
2000-08-28,6.550000,6.550000,5.750000,5.800000,2.876513,502
2000-08-29,6.500000,6.500000,5.750000,5.750000,2.851715,19201
2000-08-30,6.200000,6.350000,5.750000,5.750000,2.851715,12202
2000-08-31,6.000000,6.000000,5.750000,5.850000,3.005862,3900
2000-09-01,null,null,null,null,null,null
2000-09-04,6.950000,6.950000,5.400000,5.650000,2.903097,3912
2000-09-05,5.700000,5.950000,5.500000,5.950000,3.057244,54802
2000-09-06,5.950000,6.000000,5.700000,5.950000,3.057244,9200
2000-09-07,5.900000,6.200000,5.900000,6.200000,3.185699,3500
2000-09-08,6.200000,6.200000,5.300000,5.800000,2.980171,41600
2000-09-11,5.650000,5.850000,5.650000,5.700000,2.928788,8900
2000-09-12,5.750000,5.800000,5.650000,5.650000,2.903097,13051
2000-09-13,5.900000,5.900000,5.450000,5.500000,2.826024,10807
2000-09-14,5.900000,5.900000,5.200000,5.200000,2.671877,65476
2000-09-15,5.500000,5.600000,5.000000,5.050000,2.594804,84602
2000-09-18,5.350000,5.350000,5.100000,5.250000,2.697568,27091
2000-09-19,5.300000,5.300000,5.150000,5.250000,2.697568,24119
2000-09-20,6.500000,6.500000,5.300000,5.500000,2.826024,2002
2000-09-21,8.000000,8.000000,5.550000,5.550000,2.851715,3204
2000-09-22,5.500000,5.600000,5.400000,5.400000,2.774642,16000
2000-09-25,6.450000,6.450000,5.600000,5.800000,2.980171,18701
2000-09-26,5.750000,5.950000,5.550000,5.750000,2.954479,42000
2000-09-27,6.300000,6.300000,6.000000,6.000000,3.082935,2
2000-09-28,5.850000,5.850000,5.700000,5.700000,2.928788,12700
2000-09-29,5.750000,5.850000,5.600000,5.700000,2.928788,15800
2000-10-02,null,null,null,null,null,null
2000-10-03,5.800000,5.800000,5.600000,5.600000,2.877406,12102
2000-10-04,5.800000,5.800000,5.450000,5.750000,2.954479,2800
2000-10-05,5.750000,5.750000,5.600000,5.750000,2.954479,825
2000-10-06,5.700000,5.700000,5.650000,5.700000,2.928788,8400
2000-10-09,6.000000,6.000000,5.400000,5.400000,2.774642,5100
2000-10-10,5.550000,5.550000,5.500000,5.500000,2.826024,15925
2000-10-11,5.300000,5.600000,5.300000,5.600000,2.877406,1600
2000-10-12,5.400000,5.650000,5.400000,5.600000,2.877406,5201
2000-10-13,5.300000,5.350000,5.150000,5.300000,2.723260,30001
2000-10-16,5.400000,5.400000,5.100000,5.100000,2.620495,8500
2000-10-17,5.100000,5.250000,5.050000,5.150000,2.646186,12500
2000-10-18,5.250000,5.250000,5.250000,5.250000,2.697568,1100
2000-10-19,5.300000,5.400000,5.200000,5.350000,2.748950,3413
2000-10-20,5.300000,5.350000,5.200000,5.350000,2.748950,14000
2000-10-23,5.350000,5.350000,5.300000,5.300000,2.723260,250
2000-10-24,5.400000,5.500000,5.100000,5.150000,2.646186,8100
2000-10-25,5.250000,5.250000,5.100000,5.250000,2.697568,11700
2000-10-26,5.450000,5.500000,5.400000,5.450000,2.800333,3700
2000-10-27,5.450000,5.450000,5.250000,5.250000,2.697568,3300
2000-10-30,5.350000,5.450000,5.250000,5.400000,2.774642,10152
2000-10-31,5.250000,5.450000,5.250000,5.300000,2.723260,6500
2000-11-01,5.600000,5.950000,5.600000,5.950000,3.057244,18700
2000-11-02,5.900000,6.500000,5.900000,6.050000,3.108627,44310
2000-11-03,6.500000,6.500000,6.100000,6.450000,3.314156,28090
