Date,Open,High,Low,Close,Adj Close,Volume
2005-12-15,3.225000,3.225000,2.800000,2.846000,0.302402,112560
2005-12-16,2.896000,2.958500,2.791500,2.804000,0.297939,22836
2005-12-19,2.812500,2.854000,2.771000,2.783500,0.295761,21706
2005-12-20,2.750000,2.771000,2.691500,2.716500,0.288642,18074
2005-12-21,2.808500,2.983500,2.683500,2.708500,0.287792,78728
2005-12-22,2.708500,2.712500,2.637500,2.654000,0.282001,24722
2005-12-23,2.625000,2.704000,2.625000,2.641500,0.280673,42114
2005-12-26,2.604000,2.716500,2.516500,2.600000,0.276263,69936
2005-12-27,2.616500,2.637500,2.516500,2.562500,0.272279,24436
2005-12-28,2.616500,2.662500,2.550000,2.621000,0.278495,20736
2005-12-29,2.696000,2.696000,2.587500,2.616500,0.278016,9404
2005-12-30,2.604000,2.750000,2.604000,2.691500,0.285986,19580
2006-01-02,2.750000,2.875000,2.750000,2.800000,0.297514,74788
2006-01-03,2.833500,2.833500,2.779000,2.808500,0.298417,35484
2006-01-04,2.854000,2.854000,2.758500,2.779000,0.295283,36540
2006-01-05,2.791500,2.791500,2.708500,2.729000,0.289970,23332
2006-01-06,2.750000,2.766500,2.625000,2.712500,0.288217,51474
2006-01-09,2.733500,2.733500,2.666500,2.700000,0.286889,40972
2006-01-10,2.683500,2.825000,2.683500,2.725000,0.289545,60464
2006-01-12,2.725000,2.771000,2.712500,2.733500,0.290448,28530
2006-01-13,2.750000,2.791500,2.683500,2.704000,0.287314,26554
2006-01-16,2.716500,2.750000,2.637500,2.654000,0.282001,28720
2006-01-17,2.641500,2.662500,2.541500,2.571000,0.273182,75536
2006-01-18,2.654000,2.654000,2.566500,2.579000,0.274032,11108
2006-01-19,2.696000,2.696000,2.591500,2.608500,0.277166,16180
2006-01-20,2.691500,2.696000,2.583500,2.616500,0.278016,35174
2006-01-23,2.666500,2.771000,2.666500,2.704000,0.287314,27880
2006-01-24,2.733500,2.733500,2.641500,2.654000,0.282001,19306
2006-01-25,2.666500,2.700000,2.654000,2.662500,0.282904,22930
2006-01-27,2.637500,2.666500,2.591500,2.629000,0.279345,28370
2006-01-30,2.600000,2.625000,2.500000,2.562500,0.272279,34530
2006-01-31,2.583500,2.583500,2.546000,2.562500,0.272279,14960
2006-02-01,2.583500,2.583500,2.441500,2.500000,0.265638,28268
2006-02-02,2.508500,2.587500,2.416500,2.500000,0.265638,50836
2006-02-03,2.379000,2.525000,2.379000,2.450000,0.260325,39700
2006-02-06,2.458500,2.458500,2.416500,2.425000,0.257669,34748
2006-02-07,2.729000,2.729000,2.421000,2.466500,0.262078,25468
2006-02-08,2.500000,2.500000,2.425000,2.429000,0.258094,30342
2006-02-10,2.437500,2.475000,2.425000,2.429000,0.258094,17012
2006-02-13,2.421000,2.441500,2.408500,2.412500,0.256340,60640
2006-02-14,2.412500,2.500000,2.404000,2.416500,0.256765,26648
2006-02-15,2.400000,2.500000,2.400000,2.412500,0.256340,15486
2006-02-16,2.500000,2.500000,2.408500,2.441500,0.259422,17542
